CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,7,6,5,6,5,3,100,88,76,1026,1021,1019,16,7,2,29,20,37,0.25,8,Rain,351
2015-1-2,10,8,6,9,8,6,100,96,92,1021,1017,1014,16,6,2,27,14,32,4.83,8,Rain,338
2015-1-3,15,11,6,9,7,6,100,86,72,1020,1017,1014,16,16,10,27,12,32,T,7,Rain,325
2015-1-4,16,10,4,6,3,-1,100,74,47,1035,1029,1021,16,16,14,40,22,50,0.00,6,,360
2015-1-5,12,7,2,3,-1,-3,85,65,44,1039,1035,1032,16,16,16,39,13,47,0.00,6,,59
2015-1-6,19,11,3,9,6,2,92,70,48,1032,1029,1027,16,16,16,19,8,23,0.00,6,,44
2015-1-7,19,13,6,12,6,-4,100,72,44,1038,1031,1027,16,16,14,48,23,60,0.00,7,,10
2015-1-8,7,4,2,1,-4,-8,65,53,40,1038,1033,1026,16,16,16,45,18,53,0.00,8,,26
2015-1-9,7,5,3,6,3,2,96,83,70,1032,1029,1025,16,9,3,42,28,50,2.03,8,Rain-Snow,21
2015-1-10,4,3,2,3,2,1,92,89,85,1031,1027,1024,16,9,2,39,26,47,14.73,8,Rain,3
2015-1-11,12,8,4,8,5,3,96,87,77,1024,1022,1020,16,14,2,29,15,37,0.51,7,Rain-Thunderstorm,322
2015-1-12,11,9,7,8,7,4,100,91,82,1028,1024,1022,16,8,0,37,18,43,0.00,8,Fog,12
2015-1-13,8,7,6,5,4,3,89,83,76,1031,1029,1027,16,15,11,40,19,48,T,8,Rain,7
2015-1-14,8,7,6,6,5,3,96,86,76,1028,1026,1023,16,8,3,29,19,32,0.25,8,Rain,4
2015-1-15,12,8,4,6,4,3,96,81,66,1029,1027,1024,16,14,6,32,19,39,0.25,7,,334
2015-1-16,17,10,3,7,5,2,100,75,49,1029,1026,1024,16,16,16,16,5,19,0.00,6,,153
2015-1-17,21,13,4,11,8,4,100,75,49,1023,1021,1018,16,16,16,26,9,32,0.00,5,,214
2015-1-18,21,15,9,9,5,1,89,59,29,1028,1025,1024,16,16,16,34,14,40,0.00,6,,37
2015-1-19,23,16,7,14,10,7,100,73,46,1023,1018,1015,16,14,0,26,12,32,0.00,3,Fog,154
2015-1-20,26,16,6,15,11,6,100,71,42,1016,1014,1012,16,10,0,26,9,37,0.00,2,Fog,160
2015-1-21,23,19,16,18,17,16,100,87,73,1017,1015,1013,16,9,0,34,18,40,0.51,7,Fog-Rain,99
2015-1-22,22,15,8,19,14,6,100,92,83,1021,1015,1012,16,12,2,45,27,53,24.64,8,Rain-Thunderstorm,48
2015-1-23,10,7,4,6,5,3,92,82,71,1027,1024,1020,16,16,14,42,27,69,2.54,6,Rain,328
