MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,2,-6,-14,-4,-9,-15,84,69,53,1022,1021,1015,16,16,16,14,4,21,0.00,4,,313
2015-1-2,4,-2,-8,-3,-7,-9,84,74,64,1021,1014,1004,16,16,16,27,7,35,0.00,5,,139
2015-1-3,3,-8,-18,-2,-14,-21,88,76,64,1035,1021,1008,16,7,0,74,41,89,0.25,7,Snow,343
2015-1-4,-14,-17,-20,-18,-19,-23,86,79,72,1041,1035,1027,16,11,1,27,17,32,1.27,7,Snow,352
2015-1-5,4,-6,-16,-1,-12,-19,86,78,69,1035,1023,1011,16,13,2,66,32,80,1.02,8,Rain-Snow,8
2015-1-6,-8,-11,-14,-11,-13,-17,88,81,73,1050,1034,1027,16,8,1,48,21,58,0.76,8,Snow,12
2015-1-7,-6,-13,-20,-10,-17,-23,83,75,67,1055,1035,955,16,16,16,47,24,55,0.00,2,,150
2015-1-8,7,-4,-15,-1,-11,-21,82,68,54,1036,1024,1014,16,12,0,87,51,105,T,2,Snow,337
2015-1-9,-9,-16,-22,-17,-20,-23,87,65,42,1038,1032,1018,16,16,16,27,8,31,0.00,0,,131
2015-1-10,1,-7,-16,-7,-12,-18,86,69,51,1020,1017,1009,16,16,16,32,8,37,0.00,0,,60
2015-1-11,-7,-10,-13,-11,-13,-16,88,81,73,1036,1026,1015,16,16,16,34,19,40,0.00,6,,11
2015-1-12,-6,-10,-15,-8,-14,-17,87,77,67,1040,1035,1025,16,16,13,42,21,47,T,6,Snow,128
2015-1-13,1,-6,-12,-5,-9,-13,88,74,59,1031,1029,1027,16,15,6,48,17,58,T,4,Snow,333
2015-1-14,2,-4,-12,-5,-9,-14,84,69,54,1028,1024,1017,16,16,16,23,9,23,0.00,0,,303
2015-1-15,7,1,-5,-2,-6,-9,74,63,52,1025,1021,1016,16,16,16,21,7,23,0.00,0,,58
2015-1-16,12,4,-4,0,-5,-10,70,53,36,1015,1010,1006,16,16,16,40,11,48,T,1,,322
2015-1-17,9,3,-2,-2,-7,-9,75,53,31,1017,1015,1009,16,16,16,64,26,77,0.00,1,,315
2015-1-18,11,3,-4,-1,-5,-10,70,53,36,1014,1013,1011,16,16,16,39,9,52,0.00,2,,327
2015-1-19,10,3,-4,0,-5,-8,76,54,31,1019,1016,1014,16,16,16,50,21,60,0.00,2,,306
2015-1-20,6,1,-5,-4,-6,-8,75,61,46,1023,1021,1018,16,16,16,42,23,52,0.00,1,,315
2015-1-21,2,-4,-9,-4,-7,-12,92,76,59,1031,1027,1023,16,15,5,48,25,60,T,6,Snow,328
2015-1-22,7,-2,-11,-6,-11,-14,84,53,22,1029,1025,1018,16,16,16,16,6,19,0.00,0,,188
2015-1-23,11,4,-2,-3,-5,-10,72,54,35,1022,1021,1017,16,16,16,47,21,56,0.00,2,,321
2015-1-24,14,6,-2,4,-2,-6,65,56,47,1017,1013,1007,16,16,16,76,34,93,T,3,Rain,300
2015-1-25,10,4,-2,-1,-6,-8,75,53,31,1020,1017,1015,16,16,16,39,14,50,0.00,2,,297
2015-1-26,20,11,1,-1,-2,-3,75,49,22,1019,1016,1015,16,16,16,40,15,50,0.00,0,,313
2015-1-27,23,12,1,-1,-3,-4,75,46,17,1016,1012,1007,16,16,16,24,11,29,0.00,0,,286
2015-1-28,14,7,-1,-1,-3,-4,82,55,28,1028,1015,1007,16,16,16,63,34,79,0.00,3,,330
2015-1-29,8,1,-7,-4,-8,-13,92,59,25,1035,1032,1028,16,16,16,48,13,56,0.00,1,,30
2015-1-30,12,2,-8,-3,-6,-11,84,60,35,1028,1024,1020,16,16,16,35,14,42,0.00,0,,351
2015-1-31,-1,-6,-12,-3,-7,-14,100,85,69,1028,1020,1015,16,5,0,29,16,34,1.27,6,Fog-Rain-Snow,66
2015-2-1,-9,-14,-18,-14,-17,-21,91,82,73,1035,1029,1022,16,14,6,39,20,47,T,4,Snow,23
2015-2-2,4,-6,-15,-1,-7,-16,92,78,64,1020,1017,1011,16,16,16,47,15,58,0.00,3,,77
2015-2-3,8,-1,-9,1,-6,-11,92,73,53,1024,1015,1009,16,14,4,42,21,53,T,5,Snow,9
2015-2-4,-6,-10,-14,-12,-13,-18,88,75,61,1034,1028,1021,16,15,10,42,20,50,T,3,Snow,38
2015-2-5,11,0,-11,-1,-5,-13,92,66,39,1021,1016,1011,16,16,16,19,6,23,0.00,2,,123
2015-2-6,22,11,0,-2,-3,-6,78,48,17,1013,1008,1001,16,16,16,32,14,39,0.00,0,,222
2015-2-7,22,13,5,2,-3,-6,61,40,18,1007,1003,999,16,16,16,60,19,74,T,2,,293
2015-2-8,18,10,2,1,-2,-3,82,55,27,1021,1014,1007,16,16,16,47,19,55,0.00,0,,320
2015-2-9,13,5,-3,1,-2,-6,100,73,45,1021,1014,1008,16,15,4,50,14,58,0.00,1,,56
2015-2-10,14,5,-4,3,-1,-6,100,73,46,1029,1017,1008,16,16,16,60,32,72,T,5,Rain,330
2015-2-11,2,-3,-8,-4,-6,-11,92,78,64,1037,1032,1026,16,16,16,29,15,37,0.00,7,,21
2015-2-12,14,2,-10,-2,-6,-11,100,65,30,1035,1025,1019,16,11,2,35,19,45,0.00,6,,152
2015-2-13,17,7,-3,0,-2,-6,78,54,30,1024,1022,1020,16,16,16,42,12,53,0.00,2,,332
2015-2-14,2,-3,-9,-1,-7,-10,100,88,75,1029,1025,1019,16,11,0,40,22,48,T,7,Fog,119
2015-2-15,7,-1,-8,-2,-6,-12,96,71,45,1025,1023,1019,16,16,11,50,18,63,0.00,5,,338
