CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,9,8,6,8,4,1,100,81,62,1028,1023,1020,16,13,4,34,19,40,0.25,8,Rain,54
2015-1-2,19,14,9,18,13,9,100,95,89,1022,1018,1014,16,7,0,34,15,42,6.35,8,Fog-Rain,59
2015-1-3,20,16,11,19,15,10,100,97,93,1020,1014,1012,16,7,0,34,9,43,62.48,8,Fog-Rain-Thunderstorm,242
2015-1-4,11,8,4,9,4,-2,96,81,65,1036,1028,1021,16,16,11,34,20,39,0.00,0,,347
2015-1-5,12,6,0,2,-2,-4,96,67,38,1039,1035,1032,16,16,16,29,14,42,0.00,0,,36
2015-1-6,17,8,0,6,3,-1,96,68,39,1033,1030,1028,16,15,4,11,3,14,0.00,0,,204
2015-1-7,15,8,1,7,1,-9,100,70,40,1040,1032,1027,16,13,3,40,19,55,0.00,2,,35
2015-1-8,3,-1,-4,-4,-9,-13,64,50,35,1040,1035,1029,16,16,16,39,14,48,0.00,2,,65
2015-1-9,4,3,2,2,0,-3,92,78,64,1034,1031,1029,16,13,3,26,14,31,3.30,8,Rain,31
2015-1-10,8,5,1,2,-2,-6,79,62,45,1034,1031,1025,16,16,11,32,18,39,4.06,7,Rain,63
2015-1-11,12,8,4,12,8,1,100,87,73,1026,1022,1019,16,6,1,32,12,40,51.56,7,Rain,53
2015-1-12,13,11,8,13,10,7,100,93,86,1027,1023,1020,16,10,0,29,15,37,3.05,8,Fog-Rain,350
2015-1-13,8,6,4,6,3,1,93,85,76,1030,1028,1026,16,16,14,29,20,39,0.00,8,,23
2015-1-14,5,4,3,2,1,1,92,86,79,1029,1026,1024,16,16,16,24,15,29,0.25,8,Rain,30
