CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-1,-2,-4,-2,-6,-10,92,77,62,1031,1026,1022,11,9,6,16,5,19,0.25,8,Rain,20
2015-1-2,2,1,-1,1,-1,-3,100,93,85,1025,1021,1014,13,5,2,27,10,32,18.29,8,Rain,342
2015-1-3,9,6,1,2,1,-1,92,76,60,1021,1013,1010,16,10,3,35,17,43,0.51,7,Rain,242
2015-1-4,3,-2,-6,-1,-8,-12,82,63,44,1040,1035,1023,16,16,14,56,22,64,0.00,1,,359
2015-1-5,8,1,-7,-2,-7,-11,84,61,38,1040,1032,1024,16,16,16,35,16,42,0.00,0,,143
2015-1-6,11,4,-3,-1,-3,-6,92,68,44,1032,1029,1025,16,16,16,34,15,40,0.00,0,,29
2015-1-7,0,-4,-8,-5,-12,-17,78,55,31,1049,1043,1030,16,16,16,61,31,72,0.00,1,,16
2015-1-8,4,-3,-10,-9,-13,-16,73,49,25,1044,1031,1023,16,16,16,40,17,52,0.00,1,,166
2015-1-9,2,-1,-5,-8,-12,-16,74,51,27,1038,1035,1027,16,16,16,37,20,45,0.00,4,,25
2015-1-10,4,1,-3,-2,-9,-15,82,57,32,1034,1028,1024,16,16,16,29,16,35,0.00,7,,160
2015-1-11,10,6,1,4,1,-2,93,77,61,1024,1021,1016,16,13,1,26,15,32,0.00,7,,134
2015-1-12,4,2,0,4,-2,-8,100,76,51,1034,1029,1022,16,12,1,45,27,53,0.00,8,Fog,16
2015-1-13,2,-1,-3,-7,-8,-10,69,58,47,1035,1032,1030,16,16,16,27,16,32,0.00,6,,353
2015-1-14,3,1,-2,-4,-6,-8,72,58,44,1030,1028,1025,16,16,16,14,6,18,0.00,8,,359
