CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,5,3,0,4,2,-2,100,85,70,1030,1026,1021,16,7,3,23,10,27,45.72,8,Rain-Thunderstorm,52
2015-1-2,11,8,5,11,7,4,96,90,83,1024,1021,1014,16,7,0,19,9,26,7.87,8,Fog-Rain,66
2015-1-3,18,13,9,17,13,7,100,95,90,1019,1013,1011,16,4,1,32,12,50,38.61,8,Fog-Rain-Thunderstorm,202
2015-1-4,11,6,1,7,3,-6,93,75,56,1038,1028,1019,16,14,10,35,18,42,0.00,4,,314
2015-1-5,6,2,-3,-3,-5,-8,85,66,46,1041,1036,1031,16,16,10,26,11,31,0.00,0,,38
2015-1-6,16,7,-3,3,-1,-4,92,63,33,1032,1030,1028,16,16,16,14,6,19,0.00,0,,70
2015-1-7,7,1,-5,1,-6,-13,89,63,37,1044,1037,1029,16,16,16,40,21,56,0.00,0,,24
2015-1-8,1,-4,-9,-7,-13,-17,61,48,35,1042,1035,1029,16,16,16,29,11,40,0.00,1,,84
2015-1-9,5,1,-3,-6,-7,-9,75,58,40,1035,1032,1029,16,16,16,23,8,27,0.00,5,,42
2015-1-10,3,1,-3,-5,-9,-12,69,53,37,1036,1033,1030,16,16,16,24,11,31,T,7,Rain,57
2015-1-11,9,5,1,9,3,-2,89,76,62,1029,1024,1020,16,16,6,23,8,32,2.54,7,Rain,64
2015-1-12,11,8,4,10,7,2,100,91,82,1029,1024,1020,16,12,2,29,15,42,2.79,8,Rain,342
2015-1-13,4,2,-1,1,-2,-3,85,80,75,1033,1030,1029,16,15,10,29,17,37,0.00,8,,23
2015-1-14,4,2,-1,-1,-2,-3,85,75,64,1031,1028,1026,16,16,10,21,8,24,T,6,,31
2015-1-15,11,5,-1,1,-1,-4,89,63,36,1027,1025,1024,16,16,16,19,5,24,0.25,4,Rain,354
2015-1-16,14,5,-4,2,-1,-4,96,65,33,1028,1026,1023,16,15,10,14,3,19,0.00,0,,176
2015-1-17,17,8,-2,6,2,-2,92,63,34,1023,1020,1017,16,16,16,27,9,37,0.00,0,,195
2015-1-18,20,11,2,5,-2,-9,92,53,14,1027,1023,1021,16,16,14,14,5,18,0.00,0,,271
2015-1-19,21,11,2,5,1,-2,70,47,24,1022,1019,1016,16,16,16,29,10,37,0.00,0,,201
