EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,1,-3,-7,-5,-12,-16,63,49,35,1020,1017,1013,16,15,2,45,29,61,0.51,6,Snow,226
2015-1-2,0,-2,-4,-5,-6,-8,78,69,59,1030,1024,1018,16,12,2,29,14,39,3.56,7,Snow,223
2015-1-3,13,4,-5,10,-1,-8,89,74,58,1029,1017,1008,16,12,5,48,23,61,18.03,6,Rain,163
2015-1-4,15,6,-3,12,4,-7,93,82,70,1019,1007,1002,16,11,1,45,27,72,14.99,8,Rain-Snow,248
2015-1-5,-3,-7,-12,-7,-13,-18,84,71,58,1033,1027,1019,16,4,0,48,31,69,1.52,8,Fog-Snow,260
2015-1-6,-8,-10,-12,-11,-14,-18,88,73,58,1029,1022,1015,16,4,0,35,23,50,7.62,8,Fog-Snow,211
2015-1-7,-8,-10,-13,-11,-16,-19,88,70,51,1032,1022,1014,16,4,0,50,28,68,1.27,8,Fog-Snow,296
2015-1-8,-10,-12,-15,-13,-18,-23,80,61,41,1031,1025,1009,16,5,1,52,30,66,1.02,7,Snow,218
2015-1-9,-6,-10,-14,-9,-13,-17,84,76,67,1026,1016,1008,5,2,0,47,32,66,7.37,8,Fog-Snow,235
2015-1-10,-8,-12,-17,-17,-19,-21,88,64,40,1034,1030,1025,16,7,0,35,26,45,1.52,4,Snow,207
2015-1-11,2,-3,-8,-3,-12,-18,85,61,36,1032,1029,1027,16,14,2,34,20,48,1.52,8,Snow,199
2015-1-12,1,-3,-6,-1,-3,-12,92,79,65,1034,1025,1023,16,5,0,32,15,42,10.92,8,Fog-Snow,293
2015-1-13,-6,-12,-18,-12,-16,-20,86,74,61,1041,1038,1033,16,11,2,29,14,39,T,5,Snow,54
2015-1-14,-5,-11,-18,-11,-17,-21,84,64,44,1031,1027,1024,16,15,6,27,12,34,0.00,2,,208
2015-1-15,-1,-8,-14,-8,-13,-17,88,63,37,1026,1020,1013,16,15,8,39,20,53,T,5,Snow,202
2015-1-16,0,-7,-15,-3,-8,-18,80,68,56,1027,1017,1011,16,11,2,39,16,56,0.25,7,Snow,291
2015-1-17,8,-4,-16,-3,-10,-19,83,63,42,1027,1017,1008,16,16,16,47,26,64,0.00,1,,176
2015-1-18,8,4,0,1,-1,-3,92,71,49,1012,1008,1005,16,12,3,37,23,53,3.30,8,Rain-Snow,234
2015-1-19,0,-1,-3,-2,-3,-8,85,77,68,1016,1014,1011,16,14,4,21,11,31,0.51,8,Snow,275
2015-1-20,-3,-6,-8,-7,-8,-10,84,76,68,1020,1016,1014,16,16,13,19,9,23,0.00,6,,45
