CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,6,4,3,6,4,-1,100,85,70,1029,1024,1021,16,9,3,24,9,34,15.75,8,Rain,26
2015-1-2,12,9,6,12,9,6,100,97,93,1023,1019,1014,16,5,0,13,6,21,4.32,8,Fog-Rain,55
2015-1-3,20,15,10,18,14,9,100,95,89,1019,1013,1010,16,9,0,26,9,39,25.40,8,Fog-Rain-Thunderstorm,258
2015-1-4,10,6,2,9,5,-2,100,82,64,1036,1027,1019,16,14,4,34,14,39,0.00,4,,315
2015-1-5,10,4,-2,-1,-3,-5,92,66,39,1040,1035,1031,16,16,16,21,8,27,0.00,0,,3
2015-1-6,17,7,-3,5,1,-3,100,68,36,1033,1030,1027,16,16,13,11,0,14,0.00,0,,345
2015-1-7,11,4,-3,4,-3,-13,92,64,36,1042,1034,1028,16,16,13,34,16,47,T,2,Rain,33
2015-1-8,3,-2,-8,-7,-13,-16,63,46,29,1041,1035,1029,16,16,16,27,10,37,0.00,1,,73
2015-1-9,4,2,0,-1,-4,-7,89,69,48,1034,1032,1029,16,15,10,14,4,21,0.00,7,,9
2015-1-10,7,3,-2,-1,-7,-10,72,52,31,1035,1032,1028,16,16,13,19,9,27,0.00,6,,63
2015-1-11,13,8,2,13,7,-1,100,83,65,1027,1023,1020,16,10,2,27,11,34,2.03,8,Rain,108
2015-1-12,13,9,6,13,9,4,100,95,89,1027,1023,1020,16,7,1,24,14,32,10.67,8,Fog-Rain,327
2015-1-13,6,3,1,4,1,0,92,86,79,1031,1029,1027,16,13,8,24,14,32,0.00,8,,17
2015-1-14,4,2,0,1,-1,-1,96,86,76,1030,1026,1024,16,15,11,19,8,24,T,8,Rain,29
2015-1-15,11,6,0,2,1,-1,92,70,48,1027,1025,1023,16,14,8,19,6,24,2.79,4,Rain,355
2015-1-16,14,6,-2,3,0,-3,100,68,36,1029,1026,1023,16,13,3,10,2,13,0.00,1,,171
2015-1-17,17,8,-1,9,5,-1,100,78,55,1023,1021,1017,16,14,5,24,8,29,0.00,0,,175
2015-1-18,19,12,3,8,4,-1,100,63,26,1027,1023,1021,16,13,2,19,6,24,0.00,0,,306
2015-1-19,21,10,-1,8,2,-2,89,57,25,1022,1019,1016,16,16,16,19,7,24,0.00,0,,188
2015-1-20,22,14,6,13,9,5,100,77,53,1018,1016,1014,16,15,8,14,3,18,0.00,3,,110
2015-1-21,19,14,9,11,3,0,86,58,30,1023,1021,1019,16,16,14,23,9,29,0.00,4,,42
2015-1-22,13,9,5,6,4,2,96,73,50,1022,1020,1019,16,9,3,32,18,48,10.67,8,Rain,36
2015-1-23,6,4,2,4,3,2,100,93,85,1022,1019,1016,16,13,4,34,16,40,4.83,7,Rain,335
2015-1-24,15,7,-1,4,2,-1,100,70,40,1023,1020,1017,16,15,8,23,6,29,0.00,0,,254
2015-1-25,19,12,3,7,3,-1,92,63,33,1018,1015,1011,16,16,16,34,13,43,0.00,0,,261
2015-1-26,16,10,3,4,2,0,79,58,36,1023,1020,1019,16,16,14,23,9,29,0.00,0,,304
2015-1-27,24,14,3,7,4,2,92,59,25,1022,1020,1018,16,15,8,13,3,16,0.00,0,,291
2015-1-28,23,13,4,7,5,3,93,68,43,1025,1023,1021,16,16,13,23,10,29,0.00,0,,149
2015-1-29,24,17,9,15,12,4,100,71,41,1027,1023,1021,16,10,0,29,12,40,0.00,4,Fog,216
2015-1-30,16,11,6,6,1,-2,71,51,31,1032,1029,1028,16,16,16,29,14,39,0.00,0,,36
2015-1-31,16,10,4,9,3,0,79,63,46,1027,1023,1018,16,16,14,24,15,31,T,2,Rain,108
2015-2-1,24,16,7,17,12,2,93,76,58,1020,1013,1009,16,14,1,47,20,61,1.52,7,Rain-Thunderstorm,252
2015-2-2,9,4,-1,0,-4,-6,75,57,39,1028,1026,1020,16,16,16,40,15,55,0.00,0,,352
2015-2-3,7,4,1,1,-1,-3,82,68,53,1029,1027,1025,16,16,14,13,5,16,0.00,0,,124
2015-2-4,12,8,4,9,6,2,100,86,71,1024,1021,1017,16,13,5,23,5,29,0.25,7,Rain,77
2015-2-5,11,7,2,8,3,-4,93,73,52,1030,1026,1022,16,16,13,29,12,42,0.00,6,,20
2015-2-6,14,6,-2,2,-2,-4,92,64,35,1032,1028,1025,16,16,16,14,4,18,0.00,0,,155
2015-2-7,21,11,1,10,6,1,100,74,48,1025,1021,1017,16,14,5,29,11,40,0.00,2,,175
2015-2-8,24,17,10,15,13,9,100,73,46,1017,1014,1012,16,13,6,29,13,40,0.00,6,,187
2015-2-9,24,17,9,14,10,6,100,66,31,1017,1015,1014,16,9,0,29,9,42,0.00,2,Fog,322
2015-2-10,18,11,3,6,2,1,85,61,37,1021,1018,1016,16,15,10,23,9,31,0.00,0,,51
2015-2-11,22,12,2,8,4,1,92,65,38,1021,1019,1017,16,16,13,16,3,24,0.00,0,,95
2015-2-12,16,10,3,6,-1,-6,83,56,29,1029,1026,1022,16,16,14,27,13,37,0.00,0,,17
2015-2-13,14,6,-2,2,-4,-8,63,47,30,1030,1027,1024,16,16,14,13,6,18,0.00,0,,77
2015-2-14,23,13,2,11,6,2,92,61,29,1025,1023,1020,16,15,8,19,5,26,0.00,0,,234
2015-2-15,16,11,6,8,6,2,92,72,51,1024,1021,1017,16,15,10,23,6,27,1.02,4,Rain,75
2015-2-16,19,11,1,17,7,-2,100,91,82,1020,1013,1009,16,10,2,52,20,68,9.65,8,Rain,336
2015-2-17,7,2,-3,-2,-4,-6,92,69,45,1025,1022,1019,16,16,14,29,14,39,0.00,3,,351
2015-2-18,13,6,-3,-1,-4,-7,100,63,26,1029,1027,1024,16,16,13,34,8,42,0.00,0,,336
2015-2-19,9,4,-1,-2,-7,-11,85,55,25,1033,1029,1025,16,16,16,23,9,32,0.00,1,,79
2015-2-20,18,10,1,14,6,-6,86,67,48,1024,1019,1015,16,16,16,32,20,42,0.00,8,,138
2015-2-21,21,19,17,17,15,14,84,75,66,1016,1014,1012,16,15,11,45,23,58,T,7,,181
2015-2-22,18,11,4,16,7,3,100,96,92,1027,1021,1015,16,9,3,35,14,43,4.32,8,Rain,25
2015-2-23,4,2,-1,3,-1,-3,96,83,70,1031,1028,1026,16,13,4,29,17,50,0.76,8,Rain,21
2015-2-24,3,1,-3,-1,-2,-3,100,88,76,1027,1023,1016,16,15,6,40,9,105,0.00,8,,12
2015-2-25,3,2,1,2,1,-1,100,91,82,1018,1012,1009,16,10,3,26,12,32,17.53,8,Rain,357
2015-2-26,11,6,2,2,1,-1,92,74,56,1029,1020,1013,16,15,11,26,15,34,0.00,7,,346
2015-2-27,9,4,-1,-1,-3,-4,85,65,45,1032,1030,1027,16,16,13,26,14,34,0.00,5,,35
2015-2-28,15,8,0,5,0,-4,75,59,43,1032,1028,1026,16,16,16,16,9,23,0.00,7,,62
2015-3-1,16,13,10,16,13,4,100,82,63,1026,1024,1022,16,5,0,23,8,26,58.93,8,Fog-Rain-Thunderstorm,28
2015-3-2,10,8,7,10,8,7,100,97,93,1027,1025,1023,16,5,1,16,8,21,4.83,8,Fog-Rain,26
2015-3-3,24,16,7,19,12,7,100,84,68,1022,1018,1013,16,7,0,32,9,39,0.00,7,Fog,134
2015-3-4,26,16,5,21,17,4,100,84,67,1017,1013,1009,16,10,1,34,13,43,3.56,7,Fog-Rain,153
2015-3-5,5,2,-2,2,-2,-8,100,74,48,1035,1028,1017,16,10,2,40,20,52,13.21,6,Rain-Snow-Thunderstorm,2
2015-3-6,11,3,-4,-4,-8,-10,81,53,24,1037,1034,1032,16,16,16,23,11,29,0.00,0,,21
2015-3-7,18,7,-4,6,-2,-9,92,54,16,1033,1030,1027,16,16,16,14,3,19,0.00,2,,131
2015-3-8,11,10,8,9,7,2,93,77,61,1026,1024,1021,16,15,8,19,5,24,3.81,7,Rain,59
2015-3-9,16,13,9,16,13,7,100,93,86,1021,1015,1012,16,7,1,19,10,27,17.27,8,Fog-Rain,93
2015-3-10,18,16,13,17,15,12,100,92,84,1020,1015,1011,16,12,2,23,10,29,1.02,7,Rain,260
2015-3-11,18,16,12,12,12,11,100,84,67,1023,1021,1019,16,14,3,23,12,27,T,7,Rain,15
2015-3-12,23,18,13,19,16,11,100,87,73,1021,1017,1014,16,10,2,24,10,31,13.46,8,Rain-Thunderstorm,46
2015-3-13,21,19,16,19,16,14,100,87,73,1015,1014,1012,16,14,4,27,14,34,3.30,8,Rain,175
2015-3-14,25,20,15,15,14,13,97,74,50,1021,1017,1015,16,15,8,26,12,35,0.00,6,Rain,251
2015-3-15,25,19,12,16,14,12,97,74,50,1025,1023,1020,16,15,10,19,6,24,0.00,2,,356
2015-3-16,28,20,12,17,14,12,100,73,45,1025,1023,1019,16,8,0,23,7,27,0.00,1,Fog,259
2015-3-17,30,23,15,19,16,13,90,69,48,1022,1019,1017,16,15,8,16,5,26,0.00,1,,287
2015-3-18,24,20,16,19,18,15,100,87,74,1019,1015,1013,16,14,10,21,7,24,0.76,6,Rain-Thunderstorm,79
2015-3-19,26,21,15,20,17,15,97,80,62,1017,1016,1014,16,12,3,13,4,18,3.05,7,Rain,98
2015-3-20,28,22,16,20,18,14,100,79,58,1021,1018,1016,16,8,0,24,7,32,2.54,7,Fog-Rain,252
2015-3-21,17,16,15,16,15,14,100,95,90,1020,1019,1016,16,10,2,19,9,21,21.59,8,Rain,38
2015-3-22,18,16,13,17,15,12,100,90,80,1017,1014,1012,16,10,0,24,12,29,T,8,Fog-Rain,315
2015-3-23,23,18,12,12,12,11,93,71,49,1020,1017,1016,16,16,16,23,11,31,0.00,6,,356
2015-3-24,23,17,9,14,11,9,100,77,53,1020,1017,1015,16,12,0,24,9,31,0.00,0,Fog,147
2015-3-25,25,18,11,16,13,11,100,75,50,1019,1016,1013,16,11,1,24,10,32,0.00,2,Fog,144
2015-3-26,22,16,10,18,14,8,100,89,77,1018,1013,1011,16,13,2,42,14,50,T,7,Rain,319
2015-3-27,22,13,4,9,5,2,100,65,29,1022,1019,1016,16,15,2,42,12,58,0.00,0,,324
2015-3-28,24,15,6,13,8,4,89,62,35,1024,1021,1019,16,16,14,26,12,32,0.00,0,,134
2015-3-29,28,21,13,17,14,13,100,71,42,1024,1022,1019,16,12,2,39,19,50,0.00,4,,147
2015-3-30,28,20,12,18,14,12,100,71,42,1024,1022,1019,16,10,0,21,9,29,0.00,3,Fog,195
2015-3-31,28,23,17,17,16,14,100,72,43,1020,1017,1014,16,16,14,29,15,37,0.00,3,,210
2015-4-1,27,22,17,19,18,16,100,76,51,1018,1016,1014,16,13,4,27,13,35,T,4,,192
2015-4-2,29,25,21,19,19,16,90,71,51,1017,1016,1015,16,15,11,37,20,45,0.00,5,,184
2015-4-3,28,22,16,21,20,17,90,78,65,1020,1016,1015,16,12,2,37,19,52,9.14,6,Rain-Thunderstorm,210
2015-4-4,21,16,9,14,8,4,83,59,35,1027,1024,1020,16,16,10,29,14,43,2.54,3,Rain,29
2015-4-5,17,13,9,15,11,6,100,79,57,1023,1019,1017,16,9,2,24,10,29,27.43,7,Rain-Thunderstorm,84
2015-4-6,27,21,16,22,18,15,100,87,74,1019,1017,1014,16,9,0,35,13,43,T,5,Fog,152
2015-4-7,28,23,18,22,20,18,100,83,65,1019,1017,1016,16,14,5,24,11,31,T,1,,178
