CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,6,4,3,4,3,3,100,94,89,1025,1023,1020,16,8,3,14,11,19,1.02,8,Rain,2
2015-1-2,7,6,5,6,6,4,96,93,92,1022,1019,1016,16,8,3,19,10,23,0.51,8,Rain,320
2015-1-3,17,11,5,7,5,4,93,65,43,1020,1017,1016,16,16,16,26,10,29,0.25,2,,313
2015-1-4,16,9,3,6,3,2,100,58,39,1034,1032,1029,16,16,16,24,12,27,0.00,0,,18
2015-1-5,12,7,2,3,-2,-4,71,54,41,1040,1036,1028,16,16,16,26,10,32,0.00,0,,72
2015-1-6,18,12,4,7,5,2,86,66,44,1032,1029,1027,16,16,16,19,5,21,0.00,0,,162
2015-1-7,17,12,7,12,6,-3,93,66,46,1041,1033,1028,16,16,16,39,16,48,T,6,Rain,9
2015-1-8,8,6,3,-1,-6,-9,58,44,33,1038,1032,1026,16,16,16,27,12,34,0.00,7,,100
2015-1-9,7,5,3,5,3,1,100,93,70,1034,1030,1025,10,6,3,26,15,32,2.03,8,Rain,23
2015-1-10,3,2,1,2,1,0,100,94,92,1033,1030,1027,10,6,4,26,17,29,7.11,8,Rain,358
2015-1-11,12,8,3,7,5,3,92,77,66,1025,1022,1020,16,15,10,16,7,19,0.51,3,,30
2015-1-12,19,11,3,9,7,3,100,75,56,1028,1024,1022,16,15,8,35,12,43,0.00,1,,58
2015-1-13,8,7,6,4,3,3,83,78,76,1032,1029,1027,16,16,16,26,12,34,0.00,8,,10
2015-1-14,7,6,4,5,4,4,100,92,89,1029,1027,1025,16,9,3,16,10,23,0.00,8,Rain,11
2015-1-15,14,10,6,6,5,4,100,73,55,1031,1029,1027,16,16,16,27,14,32,T,2,,329
2015-1-16,18,12,7,7,5,3,86,60,39,1030,1025,1017,16,16,16,14,5,16,0.00,0,,109
2015-1-17,19,14,8,9,8,6,86,66,52,1022,1020,1019,16,16,16,16,9,21,0.00,0,,172
2015-1-18,22,16,8,6,3,-1,80,41,23,1030,1027,1024,16,16,16,23,10,27,0.00,0,,74
2015-1-19,25,17,8,12,8,5,100,58,29,1021,1018,1015,16,15,8,23,9,24,0.00,0,,150
2015-1-20,30,19,8,28,11,7,100,59,23,1019,1014,1011,16,16,13,19,6,23,0.00,0,,113
2015-1-21,23,17,11,16,14,11,100,83,61,1017,1015,1013,16,14,3,24,12,29,0.51,6,Rain,41
2015-1-22,14,11,8,13,9,5,100,90,80,1024,1019,1014,16,13,3,39,21,48,2.79,8,Rain,336
2015-1-23,12,8,3,4,3,2,89,72,56,1028,1027,1026,16,16,16,39,21,47,T,5,,331
2015-1-24,19,11,2,4,2,-2,92,53,26,1028,1025,1022,16,16,16,21,12,27,0.00,0,,249
2015-1-25,23,14,4,4,3,3,81,78,76,1024,1022,1020,16,16,16,24,10,,0.00,0,,290
2015-1-26,24,15,6,10,4,2,82,41,24,1027,1025,1023,16,16,16,19,10,,0.00,0,,239
2015-1-27,27,19,12,8,5,1,77,41,18,1025,1022,1021,16,16,16,13,7,16,0.00,0,,188
2015-1-28,28,19,10,9,6,3,71,46,20,1023,1020,1018,16,16,16,29,14,35,0.00,0,,139
2015-1-29,28,21,13,15,13,12,100,67,39,1025,1022,1020,16,16,16,21,13,26,0.00,1,,112
2015-1-30,23,18,13,15,11,4,93,67,42,1028,1025,1021,16,16,14,35,20,45,T,6,Rain,78
2015-1-31,22,18,14,16,15,13,97,85,63,1021,1016,1011,16,15,10,39,19,48,0.25,6,Rain,134
2015-2-1,24,19,14,17,14,8,100,87,46,1021,1014,1011,16,10,0,35,13,42,0.00,4,Fog,319
2015-2-2,16,12,8,7,-1,-6,79,47,30,1030,1026,1023,16,16,16,42,13,52,T,6,Rain,17
2015-2-3,8,7,6,6,6,3,96,91,79,1028,1025,1023,16,13,4,16,8,21,4.06,8,Rain,45
2015-2-4,18,13,7,10,8,6,100,85,62,1023,1020,1016,16,12,4,14,5,19,0.25,5,,116
2015-2-5,11,10,9,10,8,7,100,89,83,1030,1027,1021,16,14,6,29,13,35,T,8,Rain,3
2015-2-6,16,12,9,9,8,6,86,77,62,1030,1028,1024,16,16,16,14,7,19,0.00,8,,122
2015-2-7,24,18,12,13,11,9,86,71,48,1024,1019,1015,16,16,16,29,13,35,0.00,4,,155
2015-2-8,29,21,11,14,13,8,100,82,34,1015,1014,1010,16,9,0,19,10,24,0.00,3,Fog,174
2015-2-9,29,19,9,12,8,4,86,55,21,1022,1018,1014,16,16,16,14,9,19,0.00,0,,306
2015-2-10,30,21,12,12,7,3,93,50,19,1018,1015,1012,16,16,14,29,15,35,0.00,0,,142
2015-2-11,27,20,12,14,11,4,93,65,39,1020,1014,1012,16,16,11,34,19,37,0.00,1,,122
2015-2-12,21,17,14,14,9,2,93,69,39,1028,1025,1020,16,15,3,37,18,48,0.00,7,,20
2015-2-13,23,17,11,12,7,2,77,54,39,1028,1026,1023,16,16,16,19,9,23,0.00,3,,231
2015-2-14,23,18,12,14,13,12,93,73,55,1026,1024,1021,16,14,3,21,9,26,0.00,5,,147
2015-2-15,25,21,17,16,15,13,87,73,48,1021,1017,1012,16,16,16,35,19,42,T,4,Rain,152
2015-2-16,23,15,7,17,10,0,97,72,50,1021,1014,1009,16,15,4,52,19,63,1.52,4,Rain,11
2015-2-17,15,11,6,4,2,0,86,62,36,1027,1023,1020,16,16,16,27,13,35,0.25,4,Rain,9
2015-2-18,21,12,3,4,0,-3,79,48,21,1029,1026,1022,16,16,16,27,14,35,0.00,0,,139
2015-2-19,23,15,6,12,8,4,89,65,45,1027,1023,1017,16,16,16,37,21,48,0.00,1,,132
2015-2-20,28,21,13,16,13,12,93,65,37,1016,1012,1007,16,16,16,39,24,48,0.00,0,,159
2015-2-21,31,24,17,18,14,10,84,62,28,1012,1010,1008,16,16,16,35,16,40,0.00,0,,134
2015-2-22,31,21,11,18,17,8,90,73,43,1023,1014,1011,16,16,13,45,21,52,0.00,5,,130
2015-2-23,11,7,3,8,3,1,93,90,76,1031,1029,1024,16,14,6,40,21,47,0.76,8,Rain,7
2015-2-24,7,4,2,2,1,1,92,81,67,1029,1024,1015,16,16,13,19,8,21,T,8,Rain,21
2015-2-25,22,12,3,2,1,0,89,62,24,1017,1014,1009,16,16,14,37,14,47,0.00,2,,344
2015-2-26,24,16,7,6,3,1,79,50,26,1025,1016,1012,16,16,16,40,18,50,0.00,1,,107
2015-2-27,8,5,2,2,1,-3,96,83,62,1027,1025,1024,16,10,4,34,19,40,0.25,8,Rain,7
2015-2-28,7,4,2,6,4,2,100,95,86,1026,1024,1022,16,5,2,23,13,27,0.25,8,Rain,347
2015-3-1,12,9,6,9,7,6,100,95,80,1026,1024,1021,16,7,2,16,9,21,T,8,Rain,5
2015-3-2,9,9,8,9,8,7,100,97,89,1026,1024,1020,16,7,2,21,10,26,0.51,8,Rain,27
2015-3-3,21,14,8,17,12,8,100,92,75,1019,1013,1007,16,10,1,26,7,32,0.25,7,Fog-Rain,88
2015-3-4,22,15,8,18,16,6,100,93,76,1020,1010,1007,16,8,1,53,8,63,0.25,7,Rain,339
2015-3-5,11,8,4,5,1,-3,89,69,48,1035,1030,1021,16,16,6,47,25,53,T,6,Rain,345
2015-3-6,11,7,3,-3,-6,-9,55,42,24,1037,1034,1031,16,16,16,32,14,37,0.00,7,,76
2015-3-7,17,10,3,3,-2,-8,82,44,19,1032,1028,1025,16,16,16,24,9,27,0.00,4,,154
2015-3-8,16,13,11,14,12,4,100,93,49,1026,1021,1015,16,14,4,29,10,32,9.14,7,Rain-Thunderstorm,176
2015-3-9,21,17,13,16,14,13,100,92,68,1015,1013,1010,16,10,1,26,8,27,6.35,7,Fog-Rain,80
2015-3-10,22,17,11,15,13,11,100,90,57,1019,1016,1013,16,7,0,19,8,26,0.00,4,Fog,45
2015-3-11,17,14,10,12,11,9,100,86,65,1024,1022,1019,16,12,1,26,13,32,0.00,4,,35
2015-3-12,24,16,8,11,9,8,100,71,36,1023,1019,1015,16,16,16,24,12,39,0.00,1,,342
