CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,12,6,-1,6,3,-1,92,76,59,1029,1026,1023,16,15,8,19,8,26,5.84,5,Rain,22
2015-1-2,14,11,7,14,9,6,100,95,89,1025,1022,1019,16,7,2,19,7,21,2.29,8,Rain,79
2015-1-3,23,18,14,20,17,14,100,92,84,1019,1015,1011,16,9,0,40,16,56,110.49,8,Rain-Thunderstorm,176
2015-1-4,18,12,5,17,8,1,100,78,55,1033,1023,1016,16,16,11,29,16,39,4.57,6,Rain,294
2015-1-5,9,4,-2,0,-3,-4,92,67,42,1038,1034,1030,16,14,0,29,12,39,0.00,1,Fog,3
2015-1-6,16,6,-3,2,-2,-4,100,63,26,1032,1030,1027,16,10,0,21,5,27,0.00,1,Fog,218
2015-1-7,8,1,-7,0,-8,-16,96,66,35,1041,1034,1028,16,16,16,45,22,58,0.00,0,,360
2015-1-8,1,-5,-11,-8,-15,-18,74,49,24,1040,1034,1028,16,16,16,32,9,42,0.00,0,,20
2015-1-9,5,0,-6,-6,-9,-12,88,59,30,1033,1031,1029,16,16,16,23,6,31,0.00,3,,347
2015-1-10,9,2,-5,-6,-11,-16,75,46,17,1035,1033,1030,16,16,16,29,10,39,0.00,0,,22
2015-1-11,12,5,-2,7,1,-6,78,61,43,1030,1027,1023,16,16,16,19,7,24,0.00,6,,88
2015-1-12,16,13,9,15,12,8,97,84,71,1024,1022,1020,16,14,5,24,11,31,2.79,8,Rain,248
2015-1-13,9,6,2,7,3,1,96,88,79,1029,1027,1025,16,14,10,26,18,34,0.00,8,,3
2015-1-14,4,3,2,1,0,-1,92,84,76,1028,1026,1024,16,14,6,19,12,23,0.00,8,,11
2015-1-15,6,2,-2,2,1,-2,92,81,70,1026,1024,1022,16,13,2,19,6,23,2.54,6,Rain,357
2015-1-16,13,4,-4,2,-2,-5,100,68,35,1027,1025,1024,16,13,2,11,1,16,0.00,0,,115
2015-1-17,17,8,-2,4,1,-2,100,65,29,1025,1021,1019,16,16,11,26,8,32,0.00,0,,193
2015-1-18,19,9,-1,5,-1,-7,100,59,18,1025,1022,1020,16,14,6,26,7,32,0.00,0,,250
2015-1-19,21,9,-3,2,-1,-5,100,60,19,1022,1020,1017,16,16,16,24,8,29,0.00,0,,207
2015-1-20,20,11,2,8,5,2,100,69,37,1018,1016,1014,16,16,14,19,5,23,0.00,1,,200
2015-1-21,18,10,2,3,1,-1,92,62,31,1023,1021,1017,16,16,13,24,10,29,0.00,0,,15
2015-1-22,13,9,6,6,2,-3,100,69,38,1026,1023,1020,16,13,4,42,20,52,28.70,7,Rain,41
2015-1-23,7,6,4,7,5,3,100,93,86,1019,1015,1012,16,12,5,32,16,43,13.21,8,Rain,352
2015-1-24,12,6,-1,3,1,-2,100,69,38,1021,1018,1015,16,13,2,26,8,35,T,3,Rain,269
2015-1-25,18,9,-1,4,1,-2,92,65,37,1016,1012,1008,16,16,16,37,15,48,0.00,1,,233
2015-1-26,12,6,1,2,1,-1,92,67,41,1020,1017,1013,16,16,16,35,14,50,0.00,4,,296
2015-1-27,19,9,-1,4,1,-2,100,62,24,1023,1019,1015,16,16,16,29,8,37,0.00,0,,336
2015-1-28,19,9,0,2,-1,-4,92,57,22,1027,1024,1023,16,16,16,14,6,21,0.00,0,,45
2015-1-29,23,13,2,10,6,1,89,65,41,1026,1023,1019,16,16,16,35,16,47,0.00,0,,227
2015-1-30,14,8,2,2,-1,-3,76,53,30,1031,1029,1027,16,16,16,40,16,52,0.00,1,,8
2015-1-31,16,7,-3,0,-4,-11,92,54,15,1029,1026,1022,16,16,16,19,7,23,0.00,0,,86
2015-2-1,20,13,6,15,11,-1,96,77,58,1021,1013,1009,16,15,3,37,18,52,9.40,7,Rain-Thunderstorm,219
2015-2-2,9,3,-3,6,-3,-5,85,67,49,1028,1022,1014,16,16,16,37,16,52,0.00,4,,326
2015-2-3,8,2,-4,-1,-3,-5,92,65,38,1030,1027,1025,16,16,16,13,4,16,0.00,0,,59
2015-2-4,10,6,1,4,1,-1,96,71,46,1024,1022,1019,16,16,16,14,5,19,T,4,Rain,349
2015-2-5,12,5,-2,4,-2,-8,100,64,27,1029,1025,1020,16,16,14,35,17,43,T,3,,1
2015-2-6,15,5,-5,-3,-8,-16,85,48,11,1031,1028,1025,16,16,16,13,2,13,0.00,0,,305
2015-2-7,20,9,-3,4,-3,-14,92,51,9,1026,1022,1020,16,16,16,32,11,40,0.00,0,,192
2015-2-8,22,13,4,12,8,4,100,74,47,1019,1016,1013,16,15,1,35,15,43,0.00,4,Fog,205
2015-2-9,22,14,5,13,8,1,100,66,31,1017,1013,1011,16,12,0,37,17,52,0.51,3,Fog-Rain,303
2015-2-10,13,6,-1,0,-1,-2,89,64,38,1019,1017,1016,16,16,11,32,15,40,0.00,3,,352
2015-2-11,20,9,-2,3,0,-3,100,63,26,1021,1019,1017,16,13,6,14,1,18,0.00,0,,344
2015-2-12,13,6,-1,2,-4,-8,85,56,26,1028,1025,1020,16,16,16,34,16,45,0.00,0,,353
2015-2-13,10,3,-4,-4,-9,-14,72,46,19,1030,1027,1024,16,16,16,23,7,27,0.00,0,,3
2015-2-14,21,9,-3,3,-1,-5,92,59,26,1025,1022,1019,16,15,10,27,8,39,0.00,0,,234
2015-2-15,10,6,2,2,-9,-15,92,55,18,1027,1024,1021,16,16,16,29,16,35,0.00,1,,45
2015-2-16,19,9,-1,15,5,-10,100,65,30,1020,1012,1006,16,13,2,47,15,63,23.88,8,Rain,289
2015-2-17,4,1,-3,-3,-6,-7,100,72,44,1022,1019,1017,16,16,16,34,15,42,0.00,5,,338
2015-2-18,9,2,-4,-3,-9,-14,88,55,21,1028,1024,1021,16,16,16,45,17,61,0.00,0,,298
2015-2-19,4,-1,-7,-9,-15,-19,68,44,19,1033,1030,1028,16,16,16,23,11,34,0.00,1,,7
2015-2-20,11,3,-6,6,-6,-16,71,50,29,1029,1024,1019,16,16,16,37,13,48,0.00,7,,130
2015-2-21,19,15,10,14,11,6,83,68,52,1019,1017,1014,16,15,3,50,28,63,16.26,8,Rain-Thunderstorm,176
2015-2-22,14,9,4,13,10,4,100,95,89,1026,1020,1017,16,11,2,27,14,35,16.51,8,Rain-Thunderstorm,14
2015-2-23,4,2,0,4,1,-2,100,88,76,1030,1027,1025,16,13,5,32,20,39,11.18,8,Rain,9
2015-2-24,3,1,-2,0,-1,-3,100,91,82,1024,1022,1017,16,13,3,24,11,40,0.25,8,Rain,341
2015-2-25,2,2,1,2,1,-2,100,91,82,1016,1012,1007,16,11,3,24,10,27,26.92,7,Rain-Snow,16
2015-2-26,9,4,-1,1,-1,-3,100,73,45,1027,1019,1011,16,16,13,29,16,39,0.00,5,,338
2015-2-27,9,4,-1,-2,-4,-7,85,62,38,1032,1030,1027,16,16,16,29,18,37,0.00,4,,20
2015-2-28,18,9,1,7,-2,-7,82,53,24,1033,1030,1027,16,16,16,26,10,39,0.00,1,,89
2015-3-1,14,12,10,12,11,7,100,89,77,1029,1027,1026,16,14,3,24,8,27,11.18,8,Rain,130
2015-3-2,15,13,11,13,12,11,100,94,87,1028,1025,1023,16,7,0,16,8,23,3.81,8,Fog-Rain,35
2015-3-3,24,18,11,19,14,11,100,84,68,1022,1019,1015,16,9,0,27,12,35,0.25,8,Fog-Rain,179
2015-3-4,27,18,9,19,17,8,100,77,54,1016,1014,1011,16,15,10,37,17,45,3.05,7,Rain,188
2015-3-5,9,3,-3,7,0,-8,100,85,69,1033,1024,1014,16,14,6,37,24,47,13.21,7,Rain-Snow,351
2015-3-6,11,2,-6,-4,-8,-11,85,54,22,1035,1033,1031,16,16,16,26,15,35,0.00,0,,1
2015-3-7,18,7,-6,0,-5,-10,96,55,13,1033,1030,1028,16,16,16,14,4,18,0.00,0,,16
2015-3-8,20,9,-1,6,0,-7,92,54,16,1027,1025,1022,16,16,16,26,7,31,T,4,Rain,328
2015-3-9,15,12,8,14,10,6,100,89,77,1023,1020,1016,16,13,3,21,9,24,35.31,8,Rain,51
2015-3-10,25,20,15,19,17,14,100,82,64,1019,1016,1014,16,15,8,35,14,43,4.32,7,Rain,179
2015-3-11,23,19,15,17,16,14,100,82,64,1023,1020,1018,16,14,1,24,9,29,0.25,7,Fog-Rain,15
2015-3-12,23,19,14,19,16,13,93,83,73,1023,1022,1020,16,16,8,23,12,27,0.76,8,Rain,85
2015-3-13,21,18,16,19,18,16,100,92,84,1020,1017,1015,16,14,4,27,15,37,15.75,8,Rain,133
2015-3-14,19,15,11,17,15,12,100,87,73,1021,1017,1014,16,14,1,19,8,26,T,7,Rain,204
2015-3-15,24,17,10,16,12,10,100,73,46,1025,1023,1021,16,6,0,14,3,19,0.00,5,Fog,326
2015-3-16,29,19,9,14,11,9,100,67,34,1024,1022,1018,16,12,2,23,4,31,0.00,2,,295
2015-3-17,28,19,11,14,13,11,100,70,39,1020,1018,1016,16,16,14,29,7,40,0.00,0,,275
2015-3-18,27,21,14,16,13,11,100,70,39,1020,1017,1014,16,16,11,26,9,37,3.05,3,Rain,11
2015-3-19,27,21,14,17,15,14,100,74,48,1018,1016,1015,16,11,1,35,11,68,0.00,6,Fog-Thunderstorm,261
2015-3-20,27,21,14,18,16,14,93,74,54,1021,1019,1017,16,16,11,26,10,32,T,7,Rain,336
2015-3-21,16,14,12,14,13,11,100,92,84,1022,1020,1018,16,14,5,27,12,34,18.80,8,Rain,35
2015-3-22,17,15,12,16,13,11,100,95,90,1018,1014,1011,16,12,3,16,8,21,13.21,8,Rain,31
2015-3-23,18,14,10,13,12,10,100,84,67,1019,1016,1013,16,14,2,24,11,31,0.00,7,,1
2015-3-24,20,14,8,13,11,8,100,82,63,1021,1019,1017,16,6,0,21,6,26,0.00,6,Fog,105
