MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-7,-12,-18,-9,-12,-19,92,83,73,1025,1018,1015,16,7,2,21,5,26,0.25,7,Snow,56
2015-1-2,-3,-10,-17,-9,-13,-17,96,78,60,1028,1023,1020,16,13,4,19,6,19,T,3,Snow,128
2015-1-3,-4,-10,-16,-8,-12,-18,91,78,65,1031,1024,1020,16,16,10,19,7,19,0.00,5,,134
2015-1-4,-1,-8,-17,-6,-11,-17,96,73,49,1038,1035,1031,16,16,11,16,8,18,0.00,4,,155
2015-1-5,2,-6,-13,-7,-9,-14,92,72,52,1039,1037,1035,16,15,8,16,7,19,0.00,1,,139
2015-1-6,6,-2,-9,-4,-7,-11,92,69,46,1041,1037,1033,16,16,11,16,5,18,0.00,1,,153
2015-1-7,8,1,-8,-1,-4,-9,92,71,49,1038,1034,1029,16,16,13,14,7,16,0.00,0,,155
2015-1-8,8,1,-7,-2,-5,-8,92,73,53,1029,1025,1022,16,16,14,16,9,32,0.00,0,,150
2015-1-9,7,0,-7,-2,-5,-8,92,71,49,1026,1023,1021,16,16,14,16,10,19,0.00,0,,150
2015-1-10,7,1,-6,-2,-4,-7,92,73,53,1023,1020,1017,16,16,14,16,9,19,0.00,2,,150
2015-1-11,2,1,-1,1,0,-2,100,93,85,1024,1022,1017,16,8,0,14,2,16,0.51,8,Fog-Rain-Snow,353
2015-1-12,6,2,-2,1,-2,-4,96,77,57,1026,1023,1019,16,14,3,14,6,18,T,6,Rain,128
2015-1-13,4,2,0,1,1,-1,100,93,85,1021,1019,1017,16,11,0,11,4,14,T,8,Fog-Snow,327
2015-1-14,4,2,-1,1,-1,-2,100,82,64,1028,1023,1021,16,13,1,13,2,16,0.00,8,,331
2015-1-15,7,2,-4,-2,-5,-7,85,63,41,1034,1031,1028,16,16,16,21,6,26,0.00,2,,132
2015-1-16,7,0,-7,-3,-6,-9,88,61,33,1031,1027,1022,16,16,16,26,8,32,0.00,1,,129
2015-1-17,8,2,-5,-2,-5,-8,88,64,40,1032,1029,1024,16,16,16,21,9,23,0.00,0,,160
2015-1-18,8,1,-6,-6,-8,-9,81,56,31,1033,1030,1027,16,16,14,16,9,21,0.00,0,,141
2015-1-19,8,1,-6,-4,-6,-8,92,67,41,1029,1025,1021,16,16,16,24,9,40,0.00,2,,114
2015-1-20,8,2,-6,-3,-5,-7,96,65,34,1025,1022,1019,16,16,16,16,8,21,0.00,2,,140
2015-1-21,4,-1,-7,-4,-9,-18,84,53,22,1025,1021,1019,16,16,16,42,12,52,0.00,4,,269
2015-1-22,2,-4,-11,-12,-13,-16,84,57,29,1033,1031,1026,16,16,16,19,8,21,0.00,0,,139
2015-1-23,4,-3,-11,-12,-14,-16,73,48,22,1034,1031,1028,16,16,16,19,10,21,0.00,0,,144
