CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-1,-4,-7,-7,-8,-11,84,74,63,1019,1015,1010,16,13,3,37,16,48,T,8,Snow,304
2015-1-2,0,-7,-14,-3,-9,-17,92,82,72,1017,1011,1005,16,10,1,37,21,47,0.25,8,Fog-Snow,22
2015-1-3,-13,-18,-23,-17,-23,-27,87,72,56,1037,1024,1010,16,9,1,48,27,58,T,6,Snow,333
2015-1-4,-21,-24,-27,-24,-29,-32,75,66,57,1040,1037,1031,16,14,3,39,25,47,T,2,Snow,274
2015-1-5,-18,-22,-27,-22,-26,-31,79,69,59,1036,1028,1020,16,13,2,27,13,34,T,3,Snow,229
2015-1-6,-17,-19,-22,-22,-24,-26,72,65,58,1050,1037,1029,16,14,5,48,33,60,T,2,Snow,283
2015-1-7,-13,-19,-24,-19,-25,-28,72,63,53,1053,1043,1017,16,16,16,37,20,47,0.00,1,,222
2015-1-8,-9,-14,-19,-12,-17,-23,83,73,62,1033,1019,1008,16,5,0,66,45,87,T,7,Snow,293
2015-1-9,-16,-18,-21,-23,-24,-26,65,61,56,1033,1029,1021,16,16,14,52,27,64,T,1,Snow,257
2015-1-10,-16,-19,-22,-22,-24,-26,72,62,51,1025,1021,1015,16,16,16,32,13,35,0.00,2,,287
2015-1-11,-13,-17,-22,-19,-22,-26,76,63,50,1040,1030,1024,16,16,16,32,15,35,0.00,2,,289
2015-1-12,-15,-22,-28,-22,-25,-31,81,70,59,1044,1040,1032,16,16,16,27,14,37,0.00,0,,185
2015-1-13,-6,-12,-18,-10,-16,-23,77,70,62,1031,1026,1021,16,16,14,35,21,43,0.00,0,,233
2015-1-14,1,-4,-9,-6,-8,-12,80,70,59,1025,1018,1014,16,16,11,42,22,55,T,3,Snow,237
2015-1-15,3,-1,-6,-3,-6,-7,88,76,64,1018,1016,1013,16,15,8,40,17,50,0.00,2,,264
2015-1-16,4,-3,-9,-2,-8,-11,96,78,59,1016,1008,998,16,8,0,34,21,43,0.00,6,Fog,134
2015-1-17,3,1,-2,-1,-3,-6,89,72,54,1009,1004,996,16,14,2,63,36,77,T,3,Snow,269
2015-1-18,2,-3,-8,-3,-6,-10,92,74,56,1012,1010,1007,16,14,2,24,11,31,0.25,3,Snow,193
2015-1-19,3,-1,-6,-1,-4,-7,96,83,70,1014,1009,1007,16,9,2,26,14,31,T,6,Rain-Snow,300
2015-1-20,0,-2,-5,-2,-4,-7,92,85,78,1021,1015,1012,13,5,1,23,13,27,0.76,8,Fog-Rain-Snow,308
2015-1-21,-4,-7,-10,-7,-9,-12,88,81,74,1028,1025,1020,16,13,2,26,13,31,T,6,Snow,282
2015-1-22,5,-1,-6,-2,-6,-9,84,68,52,1024,1016,1011,16,16,16,42,28,55,T,5,Snow,219
2015-1-23,7,4,1,-1,-2,-3,82,70,57,1017,1015,1011,16,16,16,37,24,48,0.00,0,,259
2015-1-24,2,1,-1,-1,-2,-3,92,84,75,1012,1006,1002,16,5,1,32,13,37,3.56,7,Rain-Snow,328
2015-1-25,4,0,-5,0,-4,-7,92,81,70,1018,1013,1007,16,8,3,39,13,50,T,7,Snow,344
2015-1-26,7,3,-2,1,-1,-3,92,77,62,1015,1013,1009,16,16,16,35,17,48,0.00,1,,265
2015-1-27,9,3,-3,3,-1,-4,92,77,61,1014,1011,1010,16,16,11,16,8,21,0.00,0,,193
2015-1-28,-1,-2,-3,-2,-3,-6,100,93,85,1027,1013,1007,16,7,0,40,23,55,T,7,Fog,316
2015-1-29,-2,-7,-12,-7,-10,-13,88,78,67,1036,1032,1027,16,13,3,45,21,56,T,7,Snow,330
2015-1-30,3,-3,-10,-3,-7,-12,88,76,63,1030,1024,1020,16,13,8,40,21,48,0.00,5,,293
2015-1-31,-7,-14,-23,-9,-18,-28,88,73,57,1038,1030,1024,16,9,1,29,22,37,T,8,Snow,27
2015-2-1,-15,-20,-25,-21,-26,-28,72,62,51,1039,1033,1021,16,16,16,23,13,31,0.00,1,,257
2015-2-2,-11,-14,-17,-17,-18,-20,76,69,61,1022,1019,1016,16,16,16,32,16,39,0.00,3,,294
2015-2-3,-12,-15,-18,-16,-17,-21,86,80,73,1026,1017,1013,16,6,1,29,10,39,0.25,7,Snow,344
2015-2-4,-12,-17,-22,-17,-22,-25,79,68,57,1034,1028,1018,16,16,14,42,21,60,T,1,,233
2015-2-5,-2,-7,-12,-10,-13,-16,80,63,46,1017,1016,1014,16,16,16,45,13,56,T,2,,278
2015-2-6,-7,-9,-13,-10,-13,-16,88,78,67,1017,1011,1004,16,10,3,32,20,40,T,6,Snow,90
2015-2-7,7,-3,-13,-1,-11,-15,92,73,53,1010,1005,999,16,12,8,35,16,40,0.00,5,,26
2015-2-8,-8,-11,-13,-11,-13,-15,92,84,76,1026,1016,1008,14,5,1,19,11,24,T,8,Fog-Rain-Snow,66
2015-2-9,-7,-9,-11,-9,-11,-13,92,86,80,1027,1021,1013,6,3,0,29,15,37,T,8,Fog-Snow,82
