MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-4,-7,-8,-4,-6,-8,100,100,100,1023,1020,1017,13,6,1,0,0,,0.00,8,Fog,-1
2015-1-2,-1,-3,-4,-1,-3,-4,100,100,100,1020,1016,1013,16,6,1,16,6,,5.08,8,Fog-Rain-Snow,28
2015-1-3,7,0,-7,2,-3,-7,100,93,57,1023,1014,1010,16,12,0,42,13,50,0.00,3,Fog,247
2015-1-4,4,-1,-5,-2,-3,-8,100,90,56,1034,1030,1023,16,14,5,35,18,37,0.00,1,,94
2015-1-5,14,3,-7,2,-2,-7,100,85,29,1032,1029,1026,16,11,0,24,10,29,0.00,1,Fog,203
2015-1-6,12,4,-2,2,0,-3,100,83,47,1030,1028,1026,16,16,13,23,8,,0.00,0,,307
2015-1-7,3,-1,-5,2,-6,-12,100,81,59,1042,1037,1029,16,15,10,40,16,53,0.00,5,,12
2015-1-8,7,0,-6,0,-5,-10,100,75,49,1037,1026,1019,16,16,16,26,6,27,0.00,2,,207
2015-1-9,3,-1,-4,0,-4,-9,93,75,60,1033,1029,1022,16,16,13,39,18,48,0.25,5,Rain-Snow,71
2015-1-10,3,-2,-7,0,-4,-9,100,89,48,1028,1023,1018,16,15,6,24,6,34,0.00,1,,177
2015-1-11,17,7,-3,5,0,-3,100,78,37,1020,1018,1016,16,12,0,24,13,34,0.00,2,Fog,241
2015-1-12,7,2,-2,2,-1,-3,100,91,61,1030,1026,1020,16,11,3,37,18,45,0.00,5,,18
2015-1-13,-2,-3,-4,-2,-3,-23,100,98,21,1029,1027,1024,8,4,1,16,11,,0.00,8,Fog,95
2015-1-14,2,0,-2,2,0,-2,100,97,87,1026,1025,1023,16,11,2,10,3,,0.00,8,Snow,41
2015-1-15,13,4,-3,1,-2,-4,100,77,33,1029,1027,1025,16,16,16,14,10,,0.00,2,,304
2015-1-16,15,6,-3,-3,-6,-9,93,61,19,1028,1023,1018,16,16,16,24,14,34,0.00,0,,244
2015-1-17,17,9,1,-5,-7,-9,56,39,19,1029,1023,1016,16,16,14,50,19,63,0.00,0,,285
2015-1-18,19,8,-2,-4,-6,-7,69,44,17,1029,1024,1020,16,16,16,26,13,37,0.00,0,,235
2015-1-19,22,13,5,-3,-4,-5,57,39,16,1021,1018,1015,16,16,16,27,18,,0.00,0,,291
2015-1-20,18,10,3,0,-3,-4,65,47,26,1021,1018,1014,16,16,16,26,16,37,0.00,0,,3
2015-1-21,7,3,0,4,1,-3,100,87,61,1022,1020,1017,16,14,3,32,16,40,1.27,5,Rain,55
2015-1-22,0,-1,-3,0,-1,-3,100,100,100,1028,1025,1020,16,6,2,37,27,53,11.18,7,Rain-Snow,20
2015-1-23,6,-1,-8,0,-4,-8,100,87,53,1027,1025,1023,16,15,6,24,14,40,0.00,1,Rain-Snow,288
2015-1-24,12,6,-1,0,-3,-5,87,66,33,1026,1022,1018,16,16,16,23,16,,0.00,0,,269
2015-1-25,14,7,0,0,-3,-5,93,63,29,1026,1024,1019,16,16,16,23,11,,0.00,0,,290
2015-1-26,19,9,0,0,-2,-5,87,62,19,1027,1025,1024,16,16,16,16,13,,0.00,0,,270
2015-1-27,22,12,2,2,1,-5,87,61,17,1026,1023,1022,16,16,16,19,10,,0.00,0,,287
2015-1-28,23,14,6,6,3,1,87,62,25,1023,1021,1018,16,16,16,24,13,40,0.00,0,,256
2015-1-29,13,8,3,3,-1,-5,93,59,33,1033,1028,1021,16,16,16,37,14,48,0.00,1,,30
2015-1-30,6,4,3,3,-1,-5,100,73,46,1031,1026,1021,16,14,6,24,13,,0.00,7,Rain,81
2015-1-31,8,6,3,8,6,3,100,100,100,1020,1014,1011,14,5,0,93,14,,0.25,8,Fog-Rain,150
2015-2-1,9,6,2,6,3,-3,100,87,58,1026,1019,1011,16,11,0,34,16,40,0.00,7,Fog,29
2015-2-2,11,4,-2,3,-1,-5,100,79,46,1026,1022,1018,16,16,16,29,14,37,0.00,3,,153
2015-2-3,18,8,-2,5,2,-2,100,84,30,1021,1018,1016,16,16,16,26,5,27,0.00,0,,189
2015-2-4,22,10,-2,4,1,-3,100,85,22,1029,1020,1015,16,14,8,53,18,63,0.00,3,,319
2015-2-5,11,4,-2,0,-1,-2,100,88,41,1029,1027,1024,16,13,5,24,14,,0.00,4,,238
2015-2-6,23,11,-1,4,-1,-8,100,69,12,1026,1023,1020,16,13,8,26,11,35,0.00,0,,222
2015-2-7,25,15,5,3,-3,-5,81,37,13,1020,1016,1013,16,16,16,29,16,42,0.00,0,,256
2015-2-8,23,14,7,0,-4,-6,61,33,15,1022,1018,1014,16,16,16,45,19,53,0.00,0,,298
2015-2-9,24,13,3,0,-3,-7,75,42,12,1024,1020,1017,16,16,16,29,13,39,0.00,0,,206
2015-2-10,25,14,4,1,-2,-5,75,41,13,1017,1015,1012,16,16,16,16,10,,0.00,0,,212
2015-2-11,10,7,3,4,2,0,100,79,54,1030,1022,1012,16,14,2,47,21,53,0.00,5,Rain,8
2015-2-12,11,6,0,0,-4,-12,87,56,22,1032,1029,1026,16,16,16,24,16,26,0.00,3,,6
2015-2-13,19,10,1,3,-1,-5,76,54,24,1027,1025,1023,16,16,16,19,6,,0.00,0,,213
2015-2-14,21,12,3,7,4,2,100,70,31,1026,1023,1019,16,16,16,23,5,27,0.00,0,,184
2015-2-15,24,12,0,10,4,-7,100,69,27,1019,1015,1009,16,16,11,47,18,60,0.00,1,,194
2015-2-16,8,3,-2,0,-4,-8,100,64,40,1022,1019,1015,16,14,0,45,27,58,6.86,2,Rain-Snow,36
2015-2-17,7,2,-2,2,-1,-2,100,93,61,1025,1023,1021,16,15,3,14,10,,0.25,4,Snow,162
2015-2-18,18,8,-2,3,-2,-8,100,71,16,1025,1023,1020,16,16,16,32,11,35,0.00,0,,156
2015-2-19,22,11,0,3,1,-3,93,64,19,1025,1019,1013,16,16,16,19,5,,0.00,0,,195
2015-2-20,24,13,3,4,-3,-10,100,45,10,1013,1010,1007,16,16,16,29,14,37,0.00,0,,241
2015-2-21,17,10,3,3,1,-7,81,56,22,1017,1013,1009,16,16,16,37,19,48,0.00,0,,78
2015-2-22,6,-1,-7,4,-1,-7,100,98,81,1030,1023,1013,16,11,4,40,23,50,0.00,6,Rain-Snow,41
2015-2-23,-5,-7,-8,-6,-7,-9,100,95,86,1032,1028,1024,16,11,4,26,14,29,0.00,8,Rain-Snow,24
2015-2-24,5,0,-5,-2,-4,-6,100,79,61,1024,1019,1013,16,16,13,19,3,,0.00,4,,334
2015-2-25,18,8,-2,0,-4,-7,100,54,19,1015,1012,1008,16,16,13,34,13,39,0.00,1,,298
2015-2-26,7,1,-5,3,-5,-11,100,72,59,1024,1021,1014,16,16,11,42,21,55,0.00,7,Rain-Snow,47
2015-2-27,-5,-7,-9,-7,-8,-11,100,95,63,1025,1022,1021,16,9,2,24,19,27,0.51,8,Rain-Snow,90
2015-2-28,-1,-6,-9,-1,-4,-9,100,100,100,1022,1020,1018,10,3,0,14,11,,0.00,8,Fog,122
2015-3-1,5,1,-2,5,0,-2,100,100,100,1027,1023,1020,16,5,0,23,5,,0.00,8,Fog,61
2015-3-2,4,1,-2,3,1,-2,100,100,87,1027,1022,1016,16,8,1,23,14,,0.00,7,Fog,112
2015-3-3,17,10,3,10,6,3,100,89,45,1015,1012,1010,16,10,0,21,11,,0.00,5,Fog-Rain,174
2015-3-4,10,2,-5,10,2,-6,100,99,86,1029,1018,1010,16,14,2,48,18,53,0.00,7,Rain-Snow,42
2015-3-5,4,-1,-5,-2,-5,-9,100,83,52,1034,1031,1030,16,16,10,24,16,,0.00,3,Rain,185
2015-3-6,13,4,-5,-1,-3,-7,100,75,25,1031,1028,1026,16,15,10,19,8,,0.00,0,,179
2015-3-7,14,7,-1,2,0,-3,100,71,38,1028,1024,1021,16,16,16,24,6,32,0.00,0,,133
2015-3-8,20,10,0,9,4,-3,100,73,35,1020,1017,1014,16,16,10,16,5,,0.00,1,Rain,108
2015-3-9,15,9,3,10,6,3,100,90,55,1017,1016,1014,16,16,13,21,11,29,0.00,1,,29
2015-3-10,19,11,3,9,5,3,100,84,35,1022,1019,1015,16,9,0,34,3,32,4.06,4,Fog-Rain-Thunderstorm,140
2015-3-11,20,11,3,9,4,0,100,75,26,1026,1024,1022,16,16,16,16,5,,0.00,0,,69
2015-3-12,18,10,2,6,1,-3,100,62,24,1026,1023,1019,16,16,16,14,3,,0.00,0,,119
2015-3-13,21,12,3,3,0,-4,93,58,21,1023,1020,1019,16,16,11,27,8,42,0.00,1,,349
2015-3-14,19,11,3,0,-2,-6,61,47,21,1028,1025,1023,16,16,16,32,16,45,0.00,1,,3
2015-3-15,19,9,0,-2,-5,-9,70,45,15,1029,1027,1025,16,16,16,14,10,,0.00,0,,359
2015-3-16,23,14,5,8,2,-2,87,53,28,1026,1023,1020,16,16,16,21,6,29,0.00,0,,160
2015-3-17,14,10,6,12,8,4,100,90,67,1024,1022,1020,16,15,4,40,13,50,0.00,7,Rain,1
2015-3-18,16,10,5,12,7,5,100,93,63,1022,1018,1013,16,16,13,21,11,,0.00,5,,196
2015-3-19,23,16,8,13,9,4,100,81,29,1020,1015,1013,16,13,1,39,13,45,0.00,3,Fog,226
2015-3-20,16,11,7,9,8,5,100,91,51,1026,1023,1021,16,15,5,37,21,47,0.00,5,Rain,19
2015-3-21,12,9,7,12,9,7,100,99,88,1023,1021,1018,16,11,3,13,3,,0.00,4,Rain,214
2015-3-22,26,14,3,12,4,-7,100,68,11,1020,1018,1016,16,10,0,24,10,29,0.00,3,Fog,236
2015-3-23,28,18,8,4,1,-4,66,43,12,1019,1017,1014,16,16,16,27,13,40,0.00,0,,236
2015-3-24,26,17,9,1,-3,-8,54,33,10,1017,1015,1013,16,16,16,37,13,45,0.00,0,,238
2015-3-25,26,16,6,1,-3,-7,62,37,11,1022,1014,1011,16,14,6,61,19,76,0.00,0,,251
2015-3-26,16,8,1,1,-4,-10,93,51,16,1028,1025,1022,16,16,13,45,24,61,0.00,1,,320
2015-3-27,25,13,2,-2,-4,-7,65,37,12,1024,1022,1019,16,16,16,19,10,29,0.00,0,,218
2015-3-28,29,17,6,2,-3,-7,66,33,9,1020,1018,1016,16,16,16,26,13,34,0.00,0,,231
2015-3-29,29,17,5,2,-2,-6,70,30,12,1023,1019,1016,16,16,16,40,13,50,0.00,0,,38
2015-3-30,23,16,8,9,5,-1,77,53,34,1025,1022,1019,16,16,16,23,11,,0.00,0,,157
2015-3-31,28,18,9,14,7,2,100,62,21,1019,1016,1013,16,16,14,32,8,40,0.00,1,,205
2015-4-1,28,18,8,7,2,-2,81,41,14,1014,1012,1009,16,16,16,26,14,34,0.00,0,,221
2015-4-2,29,19,10,3,-1,-3,50,28,12,1015,1012,1010,16,16,16,39,19,53,0.00,0,,232
2015-4-3,18,11,5,1,-1,-4,70,40,29,1028,1022,1014,16,15,6,45,21,53,0.00,0,,27
2015-4-4,13,9,5,0,-2,-5,66,47,30,1029,1025,1019,16,16,16,29,19,35,0.00,2,,110
2015-4-5,28,17,7,9,2,-2,87,49,14,1019,1014,1010,16,16,16,29,10,40,0.00,0,,194
2015-4-6,29,19,10,17,7,-3,100,60,13,1015,1013,1011,16,15,8,35,16,50,0.00,0,,203
2015-4-7,30,21,12,17,6,-4,100,57,11,1016,1014,1013,16,10,0,39,14,52,0.00,2,Fog,207
2015-4-8,30,22,14,17,10,0,100,65,14,1015,1011,1007,16,12,1,42,18,55,0.00,2,Fog,192
2015-4-9,24,17,9,14,-1,-12,100,45,8,1020,1014,1010,16,14,0,32,13,42,0.00,0,Fog,215
2015-4-10,22,14,7,7,3,0,71,50,31,1023,1020,1016,16,16,16,29,21,39,0.00,0,,89
2015-4-11,28,18,9,15,9,2,100,68,19,1019,1015,1011,16,16,10,29,14,42,0.00,1,Rain-Thunderstorm,140
2015-4-12,26,19,13,16,14,8,100,92,32,1013,1012,1009,16,13,3,39,16,39,0.00,3,Rain-Thunderstorm,191
2015-4-13,13,10,8,13,11,7,100,99,87,1024,1017,1011,16,12,3,53,16,71,2.54,7,Rain-Thunderstorm,358
2015-4-14,17,11,5,9,6,3,100,77,42,1025,1021,1017,16,16,16,21,11,,0.00,3,,39
2015-4-15,25,16,7,10,7,3,100,68,25,1017,1013,1010,16,16,14,29,13,42,0.00,1,,167
