CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,3,-4,-11,-7,-11,-14,84,66,47,1022,1019,1016,16,16,16,35,19,42,0.00,1,,248
2015-1-2,1,-5,-11,-4,-7,-11,96,79,61,1027,1023,1017,16,16,13,14,7,18,T,2,,106
2015-1-3,1,-1,-2,1,-1,-4,100,86,72,1018,1012,1009,13,5,0,23,8,26,T,8,Fog-Snow,29
2015-1-4,-1,-10,-20,-2,-13,-23,92,78,63,1038,1022,1011,16,9,1,48,33,61,2.54,5,Snow,314
2015-1-5,-14,-18,-22,-16,-18,-24,88,77,65,1040,1032,1025,16,7,0,26,14,35,0.00,4,Fog-Snow,160
2015-1-6,-13,-18,-23,-16,-19,-24,100,87,73,1034,1030,1024,16,9,2,53,22,61,0.25,4,Snow,320
2015-1-7,-16,-21,-26,-19,-24,-28,91,78,64,1048,1043,1033,16,12,5,45,27,56,0.00,2,Snow,309
2015-1-8,-6,-16,-26,-8,-16,-28,87,76,64,1039,1018,1009,16,8,1,61,33,77,0.76,6,Fog-Snow,243
2015-1-9,-13,-17,-21,-17,-20,-23,87,78,68,1033,1028,1021,16,12,2,64,28,79,T,4,Snow,291
2015-1-10,-4,-13,-23,-11,-17,-24,92,74,55,1032,1026,1021,16,16,16,37,16,47,0.00,2,,184
2015-1-11,-1,-6,-11,-7,-11,-13,80,69,58,1026,1024,1022,16,16,16,21,10,24,0.00,0,,241
2015-1-12,-8,-14,-20,-11,-16,-22,87,73,58,1043,1036,1025,16,16,13,34,19,42,0.00,1,,342
2015-1-13,-7,-14,-22,-12,-17,-24,96,79,62,1043,1038,1032,16,15,11,19,9,19,0.00,1,,83
2015-1-14,-3,-9,-16,-8,-11,-16,96,85,74,1031,1026,1022,16,13,8,21,10,24,0.00,6,,199
2015-1-15,2,-3,-9,-2,-6,-9,100,85,69,1021,1019,1016,16,13,6,26,15,32,0.00,0,,247
2015-1-16,4,-2,-8,-1,-4,-9,100,85,70,1021,1017,1009,16,10,0,26,14,34,0.00,0,Fog,160
2015-1-17,6,3,1,1,0,-1,89,80,70,1008,1005,1003,16,16,16,40,26,53,T,4,,254
2015-1-18,6,1,-4,0,-2,-5,92,77,62,1017,1013,1008,16,16,16,32,17,40,0.00,0,,285
2015-1-19,6,0,-6,1,-2,-5,100,85,70,1017,1014,1011,16,15,11,26,10,32,T,3,Rain,152
2015-1-20,4,1,-2,2,1,-2,100,93,85,1016,1013,1010,16,12,6,27,13,32,0.00,6,,311
2015-1-21,2,0,-2,1,-1,-3,100,95,89,1027,1020,1013,14,8,2,32,20,37,0.25,8,Rain-Snow,293
2015-1-22,-1,-2,-3,-3,-4,-6,92,82,72,1033,1030,1026,16,14,10,23,12,27,0.00,8,,301
2015-1-23,4,-1,-6,-2,-4,-7,92,76,59,1028,1019,1011,16,14,10,29,17,37,0.00,3,,216
2015-1-24,9,2,-5,2,-1,-5,100,80,60,1010,1007,1002,16,15,11,24,12,29,0.00,1,,259
2015-1-25,2,-3,-8,1,-4,-9,100,88,75,1019,1011,1001,16,11,1,42,20,56,2.03,7,Fog-Rain-Snow,46
2015-1-26,4,-1,-7,2,-3,-9,92,85,77,1019,1012,1009,16,14,4,24,13,31,0.25,7,Snow,207
2015-1-27,1,-1,-3,-1,-3,-5,100,89,78,1024,1021,1015,16,14,8,26,12,32,0.00,6,,62
2015-1-28,4,0,-4,0,-2,-4,100,88,75,1023,1015,1006,16,9,2,34,20,47,0.00,4,,132
2015-1-29,2,-2,-5,1,-3,-9,100,83,66,1032,1020,1007,16,12,4,48,33,63,T,7,,322
2015-1-30,-1,-6,-11,-7,-11,-12,88,68,47,1035,1032,1027,16,16,16,27,10,32,0.00,0,,247
2015-1-31,4,-1,-6,2,-1,-8,100,89,78,1026,1021,1016,16,8,1,23,12,27,9.40,7,Rain-Snow,182
2015-2-1,0,-6,-12,0,-6,-15,100,90,80,1022,1014,1010,14,2,0,52,34,63,5.59,8,Fog-Snow,41
2015-2-2,-12,-17,-22,-14,-18,-22,91,82,73,1027,1024,1021,16,16,14,23,13,26,0.00,2,Snow,259
2015-2-3,-6,-11,-17,-7,-12,-17,100,92,83,1021,1019,1015,16,11,6,26,9,34,T,5,,142
2015-2-4,-8,-14,-21,-10,-13,-23,100,84,67,1034,1025,1017,16,11,2,39,21,52,T,4,Snow,329
2015-2-5,-11,-18,-26,-15,-20,-26,100,84,67,1034,1030,1024,16,16,14,27,13,32,0.00,1,,212
2015-2-6,-1,-7,-14,-4,-9,-17,100,85,69,1024,1018,1012,16,13,4,19,11,23,0.00,0,,147
2015-2-7,6,-1,-8,2,-2,-8,100,88,76,1012,1007,1002,13,8,1,24,11,29,0.00,0,,177
2015-2-8,5,2,-2,2,0,-3,100,91,82,1019,1009,1001,10,6,4,29,15,34,0.00,5,,1
2015-2-9,-2,-5,-8,-4,-6,-9,100,85,69,1026,1023,1020,16,13,8,27,10,32,0.00,7,,29
2015-2-10,-1,-5,-9,-3,-7,-11,100,88,75,1025,1021,1016,14,10,6,34,14,42,T,4,,154
2015-2-11,2,-6,-13,0,-7,-18,92,80,67,1028,1021,1015,16,14,5,58,36,74,T,6,Snow,300
2015-2-12,-11,-13,-17,-16,-18,-21,88,75,61,1038,1034,1029,16,16,11,52,19,61,T,0,,317
2015-2-13,-1,-8,-14,-5,-10,-16,88,76,63,1029,1021,1016,16,16,16,37,18,48,0.00,4,,224
2015-2-14,-5,-11,-17,-8,-18,-23,88,72,55,1036,1027,1016,16,16,16,63,32,79,0.00,2,,335
2015-2-15,-13,-15,-17,-17,-21,-24,73,64,55,1037,1034,1029,16,16,16,24,14,27,0.00,6,,95
2015-2-16,-7,-11,-16,-11,-14,-17,91,71,51,1028,1022,1016,16,16,13,37,9,42,0.00,5,,260
2015-2-17,-7,-11,-15,-13,-14,-17,92,77,61,1019,1016,1013,16,13,3,39,23,47,T,5,Snow,302
2015-2-18,-14,-17,-21,-18,-22,-24,86,74,62,1029,1022,1013,16,15,4,45,27,56,T,2,Snow,311
2015-2-19,-14,-19,-24,-20,-23,-26,79,64,49,1033,1030,1027,16,16,16,16,8,23,0.00,1,,294
2015-2-20,-1,-8,-15,-5,-12,-20,81,67,53,1026,1016,1010,16,16,13,34,19,42,T,7,,167
2015-2-21,-1,-5,-10,-3,-6,-14,100,86,71,1027,1016,1010,16,10,4,34,18,42,T,7,Snow,309
2015-2-22,-10,-15,-20,-14,-21,-23,83,69,55,1043,1036,1028,16,16,16,39,25,47,0.00,0,,330
2015-2-23,-12,-18,-24,-19,-22,-27,83,67,50,1044,1037,1024,16,16,16,26,12,34,0.00,0,,240
2015-2-24,3,-5,-13,-4,-11,-19,74,65,56,1022,1012,1008,16,16,16,45,29,55,0.00,3,,268
2015-2-25,-7,-8,-11,-9,-12,-14,92,74,56,1021,1014,1010,16,7,0,39,21,48,1.78,8,Fog-Snow,61
2015-2-26,-11,-17,-24,-14,-20,-26,78,71,63,1035,1029,1022,16,16,13,35,22,40,T,2,,331
2015-2-27,-14,-21,-29,-18,-24,-29,91,80,68,1040,1038,1035,16,16,11,16,7,18,0.00,0,,292
2015-2-28,-8,-17,-25,-12,-18,-27,100,76,51,1040,1035,1030,16,11,2,24,10,29,T,3,Snow,125
2015-3-1,-3,-8,-13,-7,-11,-14,100,86,71,1032,1029,1026,16,10,0,32,13,35,T,5,Fog-Snow,231
2015-3-2,-3,-9,-15,-7,-11,-16,91,76,60,1035,1030,1020,16,15,13,23,12,31,0.00,3,,237
2015-3-3,1,-5,-11,-1,-4,-14,100,86,71,1018,1010,1004,16,8,1,42,28,58,6.35,7,Rain-Snow,197
2015-3-4,-9,-13,-18,-14,-17,-20,86,73,59,1032,1026,1018,16,16,16,35,20,43,T,2,,318
2015-3-5,-12,-17,-23,-18,-21,-24,86,75,63,1037,1034,1032,16,16,16,24,12,31,0.00,0,,311
2015-3-6,3,-7,-18,-3,-9,-19,86,73,59,1032,1024,1020,16,16,16,34,16,39,0.00,2,,190
2015-3-7,5,2,-2,2,-1,-4,92,81,70,1023,1020,1017,16,16,14,32,14,40,0.00,1,,273
2015-3-8,8,3,-3,1,-2,-3,100,75,49,1024,1022,1021,16,15,8,19,5,23,0.00,2,,223
2015-3-9,11,4,-4,3,-1,-4,100,76,52,1022,1020,1017,16,15,10,19,8,24,0.00,0,,145
2015-3-10,16,8,1,8,3,1,100,78,55,1018,1015,1014,16,6,0,16,9,21,0.00,1,Fog,183
2015-3-11,14,7,0,2,1,-1,92,64,36,1029,1025,1019,16,16,13,21,11,26,0.00,0,,43
2015-3-12,16,8,-1,7,3,-3,92,74,55,1030,1027,1024,16,13,6,34,17,42,0.00,0,,142
2015-3-13,21,12,3,9,6,3,100,73,45,1024,1020,1017,16,12,5,26,15,32,0.00,0,,229
2015-3-14,16,9,1,4,2,1,100,70,39,1023,1021,1018,16,14,11,34,17,40,0.00,0,,318
2015-3-15,18,8,-2,2,1,-2,100,66,31,1024,1020,1015,16,16,16,47,19,61,0.00,0,,201
2015-3-16,28,18,8,7,3,1,66,44,21,1016,1012,1007,16,16,16,45,26,53,0.00,0,,249
2015-3-17,9,5,1,5,-6,-14,77,50,23,1031,1027,1017,16,16,16,45,21,53,0.00,1,,356
2015-3-18,9,6,1,-3,-7,-11,75,51,27,1028,1026,1023,16,16,16,23,11,27,0.00,6,,90
2015-3-19,7,3,-1,-1,-4,-6,76,58,40,1023,1021,1019,16,16,16,24,11,32,0.00,7,,145
2015-3-20,16,7,-2,2,0,-2,100,68,36,1020,1018,1015,16,13,5,27,14,34,0.00,1,,222
2015-3-21,13,8,2,2,-3,-8,92,58,24,1024,1021,1015,16,16,11,32,17,39,0.00,0,,356
2015-3-22,9,4,-1,-2,-4,-9,85,63,40,1023,1022,1020,16,16,13,40,26,50,0.25,3,,88
2015-3-23,1,-1,-2,-1,-3,-4,92,85,78,1025,1022,1018,16,14,6,45,23,56,2.54,8,Rain,86
2015-3-24,2,0,-2,0,-2,-4,100,88,75,1024,1019,1011,16,11,5,37,23,45,2.54,7,Rain,101
2015-3-25,8,4,0,3,1,-2,100,83,65,1021,1015,1010,16,8,1,37,20,45,0.00,8,,297
2015-3-26,8,2,-4,-3,-5,-7,92,66,40,1022,1019,1017,16,16,16,48,23,56,0.00,1,,330
2015-3-27,3,-2,-7,-6,-11,-14,81,54,27,1025,1023,1021,16,16,16,32,13,40,0.00,2,,2
2015-3-28,6,-1,-8,-8,-10,-11,77,53,29,1027,1024,1022,16,16,13,26,15,35,0.00,0,,144
2015-3-29,16,8,-1,6,-1,-8,92,65,38,1021,1013,1008,16,15,8,64,30,79,1.52,3,Rain,228
2015-3-30,23,11,-2,1,-2,-4,78,49,20,1019,1014,1009,16,16,16,47,23,60,0.00,1,,248
2015-3-31,21,11,1,3,1,-2,92,57,22,1014,1013,1009,16,16,16,39,16,47,0.00,0,,309
2015-4-1,27,16,4,6,2,-1,70,45,19,1013,1010,1005,16,16,16,52,25,64,0.00,0,,165
2015-4-2,19,14,8,13,7,-1,100,63,26,1013,1007,1003,16,14,3,37,19,45,4.83,4,Rain,316
