CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,9,4,1,4,0,-3,93,77,50,1030,1027,1023,16,15,6,14,6,,0.25,7,Rain,38
2015-1-2,11,8,6,11,7,3,100,90,58,1026,1022,1019,16,6,1,23,10,,9.91,8,Rain,108
2015-1-3,21,16,12,18,14,11,100,94,83,1019,1015,1012,16,8,1,32,19,40,3.56,8,Rain-Thunderstorm,161
2015-1-4,17,9,2,16,5,-3,94,75,58,1034,1024,1013,16,16,13,24,14,40,0.00,6,,299
2015-1-5,6,2,-2,-3,-4,-7,86,70,42,1040,1034,1029,16,16,16,23,14,29,0.00,3,,342
2015-1-6,12,3,-4,1,-3,-6,93,71,41,1031,1029,1027,16,16,16,14,5,,0.00,0,,329
2015-1-7,3,-3,-10,-3,-9,-18,80,61,39,1042,1034,1028,16,16,16,37,16,52,0.00,1,,350
2015-1-8,-2,-8,-13,-11,-16,-18,73,54,34,1041,1035,1028,16,16,16,16,13,,0.00,0,,44
2015-1-9,4,-2,-7,-7,-11,-14,80,57,41,1034,1030,1028,16,16,16,23,8,,0.00,1,,339
2015-1-10,6,-1,-8,-6,-11,-14,68,50,29,1035,1033,1030,16,16,16,19,10,,0.00,2,,22
2015-1-11,11,4,-1,6,-2,-10,76,58,41,1031,1027,1023,16,16,16,23,8,,0.00,5,,131
2015-1-12,14,10,6,12,7,4,94,87,71,1026,1023,1020,16,13,3,24,13,32,2.29,8,Rain,152
2015-1-13,6,3,1,3,1,-1,93,86,81,1030,1027,1025,16,9,5,23,18,26,0.00,8,,355
2015-1-14,3,0,-2,-1,-2,-3,93,85,70,1029,1026,1024,16,11,3,14,10,,0.00,5,,1
2015-1-15,5,1,-2,1,-2,-3,100,85,65,1025,1024,1022,16,14,10,14,3,,0.00,4,,353
2015-1-16,12,3,-4,-1,-3,-6,93,75,38,1027,1024,1023,16,14,8,8,3,,0.00,0,,275
2015-1-17,16,7,-2,2,-2,-4,87,65,31,1024,1020,1017,16,16,16,23,10,29,0.00,0,,175
2015-1-18,17,10,3,4,-1,-6,81,56,20,1025,1021,1017,16,16,16,14,10,,0.00,1,,263
2015-1-19,21,10,-1,1,-3,-6,75,49,20,1021,1018,1015,16,16,16,21,11,26,0.00,0,,200
2015-1-20,20,12,4,8,2,-1,81,62,40,1017,1016,1013,16,16,16,13,8,,0.00,0,,223
2015-1-21,17,10,3,3,-1,-3,81,59,29,1024,1021,1017,16,16,16,19,8,,0.00,0,,348
2015-1-22,9,6,3,3,0,-2,93,70,50,1027,1024,1022,16,15,8,26,11,37,4.57,7,Rain,25
2015-1-23,6,4,3,4,3,1,93,91,87,1022,1016,1012,16,8,3,26,16,35,11.94,8,Rain,357
2015-1-24,12,6,-1,1,-1,-2,93,74,44,1019,1016,1014,16,15,8,16,11,27,0.00,2,,258
2015-1-25,17,9,1,6,1,-2,87,72,42,1014,1011,1006,16,16,16,26,13,47,1.27,3,,233
2015-1-26,10,7,3,2,1,-2,76,69,50,1019,1015,1012,16,16,16,24,16,37,1.27,5,,298
2015-1-27,15,8,1,4,1,-2,81,68,42,1023,1018,1014,16,16,16,23,10,26,0.00,0,,328
2015-1-28,14,7,-1,1,-1,-3,87,64,36,1027,1023,1021,16,16,16,16,6,,0.00,0,,136
2015-1-29,21,13,5,9,2,-1,71,60,46,1028,1023,1019,16,16,16,35,18,50,0.00,2,,197
2015-1-30,12,6,0,1,-2,-4,93,61,38,1031,1029,1028,16,16,16,29,16,47,0.00,1,,354
2015-1-31,14,6,-2,-2,-4,-6,86,57,27,1029,1026,1021,16,16,14,16,5,,0.00,1,,144
2015-2-1,17,12,7,14,4,-4,93,70,43,1021,1015,1007,16,14,8,24,18,45,4.32,6,Rain,181
2015-2-2,7,2,-2,3,-3,-6,86,68,56,1027,1021,1013,16,16,16,32,18,47,4.32,5,,322
2015-2-3,8,2,-4,-2,-4,-7,86,71,43,1030,1027,1024,16,16,16,13,3,,0.00,0,,194
2015-2-4,8,3,-1,2,-1,-4,86,73,53,1024,1022,1019,16,16,16,14,5,,0.00,3,,195
2015-2-5,9,3,-3,2,-4,-10,76,60,29,1029,1025,1021,16,16,16,29,14,39,0.00,4,,351
2015-2-6,12,3,-6,-7,-8,-10,80,52,21,1031,1027,1024,16,16,16,14,6,,0.00,0,,145
2015-2-7,19,9,-1,1,-5,-8,69,46,21,1025,1021,1018,16,16,16,26,11,34,0.00,0,,175
2015-2-8,21,13,7,11,7,1,93,70,49,1018,1015,1011,16,16,16,24,16,34,0.00,4,,186
2015-2-9,19,11,4,12,7,-2,88,73,46,1018,1014,1011,16,16,11,34,13,42,0.00,5,,310
2015-2-10,11,6,1,-1,-2,-3,81,64,44,1020,1018,1017,16,16,16,27,19,42,0.00,4,,3
2015-2-11,16,6,-3,1,-1,-4,93,70,36,1021,1019,1017,16,15,10,14,3,,0.00,0,,332
2015-2-12,8,3,-2,0,-6,-12,75,56,36,1028,1025,1020,16,16,16,34,14,48,0.00,0,,345
2015-2-13,8,2,-3,-8,-11,-12,59,45,23,1030,1026,1023,16,16,16,13,10,,0.00,1,,333
2015-2-14,19,8,-3,-1,-4,-9,74,52,26,1024,1021,1017,16,16,16,32,6,39,0.00,0,,264
2015-2-15,7,2,-3,-2,-12,-17,56,36,24,1028,1024,1020,16,16,16,26,18,39,0.00,1,,46
2015-2-16,7,2,-2,6,-5,-13,93,66,33,1020,1014,1007,16,13,3,29,16,40,0.51,8,Rain,124
2015-2-17,2,-1,-4,-6,-7,-8,86,72,52,1022,1019,1017,16,16,16,27,18,39,0.25,4,,341
2015-2-18,6,0,-6,-3,-8,-13,86,64,30,1028,1022,1018,16,16,16,34,11,52,0.00,2,,293
2015-2-19,0,-4,-9,-11,-14,-17,68,51,35,1033,1029,1027,16,16,16,23,13,,0.00,1,,360
2015-2-20,8,1,-5,1,-10,-13,62,48,35,1029,1024,1018,16,16,11,34,14,42,0.00,8,,119
2015-2-21,18,12,7,13,8,0,94,79,56,1018,1016,1012,16,15,3,45,26,55,25.40,8,Rain,180
2015-2-22,8,6,3,6,3,1,93,89,87,1027,1022,1017,16,9,2,27,14,37,9.14,8,Rain,358
