EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,11,4,-1,1,-5,-8,61,47,30,1026,1024,1021,16,16,16,27,14,39,0.00,0,,248
2015-1-2,12,9,7,4,1,-2,71,58,37,1030,1026,1022,16,16,16,19,11,,0.00,4,Rain,263
2015-1-3,12,9,6,10,7,2,89,79,59,1032,1026,1021,16,8,0,16,10,,0.51,7,Fog-Rain,61
2015-1-4,24,18,12,17,14,6,90,78,48,1021,1015,1010,16,10,0,39,16,58,0.25,5,Fog-Rain,229
2015-1-5,16,8,0,4,-4,-9,56,41,25,1031,1025,1015,16,16,16,29,16,45,0.00,0,,304
2015-1-6,9,4,-1,-2,-4,-8,73,58,39,1030,1024,1018,16,16,16,21,6,,0.00,1,,14
2015-1-7,5,-1,-7,-4,-11,-21,72,47,29,1031,1022,1017,16,16,16,35,13,53,0.00,3,,326
2015-1-8,-3,-7,-10,-17,-21,-22,39,33,24,1037,1033,1028,16,16,16,40,21,58,0.00,0,,276
2015-1-9,9,3,-4,-7,-12,-17,63,38,23,1027,1023,1019,16,16,16,34,24,48,0.00,2,,249
2015-1-10,2,-2,-6,-10,-12,-15,74,52,27,1037,1034,1027,16,16,16,14,5,,0.00,0,,49
2015-1-11,8,0,-7,-1,-7,-12,81,60,25,1040,1037,1033,16,16,13,11,2,,0.00,1,Rain,119
2015-1-12,16,10,4,13,8,1,90,86,82,1033,1023,1020,16,6,1,23,8,,20.83,8,Fog-Rain,230
2015-1-13,7,3,1,4,-1,-5,86,71,59,1033,1029,1023,16,13,5,29,18,48,0.25,8,Rain,26
2015-1-14,2,1,0,0,-1,-3,89,84,78,1029,1025,1022,16,8,4,24,18,39,6.10,8,Rain,2
2015-1-15,6,3,1,1,-1,-2,85,79,67,1023,1021,1018,16,10,4,16,8,,0.00,7,Rain-Snow,298
2015-1-16,12,7,1,2,-1,-4,89,68,38,1024,1017,1015,16,11,0,19,10,32,0.00,2,Fog,269
2015-1-17,7,3,0,2,-4,-8,73,58,43,1031,1027,1023,16,16,16,21,11,,0.00,1,Rain,94
2015-1-18,14,10,6,11,7,0,86,77,58,1023,1013,1008,16,11,1,32,13,42,22.86,7,Rain,237
2015-1-19,13,8,2,1,-1,-2,79,61,36,1017,1015,1013,16,16,16,16,8,,0.00,2,,260
2015-1-20,17,9,1,3,1,-2,89,70,38,1016,1013,1011,16,16,14,13,5,,0.00,0,Rain,77
2015-1-21,8,4,1,3,1,-2,85,71,62,1022,1019,1016,16,13,6,19,13,32,0.00,4,,28
2015-1-22,11,4,-1,3,0,-3,93,82,47,1029,1027,1023,16,5,0,14,3,,0.00,2,Fog-Rain,293
2015-1-23,7,3,-1,5,1,-3,89,79,63,1029,1022,1008,16,10,3,24,6,,5.33,5,Rain,71
2015-1-24,8,6,4,6,3,-2,89,83,63,1007,1002,997,16,10,3,23,13,37,17.78,7,Rain,311
2015-1-25,12,7,2,1,-1,-3,76,61,43,1014,1011,1007,16,16,16,14,11,,0.00,0,Rain,220
2015-1-26,11,7,2,5,3,-1,82,74,63,1011,1005,1001,16,15,4,32,11,39,0.00,6,Snow,25
2015-1-27,4,2,0,-1,-3,-7,82,72,54,1014,1007,1004,16,10,1,27,19,42,0.51,7,Rain-Snow,338
2015-1-28,6,2,-2,-7,-11,-14,54,40,24,1028,1022,1014,16,16,16,23,16,40,0.00,1,,343
2015-1-29,6,1,-5,-4,-8,-12,72,48,38,1028,1024,1016,16,16,16,21,8,,0.00,2,,195
2015-1-30,8,3,-2,2,-6,-14,83,48,31,1024,1017,1013,16,16,13,40,19,52,0.76,5,,318
2015-1-31,4,0,-4,-8,-13,-16,69,42,25,1028,1026,1025,16,16,16,24,14,37,0.00,0,,309
2015-2-1,11,3,-4,4,-4,-8,78,58,39,1027,1022,1011,16,16,16,27,5,,0.00,2,Rain,132
2015-2-2,19,10,0,13,7,-11,84,70,39,1020,1003,994,16,14,3,50,27,76,3.56,7,Rain,248
2015-2-3,6,1,-3,-8,-11,-14,60,46,24,1029,1026,1020,16,16,16,23,11,29,0.00,0,Rain,340
2015-2-4,14,7,-1,1,-3,-7,67,51,27,1028,1023,1016,16,16,16,32,14,37,0.00,0,,209
2015-2-5,9,3,-3,1,-9,-18,58,39,23,1027,1018,1012,16,16,16,40,19,61,0.00,2,,324
2015-2-6,5,-1,-7,-10,-14,-18,63,36,23,1029,1027,1024,16,16,16,26,14,32,0.00,0,,254
2015-2-7,15,7,-1,-4,-8,-11,56,36,19,1024,1020,1016,16,16,16,23,13,34,0.00,0,,227
2015-2-8,21,14,7,2,-2,-4,47,35,23,1015,1012,1009,16,16,16,29,18,34,0.00,0,,229
2015-2-9,19,12,4,5,3,1,86,66,33,1011,1010,1009,16,13,4,23,18,37,3.81,6,Rain,64
2015-2-10,4,2,1,1,-1,-2,85,80,70,1014,1013,1010,16,13,4,27,23,42,1.78,7,Rain,13
2015-2-11,4,1,-1,-2,-3,-4,82,68,56,1018,1016,1014,16,16,16,26,14,39,0.00,5,,50
2015-2-12,11,4,-2,1,-2,-10,86,72,43,1018,1012,1007,16,10,1,32,14,48,2.03,5,Rain-Snow,342
2015-2-13,0,-3,-7,-11,-14,-17,71,46,28,1027,1024,1020,16,16,16,27,16,50,0.00,0,,334
2015-2-14,10,1,-7,-1,-9,-16,65,43,26,1022,1010,1000,16,16,13,45,18,69,0.00,3,Rain-Snow,230
2015-2-15,-2,-5,-8,-19,-22,-24,41,28,17,1027,1020,1010,16,16,16,55,31,77,0.00,1,,320
2015-2-16,-5,-7,-9,-8,-14,-21,85,60,32,1029,1024,1015,16,8,1,19,10,,8.89,5,Snow,356
2015-2-17,0,-2,-5,-6,-8,-10,81,71,48,1016,1011,1009,16,9,1,26,16,35,11.68,5,Rain-Snow,10
2015-2-18,2,-2,-7,-2,-7,-15,85,67,36,1015,1011,1007,16,12,1,23,10,37,0.25,4,Fog-Rain-Snow,304
2015-2-19,-3,-6,-10,-16,-21,-24,39,31,26,1024,1019,1013,16,16,14,34,24,48,0.00,1,,304
2015-2-20,-5,-9,-14,-19,-22,-24,67,40,27,1035,1031,1025,16,16,16,26,13,34,0.00,0,,302
2015-2-21,6,-4,-14,-1,-8,-19,82,58,35,1034,1028,1023,16,16,8,21,6,,1.27,5,Rain,169
2015-2-22,10,6,1,7,2,-1,93,87,71,1024,1022,1021,16,5,0,14,5,,2.29,6,Fog-Rain,323
2015-2-23,4,1,-3,1,-4,-18,92,69,30,1029,1025,1023,16,9,1,21,8,39,0.00,6,Rain-Snow,30
2015-2-24,-2,-4,-6,-6,-11,-18,81,63,35,1028,1021,1012,16,10,1,13,8,,2.03,5,Snow,47
2015-2-25,7,1,-5,-4,-7,-9,81,57,32,1016,1014,1010,16,15,8,16,10,,0.00,1,Snow,197
