EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,16,8,0,6,2,-1,96,68,40,1029,1027,1024,16,14,5,14,4,23,0.25,2,Rain,18
2015-1-2,12,10,8,9,7,5,93,80,66,1026,1025,1024,16,14,2,19,8,24,2.29,8,Rain-Thunderstorm,86
2015-1-3,20,16,11,18,14,8,100,92,83,1024,1021,1018,16,12,2,16,9,23,T,7,Rain,110
2015-1-4,21,15,8,18,13,2,100,76,51,1028,1020,1017,16,13,1,34,15,47,32.77,5,Rain-Thunderstorm,271
2015-1-5,13,8,2,2,-2,-6,76,52,28,1034,1031,1028,16,16,16,26,9,37,0.00,0,,4
2015-1-6,16,7,-1,0,-2,-6,89,56,23,1031,1027,1025,16,16,16,27,8,35,0.00,0,,308
2015-1-7,10,2,-7,-1,-7,-18,76,53,29,1037,1028,1025,16,16,16,37,17,50,0.00,0,,343
2015-1-8,2,-4,-11,-14,-17,-19,58,40,22,1037,1034,1029,16,16,16,27,10,37,0.00,0,,95
2015-1-9,6,0,-6,-8,-12,-16,77,49,20,1030,1029,1026,16,16,16,23,7,34,0.00,0,,333
2015-1-10,10,4,-3,-8,-12,-15,53,36,18,1034,1032,1030,16,16,14,16,8,24,0.00,0,,52
2015-1-11,11,7,3,6,-2,-9,86,62,37,1032,1031,1028,16,16,16,26,15,34,T,7,Rain,98
2015-1-12,11,8,6,9,7,5,100,92,83,1027,1024,1021,16,10,0,19,6,23,T,8,Fog,96
2015-1-13,14,11,8,10,8,6,96,81,66,1025,1023,1021,16,16,10,16,9,23,0.00,8,,15
2015-1-14,11,8,4,7,4,3,100,83,66,1026,1024,1023,16,15,6,16,7,21,0.00,7,,34
2015-1-15,6,5,3,5,3,2,100,90,79,1024,1022,1021,16,13,6,13,2,16,2.54,7,Rain,3
2015-1-16,14,7,0,3,0,-3,100,65,30,1025,1023,1021,16,14,10,16,6,24,0.00,1,,342
2015-1-17,17,8,-1,2,0,-3,92,59,25,1026,1023,1020,16,16,14,16,4,23,0.00,0,,165
2015-1-18,18,10,2,6,-1,-8,93,55,17,1022,1020,1019,16,16,11,34,9,40,T,1,,316
2015-1-19,20,9,-2,0,-3,-7,85,51,16,1023,1020,1017,16,16,16,23,4,26,0.00,0,,243
2015-1-20,19,11,2,7,3,-1,85,61,37,1019,1016,1014,16,16,16,21,3,26,0.00,1,,230
2015-1-21,20,12,3,6,2,-2,92,58,24,1022,1019,1016,16,16,16,19,6,26,0.00,0,,359
2015-1-22,15,12,8,5,-2,-4,50,40,30,1026,1023,1022,16,16,10,27,9,35,2.29,3,Rain,69
2015-1-23,11,9,7,11,9,6,100,91,82,1022,1013,1008,16,8,2,35,13,45,39.37,8,Rain,97
2015-1-24,12,8,4,8,2,-5,93,63,32,1016,1012,1008,16,14,4,32,17,47,0.51,4,Rain,312
2015-1-25,17,8,-2,3,0,-2,92,62,32,1017,1013,1008,16,16,13,34,9,40,0.00,0,,228
2015-1-26,9,5,1,4,2,-2,89,71,53,1015,1012,1009,16,16,16,37,16,50,0.00,6,,312
2015-1-27,15,7,-1,1,-2,-3,89,60,30,1020,1015,1013,16,16,16,37,11,50,0.00,0,,333
2015-1-28,14,7,-1,-1,-2,-3,78,54,30,1026,1024,1021,16,16,11,21,5,26,0.00,0,,63
2015-1-29,17,8,0,9,1,-2,89,61,32,1027,1024,1020,16,15,13,24,7,32,0.00,0,,204
2015-1-30,14,9,4,10,-2,-6,83,55,26,1028,1025,1020,16,16,16,35,14,52,0.00,1,,349
2015-1-31,15,7,-2,-3,-6,-8,75,47,19,1030,1027,1025,16,15,11,19,6,23,0.00,0,,92
2015-2-1,16,11,4,14,8,-4,100,73,45,1024,1017,1010,16,13,3,23,9,32,20.83,6,Rain,168
2015-2-2,16,8,-1,14,4,-5,100,71,42,1024,1014,1008,16,15,4,42,21,58,6.60,5,Rain,308
2015-2-3,11,4,-2,-1,-6,-9,75,50,24,1029,1027,1025,16,16,16,13,3,19,0.00,0,,19
2015-2-4,10,6,2,4,1,-2,89,70,50,1027,1023,1018,16,16,16,14,4,19,0.25,4,Rain,106
2015-2-5,14,9,3,4,-3,-14,92,54,16,1026,1020,1017,16,16,13,34,11,45,1.02,2,Rain,3
2015-2-6,13,6,-3,-3,-9,-13,59,39,18,1030,1028,1026,16,16,16,21,3,27,0.00,0,,30
2015-2-7,18,8,-2,-3,-4,-7,85,52,18,1027,1025,1022,16,16,14,21,4,27,0.00,0,,209
2015-2-8,21,11,1,9,4,-3,100,68,36,1022,1019,1014,16,14,1,24,5,29,0.00,3,Fog,214
2015-2-9,21,16,10,14,11,4,93,74,55,1014,1010,1007,16,14,5,32,13,42,2.79,6,Rain-Thunderstorm,274
2015-2-10,13,9,4,4,1,-1,79,61,43,1016,1013,1010,16,16,14,35,16,47,0.00,4,,350
2015-2-11,18,9,1,2,1,-1,89,59,28,1019,1017,1016,16,16,14,16,4,23,0.00,0,,287
2015-2-12,14,7,-1,2,-4,-12,92,58,24,1025,1020,1016,16,16,16,37,15,47,0.00,0,,339
2015-2-13,9,3,-3,-10,-12,-16,50,33,16,1028,1025,1023,16,16,16,19,6,26,0.00,0,,357
2015-2-14,16,7,-3,-1,-5,-9,75,50,25,1024,1020,1016,16,16,10,32,11,42,0.00,0,,282
2015-2-15,11,6,1,0,-13,-20,50,31,11,1026,1023,1019,16,16,16,24,10,34,0.00,0,,9
2015-2-16,17,10,3,15,4,-13,90,59,27,1023,1013,1005,16,14,4,23,13,32,10.92,8,Rain,161
2015-2-17,15,8,1,14,1,-7,93,70,46,1017,1012,1006,16,15,5,34,17,47,6.10,4,Rain,333
2015-2-18,8,2,-4,-3,-9,-15,75,49,23,1024,1020,1017,16,16,16,45,19,58,0.00,1,,315
2015-2-19,2,-2,-6,-12,-18,-23,52,33,14,1030,1028,1025,16,16,16,34,17,50,0.00,0,,342
2015-2-20,2,-2,-6,-12,-16,-18,45,34,23,1032,1029,1027,16,16,16,16,8,21,0.00,5,,85
2015-2-21,19,9,-1,8,-2,-12,62,48,34,1027,1023,1019,16,16,16,37,15,52,T,5,Rain,162
2015-2-22,21,17,12,17,14,8,100,87,73,1022,1020,1019,16,10,1,16,5,23,9.91,8,Rain,166
2015-2-23,14,11,7,13,7,1,100,74,47,1025,1022,1020,16,14,6,27,13,37,8.13,6,Rain,2
2015-2-24,9,6,2,3,2,0,92,77,61,1022,1018,1015,16,14,6,19,8,24,4.83,7,Rain,356
2015-2-25,6,4,3,3,1,-2,100,82,64,1015,1010,1004,16,9,3,24,8,29,35.81,6,Rain,65
2015-2-26,9,6,3,3,2,-1,100,81,61,1023,1013,1005,16,15,5,27,11,32,0.00,7,,345
2015-2-27,13,6,-1,-1,-4,-8,92,59,26,1030,1027,1023,16,16,14,21,9,40,0.00,0,,14
2015-2-28,15,8,0,6,2,-7,92,66,40,1034,1032,1030,16,15,6,29,14,39,T,5,Rain,97
2015-3-1,11,8,5,8,6,4,100,87,74,1033,1030,1028,16,9,2,27,11,35,1.27,8,Rain,104
2015-3-2,21,14,8,14,11,7,100,82,63,1028,1026,1023,16,10,0,21,4,24,0.25,8,Fog-Rain,338
2015-3-3,25,20,14,17,15,14,100,78,56,1024,1021,1017,16,11,3,23,6,26,0.25,7,Rain,156
2015-3-4,23,19,14,18,16,14,100,84,68,1019,1017,1014,16,14,2,27,12,39,0.25,5,Rain,219
2015-3-5,22,12,2,19,13,-3,93,79,64,1027,1016,1012,16,12,3,47,18,58,11.43,7,Rain,266
2015-3-6,12,6,-1,1,-2,-6,85,65,44,1031,1029,1027,16,16,11,21,9,35,0.00,4,,19
2015-3-7,19,9,-1,0,-4,-8,85,50,15,1032,1029,1027,16,16,16,13,3,19,0.00,0,,349
2015-3-8,22,11,1,5,-1,-5,82,50,17,1028,1025,1022,16,16,16,14,3,23,0.00,1,,209
2015-3-9,21,16,11,9,5,2,64,50,35,1023,1021,1020,16,16,16,14,5,23,T,4,,74
2015-3-10,28,22,16,16,12,9,78,56,33,1021,1019,1017,16,16,11,34,14,48,T,5,,178
2015-3-11,27,21,14,18,16,14,93,74,54,1023,1021,1019,16,15,4,34,6,42,T,4,Rain-Thunderstorm,253
2015-3-12,26,20,14,19,16,14,100,79,58,1025,1023,1022,16,11,0,35,11,47,22.35,6,Fog-Rain-Thunderstorm,91
2015-3-13,18,14,9,16,10,8,93,85,77,1026,1024,1021,16,16,11,35,22,50,2.03,8,Rain,104
2015-3-14,26,18,9,16,13,9,100,74,48,1020,1018,1016,16,10,0,23,8,27,T,6,Fog-Rain,57
