CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,2,-6,-13,-6,-12,-18,84,69,54,1025,1023,1019,16,16,16,21,7,23,0.00,0,,235
2015-1-2,1,-6,-12,-6,-9,-13,92,74,56,1026,1022,1017,16,15,10,21,5,26,0.00,2,,177
2015-1-3,3,-4,-13,-4,-11,-16,92,76,59,1025,1016,1010,16,9,1,58,19,69,0.76,3,Snow,342
2015-1-4,-12,-14,-18,-16,-19,-23,80,63,46,1043,1033,1023,16,11,2,56,19,64,0.25,4,Snow,331
2015-1-5,-3,-9,-14,-8,-14,-17,80,67,53,1043,1032,1023,16,16,14,50,19,63,0.00,6,,205
2015-1-6,-6,-10,-14,-12,-15,-18,80,67,54,1043,1036,1027,16,14,3,58,23,66,T,4,Snow,326
2015-1-7,-12,-16,-19,-18,-22,-24,72,59,45,1055,1035,956,16,15,6,53,27,64,0.00,0,Snow,332
2015-1-8,2,-7,-16,-4,-12,-21,69,62,55,1037,1024,1014,16,16,16,64,33,77,0.00,4,,280
2015-1-9,-7,-11,-16,-13,-19,-21,69,56,43,1039,1035,1030,16,16,5,37,15,47,T,1,Snow,299
2015-1-10,6,-6,-17,-6,-12,-19,79,61,43,1031,1023,1019,16,16,16,47,19,56,0.00,0,,194
2015-1-11,3,-5,-13,-7,-11,-14,96,72,47,1031,1024,1021,16,16,14,37,14,43,0.00,2,,357
2015-1-12,-7,-13,-19,-13,-17,-21,87,66,45,1044,1040,1032,16,16,16,35,19,40,0.00,0,,5
2015-1-13,-4,-12,-20,-14,-18,-23,87,64,40,1043,1037,1032,16,16,13,19,9,24,0.00,3,,174
2015-1-14,4,-2,-9,-4,-8,-15,84,68,51,1030,1026,1023,16,16,13,16,6,21,0.00,3,,260
2015-1-15,9,1,-9,-2,-6,-10,91,68,45,1024,1023,1021,16,16,14,27,9,39,0.00,0,,266
2015-1-16,15,4,-7,-2,-4,-7,96,63,30,1022,1014,1008,16,16,16,32,14,39,0.00,0,,203
2015-1-17,12,7,3,1,-3,-5,65,49,32,1016,1012,1006,16,16,16,63,25,79,T,1,Rain,292
2015-1-18,14,4,-6,-2,-4,-7,85,55,25,1017,1015,1012,16,16,16,21,6,34,0.00,0,,253
2015-1-19,16,5,-6,1,-3,-6,84,59,33,1017,1015,1013,16,16,16,32,9,39,0.00,0,,310
2015-1-20,11,4,-3,-2,-3,-5,78,58,38,1020,1018,1016,16,16,16,42,16,53,0.00,0,,304
2015-1-21,8,2,-5,-2,-3,-5,85,65,45,1030,1025,1021,16,16,14,34,17,43,0.00,4,,315
2015-1-22,4,-1,-6,-3,-5,-8,85,72,59,1034,1031,1028,16,16,14,21,8,26,0.00,5,,195
2015-1-23,9,1,-8,-2,-6,-9,84,59,34,1027,1020,1015,16,16,13,24,12,31,0.00,1,,224
2015-1-24,14,6,-3,5,-1,-4,85,60,35,1017,1010,1005,16,16,16,34,16,42,0.76,3,Rain,272
2015-1-25,8,3,-1,3,-1,-3,85,78,70,1020,1014,1005,16,16,13,61,27,74,T,7,Rain,343
2015-1-26,17,7,-2,2,-1,-4,92,62,32,1019,1016,1014,16,16,16,35,13,47,0.00,1,,295
2015-1-27,15,4,-6,1,-2,-8,92,64,36,1022,1019,1015,16,16,16,26,10,31,0.00,0,,134
2015-1-28,18,9,-1,2,0,-3,85,61,36,1016,1010,1005,16,16,11,61,15,72,0.00,1,,74
2015-1-29,6,-1,-7,0,-3,-8,81,67,53,1036,1029,1019,16,16,14,63,27,76,0.00,6,,342
2015-1-30,6,-3,-12,-3,-6,-13,92,72,51,1036,1032,1026,16,15,8,27,11,32,0.00,1,,188
2015-1-31,4,2,0,1,0,-2,96,80,64,1025,1018,1011,16,5,1,26,13,32,20.83,8,Fog-Rain-Snow,157
2015-2-1,0,-8,-16,-1,-10,-19,92,83,73,1031,1018,1009,16,4,1,60,35,72,10.16,7,Fog-Snow,349
