EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-1,-4,-8,-9,-13,-15,62,53,43,1020,1017,1013,16,16,16,42,28,52,0.00,7,,217
2015-1-2,2,-1,-3,-5,-7,-9,75,61,47,1029,1025,1019,16,16,14,27,12,35,0.00,8,,206
2015-1-3,2,-1,-3,2,-1,-5,100,89,78,1027,1015,1007,14,5,1,21,7,26,13.21,8,Rain-Snow,67
2015-1-4,2,-2,-7,2,-2,-12,100,84,67,1023,1010,1002,16,6,0,53,19,69,3.05,8,Fog-Rain-Snow,253
2015-1-5,-7,-10,-13,-9,-16,-19,84,73,61,1034,1030,1023,16,8,1,42,22,53,T,8,Snow,256
2015-1-6,-8,-11,-14,-12,-15,-18,83,72,61,1031,1025,1019,16,10,1,40,18,52,2.03,7,Snow,229
2015-1-7,-11,-13,-17,-13,-17,-21,84,68,52,1036,1027,1018,16,10,1,35,21,50,1.27,6,Fog-Snow,274
2015-1-8,-10,-14,-19,-13,-18,-23,84,73,62,1034,1021,1008,16,10,1,40,29,52,3.56,8,Snow,198
2015-1-9,-8,-12,-16,-11,-14,-20,83,73,63,1029,1018,1007,16,7,1,40,28,58,0.76,7,Snow,229
2015-1-10,-9,-13,-18,-15,-19,-22,79,68,57,1033,1031,1029,16,16,16,37,23,45,T,5,Snow,201
2015-1-11,-1,-4,-9,-3,-7,-14,100,79,57,1030,1027,1026,16,10,1,29,14,37,3.30,8,Snow,190
2015-1-12,-1,-6,-11,-3,-6,-15,92,76,59,1038,1028,1024,16,8,1,29,14,37,2.29,7,Snow,281
2015-1-13,-11,-13,-16,-16,-17,-21,88,67,46,1043,1039,1034,16,15,8,23,10,29,T,4,Snow,18
2015-1-14,-8,-12,-16,-14,-16,-18,91,74,56,1033,1029,1025,16,10,3,19,9,21,0.25,7,Snow,267
2015-1-15,-3,-9,-16,-7,-12,-18,88,78,68,1025,1019,1013,16,13,10,35,17,40,T,7,,196
