CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,14,7,0,7,3,-2,96,72,47,1029,1027,1024,16,14,5,14,6,19,0.51,3,Rain,38
2015-1-2,13,11,9,11,9,7,93,82,71,1027,1024,1022,16,14,4,23,12,26,1.02,8,Rain,78
2015-1-3,23,18,12,19,16,11,100,90,79,1022,1019,1016,16,9,0,32,13,40,1.78,8,Fog-Rain-Thunderstorm,125
2015-1-4,22,15,8,19,11,2,90,71,51,1030,1022,1016,16,14,2,45,15,56,26.92,5,Rain-Thunderstorm,258
2015-1-5,12,7,1,2,-2,-4,76,54,32,1036,1033,1030,16,16,16,27,11,35,0.00,0,,338
2015-1-6,16,7,-2,1,-1,-3,92,60,27,1032,1028,1026,16,16,13,24,7,32,0.00,0,,280
2015-1-7,10,2,-6,-1,-7,-17,82,56,29,1039,1031,1026,16,16,16,42,20,58,0.00,0,,326
2015-1-8,2,-4,-10,-11,-15,-18,60,43,26,1039,1034,1029,16,16,16,27,9,37,0.00,0,,32
2015-1-9,6,-1,-7,-7,-9,-13,74,49,24,1032,1030,1028,16,16,16,19,7,27,0.00,3,,313
2015-1-10,11,4,-3,-6,-10,-14,58,37,16,1035,1032,1031,16,16,16,16,7,23,0.00,0,,22
2015-1-11,14,7,-1,7,1,-7,77,63,48,1032,1029,1026,16,16,16,24,14,29,T,6,,78
2015-1-12,17,13,9,12,10,7,100,86,72,1025,1023,1020,16,8,0,19,8,23,T,8,Fog,55
2015-1-13,13,10,7,11,7,3,89,80,71,1026,1025,1022,16,16,16,21,11,24,0.00,8,,338
2015-1-14,10,8,6,4,3,2,82,72,61,1027,1025,1024,16,16,16,14,8,16,0.00,7,,332
2015-1-15,7,5,3,5,4,2,92,87,82,1024,1023,1021,16,9,3,13,4,16,3.81,7,Rain,334
2015-1-16,14,7,-2,1,0,-2,100,68,36,1027,1024,1023,16,13,5,16,6,26,0.00,0,,303
2015-1-17,18,9,-1,2,0,-2,92,59,26,1026,1022,1020,16,16,16,23,7,27,0.00,0,,158
2015-1-18,19,9,0,7,1,-8,92,54,16,1023,1021,1020,16,14,1,32,12,40,0.00,1,,258
2015-1-19,22,9,-3,1,-3,-6,85,51,16,1023,1020,1018,16,16,16,19,5,29,0.00,0,,212
2015-1-20,22,13,4,8,6,1,86,62,37,1019,1016,1014,16,16,16,19,6,39,0.00,1,,227
2015-1-21,21,13,4,7,3,-2,96,60,23,1023,1019,1016,16,11,0,23,8,27,0.00,1,Fog,356
2015-1-22,16,12,7,6,0,-3,86,57,27,1026,1023,1021,16,15,8,29,15,37,10.92,4,Rain,44
2015-1-23,13,10,7,12,9,6,93,90,86,1021,1012,1009,16,7,0,34,17,45,25.40,8,Fog-Rain,22
2015-1-24,12,6,0,4,1,-2,92,68,44,1019,1016,1011,16,16,8,34,15,42,0.00,3,,280
2015-1-25,18,9,-1,6,2,-3,92,63,34,1017,1012,1008,16,16,16,32,11,42,1.27,1,,210
2015-1-26,11,7,3,6,2,-1,76,62,48,1017,1015,1011,16,16,16,35,17,47,T,6,Rain,282
2015-1-27,17,9,1,3,1,-1,89,63,36,1021,1017,1014,16,16,16,34,12,42,0.00,0,,295
2015-1-28,15,8,0,0,-1,-3,82,56,30,1027,1025,1022,16,16,16,16,6,23,0.00,0,,9
2015-1-29,22,12,1,10,4,-1,89,63,36,1027,1023,1020,16,16,14,27,11,37,0.00,0,,194
2015-1-30,16,10,4,6,-2,-4,72,49,26,1029,1027,1023,16,16,16,34,15,48,0.00,0,,345
2015-1-31,16,7,-2,-1,-4,-6,72,48,23,1029,1027,1023,16,16,16,21,7,27,0.00,0,,81
2015-2-1,18,11,2,16,11,-2,93,71,49,1023,1014,1009,16,13,3,37,10,52,26.92,7,Rain-Thunderstorm,155
2015-2-2,16,8,-1,13,1,-5,93,71,49,1027,1019,1010,16,16,6,45,21,56,2.54,4,Rain,307
2015-2-3,9,4,-2,0,-3,-6,85,61,36,1030,1027,1026,16,16,16,11,3,16,0.00,0,,33
2015-2-4,11,7,3,5,2,-1,85,68,50,1025,1022,1019,16,16,16,13,5,16,0.25,6,Rain,59
2015-2-5,14,7,0,5,-2,-7,89,58,26,1028,1023,1018,16,16,11,32,13,39,0.25,3,,332
2015-2-6,14,5,-4,-4,-7,-8,81,51,21,1031,1028,1026,16,16,16,16,2,21,0.00,0,,354
2015-2-7,21,10,-1,7,-1,-4,82,52,22,1027,1024,1021,16,16,16,23,6,29,0.00,0,,177
2015-2-8,23,13,3,13,7,2,96,69,41,1021,1018,1013,16,8,0,23,7,32,0.00,3,Fog,169
2015-2-9,22,16,9,15,12,3,90,67,44,1014,1011,1008,16,14,3,35,15,47,3.56,6,Rain-Thunderstorm,261
2015-2-10,13,7,2,2,-1,-2,70,54,38,1017,1016,1014,16,16,16,35,16,47,0.00,4,,340
2015-2-11,18,8,-2,2,0,-3,92,62,31,1020,1018,1017,16,15,8,16,6,24,0.00,0,,268
2015-2-12,14,7,0,2,-4,-11,73,49,24,1027,1022,1018,16,16,16,35,19,45,0.00,0,,321
2015-2-13,11,4,-2,-8,-11,-13,50,34,18,1029,1026,1024,16,16,16,23,8,32,0.00,0,,327
2015-2-14,19,8,-4,1,-3,-8,81,54,26,1025,1021,1017,16,16,14,32,11,39,0.00,0,,257
2015-2-15,11,7,2,1,-11,-17,54,35,16,1027,1024,1020,16,16,16,23,11,29,0.00,0,,16
2015-2-16,19,12,4,16,4,-11,93,60,27,1022,1013,1006,16,14,5,45,19,58,13.97,8,Rain,160
2015-2-17,4,2,0,2,-3,-6,89,70,50,1020,1016,1012,16,16,14,34,18,45,T,4,,318
2015-2-18,9,3,-4,-3,-8,-14,81,50,19,1027,1022,1020,16,16,16,50,21,61,0.00,1,,285
2015-2-19,4,-1,-7,-12,-15,-18,62,41,20,1032,1029,1027,16,16,16,29,12,39,0.00,0,,318
2015-2-20,8,1,-7,-10,-12,-13,62,42,21,1032,1028,1025,16,16,14,23,13,35,0.00,5,,90
2015-2-21,19,11,1,12,4,-9,72,55,37,1025,1021,1017,16,16,16,34,19,45,0.00,6,,152
