EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,11,3,-4,2,-2,-6,93,69,41,1029,1027,1024,16,16,13,16,3,26,0.00,0,,217
2015-1-2,14,10,6,8,4,1,82,69,48,1029,1027,1025,16,16,16,13,5,,0.00,6,,222
2015-1-3,18,13,9,17,9,5,94,82,71,1029,1026,1022,16,15,6,19,10,26,0.00,7,,38
2015-1-4,24,21,18,20,18,12,94,82,64,1022,1019,1015,16,15,8,29,19,40,13.21,5,,209
2015-1-5,18,9,0,12,1,-3,87,58,35,1031,1027,1017,16,16,16,21,10,34,0.00,0,,293
2015-1-6,15,6,-3,4,-2,-5,93,66,33,1030,1024,1018,16,16,11,32,5,42,0.00,0,,241
2015-1-7,6,1,-5,-3,-8,-20,93,56,26,1031,1022,1018,16,16,16,26,6,50,0.00,1,,318
2015-1-8,-2,-6,-10,-12,-18,-22,79,43,26,1038,1034,1031,16,16,16,24,11,37,0.00,0,,337
2015-1-9,12,2,-8,-1,-7,-13,79,56,20,1030,1025,1020,16,16,16,29,6,42,0.00,3,,244
2015-1-10,5,-1,-6,-4,-11,-14,80,47,26,1037,1033,1026,16,16,14,23,6,29,0.00,0,,346
2015-1-11,13,2,-9,3,-4,-11,86,62,34,1038,1036,1032,16,16,16,14,5,,0.00,2,,34
2015-1-12,17,12,7,16,10,1,94,86,66,1032,1024,1020,16,12,1,32,8,42,23.88,7,,278
2015-1-13,14,7,1,13,3,-1,94,83,70,1028,1026,1020,16,11,1,37,16,47,2.03,8,,8
2015-1-14,2,1,0,0,-1,-2,87,84,81,1027,1023,1021,16,10,2,19,13,29,0.00,8,,338
2015-1-15,7,3,1,3,1,-1,93,82,71,1024,1022,1020,16,12,3,10,5,,0.00,8,,309
2015-1-16,12,6,0,3,1,-2,93,75,41,1024,1019,1017,16,11,1,19,5,35,0.25,3,,285
2015-1-17,13,6,-1,3,-1,-4,93,70,44,1029,1026,1022,16,16,10,19,6,,0.00,2,,61
2015-1-18,16,9,3,13,7,0,94,75,54,1022,1015,1010,16,16,6,26,10,39,22.35,4,Thunderstorm,228
2015-1-19,16,7,-1,2,-1,-2,93,62,29,1020,1017,1015,16,16,8,16,8,27,0.00,0,,235
2015-1-20,18,11,4,3,2,0,76,59,34,1016,1015,1013,16,16,16,23,11,32,0.00,0,,216
2015-1-21,19,10,2,7,4,0,93,71,43,1022,1017,1014,16,16,10,16,5,26,0.00,0,,278
2015-1-22,15,7,-1,4,0,-2,93,69,33,1027,1025,1022,16,12,3,21,3,,0.00,1,,359
2015-1-23,16,9,2,15,3,-1,94,79,62,1028,1021,1007,16,14,3,24,14,39,23.11,7,,49
2015-1-24,18,10,3,17,7,1,94,84,71,1011,1004,999,16,14,4,23,14,37,33.53,6,,255
2015-1-25,12,4,-2,3,-1,-4,93,72,41,1016,1013,1011,16,16,8,16,5,,0.00,0,,245
2015-1-26,13,7,2,6,3,-1,93,78,54,1010,1004,1000,16,16,13,13,3,,0.00,4,,288
