EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-1,-4,-8,-8,-12,-14,68,59,50,1023,1020,1016,16,16,16,48,29,58,0.00,4,,247
2015-1-2,2,-3,-7,-5,-7,-9,84,70,56,1029,1026,1022,16,16,16,23,9,29,0.00,7,,218
2015-1-3,3,1,-2,3,1,-6,100,88,75,1025,1014,1007,16,4,1,21,10,26,27.18,8,Fog-Rain,88
2015-1-4,3,-3,-8,3,-2,-12,100,87,74,1029,1013,1005,16,8,0,42,25,55,1.02,8,Fog-Rain-Snow,263
2015-1-5,-8,-12,-16,-13,-17,-20,79,71,63,1038,1034,1029,16,13,1,40,23,53,1.78,5,Snow,250
2015-1-6,-9,-12,-15,-13,-15,-18,91,79,66,1030,1027,1022,16,10,1,42,18,52,3.56,7,Fog-Snow,266
2015-1-7,-11,-16,-20,-16,-17,-25,80,69,58,1041,1032,1022,16,9,0,37,23,47,1.52,6,Fog-Snow,286
2015-1-8,-8,-15,-22,-11,-18,-26,84,74,64,1039,1023,1010,16,10,1,53,29,68,1.02,7,Snow,219
2015-1-9,-7,-12,-17,-9,-17,-22,88,76,63,1032,1023,1011,16,12,2,53,32,69,T,4,Snow,264
2015-1-10,-6,-13,-21,-13,-19,-23,82,72,61,1035,1033,1029,16,16,16,35,19,47,0.00,2,,213
2015-1-11,-1,-3,-6,-2,-7,-12,100,77,53,1029,1028,1025,16,11,1,26,14,34,6.35,8,Rain-Snow,200
2015-1-12,0,-7,-13,-1,-4,-15,100,84,67,1037,1028,1024,16,7,1,32,13,39,4.32,7,Fog-Snow,347
2015-1-13,-11,-14,-19,-15,-18,-21,87,73,58,1042,1038,1032,16,15,8,32,17,39,T,2,Snow,55
2015-1-14,-12,-15,-18,-16,-17,-19,95,84,73,1032,1029,1027,16,8,0,14,7,18,T,6,Fog-Snow,203
2015-1-15,-2,-11,-19,-7,-13,-21,92,80,68,1026,1021,1017,16,14,6,32,15,39,0.00,3,,222
2015-1-16,2,-3,-9,-3,-6,-9,96,86,75,1024,1021,1015,14,9,2,24,12,27,0.00,4,,218
2015-1-17,6,-2,-9,0,-3,-10,92,77,62,1022,1012,1006,16,11,3,39,21,53,T,5,Rain,181
2015-1-18,4,2,0,1,-1,-2,92,87,82,1016,1010,1006,16,16,14,35,22,45,0.25,8,Rain-Snow,250
2015-1-19,4,0,-5,1,-2,-6,100,85,70,1018,1016,1014,16,9,0,13,5,14,0.00,5,Fog,242
2015-1-20,4,2,0,2,0,-1,96,91,85,1016,1013,1011,13,6,2,23,13,26,1.02,8,Rain-Snow,81
2015-1-21,1,0,-1,0,-1,-3,100,91,82,1024,1017,1015,16,4,0,21,9,27,2.29,8,Fog-Snow,266
2015-1-22,0,-1,-1,-3,-4,-6,85,76,66,1032,1029,1024,16,16,13,23,9,32,T,8,Snow,300
2015-1-23,-1,-1,-2,-4,-5,-6,78,74,69,1030,1022,1012,16,16,14,24,13,29,0.00,8,,248
2015-1-24,3,-1,-4,1,-3,-6,92,84,76,1011,1007,1004,16,13,8,29,16,37,0.00,7,,242
2015-1-25,2,-2,-7,1,-4,-11,96,87,77,1014,1009,1006,16,7,1,45,22,58,4.32,8,Fog-Rain-Snow,67
2015-1-26,-6,-9,-14,-11,-13,-16,88,75,62,1016,1015,1014,16,16,16,32,9,37,T,6,Snow,53
2015-1-27,-3,-7,-12,-11,-12,-14,80,68,55,1026,1021,1015,16,16,14,16,7,21,0.00,4,,32
2015-1-28,-2,-8,-14,-7,-12,-17,91,77,62,1029,1026,1018,16,16,13,26,10,31,0.00,5,,131
2015-1-29,4,1,-2,0,-2,-6,96,80,63,1022,1014,1007,16,10,2,35,20,45,1.02,8,Rain-Snow,271
2015-1-30,1,-4,-8,-3,-10,-12,85,70,55,1033,1030,1022,16,16,16,40,17,53,T,5,Snow,317
2015-1-31,2,-3,-9,-1,-6,-11,88,76,63,1030,1026,1022,16,14,2,27,15,32,1.02,6,Snow,223
2015-2-1,1,-3,-7,0,-2,-8,100,92,84,1023,1011,1002,5,2,0,35,20,50,20.83,8,Fog-Rain-Snow,76
2015-2-2,-7,-10,-13,-9,-14,-17,92,71,49,1025,1017,1004,16,12,2,34,19,45,0.76,6,Snow,298
2015-2-3,0,-8,-17,-4,-9,-18,95,85,74,1025,1023,1019,16,14,3,29,16,35,0.25,7,Snow,206
2015-2-4,1,-4,-9,-1,-4,-13,92,82,71,1026,1019,1016,16,9,1,35,20,42,6.10,8,Fog-Snow,288
2015-2-5,-8,-13,-19,-14,-16,-19,95,78,61,1033,1030,1027,16,16,10,21,12,27,T,2,Snow,246
2015-2-6,-2,-8,-14,-6,-11,-17,81,70,58,1028,1024,1019,16,16,16,27,17,34,0.00,7,,218
2015-2-7,4,-1,-6,0,-3,-8,88,78,68,1018,1012,1007,16,16,14,24,13,29,0.00,7,,186
2015-2-8,7,4,0,3,2,-1,92,84,76,1012,1007,1004,16,13,3,27,17,34,0.25,7,Rain,276
2015-2-9,0,-4,-8,-2,-7,-11,92,83,74,1024,1018,1011,16,13,6,26,17,31,T,7,Snow,17
2015-2-10,-4,-7,-11,-7,-11,-13,91,80,68,1027,1024,1021,16,14,4,27,13,32,T,4,Snow,72
2015-2-11,1,-2,-6,-1,-4,-7,92,78,63,1020,1017,1014,16,9,3,32,17,37,T,8,Rain-Snow,247
