EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,13,5,-3,1,-2,-5,85,62,38,1029,1027,1025,16,16,16,19,6,27,0.00,0,,225
2015-1-2,16,12,7,8,5,2,83,65,46,1029,1027,1025,16,16,16,14,6,21,0.00,5,,242
2015-1-3,21,15,9,18,12,6,93,82,71,1029,1025,1023,16,9,1,19,6,27,1.78,7,Fog-Rain,55
2015-1-4,24,22,21,20,19,14,84,79,73,1022,1020,1015,16,13,1,35,19,53,32.77,6,Rain,210
2015-1-5,21,11,1,12,1,-3,82,57,32,1031,1026,1017,16,16,16,32,12,43,0.00,1,,307
2015-1-6,17,8,-2,4,-1,-4,85,59,33,1030,1024,1018,16,16,16,32,7,45,0.00,0,,276
2015-1-7,7,2,-3,-2,-7,-18,85,57,28,1031,1022,1017,16,16,16,39,16,52,0.00,1,,332
2015-1-8,-1,-4,-8,-13,-18,-21,67,44,21,1038,1034,1031,16,16,16,37,13,52,0.00,0,,347
2015-1-9,13,3,-7,0,-8,-14,62,42,22,1030,1025,1020,16,16,16,29,11,43,T,4,,263
2015-1-10,7,1,-6,-6,-11,-13,75,50,24,1037,1034,1027,16,16,16,26,10,35,0.00,0,,355
2015-1-11,13,3,-8,2,-4,-11,84,60,35,1039,1036,1033,16,13,1,14,4,21,0.00,1,,70
2015-1-12,19,13,7,17,12,3,93,79,65,1032,1023,1020,16,8,1,21,5,31,17.27,8,Fog-Rain,248
2015-1-13,16,9,3,14,5,1,90,82,73,1029,1026,1020,16,13,3,39,24,48,4.32,8,Rain,16
2015-1-14,4,3,2,2,1,-1,85,84,82,1025,1023,1021,16,13,4,27,16,37,2.79,8,Rain,344
2015-1-15,8,6,2,3,2,1,85,75,65,1024,1022,1020,16,14,6,16,7,23,T,8,,342
2015-1-16,13,8,3,3,2,-2,92,68,43,1024,1019,1017,16,12,4,23,9,29,0.51,3,Rain,303
2015-1-17,12,7,1,4,1,-2,82,66,50,1029,1026,1023,16,16,16,23,10,26,0.00,0,,70
2015-1-18,18,11,3,13,9,2,89,72,55,1022,1014,1010,16,13,1,48,12,64,12.19,4,Rain-Thunderstorm,227
2015-1-19,17,11,4,2,-1,-3,85,55,25,1020,1017,1015,16,16,16,32,11,39,0.00,0,,246
2015-1-20,20,14,8,4,2,1,65,46,27,1016,1015,1013,16,16,16,24,12,34,0.00,0,,218
2015-1-21,21,12,3,7,4,1,85,61,37,1022,1017,1014,16,16,11,24,8,32,0.00,0,,324
2015-1-22,17,9,1,5,1,-2,92,61,29,1028,1025,1022,16,12,2,21,5,26,0.00,0,Fog,21
2015-1-23,18,11,3,16,5,0,93,77,61,1028,1020,1007,16,13,6,29,12,39,10.92,7,Rain,73
2015-1-24,20,13,5,18,10,2,89,78,66,1010,1003,999,16,12,3,34,17,48,29.97,7,Rain,253
2015-1-25,14,7,1,2,0,-2,89,65,41,1016,1013,1011,16,16,16,21,6,27,0.00,0,,232
2015-1-26,13,7,2,7,4,1,92,76,59,1010,1004,1001,16,14,3,26,5,35,0.76,4,Rain,318
2015-1-27,9,4,-2,3,-2,-4,78,69,59,1015,1009,1004,16,16,14,32,16,40,0.00,7,,329
2015-1-28,8,2,-3,-3,-8,-12,85,54,23,1028,1022,1015,16,16,16,29,11,37,0.00,0,,332
2015-1-29,11,3,-5,3,-7,-11,81,52,23,1029,1025,1019,16,16,16,19,5,27,0.25,2,Rain,187
2015-1-30,11,7,2,5,-3,-12,66,47,28,1025,1019,1015,16,16,16,35,19,47,0.51,5,Rain,302
2015-1-31,9,3,-3,-6,-11,-14,75,47,19,1029,1027,1026,16,16,16,26,11,39,0.00,0,,318
2015-2-1,15,7,-2,11,-2,-8,69,45,21,1027,1023,1014,16,16,16,26,12,37,0.76,1,Rain,214
2015-2-2,18,11,2,15,9,-8,87,69,51,1021,1006,999,16,13,2,60,23,84,19.30,6,Rain,243
2015-2-3,8,3,-2,-5,-8,-11,69,48,27,1030,1027,1022,16,16,16,26,8,32,0.00,0,,342
2015-2-4,15,7,-2,12,2,-5,85,62,38,1029,1024,1017,16,14,4,24,4,34,3.05,3,Rain,161
2015-2-5,14,6,-2,11,1,-14,89,62,35,1027,1016,1012,16,14,6,37,17,48,7.62,5,Rain,342
2015-2-6,6,0,-6,-6,-13,-17,56,37,18,1031,1028,1026,16,16,16,24,9,32,0.00,0,,330
2015-2-7,17,7,-3,-2,-5,-8,75,47,19,1026,1024,1020,16,16,16,26,11,34,0.00,0,,219
2015-2-8,23,16,8,7,2,-4,62,42,22,1020,1016,1014,16,16,16,37,19,56,0.00,0,,220
2015-2-9,24,18,11,8,7,7,77,56,35,1014,1010,1006,16,16,16,24,12,31,0.00,1,,215
2015-2-10,11,7,3,6,2,-1,85,78,70,1012,1008,1005,16,14,5,42,28,58,4.32,8,Rain,9
2015-2-11,7,3,-2,-1,-2,-3,85,74,62,1017,1015,1012,16,15,10,39,14,55,0.00,5,,13
2015-2-12,19,9,-2,7,-1,-11,85,60,35,1020,1012,1005,16,15,10,42,14,61,T,3,Rain,285
2015-2-13,3,-1,-6,-9,-13,-17,62,43,23,1026,1024,1020,16,16,16,27,12,37,0.00,0,,334
2015-2-14,13,3,-7,-2,-7,-12,77,48,19,1023,1013,1003,16,16,16,47,15,66,0.00,1,,227
2015-2-15,6,-1,-7,-12,-20,-22,53,36,18,1027,1022,1010,16,16,16,50,24,77,0.00,0,,318
2015-2-16,0,-3,-6,-3,-14,-22,85,53,20,1029,1023,1011,16,15,5,35,12,45,T,7,Rain,37
2015-2-17,1,0,-2,-1,-3,-4,89,84,78,1015,1010,1005,16,13,4,26,13,37,0.00,7,Rain,356
2015-2-18,6,1,-4,0,-3,-7,85,71,57,1015,1013,1009,16,16,10,29,11,43,T,3,Rain-Snow,310
2015-2-19,1,-3,-8,-8,-18,-20,69,49,29,1026,1021,1015,16,16,16,37,20,53,T,1,,310
2015-2-20,-3,-7,-12,-13,-18,-22,67,46,25,1035,1032,1026,16,16,16,27,12,37,0.00,0,,339
2015-2-21,15,3,-10,10,-1,-13,80,65,49,1035,1029,1024,16,16,16,37,12,56,0.00,4,,164
2015-2-22,19,16,12,13,12,11,100,79,58,1024,1023,1021,16,10,1,27,8,35,T,7,Rain,219
2015-2-23,13,6,-2,12,4,-11,100,75,49,1028,1023,1020,16,8,1,40,19,52,T,7,Fog-Rain,40
2015-2-24,-1,-2,-4,-3,-6,-10,92,70,47,1027,1020,1013,16,7,1,27,17,35,0.00,8,Fog-Rain-Snow,16
2015-2-25,4,0,-4,-1,-3,-6,92,76,59,1017,1014,1010,16,12,6,26,9,34,0.00,3,Rain,311
2015-2-26,3,2,1,2,0,-1,96,89,82,1022,1010,1000,16,13,6,35,16,47,0.00,8,Rain,6
2015-2-27,10,5,-1,-1,-2,-3,89,68,46,1035,1028,1022,16,15,10,29,12,35,0.00,1,,5
2015-2-28,7,3,-2,-3,-6,-8,85,62,39,1042,1039,1035,16,15,8,29,19,37,0.00,2,,32
2015-3-1,10,5,0,8,3,-5,93,79,64,1038,1031,1026,16,14,3,19,9,23,0.00,8,Rain,351
2015-3-2,18,11,3,9,5,-1,100,76,52,1029,1025,1023,16,8,1,27,11,34,0.00,5,Fog,246
2015-3-3,11,7,2,11,3,-6,93,71,48,1030,1024,1020,16,11,1,23,9,29,0.00,7,Fog-Rain,104
2015-3-4,28,19,11,17,15,11,100,77,54,1020,1016,1013,16,12,1,42,22,55,0.00,5,Fog,217
2015-3-5,29,15,1,17,7,-1,92,70,47,1027,1018,1012,16,14,5,45,24,61,T,6,Rain,17
2015-3-6,5,2,-2,-1,-5,-8,89,67,44,1033,1030,1027,16,16,16,35,20,48,0.00,5,,17
2015-3-7,14,4,-6,-1,-6,-10,84,52,20,1032,1029,1026,16,16,16,23,8,27,0.00,0,,259
2015-3-8,22,13,3,2,-1,-3,70,45,19,1026,1024,1022,16,16,5,23,12,31,0.00,0,,232
2015-3-9,20,14,8,9,4,-1,86,64,42,1026,1024,1023,16,16,16,14,7,21,0.00,1,,222
2015-3-10,26,17,8,18,14,7,93,70,46,1026,1023,1021,16,15,10,32,11,43,T,5,Rain,191
2015-3-11,30,24,17,18,17,13,93,64,35,1023,1020,1017,16,16,16,37,15,48,T,5,,236
2015-3-12,17,12,6,16,7,-3,100,64,27,1035,1029,1024,16,16,13,35,16,45,2.79,3,Rain,33
2015-3-13,19,12,5,9,4,-2,77,60,43,1035,1032,1028,16,14,3,24,12,32,T,4,Rain,83
2015-3-14,20,17,13,18,17,9,93,85,77,1026,1016,1013,16,11,1,35,15,53,35.31,7,Rain,207
2015-3-15,22,16,9,16,8,2,90,59,28,1020,1016,1014,16,16,16,39,16,52,0.00,2,,282
2015-3-16,23,13,3,7,4,2,93,59,25,1022,1018,1014,16,16,14,27,9,37,0.00,0,Fog,205
2015-3-17,29,21,12,9,6,5,71,47,22,1013,1010,1006,16,16,16,27,13,35,0.00,0,,278
2015-3-18,18,12,6,7,-4,-12,56,36,15,1024,1021,1014,16,16,16,34,14,43,0.00,0,,17
2015-3-19,14,10,6,6,3,1,89,66,43,1026,1025,1023,16,16,13,21,10,29,3.56,7,Rain,77
2015-3-20,18,13,7,14,11,6,93,80,67,1024,1019,1015,16,11,1,24,11,34,18.80,6,Rain,341
2015-3-21,18,12,6,8,6,4,86,65,44,1022,1020,1017,16,16,16,19,11,26,0.00,3,,349
2015-3-22,16,13,9,10,6,2,89,68,47,1019,1018,1017,16,16,16,23,10,31,T,2,,68
2015-3-23,12,9,6,6,3,-1,80,63,46,1022,1020,1017,16,16,16,34,18,42,T,5,,41
2015-3-24,19,12,4,9,4,0,79,64,48,1027,1024,1022,16,16,16,21,12,27,0.00,3,,59
2015-3-25,23,16,7,14,11,5,93,75,57,1027,1025,1022,16,16,16,26,12,35,T,2,,107
2015-3-26,27,22,17,18,16,12,84,65,46,1022,1014,1009,16,16,16,45,20,60,T,5,Rain,177
2015-3-27,21,14,6,17,8,4,93,86,78,1009,1007,1004,16,12,2,37,16,48,24.89,8,Rain-Thunderstorm,15
2015-3-28,10,6,2,4,-1,-7,89,64,39,1024,1015,1009,16,16,14,29,16,39,0.00,6,,320
2015-3-29,10,4,-2,-3,-8,-12,75,48,21,1031,1028,1025,16,16,16,27,11,37,0.00,0,,337
2015-3-30,16,9,2,8,3,-3,86,67,47,1026,1019,1015,16,16,8,29,11,43,1.78,3,Rain,226
2015-3-31,23,13,2,8,3,-3,93,58,22,1017,1015,1009,16,10,1,35,12,48,0.00,1,Fog,216
2015-4-1,18,13,8,10,3,-2,77,52,26,1026,1019,1009,16,16,16,35,15,43,0.00,0,,46
2015-4-2,23,13,3,12,5,0,85,55,25,1029,1026,1024,16,16,16,32,14,42,0.00,0,,158
2015-4-3,27,21,14,17,15,11,81,66,51,1023,1019,1014,16,16,16,37,21,56,0.00,1,,199
2015-4-4,22,16,8,17,8,-4,78,51,24,1025,1016,1011,16,16,14,39,17,50,0.51,2,Rain,283
2015-4-5,21,12,3,7,1,-6,79,49,19,1029,1027,1025,16,16,16,24,9,34,0.00,0,,117
2015-4-6,25,17,9,13,8,4,93,60,26,1029,1027,1025,16,16,16,27,9,40,0.00,1,,152
2015-4-7,26,19,12,17,14,9,93,73,52,1026,1023,1022,16,13,1,26,9,37,T,3,Fog-Rain,180
