EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-1,-3,-6,-6,-8,-12,75,64,53,1018,1013,1009,16,16,13,50,30,64,T,8,Snow,251
2015-1-2,1,-3,-7,-8,-9,-11,81,62,43,1028,1024,1018,16,16,16,26,10,32,T,3,,250
2015-1-3,1,-2,-6,-1,-2,-8,92,83,74,1027,1016,1008,16,5,1,21,11,26,9.14,7,Fog-Rain-Snow,87
2015-1-4,1,-4,-10,0,-4,-15,89,75,61,1023,1009,1003,16,6,1,37,19,47,5.84,8,Fog-Rain-Snow,307
2015-1-5,-10,-13,-17,-15,-20,-22,76,68,60,1033,1030,1022,16,15,8,42,22,53,0.25,3,,254
2015-1-6,-9,-11,-13,-13,-15,-17,80,71,61,1029,1022,1017,16,10,1,40,23,50,1.27,6,Snow,235
2015-1-7,-11,-13,-16,-16,-19,-23,72,61,49,1035,1029,1019,16,14,1,37,24,43,0.25,5,Snow,297
2015-1-8,-10,-13,-16,-14,-17,-22,80,72,63,1031,1016,1004,16,8,1,39,28,50,2.79,8,Snow,219
2015-1-9,-9,-13,-17,-13,-17,-21,80,67,53,1026,1014,1004,16,12,1,40,27,50,0.76,4,Snow,254
2015-1-10,-8,-13,-17,-14,-17,-20,87,73,58,1028,1027,1024,16,15,6,47,22,55,T,5,Snow,213
2015-1-11,-1,-4,-8,-5,-10,-16,63,59,54,1027,1025,1024,16,16,16,29,16,35,T,4,,208
2015-1-12,-1,-8,-15,-4,-9,-20,85,68,50,1041,1029,1023,16,14,2,34,20,39,T,6,Snow,329
2015-1-13,-8,-12,-16,-13,-17,-20,80,71,61,1044,1041,1034,16,16,11,40,11,40,0.00,3,,32
2015-1-14,-6,-13,-21,-10,-16,-24,79,73,67,1033,1027,1024,16,16,11,21,12,26,0.00,4,,214
2015-1-15,1,-3,-8,-2,-8,-13,85,76,67,1023,1015,1010,16,12,2,42,23,53,T,8,Snow,220
2015-1-16,1,-4,-11,-4,-11,-16,75,64,52,1025,1020,1011,16,14,1,32,15,40,T,6,Snow,23
2015-1-17,7,-1,-9,0,-7,-16,81,69,56,1024,1010,1000,16,16,11,35,23,47,0.00,3,,176
2015-1-18,4,2,0,1,-1,-3,85,75,64,1013,1005,1000,16,14,2,34,19,43,T,8,Rain-Snow,261
2015-1-19,1,-1,-3,-2,-6,-8,82,73,63,1018,1016,1013,16,16,16,19,8,23,T,8,,6
2015-1-20,-2,-3,-5,-6,-7,-8,81,75,68,1020,1016,1014,16,12,1,19,11,21,1.02,7,Snow,58
2015-1-21,-3,-5,-7,-6,-7,-9,88,81,74,1024,1020,1017,16,7,1,23,12,24,3.56,8,Snow,50
2015-1-22,-1,-3,-7,-6,-7,-9,92,80,68,1030,1028,1023,16,15,8,16,10,21,T,6,,241
2015-1-23,1,-3,-7,-4,-6,-9,84,75,66,1027,1017,1009,16,15,13,47,28,56,0.00,5,,222
2015-1-24,3,1,-1,-1,-2,-4,85,79,72,1008,1003,1000,16,12,4,32,17,42,T,8,Rain,260
2015-1-25,1,-4,-9,-3,-11,-13,74,67,59,1019,1014,1005,16,15,8,35,25,42,T,6,Snow,33
2015-1-26,-4,-9,-14,-11,-13,-16,88,69,50,1018,1016,1015,16,16,13,16,9,21,T,1,,28
2015-1-27,-4,-8,-12,-9,-12,-14,80,70,60,1026,1022,1017,16,16,16,32,11,35,0.00,2,,22
2015-1-28,0,-6,-13,-10,-12,-16,84,64,43,1029,1025,1019,16,16,16,27,11,35,0.00,0,,186
2015-1-29,1,-2,-4,-3,-6,-12,85,64,42,1021,1011,1007,16,10,1,48,20,63,1.02,8,Snow,301
2015-1-30,-4,-8,-11,-12,-14,-17,67,56,45,1033,1028,1021,16,16,16,48,18,60,0.00,4,,326
2015-1-31,1,-4,-10,-4,-8,-13,75,69,63,1029,1024,1021,16,16,16,23,12,27,0.00,7,,231
2015-2-1,-2,-6,-9,-8,-11,-12,88,78,67,1025,1020,1011,16,3,0,56,35,69,12.95,8,Fog-Snow,42
2015-2-2,-9,-12,-15,-12,-17,-21,84,62,40,1022,1016,1010,16,11,2,42,20,55,1.78,3,Snow,316
2015-2-3,-5,-9,-14,-7,-11,-16,92,80,67,1021,1019,1016,16,10,1,32,16,37,3.56,5,Snow,206
2015-2-4,-4,-9,-15,-7,-9,-19,92,73,54,1026,1017,1014,16,10,2,34,14,39,1.02,7,Snow,283
2015-2-5,-9,-14,-21,-14,-18,-23,87,70,53,1031,1027,1020,16,16,13,50,18,61,0.00,1,,239
2015-2-6,-2,-6,-11,-6,-11,-16,75,68,61,1021,1020,1018,16,16,14,48,18,60,0.00,5,,238
2015-2-7,1,-1,-3,-4,-6,-8,81,72,63,1017,1012,1007,16,13,8,19,8,21,0.00,6,,85
2015-2-8,0,-3,-7,-1,-5,-9,92,85,78,1017,1009,1004,16,4,1,50,30,60,2.54,8,Fog-Rain-Snow,34
