MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-1,-7,-12,-8,-11,-14,84,76,57,1021,1017,1013,16,13,2,21,13,29,0.00,4,Snow,173
2015-1-2,2,-5,-12,-11,-12,-14,84,60,34,1023,1017,1010,16,16,16,35,24,42,0.00,3,,4
2015-1-3,2,-4,-11,-8,-12,-14,81,57,36,1024,1014,1008,16,16,16,29,16,32,0.00,0,,287
2015-1-4,6,-1,-9,-8,-10,-12,78,56,27,1032,1029,1024,16,16,16,21,10,,0.00,0,,267
2015-1-5,11,1,-9,-8,-11,-12,84,48,22,1033,1030,1028,16,16,16,29,13,35,0.00,0,,342
2015-1-6,13,5,-3,-4,-7,-8,78,49,29,1032,1029,1025,16,16,16,26,16,32,0.00,0,,348
2015-1-7,7,0,-8,-2,-7,-11,84,74,52,1038,1034,1029,16,16,16,40,19,48,0.00,4,,136
2015-1-8,7,0,-8,-4,-7,-10,93,77,44,1032,1027,1020,16,14,6,24,13,,0.00,4,,352
2015-1-9,-1,-2,-3,-4,-6,-6,85,77,69,1030,1026,1023,16,16,16,34,18,,0.00,7,,162
2015-1-10,8,2,-4,-3,-5,-6,88,72,42,1024,1020,1015,16,16,16,29,18,40,0.00,3,,339
2015-1-11,9,2,-4,-2,-4,-6,88,74,46,1023,1019,1017,16,16,5,21,11,,0.00,5,Snow,358
2015-1-12,4,0,-4,-2,-4,-6,88,78,60,1027,1024,1022,16,15,8,26,14,39,0.00,6,Snow,147
2015-1-13,1,-1,-3,-1,-3,-6,92,86,78,1024,1021,1019,16,8,0,24,16,,1.52,8,Fog-Snow,158
2015-1-14,1,-2,-4,-1,-4,-6,92,85,72,1026,1022,1021,16,11,1,19,10,,1.27,7,Snow,185
2015-1-15,8,1,-6,-3,-6,-7,92,75,35,1031,1028,1025,16,16,16,35,14,47,0.00,1,,348
2015-1-16,8,1,-5,-4,-6,-8,81,65,34,1028,1024,1020,16,16,16,27,16,,0.00,0,,328
2015-1-17,12,4,-5,-6,-8,-13,78,50,16,1029,1024,1019,16,16,16,39,16,50,0.00,0,,344
2015-1-18,10,1,-7,-6,-8,-10,78,55,27,1030,1026,1024,16,16,16,23,10,,0.00,0,,346
2015-1-19,13,5,-3,-3,-6,-8,75,50,30,1024,1020,1016,16,16,16,23,14,,0.00,0,,325
2015-1-20,11,4,-1,-3,-5,-8,72,52,31,1019,1016,1014,16,16,16,24,11,35,0.00,0,,310
2015-1-21,2,0,-3,-2,-3,-7,92,84,67,1019,1017,1014,16,8,1,29,19,37,0.25,8,Fog-Snow,151
2015-1-22,-1,-6,-11,-6,-9,-13,89,73,51,1030,1026,1020,16,11,1,16,10,,0.00,5,Snow,356
2015-1-23,3,-4,-12,-8,-12,-15,84,68,36,1030,1028,1025,16,16,14,27,16,35,0.00,0,,354
2015-1-24,7,-1,-8,-6,-8,-11,81,62,37,1031,1026,1022,16,16,16,29,18,35,0.00,0,,349
2015-1-25,11,3,-5,-5,-7,-9,78,54,26,1026,1024,1022,16,16,16,21,11,34,0.00,0,,325
2015-1-26,16,6,-3,-3,-5,-6,81,54,22,1029,1026,1023,16,16,16,35,16,42,0.00,0,,358
2015-1-27,14,7,0,1,-2,-4,76,56,28,1027,1023,1020,16,16,16,27,21,35,0.00,1,,339
2015-1-28,14,8,2,1,-2,-4,82,58,29,1022,1020,1016,16,16,16,23,11,27,0.00,1,,351
2015-1-29,9,6,3,-2,-5,-11,67,49,36,1029,1026,1021,16,16,16,32,16,47,0.00,4,,133
2015-1-30,3,0,-2,-2,-3,-10,92,85,38,1030,1024,1017,16,6,0,32,18,45,2.79,8,Fog-Snow,165
2015-1-31,1,-1,-2,0,-2,-3,96,90,82,1016,1012,1010,16,6,0,14,10,,9.65,8,Fog-Snow,195
2015-2-1,6,0,-6,-1,-4,-7,96,87,49,1024,1017,1013,16,7,0,16,8,,0.00,4,Fog,338
2015-2-2,9,2,-5,-4,-5,-7,85,64,37,1023,1021,1017,16,16,16,23,10,,0.00,0,,344
2015-2-3,12,4,-2,-1,-3,-6,79,61,38,1020,1018,1016,16,16,16,26,16,,0.00,0,,348
2015-2-4,14,6,-3,-1,-3,-5,85,59,31,1023,1017,1015,16,16,16,19,10,,0.00,0,,348
2015-2-5,14,4,-4,-2,-5,-7,88,59,23,1027,1024,1022,16,16,16,24,8,,0.00,0,,1
2015-2-6,16,8,-1,-6,-6,-9,67,43,20,1026,1023,1020,16,16,16,27,18,,0.00,0,,348
2015-2-7,18,8,-1,-4,-7,-11,59,37,13,1020,1017,1013,16,16,16,24,11,,0.00,0,,350
2015-2-8,18,9,1,-4,-6,-9,59,38,15,1022,1019,1016,16,16,16,26,14,45,0.00,0,,358
2015-2-9,18,9,1,-2,-4,-5,70,47,22,1024,1019,1015,16,16,16,26,18,35,0.00,0,,359
2015-2-10,18,9,1,-2,-6,-12,73,43,13,1017,1013,1009,16,16,16,24,14,39,0.00,0,,341
2015-2-11,8,4,-2,1,-1,-9,89,70,29,1030,1022,1011,16,16,16,23,13,,0.51,7,Rain,14
2015-2-12,11,3,-5,-1,-3,-7,96,76,38,1032,1028,1023,16,12,0,23,6,32,0.00,3,Fog,3
2015-2-13,16,7,-2,-3,-6,-8,85,50,19,1026,1024,1022,16,16,16,26,11,35,0.00,0,,348
2015-2-14,17,8,-1,-3,-6,-7,73,40,19,1025,1020,1014,16,16,16,24,13,,0.00,0,,316
2015-2-15,18,9,0,-1,-6,-9,75,42,16,1015,1010,1005,16,16,16,26,11,40,0.00,0,,293
2015-2-16,8,2,-4,-6,-8,-14,88,63,20,1018,1014,1010,16,16,14,34,19,37,0.00,3,Snow,161
2015-2-17,8,1,-6,-5,-9,-16,89,61,20,1022,1020,1016,16,14,2,16,11,,0.00,4,Snow,347
2015-2-18,14,5,-4,-9,-14,-17,58,30,13,1023,1021,1017,16,16,16,26,13,,0.00,0,,343
2015-2-19,17,6,-4,-9,-11,-12,62,33,13,1022,1017,1012,16,16,16,23,14,,0.00,0,,352
2015-2-20,18,8,-2,-8,-11,-16,58,29,10,1012,1008,1003,16,16,16,47,11,60,0.00,0,,290
2015-2-21,11,3,-4,-6,-9,-11,62,39,26,1011,1009,1006,16,16,16,29,11,39,0.00,3,,287
2015-2-22,3,-3,-10,-2,-9,-14,74,65,54,1026,1018,1011,16,15,4,45,26,63,0.00,7,Snow,147
2015-2-23,-3,-8,-12,-9,-13,-16,80,66,55,1029,1025,1021,16,14,3,34,23,47,0.00,7,Snow,163
2015-2-24,4,-2,-8,0,-5,-10,92,76,54,1022,1017,1014,16,12,1,26,14,35,0.00,7,Snow,16
2015-2-25,9,1,-6,-3,-6,-8,96,72,35,1016,1014,1009,16,14,2,34,13,40,0.00,2,,307
2015-2-26,-1,-4,-8,-3,-8,-11,89,76,63,1020,1016,1013,16,11,2,40,26,50,0.00,8,Snow,147
2015-2-27,-7,-8,-9,-10,-12,-14,88,77,62,1019,1014,1011,16,6,0,39,29,52,0.00,8,Fog-Snow,150
2015-2-28,1,-4,-9,0,-8,-12,96,82,75,1017,1013,1011,16,6,0,24,16,,4.06,8,Fog-Rain-Snow,155
2015-3-1,12,7,1,3,1,-4,93,74,45,1020,1018,1014,16,13,0,32,8,45,1.27,6,Rain,13
2015-3-2,12,4,-2,4,-1,-5,89,71,43,1021,1013,1007,16,15,6,34,26,63,2.79,5,Rain-Thunderstorm,179
2015-3-3,9,4,-1,0,-4,-7,89,61,34,1014,1008,1005,16,16,16,26,10,35,0.00,3,,251
2015-3-4,7,0,-6,-4,-7,-11,84,64,31,1025,1015,1008,16,16,16,37,11,50,0.00,3,,185
2015-3-5,8,-1,-9,-9,-11,-16,84,52,21,1030,1028,1026,16,16,16,26,13,,0.00,0,,7
2015-3-6,14,4,-5,-7,-11,-17,65,40,12,1029,1026,1022,16,16,16,27,14,,0.00,0,,333
2015-3-7,16,7,-3,-8,-11,-18,66,35,9,1026,1021,1017,16,16,16,26,18,,0.00,1,,61
2015-3-8,16,8,-1,-3,-8,-15,61,39,12,1017,1014,1011,16,16,16,27,14,32,0.00,1,,33
2015-3-9,16,6,-3,-3,-5,-9,85,51,21,1016,1013,1010,16,16,16,16,10,,0.00,2,,317
2015-3-10,17,7,-2,-4,-7,-11,78,43,15,1021,1016,1014,16,16,16,24,11,29,0.00,1,,5
2015-3-11,18,9,0,-6,-9,-13,61,33,12,1025,1022,1019,16,16,13,24,11,,0.00,0,,348
2015-3-12,18,8,1,-4,-7,-9,64,34,17,1021,1017,1014,16,16,16,16,6,29,0.00,2,,347
2015-3-13,17,9,1,1,-4,-7,75,41,22,1025,1020,1014,16,16,14,29,16,50,0.00,5,Rain,18
2015-3-14,17,8,0,-2,-5,-7,75,44,19,1028,1025,1022,16,16,16,21,13,29,0.00,3,,12
2015-3-15,21,8,-2,-6,-10,-21,69,33,6,1026,1023,1019,16,16,16,23,8,,0.00,0,,59
2015-3-16,21,10,-1,-6,-9,-12,50,28,11,1022,1019,1016,16,16,16,26,10,27,0.00,0,,321
2015-3-17,15,8,2,1,-2,-6,62,49,37,1021,1018,1015,16,16,16,32,13,37,0.00,5,,145
2015-3-18,20,11,2,6,2,-2,89,64,32,1017,1013,1007,16,16,16,27,13,45,0.00,4,Rain,250
2015-3-19,16,8,3,6,4,2,97,84,44,1022,1014,1009,16,10,0,27,10,42,6.10,7,Fog-Rain,261
2015-3-20,10,6,1,3,2,0,93,83,59,1026,1022,1019,16,16,16,21,8,,1.27,6,Rain,25
2015-3-21,17,9,1,3,1,-1,92,68,32,1022,1018,1015,16,16,16,32,13,40,0.00,1,,342
2015-3-22,21,10,-1,2,-5,-12,85,45,11,1020,1017,1015,16,16,16,32,10,40,0.00,0,,316
2015-3-23,19,10,1,-3,-8,-15,64,34,9,1017,1014,1010,16,16,16,35,11,53,0.00,0,,264
2015-3-24,20,11,3,-6,-9,-13,54,26,10,1016,1012,1009,16,16,16,34,16,50,0.00,0,,280
2015-3-25,19,9,1,-2,-6,-10,64,37,14,1021,1012,1008,16,16,16,39,16,55,0.00,1,,315
2015-3-26,16,6,-4,-5,-8,-13,81,42,14,1025,1022,1019,16,16,16,24,10,39,0.00,0,,107
2015-3-27,23,12,1,-7,-9,-11,52,28,11,1023,1019,1014,16,16,16,26,11,45,0.00,0,,331
2015-3-28,25,13,2,-5,-8,-14,52,25,8,1020,1016,1012,16,16,16,21,13,29,0.00,0,,341
2015-3-29,24,12,2,-3,-8,-14,50,24,8,1019,1016,1014,16,16,16,37,10,61,0.00,0,,118
2015-3-30,23,14,6,-5,-7,-9,40,26,13,1020,1017,1014,16,16,16,24,11,27,0.00,1,,256
2015-3-31,24,13,4,-4,-7,-11,51,28,10,1019,1013,1009,16,16,16,29,14,45,0.00,1,,3
2015-4-1,22,13,4,-3,-7,-10,50,28,13,1011,1008,1005,16,16,16,37,11,60,0.00,1,,295
2015-4-2,22,13,5,-6,-12,-20,41,21,5,1017,1008,1003,16,16,4,48,16,66,0.00,0,,244
2015-4-3,16,9,2,-4,-15,-27,51,23,4,1023,1017,1011,16,16,16,32,13,48,0.00,0,,223
2015-4-4,18,9,0,-2,-3,-5,73,47,24,1023,1018,1012,16,16,16,29,18,37,0.00,0,,172
2015-4-5,22,12,4,3,-7,-16,76,33,8,1012,1008,1004,16,16,16,34,10,50,0.00,1,,252
2015-4-6,22,10,-1,-9,-16,-23,47,18,4,1011,1008,1006,16,16,16,35,11,52,0.00,0,,276
2015-4-7,21,10,-1,-13,-16,-18,35,16,7,1016,1011,1008,16,16,16,27,11,52,0.00,0,,236
2015-4-8,22,14,7,-4,-14,-23,30,15,4,1008,1004,999,16,16,16,55,18,76,0.00,2,,254
2015-4-9,17,8,1,-13,-18,-23,29,16,6,1015,1012,1007,16,16,16,34,14,39,0.00,0,,315
2015-4-10,18,9,1,0,-6,-12,61,34,12,1019,1014,1011,16,16,16,42,26,63,0.00,0,,157
2015-4-11,21,11,2,1,-6,-15,76,35,8,1015,1010,1007,16,16,16,29,13,42,0.00,0,,254
2015-4-12,21,11,3,-6,-11,-18,37,21,7,1010,1008,1005,16,16,16,23,11,,0.00,0,,360
2015-4-13,20,13,7,-3,-9,-12,42,23,12,1021,1016,1009,16,16,16,34,13,47,0.00,0,,133
2015-4-14,22,10,-1,-1,-6,-9,54,33,13,1021,1015,1010,16,16,16,45,13,63,0.00,1,,244
2015-4-15,19,12,5,-1,-5,-14,65,35,11,1009,1006,1003,16,16,16,45,13,63,0.00,3,,185
2015-4-16,15,4,-4,-7,-17,-19,38,20,8,1014,1008,1004,16,16,14,48,14,71,0.00,1,,240
2015-4-17,11,2,-7,0,-12,-17,89,36,16,1016,1015,1013,16,16,14,35,11,50,0.00,3,Rain,263
2015-4-18,12,6,0,1,-1,-7,96,80,26,1018,1014,1009,16,9,1,32,13,42,2.54,7,Snow,337
2015-4-19,17,9,2,-2,-4,-9,70,43,17,1016,1012,1009,16,16,16,39,16,52,0.00,1,,360
2015-4-20,20,11,2,-2,-5,-8,64,36,17,1013,1010,1006,16,16,16,45,21,60,0.00,2,Rain-Thunderstorm,220
2015-4-21,22,12,3,-4,-7,-11,59,29,10,1014,1009,1006,16,16,16,27,13,53,0.00,1,,302
2015-4-22,22,14,6,-2,-4,-10,52,30,12,1015,1008,1005,16,16,16,34,19,58,0.00,1,,351
2015-4-23,22,12,2,-4,-9,-15,48,26,8,1013,1007,1004,16,16,16,34,13,52,0.00,1,,255
2015-4-24,16,10,4,3,-2,-8,79,47,22,1013,1006,1003,16,16,10,48,18,63,0.51,5,Rain,278
2015-4-25,17,10,3,0,-2,-5,73,44,23,1010,1007,1003,16,16,16,27,10,40,0.00,3,,258
2015-4-26,11,6,2,3,1,-3,93,73,39,1012,1005,1001,16,14,3,39,14,40,7.11,7,Rain-Snow,283
2015-4-27,16,8,3,3,2,0,89,71,42,1020,1013,1010,16,16,8,29,14,45,2.79,6,Rain,24
2015-4-28,17,7,-1,-1,-3,-7,89,51,21,1024,1021,1019,16,16,16,14,6,26,0.00,1,,139
2015-4-29,23,12,2,-1,-2,-4,76,39,19,1021,1015,1010,16,16,16,32,11,45,0.00,0,,290
2015-4-30,26,16,5,-1,-5,-9,55,24,10,1012,1009,1007,16,16,16,24,8,34,0.00,0,,248
2015-5-1,27,17,8,0,-3,-11,56,28,8,1012,1010,1008,16,16,16,27,11,45,0.00,1,,220
2015-5-2,27,18,9,2,-2,-6,54,28,12,1018,1011,1007,16,16,16,39,13,60,0.00,2,Thunderstorm,297
2015-5-3,24,15,6,3,1,-4,65,43,17,1017,1011,1008,16,16,16,26,13,42,0.00,2,Thunderstorm,13
2015-5-4,23,16,9,9,4,-1,89,56,22,1017,1012,1008,16,15,3,47,16,58,1.02,6,Rain-Thunderstorm,99
2015-5-5,17,12,8,8,6,3,93,76,41,1015,1010,1005,16,15,3,29,8,48,4.83,6,Rain-Thunderstorm,209
2015-5-6,21,13,8,7,4,0,86,62,28,1012,1007,1004,16,16,16,32,16,50,0.00,6,,268
