CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-2,-2,-3,-5,-6,-9,84,71,58,1019,1016,1011,16,16,16,37,13,52,T,8,,293
2015-1-2,4,-4,-13,-2,-6,-17,92,70,48,1016,1008,1003,16,10,2,47,14,55,1.52,7,Snow,298
2015-1-3,-13,-17,-21,-17,-21,-25,83,71,59,1038,1028,1011,16,12,2,45,20,53,0.25,7,Snow,351
2015-1-4,-18,-23,-28,-21,-28,-31,79,69,58,1043,1040,1032,16,15,5,29,14,39,T,2,Snow,286
2015-1-5,-16,-22,-28,-21,-24,-30,81,75,68,1038,1026,1017,16,9,1,24,11,27,2.79,5,Snow,67
2015-1-6,-16,-21,-26,-20,-23,-27,79,71,62,1054,1042,1034,16,14,3,40,19,52,T,4,Snow,319
2015-1-7,-11,-19,-28,-17,-24,-31,81,68,55,1054,1007,955,16,16,16,24,11,29,0.00,0,,210
2015-1-8,-7,-13,-19,-11,-17,-23,76,71,66,1038,1026,1012,16,8,1,66,38,85,0.51,6,Snow,318
2015-1-9,-16,-20,-24,-23,-25,-27,79,65,51,1038,1032,1020,16,16,16,27,11,34,0.00,0,,236
2015-1-10,-13,-18,-24,-20,-22,-25,83,67,50,1024,1022,1017,16,16,16,19,4,23,0.00,4,,23
2015-1-11,-13,-19,-26,-18,-21,-27,83,69,55,1041,1030,1020,16,15,4,24,9,27,T,3,Snow,312
2015-1-12,-11,-20,-29,-19,-23,-31,86,69,52,1043,1038,1026,16,16,16,19,7,24,0.00,0,,179
2015-1-13,-6,-12,-19,-9,-15,-21,87,80,73,1030,1027,1023,16,13,1,32,10,39,T,3,Snow,227
2015-1-14,0,-6,-13,-7,-9,-14,92,76,59,1026,1020,1017,16,16,16,39,16,47,0.00,4,,223
2015-1-15,2,-3,-9,-4,-7,-10,91,78,64,1021,1018,1014,16,16,16,21,9,27,0.00,0,,207
2015-1-16,4,-5,-14,0,-8,-14,100,78,56,1014,1007,1000,16,13,1,47,13,61,T,2,Fog-Rain,210
2015-1-17,3,1,-3,0,-3,-6,82,69,56,1012,1009,1000,16,14,3,47,27,61,T,4,Rain-Snow,277
2015-1-18,2,-4,-12,-3,-6,-11,92,78,63,1014,1011,1008,16,16,16,32,7,39,0.00,2,,215
2015-1-19,3,1,-2,0,-2,-4,92,78,64,1016,1011,1007,16,13,2,42,25,55,1.52,7,Rain-Snow,298
2015-1-20,2,-2,-5,-2,-4,-8,92,82,72,1024,1019,1014,16,15,8,35,18,47,T,6,Snow,307
2015-1-21,-1,-5,-9,-4,-8,-10,92,82,72,1029,1026,1022,16,14,6,26,10,32,T,6,Snow,267
2015-1-22,6,-2,-10,-2,-5,-11,96,75,53,1024,1017,1013,16,16,11,34,17,42,0.00,2,,220
2015-1-23,6,2,-3,-1,-2,-4,85,73,60,1020,1018,1013,16,16,16,35,17,43,0.00,1,,240
2015-1-24,4,2,0,2,0,-3,100,88,75,1015,1009,1003,16,16,11,39,17,53,2.03,7,Rain,282
