EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,4,-1,-6,-7,-12,-14,59,45,30,1022,1019,1015,16,16,14,34,15,47,0.00,0,,240
2015-1-2,6,2,-3,-7,-8,-9,69,53,36,1030,1024,1017,16,16,13,27,11,40,0.00,0,,272
2015-1-3,6,1,-3,4,-1,-8,92,76,59,1034,1028,1017,16,6,1,16,8,23,20.07,7,Rain-Snow,55
2015-1-4,13,9,4,11,6,0,100,78,56,1017,1011,1005,16,7,0,37,13,53,7.11,7,Fog-Rain,241
2015-1-5,9,2,-6,-2,-12,-18,54,42,30,1030,1022,1011,16,16,16,42,23,66,0.00,1,,295
2015-1-6,-6,-8,-10,-9,-11,-17,88,64,39,1030,1024,1017,16,6,1,19,7,31,2.54,6,Snow,231
2015-1-7,-5,-9,-13,-11,-16,-23,88,60,31,1026,1018,1014,16,14,8,39,18,58,0.00,2,,295
2015-1-8,-7,-11,-14,-17,-20,-24,58,50,41,1032,1028,1023,16,16,16,29,15,47,0.00,0,,261
2015-1-9,1,-4,-9,-9,-13,-16,62,49,36,1024,1019,1015,16,13,3,35,16,53,T,5,Snow,250
2015-1-10,-6,-8,-11,-17,-19,-21,58,45,31,1036,1032,1025,16,16,14,26,13,40,0.00,0,,271
2015-1-11,3,-4,-11,-8,-13,-18,67,51,35,1039,1035,1032,16,16,13,29,10,39,0.00,1,,221
2015-1-12,3,2,0,1,-1,-7,96,74,51,1032,1024,1020,16,7,1,24,6,31,12.19,8,Rain,265
2015-1-13,2,-3,-9,-2,-11,-18,75,54,33,1036,1031,1024,16,16,16,34,18,43,0.00,3,,9
2015-1-14,-1,-5,-9,-7,-11,-17,63,58,53,1034,1027,1022,16,16,16,23,11,27,0.00,7,,28
2015-1-15,2,-1,-4,-7,-8,-9,75,63,51,1022,1019,1014,16,15,11,23,9,29,0.00,6,,296
2015-1-16,6,-1,-7,-5,-9,-17,75,57,38,1024,1014,1011,16,14,10,39,19,52,T,2,,285
2015-1-17,-1,-6,-10,-10,-16,-19,60,43,25,1029,1027,1023,16,15,1,24,9,32,0.00,0,,233
2015-1-18,4,-1,-7,3,-1,-11,100,81,62,1022,1012,1006,16,6,1,16,8,31,50.04,7,Rain,16
2015-1-19,6,3,1,-1,-3,-5,89,68,46,1012,1011,1008,16,16,11,29,14,52,0.00,7,,275
2015-1-20,6,2,-2,-1,-3,-6,92,71,49,1017,1014,1011,16,12,4,23,8,32,0.51,3,Rain,291
2015-1-21,1,-2,-6,-4,-8,-12,92,70,47,1021,1020,1018,16,13,2,13,6,16,T,5,Snow,23
2015-1-22,4,1,-2,-2,-4,-7,85,75,64,1027,1024,1021,16,11,4,16,7,27,T,6,Snow,304
2015-1-23,4,-1,-7,-1,-5,-9,84,69,54,1028,1022,1014,16,11,1,19,7,27,2.54,2,Snow,212
2015-1-24,3,2,0,1,-1,-4,96,80,64,1013,1002,992,16,6,1,21,13,32,15.24,8,Fog-Rain-Snow,13
2015-1-25,6,3,-1,-2,-4,-9,75,60,44,1014,1008,1001,16,15,5,29,14,43,T,6,Snow,288
2015-1-26,-1,-3,-5,-6,-7,-9,81,75,68,1015,1010,1005,16,6,1,37,23,50,T,8,Snow,47
2015-1-27,-1,-4,-8,-7,-9,-15,81,64,46,1011,1006,1004,16,7,1,34,20,42,T,6,Snow,341
2015-1-28,1,-4,-9,-14,-17,-18,56,42,27,1025,1019,1012,16,16,16,32,15,48,0.00,0,,325
2015-1-29,0,-6,-12,-4,-12,-18,78,57,36,1027,1022,1014,16,14,4,21,8,27,T,4,Snow,183
2015-1-30,3,-2,-8,-3,-8,-16,85,63,40,1018,1013,1010,16,15,8,42,18,61,T,5,Snow,320
2015-1-31,-3,-7,-11,-14,-17,-20,56,45,33,1023,1022,1018,16,16,16,35,19,58,0.00,0,,303
2015-2-1,3,-3,-9,-3,-8,-14,75,61,47,1024,1020,1013,16,14,1,26,8,31,T,7,Snow,228
2015-2-2,2,-3,-9,1,-3,-16,96,74,51,1015,1002,995,16,8,1,45,19,69,30.23,7,Rain-Snow,35
2015-2-3,-3,-6,-9,-13,-15,-16,62,52,42,1027,1024,1016,16,16,16,32,12,43,0.00,0,,283
2015-2-4,6,-1,-8,-3,-7,-13,77,62,46,1026,1020,1012,16,16,14,26,9,32,0.00,4,,199
2015-2-5,4,-3,-11,-3,-12,-21,70,51,32,1024,1017,1010,16,15,5,45,21,60,T,4,Snow,331
2015-2-6,-1,-6,-12,-14,-18,-20,58,43,27,1026,1023,1020,16,16,16,27,11,39,0.00,2,,275
2015-2-7,6,-1,-9,-8,-10,-14,68,49,29,1022,1018,1014,16,16,13,26,7,29,0.00,5,,219
2015-2-8,6,3,1,2,-1,-8,100,74,47,1014,1011,1009,16,9,1,24,11,32,T,4,Fog,69
2015-2-9,1,-1,-3,0,-4,-6,96,87,78,1016,1014,1011,16,12,3,27,19,42,0.76,8,Rain,54
2015-2-10,4,1,-3,-4,-6,-7,81,66,50,1017,1016,1015,16,16,13,27,17,47,T,5,,22
2015-2-11,2,-2,-6,-6,-10,-13,75,54,32,1018,1016,1013,16,16,16,27,11,39,0.00,1,,37
2015-2-12,4,-2,-8,-1,-7,-19,78,57,35,1014,1009,1006,16,13,4,40,16,56,T,6,Snow,273
2015-2-13,-6,-10,-14,-18,-21,-23,55,43,31,1023,1021,1016,16,16,14,40,17,60,0.00,0,,295
2015-2-14,-1,-6,-11,-4,-8,-17,92,70,47,1019,1004,998,16,7,0,42,11,64,3.30,7,Fog-Snow,237
2015-2-15,-7,-11,-16,-11,-19,-26,80,58,36,1022,1009,1001,16,7,1,47,29,69,0.76,4,Snow,314
2015-2-16,-8,-12,-17,-17,-22,-26,57,47,37,1024,1022,1018,16,16,4,35,15,52,T,2,Snow,292
2015-2-17,-2,-7,-11,-11,-13,-16,84,67,50,1018,1013,1010,16,8,1,16,8,23,3.56,6,Snow,356
2015-2-18,-1,-8,-14,-11,-15,-18,76,56,35,1014,1010,1006,16,15,8,29,9,40,T,1,Snow,269
2015-2-19,-6,-9,-14,-12,-19,-26,58,44,30,1018,1012,1008,16,16,5,40,23,56,T,3,Snow,291
2015-2-20,-9,-13,-18,-22,-24,-27,55,44,33,1032,1026,1019,16,16,14,35,16,52,0.00,0,,283
2015-2-21,0,-8,-16,-2,-9,-22,92,69,45,1033,1026,1021,16,6,1,32,10,42,12.70,6,Fog-Rain-Snow,193
2015-2-22,6,3,0,0,-1,-3,92,75,57,1023,1021,1019,16,9,3,14,5,21,5.84,5,Rain,276
2015-2-23,2,-5,-13,-5,-16,-24,70,48,25,1029,1026,1022,16,16,16,39,18,52,0.00,2,,333
2015-2-24,-4,-11,-18,-14,-21,-24,67,49,30,1029,1021,1010,16,16,14,27,9,34,0.00,0,,181
2015-2-25,3,-5,-13,-9,-12,-15,83,61,38,1015,1011,1007,16,16,14,29,10,43,0.00,0,,269
2015-2-26,-1,-3,-6,-9,-12,-15,65,52,38,1020,1015,1012,16,16,14,26,13,34,0.00,5,,18
2015-2-27,-2,-4,-7,-11,-14,-18,73,54,34,1036,1029,1021,16,16,16,23,10,29,0.00,3,,325
2015-2-28,-2,-7,-12,-16,-19,-21,53,39,25,1044,1041,1037,16,16,16,19,8,24,0.00,0,,318
2015-3-1,-1,-5,-10,-3,-8,-17,92,67,42,1040,1031,1021,16,8,1,23,5,31,10.16,7,Fog-Rain-Snow,173
2015-3-2,4,1,-2,-2,-7,-14,92,63,33,1028,1021,1016,16,10,3,35,14,52,T,5,,303
2015-3-3,1,-3,-7,-1,-7,-14,92,66,39,1030,1023,1010,16,9,1,23,11,48,6.10,6,Rain-Snow,180
2015-3-4,7,4,1,4,2,-1,96,89,82,1013,1011,1008,8,4,1,13,8,26,18.80,8,Fog-Rain,243
2015-3-5,4,-2,-8,2,-5,-16,92,74,56,1029,1020,1012,16,4,0,37,15,48,17.78,8,Fog-Rain-Snow,341
2015-3-6,-4,-9,-14,-14,-16,-18,69,55,40,1035,1031,1028,16,16,16,23,10,32,0.00,0,Snow,302
2015-3-7,4,-5,-14,-6,-12,-16,83,58,33,1028,1022,1017,16,15,10,29,11,45,0.00,2,,235
2015-3-8,9,3,-4,-3,-6,-7,81,58,34,1021,1019,1016,16,16,13,32,10,50,0.00,2,,263
