MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-3,-10,-17,-11,-14,-18,92,71,50,1026,1022,1016,16,16,16,21,7,21,0.00,3,,73
2015-1-2,-3,-10,-17,-11,-13,-18,95,75,55,1029,1025,1021,16,16,16,13,5,14,0.00,1,,48
2015-1-3,-3,-8,-14,-9,-11,-14,91,80,68,1030,1024,1021,16,16,13,19,6,19,0.00,5,,59
2015-1-4,-2,-8,-15,-7,-10,-15,92,78,63,1037,1035,1030,16,16,16,16,4,19,0.00,5,,80
2015-1-5,1,-6,-12,-7,-9,-13,92,73,54,1040,1038,1036,16,16,16,14,6,16,0.00,0,,83
2015-1-6,6,-2,-10,-3,-6,-11,100,75,50,1041,1038,1035,16,16,11,14,5,18,0.00,0,,62
2015-1-7,9,1,-8,-1,-4,-8,100,75,49,1039,1034,1029,16,16,14,19,7,23,0.00,0,,99
2015-1-8,6,0,-6,0,-3,-6,100,81,62,1029,1026,1023,16,16,10,14,6,19,0.00,0,,48
2015-1-9,7,1,-6,-1,-3,-6,96,77,57,1026,1023,1021,16,16,16,19,6,23,0.00,0,,81
2015-1-10,6,1,-4,-1,-2,-4,100,82,64,1023,1021,1018,16,16,14,14,4,16,0.00,6,,52
2015-1-11,1,0,-1,1,0,-2,100,93,85,1025,1021,1018,14,3,0,11,3,11,4.06,8,Fog-Snow,81
2015-1-12,6,3,0,2,1,-1,100,84,67,1026,1022,1018,16,13,3,23,9,27,0.76,8,Rain,101
2015-1-13,4,2,-1,3,1,-1,100,93,85,1022,1019,1017,16,12,0,23,7,27,6.35,7,Fog-Rain,95
2015-1-14,8,2,-3,0,-2,-4,100,77,53,1029,1024,1021,16,15,3,19,4,21,0.00,1,,73
2015-1-15,7,1,-5,-2,-4,-7,92,69,45,1035,1032,1029,16,16,16,23,8,26,0.00,0,,107
2015-1-16,5,1,-4,-1,-4,-6,92,70,48,1031,1027,1023,16,16,16,21,8,24,0.00,2,,107
2015-1-17,8,2,-4,-1,-3,-4,100,73,45,1032,1029,1025,16,16,13,23,6,27,0.00,0,,90
2015-1-18,8,2,-4,-2,-4,-6,92,69,45,1032,1029,1027,16,16,16,21,7,24,0.00,0,,97
2015-1-19,6,1,-4,-1,-3,-6,100,75,49,1028,1025,1023,16,16,16,13,5,14,0.00,1,,55
2015-1-20,8,2,-5,-2,-4,-6,100,69,37,1026,1023,1020,16,16,16,14,6,18,0.00,1,,75
2015-1-21,5,1,-4,-4,-9,-15,92,59,25,1026,1023,1020,16,16,16,32,10,39,0.00,0,,347
2015-1-22,3,-2,-8,-9,-13,-15,74,50,25,1033,1031,1027,16,16,16,23,8,27,0.00,0,,110
2015-1-23,6,-1,-8,-7,-12,-15,74,50,25,1033,1031,1028,16,16,16,24,9,27,0.00,1,,118
2015-1-24,5,-1,-8,-7,-10,-13,74,51,27,1034,1031,1027,16,16,16,24,9,29,0.00,0,,109
2015-1-25,9,2,-6,-4,-7,-9,81,56,31,1032,1030,1027,16,16,16,23,9,23,0.00,0,,109
2015-1-26,14,5,-4,-3,-4,-6,88,58,28,1032,1028,1023,16,16,16,26,12,32,0.00,0,,111
2015-1-27,11,3,-4,-2,-3,-5,92,65,38,1028,1025,1023,16,16,16,23,10,26,0.00,3,,55
2015-1-28,11,3,-5,1,-1,-4,100,72,44,1027,1025,1022,16,16,16,19,6,23,0.00,3,,55
2015-1-29,12,6,-1,0,-2,-3,82,60,38,1028,1026,1023,16,16,16,23,10,26,0.00,3,,123
2015-1-30,9,6,2,4,2,0,100,79,58,1023,1017,1012,16,14,6,16,5,21,2.03,8,Rain,127
2015-1-31,6,2,-1,3,3,-1,100,91,82,1018,1013,1011,16,9,0,21,6,23,5.33,7,Fog-Rain,320
2015-2-1,8,2,-4,1,-2,-3,100,75,49,1023,1021,1018,16,16,16,14,4,18,0.00,3,,80
2015-2-2,12,6,-1,1,-2,-4,92,64,35,1024,1021,1019,16,16,16,14,6,16,0.00,5,,131
2015-2-3,12,6,-1,1,-1,-2,92,67,42,1022,1019,1016,16,16,16,23,9,24,0.00,2,,100
2015-2-4,13,6,-1,3,1,-1,96,70,43,1022,1020,1017,16,16,16,19,5,26,0.00,3,,71
2015-2-5,15,8,1,1,-1,-4,82,55,28,1026,1023,1021,16,16,16,23,11,26,0.00,0,,105
2015-2-6,16,6,-3,-2,-4,-6,85,55,24,1026,1022,1019,16,16,16,24,7,29,0.00,0,,96
2015-2-7,15,7,-1,-2,-3,-6,78,51,24,1020,1018,1015,16,16,16,26,9,27,0.00,1,,83
