MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-4,-9,-15,-12,-14,-17,80,65,50,1028,1025,1020,16,16,14,19,5,21,0.00,1,,192
2015-1-2,-3,-7,-12,-11,-13,-14,83,67,50,1028,1026,1023,16,16,16,23,7,24,0.00,2,,137
2015-1-3,0,-3,-7,-8,-9,-11,81,65,49,1029,1026,1023,16,15,11,14,6,19,0.00,6,,170
2015-1-4,2,-2,-7,-3,-7,-9,81,71,61,1033,1031,1029,16,13,10,19,8,23,0.00,7,,168
2015-1-5,6,3,-1,-1,-3,-4,89,73,57,1034,1032,1030,16,16,11,19,7,21,0.00,7,,176
2015-1-6,8,3,-2,1,-1,-3,92,75,58,1036,1034,1033,16,16,11,14,5,14,0.00,4,,309
2015-1-7,9,3,-3,2,-2,-4,92,79,65,1035,1032,1027,16,13,8,16,4,18,0.00,1,,256
2015-1-8,8,2,-3,2,-1,-4,92,79,65,1027,1025,1022,10,5,1,14,5,16,0.00,2,Fog,271
2015-1-9,7,2,-3,1,-2,-4,100,85,70,1024,1022,1019,10,4,0,14,5,19,0.00,3,Fog,286
2015-1-10,2,-1,-4,2,-2,-4,100,91,82,1020,1018,1016,5,3,0,13,4,14,1.78,6,Fog-Rain,301
2015-1-11,7,4,1,4,2,0,100,91,82,1022,1020,1017,4,2,2,14,5,16,0.76,8,Rain,318
2015-1-12,4,2,0,3,2,-1,100,96,92,1022,1020,1017,16,5,0,24,8,27,17.53,8,Fog-Rain-Snow,117
2015-1-13,4,2,-1,0,-1,-2,100,88,76,1028,1024,1019,16,11,1,24,11,29,0.51,6,Rain-Snow,316
2015-1-14,1,-1,-3,-2,-3,-3,92,85,78,1033,1030,1027,16,14,11,16,5,18,0.00,7,,317
2015-1-15,3,-1,-4,-2,-4,-6,92,78,64,1035,1032,1029,16,14,8,21,7,23,0.00,3,,265
2015-1-16,2,-1,-4,-1,-3,-4,92,84,75,1029,1026,1023,11,9,3,24,7,29,T,6,Rain-Snow,307
2015-1-17,9,3,-3,-1,-3,-4,100,71,42,1032,1029,1026,16,12,6,21,8,27,0.00,2,,140
2015-1-18,11,7,2,1,-2,-4,82,63,44,1026,1024,1022,16,16,16,24,11,31,T,6,,161
2015-1-19,8,4,1,3,1,-1,92,79,65,1026,1024,1023,16,15,11,23,8,26,1.27,6,Rain,315
2015-1-20,5,2,-2,-2,-3,-4,92,73,54,1027,1025,1024,16,16,16,23,6,26,0.00,4,,310
2015-1-21,3,-1,-4,-4,-6,-9,92,68,44,1031,1028,1025,16,16,16,21,6,26,0.00,1,,316
2015-1-22,4,-1,-6,-5,-8,-11,81,58,35,1033,1032,1029,16,16,16,16,10,19,0.00,1,,146
2015-1-23,4,-1,-5,-5,-7,-8,81,63,44,1035,1033,1031,16,16,16,24,8,27,0.00,3,,241
2015-1-24,6,1,-5,-2,-5,-7,82,64,45,1036,1034,1031,16,15,11,19,7,23,0.00,5,,117
2015-1-25,11,6,-1,2,-1,-3,89,68,46,1033,1031,1030,16,12,10,14,5,21,0.00,4,,310
2015-1-26,11,5,-1,2,-1,-2,92,74,56,1030,1027,1022,16,14,10,16,8,19,0.00,1,,130
2015-1-27,14,7,-2,3,1,-2,92,68,43,1024,1022,1020,16,13,6,39,10,56,0.00,4,,164
2015-1-28,10,6,1,4,2,1,92,74,56,1028,1025,1020,16,16,14,21,8,26,T,6,,316
2015-1-29,7,2,-2,2,1,-3,100,85,70,1029,1027,1024,16,14,1,14,6,19,0.00,5,,297
2015-1-30,7,4,2,2,2,2,92,84,76,1023,1019,1014,16,15,10,14,6,19,T,8,Rain,287
2015-1-31,8,4,-1,2,-1,-2,85,67,49,1022,1017,1014,16,16,16,27,13,34,0.00,3,,313
2015-2-1,10,4,-3,1,-3,-6,92,66,39,1025,1022,1020,16,16,16,14,8,18,0.00,4,,167
2015-2-2,13,9,5,4,1,-3,76,60,43,1023,1019,1016,16,16,16,26,9,29,0.25,7,Rain,139
2015-2-3,15,10,5,4,2,2,82,63,43,1020,1016,1014,16,16,16,24,10,31,T,6,Rain,163
2015-2-4,14,10,6,6,3,0,89,68,47,1021,1019,1015,16,16,16,26,7,31,0.76,6,Rain,314
2015-2-5,18,12,4,3,-2,-7,71,45,19,1021,1018,1015,16,16,16,39,17,52,0.00,5,,150
2015-2-6,20,14,7,-4,-7,-9,42,28,14,1018,1014,1011,16,16,16,53,26,68,0.00,5,,160
2015-2-7,20,16,11,5,-5,-8,46,32,17,1018,1013,1010,16,16,11,50,22,63,0.25,6,Rain,201
2015-2-8,18,12,5,6,1,-4,89,56,23,1023,1020,1016,16,16,16,32,10,34,T,2,,149
2015-2-9,14,13,8,7,3,-1,76,58,40,1020,1016,1012,16,16,14,39,20,48,2.54,4,Rain,156
2015-2-10,11,7,3,4,1,-1,83,69,54,1026,1023,1019,16,16,16,29,12,32,0.25,4,,314
2015-2-11,12,6,0,1,0,-2,96,67,38,1031,1029,1027,16,16,16,21,8,24,0.00,2,,293
2015-2-12,15,8,2,2,-1,-2,82,58,33,1030,1028,1026,16,16,16,21,6,23,0.00,3,,138
2015-2-13,15,8,0,2,-1,-3,76,55,33,1029,1027,1025,16,16,16,14,6,31,0.00,3,,157
2015-2-14,16,9,2,2,-1,-3,76,54,31,1025,1021,1018,16,16,11,19,9,24,0.00,5,,169
