MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-5,-13,-21,-9,-13,-21,92,76,59,1021,1016,1010,16,9,2,14,7,16,0.76,6,Snow,331
2015-1-2,-5,-13,-21,-13,-18,-22,100,78,56,1024,1021,1016,16,14,1,14,7,18,0.00,1,Snow,196
2015-1-3,-4,-11,-17,-8,-12,-18,86,79,71,1027,1018,1012,16,15,3,16,7,21,T,7,Snow,342
2015-1-4,-2,-8,-15,-8,-12,-16,81,70,58,1034,1030,1024,16,15,4,19,5,23,0.00,7,,201
2015-1-5,3,-4,-12,-6,-9,-13,92,72,52,1035,1032,1031,16,16,16,16,7,19,0.00,4,,218
2015-1-6,6,-1,-8,-2,-4,-8,92,75,57,1037,1033,1029,16,16,16,16,6,18,0.00,2,,210
2015-1-7,6,0,-7,-4,-7,-10,88,69,49,1035,1032,1027,16,16,16,16,9,21,0.00,0,,222
2015-1-8,7,0,-7,-5,-8,-11,75,59,43,1026,1023,1020,16,16,16,19,9,21,0.00,1,,214
2015-1-9,6,-2,-11,-4,-10,-14,84,62,40,1025,1022,1019,16,16,16,16,7,19,0.00,0,,209
2015-1-10,5,-2,-10,-5,-9,-13,81,64,47,1022,1019,1015,16,16,14,16,8,19,0.00,1,,211
2015-1-11,1,-3,-7,-2,-3,-7,92,87,81,1023,1019,1014,16,9,1,13,4,16,1.78,8,Snow,319
2015-1-12,2,-2,-7,-3,-6,-8,100,76,52,1024,1021,1015,16,16,11,21,6,24,0.00,6,,232
2015-1-13,1,-4,-9,-2,-6,-9,92,78,63,1021,1018,1015,16,14,4,16,6,18,0.25,5,Snow,212
2015-1-14,2,-5,-12,-7,-10,-14,92,72,51,1029,1024,1021,16,16,16,16,9,24,0.00,2,,206
2015-1-15,2,-7,-16,-9,-14,-18,88,67,45,1035,1033,1029,16,16,16,16,9,19,0.00,0,,198
2015-1-16,4,-5,-14,-8,-13,-18,69,51,32,1031,1026,1020,16,16,16,19,6,24,0.00,2,,260
2015-1-17,4,-4,-14,-5,-12,-19,88,57,25,1031,1026,1019,16,16,13,19,8,24,T,2,Snow,262
2015-1-18,5,-4,-13,-9,-13,-19,74,53,32,1032,1029,1026,16,16,16,16,9,21,0.00,1,,200
2015-1-19,6,-2,-9,-1,-6,-13,92,69,45,1027,1022,1017,16,13,2,16,9,21,0.51,5,Snow,208
2015-1-20,2,-3,-8,-2,-6,-12,92,68,44,1021,1019,1016,16,14,2,16,7,21,T,6,Snow,303
2015-1-21,-2,-8,-14,-9,-12,-17,83,63,42,1026,1021,1018,16,13,3,19,6,26,T,5,Snow,252
2015-1-22,-3,-12,-21,-17,-20,-23,79,56,32,1035,1031,1026,16,16,16,19,11,24,0.00,0,,225
2015-1-23,1,-9,-18,-14,-17,-22,72,51,29,1033,1031,1027,16,16,16,16,8,19,0.00,2,,210
2015-1-24,0,-8,-16,-7,-12,-18,76,60,43,1035,1030,1028,16,16,16,16,5,19,0.00,4,,267
2015-1-25,8,1,-7,-3,-6,-9,75,59,42,1030,1027,1024,16,16,16,16,9,21,0.00,3,,217
2015-1-26,9,0,-9,-4,-7,-11,84,60,36,1033,1029,1025,16,16,16,16,7,18,0.00,0,,223
2015-1-27,9,1,-7,-3,-7,-11,77,56,34,1028,1024,1020,16,16,16,19,8,21,0.00,1,,178
2015-1-28,7,0,-7,-3,-5,-8,81,65,49,1026,1022,1019,16,16,16,19,6,26,0.00,5,,195
2015-1-29,7,1,-5,-4,-7,-9,74,56,37,1029,1025,1023,16,16,16,16,9,19,0.00,1,,223
2015-1-30,3,-1,-4,-1,-3,-7,100,80,59,1022,1016,1011,16,14,8,11,4,14,T,6,Snow,307
2015-1-31,1,-2,-4,-1,-2,-6,100,89,78,1015,1011,1008,16,9,1,21,6,27,3.56,8,Fog-Snow,348
2015-2-1,1,-5,-11,-6,-12,-16,92,60,28,1024,1020,1014,16,16,16,24,9,34,T,4,,225
2015-2-2,6,0,-6,-4,-7,-11,92,70,48,1024,1021,1018,16,13,3,21,7,24,0.25,6,Snow,191
2015-2-3,7,1,-5,-2,-5,-9,75,60,45,1020,1018,1015,16,16,11,16,7,21,T,6,Snow,235
2015-2-4,4,2,-1,0,-2,-5,92,77,61,1023,1019,1014,16,13,3,16,7,23,0.25,7,Rain-Snow,193
2015-2-5,11,3,-4,-6,-7,-9,81,54,26,1026,1023,1020,16,16,16,19,9,23,0.00,0,,210
2015-2-6,13,3,-6,-6,-11,-13,58,39,19,1026,1022,1017,16,16,16,23,8,27,0.00,0,,193
2015-2-7,11,3,-6,-4,-8,-12,69,48,26,1021,1018,1014,16,16,16,21,9,26,0.00,1,,203
2015-2-8,11,4,-3,-3,-5,-8,72,51,30,1024,1021,1016,16,16,16,19,9,21,0.00,3,,221
2015-2-9,13,4,-6,-4,-7,-9,77,49,20,1024,1019,1013,16,16,16,19,9,24,0.00,1,,191
2015-2-10,6,2,-3,-1,-3,-7,85,72,59,1021,1017,1012,16,14,1,24,11,31,0.25,6,Snow,173
2015-2-11,8,1,-6,-2,-6,-11,92,63,33,1029,1025,1020,16,16,16,19,9,21,T,3,,244
2015-2-12,8,1,-7,-6,-9,-12,68,47,25,1031,1027,1024,16,16,16,23,10,26,0.00,1,,230
2015-2-13,11,2,-7,-6,-8,-10,77,51,24,1030,1026,1023,16,16,16,19,9,26,0.00,0,,229
2015-2-14,13,3,-7,-4,-8,-11,68,45,22,1027,1022,1017,16,16,16,16,9,21,0.00,0,,226
2015-2-15,8,1,-6,-5,-7,-9,77,57,37,1016,1013,1010,16,16,16,39,10,53,T,3,,264
2015-2-16,-1,-7,-13,-7,-9,-15,92,70,47,1022,1016,1013,16,10,1,26,6,34,0.51,7,Fog-Snow,296
2015-2-17,1,-6,-12,-11,-14,-17,84,57,29,1024,1022,1020,16,16,16,27,11,45,0.00,3,,265
2015-2-18,7,-2,-12,-9,-13,-17,61,42,22,1027,1025,1022,16,16,16,24,11,29,0.00,1,,219
2015-2-19,11,1,-8,-7,-10,-13,67,46,24,1024,1019,1012,16,16,16,19,9,24,0.00,0,,229
2015-2-20,7,1,-4,-2,-6,-9,85,62,39,1013,1010,1005,16,12,0,52,9,79,0.51,6,Fog-Snow,277
2015-2-21,-1,-6,-11,-5,-6,-12,96,86,75,1015,1012,1010,16,7,1,21,6,29,4.32,7,Fog-Snow,306
2015-2-22,-4,-7,-11,-6,-8,-12,100,87,74,1016,1014,1011,16,6,1,14,5,21,8.13,7,Fog-Snow,343
2015-2-23,1,-4,-10,-4,-7,-10,92,81,69,1022,1017,1014,16,6,2,19,6,24,2.03,7,Snow,340
