CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,0,-4,-9,-7,-10,-13,81,64,47,1026,1023,1020,16,16,16,40,22,52,0.00,0,,232
2015-1-2,3,-1,-6,0,-4,-8,88,71,54,1028,1025,1020,16,15,5,16,9,19,0.51,4,Rain,165
2015-1-3,4,3,1,4,2,0,100,96,92,1020,1011,1007,8,2,0,21,11,24,12.95,8,Fog-Rain-Snow,153
2015-1-4,1,-6,-12,1,-5,-17,100,83,66,1036,1018,1007,16,7,0,52,31,63,T,7,Fog-Rain-Snow,275
2015-1-5,-10,-13,-16,-12,-15,-21,88,75,61,1042,1033,1026,16,8,1,37,18,43,2.03,5,Snow,181
2015-1-6,-10,-12,-13,-12,-14,-16,88,79,70,1032,1029,1025,16,15,8,42,18,50,T,4,Snow,324
2015-1-7,-10,-16,-22,-13,-20,-24,80,71,62,1046,1039,1028,16,11,2,48,29,58,T,4,Snow,304
2015-1-8,-4,-13,-22,-8,-16,-24,83,70,56,1043,1023,1015,16,11,1,63,32,77,T,6,Snow,219
2015-1-9,-8,-13,-19,-11,-17,-22,84,71,58,1035,1028,1018,16,14,1,50,27,60,T,3,Snow,282
2015-1-10,-4,-12,-20,-11,-16,-23,87,69,50,1035,1032,1028,16,16,16,37,23,48,0.00,3,,193
2015-1-11,1,-2,-4,-1,-4,-10,92,76,60,1028,1026,1024,16,10,3,23,15,27,5.33,8,Rain,183
2015-1-12,1,-6,-12,0,-7,-15,92,80,67,1038,1029,1023,16,10,1,37,23,45,2.03,6,Rain-Snow,343
2015-1-13,-8,-13,-18,-12,-15,-19,95,83,70,1040,1037,1033,16,16,11,27,17,34,0.00,0,,29
2015-1-14,-7,-12,-18,-10,-14,-21,95,81,67,1031,1029,1025,16,12,8,13,7,14,0.00,4,,227
2015-1-15,2,-4,-12,-2,-7,-13,92,81,69,1024,1021,1019,16,13,8,24,17,31,0.00,0,,215
2015-1-16,3,-2,-7,1,-4,-9,96,87,78,1024,1021,1017,16,9,2,26,12,32,0.00,0,,209
2015-1-17,8,4,1,3,1,-2,89,80,70,1016,1010,1006,16,14,10,39,25,48,0.00,1,,199
2015-1-18,7,2,-3,1,-1,-3,92,81,70,1017,1013,1009,16,16,16,37,20,48,T,2,,261
2015-1-19,7,2,-4,2,-1,-4,92,79,65,1017,1015,1012,16,15,11,16,8,19,0.00,2,,83
2015-1-20,7,3,-1,3,1,-2,96,86,76,1017,1014,1011,16,11,5,27,13,34,0.00,5,,279
2015-1-21,3,1,-1,1,-1,-2,100,88,76,1025,1020,1015,16,9,1,32,18,39,0.00,7,,257
2015-1-22,3,2,0,0,-1,-3,96,80,64,1032,1029,1024,16,8,2,14,6,18,0.00,8,,356
2015-1-23,1,-1,-3,-1,-3,-5,92,81,69,1029,1021,1013,16,13,6,19,9,23,0.00,6,,242
2015-1-24,7,2,-3,3,-1,-4,92,81,70,1012,1008,1005,16,14,8,29,17,37,0.00,1,,239
2015-1-25,3,1,-2,2,-1,-5,96,87,78,1015,1007,1003,16,11,2,47,20,58,2.03,7,Rain-Snow,51
2015-1-26,-1,-3,-4,-2,-5,-7,100,88,75,1016,1014,1012,16,10,1,29,14,35,0.76,8,Rain-Snow,225
2015-1-27,0,-3,-7,-2,-4,-8,92,85,78,1026,1020,1012,16,10,2,24,11,31,T,6,Snow,9
2015-1-28,3,-2,-8,-2,-5,-9,91,78,64,1027,1022,1011,16,14,8,37,22,47,T,1,,139
2015-1-29,5,3,1,2,-1,-4,89,77,64,1028,1017,1006,16,12,4,45,29,61,T,7,Rain,286
2015-1-30,1,-2,-6,-4,-7,-10,88,67,45,1035,1032,1028,16,16,16,35,14,45,0.00,1,,312
2015-1-31,3,-1,-6,0,-2,-8,96,83,70,1029,1024,1021,16,10,2,26,14,31,2.79,6,Rain-Snow,187
2015-2-1,1,-3,-8,1,-2,-10,100,91,81,1019,1009,1002,14,4,0,50,22,60,6.35,8,Fog-Rain-Snow,85
2015-2-2,-7,-9,-12,-11,-13,-16,88,78,67,1027,1021,1010,16,13,1,48,22,61,T,5,Snow,301
2015-2-3,2,-3,-9,-2,-6,-11,88,79,69,1025,1022,1017,16,15,13,34,20,42,0.00,2,,194
2015-2-4,2,-6,-14,-2,-7,-16,92,81,70,1031,1022,1016,16,9,1,39,24,43,0.00,4,Fog-Snow,315
2015-2-5,-9,-13,-18,-13,-17,-21,88,70,51,1035,1032,1028,16,16,14,24,11,27,0.00,0,,276
2015-2-6,2,-5,-12,-2,-7,-14,84,76,67,1028,1023,1017,16,16,14,29,19,37,0.00,0,,180
2015-2-7,10,5,-1,6,1,-2,89,80,71,1016,1010,1005,16,15,11,32,22,39,0.00,0,,187
2015-2-8,12,6,0,8,3,-1,96,84,71,1014,1008,1004,16,10,3,34,24,43,T,5,Rain,320
2015-2-9,0,-1,-3,-1,-3,-5,92,85,78,1024,1020,1014,16,11,4,37,24,45,0.00,8,,356
2015-2-10,2,0,-3,-3,-6,-8,85,71,56,1025,1023,1018,16,16,16,27,12,32,T,4,,73
2015-2-11,3,-1,-5,0,-4,-9,89,79,69,1022,1020,1017,16,14,4,42,23,52,T,7,,275
2015-2-12,-5,-9,-13,-11,-14,-17,74,62,49,1033,1029,1023,16,14,3,50,30,68,T,4,Snow,334
2015-2-13,-1,-7,-14,-7,-11,-17,80,68,55,1031,1024,1016,16,16,16,34,18,42,0.00,5,,204
2015-2-14,-2,-8,-16,-5,-14,-23,81,59,36,1033,1021,1012,16,16,14,64,35,76,T,4,,311
2015-2-15,-7,-12,-17,-16,-19,-22,63,53,42,1036,1033,1029,16,16,16,26,16,31,0.00,4,,35
2015-2-16,-6,-10,-15,-14,-16,-19,76,59,41,1028,1022,1017,16,15,5,23,13,27,T,4,Snow,32
2015-2-17,-1,-8,-15,-9,-12,-18,83,60,36,1018,1015,1013,16,13,3,35,18,43,T,7,Snow,274
2015-2-18,-8,-12,-17,-11,-17,-22,84,70,55,1027,1018,1012,16,9,0,47,26,58,0.00,6,Fog-Snow,309
2015-2-19,-12,-16,-20,-22,-23,-24,72,59,46,1032,1030,1025,16,16,16,34,19,43,0.00,1,,329
2015-2-20,-6,-13,-19,-9,-16,-23,92,69,45,1031,1022,1013,16,13,1,37,24,50,2.03,6,Fog-Snow,150
2015-2-21,0,-4,-8,-3,-7,-9,92,82,72,1023,1015,1012,16,7,1,16,9,23,5.08,7,Fog-Snow,88
2015-2-22,-2,-8,-14,-4,-12,-19,85,69,53,1040,1031,1024,16,14,10,35,25,42,0.00,3,,324
2015-2-23,-11,-17,-23,-18,-21,-26,83,68,53,1042,1037,1029,16,16,16,23,14,29,0.00,0,,289
2015-2-24,-2,-13,-26,-7,-16,-28,86,73,60,1028,1017,1012,16,16,16,48,24,58,0.00,1,,221
