CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,1,-3,-7,-1,-6,-13,100,79,57,1030,1026,1023,16,11,3,21,11,24,0.25,7,Rain,213
2015-1-2,2,1,-1,2,1,-1,100,95,89,1026,1021,1016,6,3,1,16,6,21,1.02,8,Fog-Rain,4
2015-1-3,5,3,2,4,2,1,100,96,92,1016,1012,1009,16,6,1,26,9,31,3.81,8,Rain,333
2015-1-4,2,-4,-11,1,-11,-15,92,69,46,1042,1031,1015,16,14,5,40,22,53,T,4,Rain-Snow,319
2015-1-5,4,-4,-12,-8,-13,-16,76,54,32,1043,1034,1025,16,16,16,34,13,39,0.00,0,,155
2015-1-6,2,-2,-6,-6,-8,-11,77,62,47,1035,1032,1027,16,16,16,32,15,40,0.00,1,,350
2015-1-7,-3,-9,-16,-11,-17,-22,76,56,36,1050,1045,1035,16,16,16,47,21,56,T,4,,3
2015-1-8,-1,-8,-17,-14,-17,-20,79,54,28,1044,1030,1022,16,16,16,47,20,58,0.00,2,,206
2015-1-9,-1,-7,-13,-12,-16,-18,73,53,32,1038,1035,1028,16,16,13,45,17,56,0.00,2,,332
2015-1-10,3,-4,-13,-12,-14,-18,73,50,27,1036,1030,1025,16,16,13,34,17,42,0.00,3,,181
2015-1-11,4,2,-1,3,-1,-12,100,69,38,1025,1022,1020,16,7,1,27,9,35,1.52,8,Fog-Rain,124
2015-1-12,2,-2,-7,2,-4,-12,100,76,51,1037,1030,1023,16,11,3,34,19,48,0.51,5,Rain,10
2015-1-13,0,-5,-11,-10,-12,-14,77,61,45,1037,1034,1031,16,16,14,24,11,31,0.00,0,,42
2015-1-14,2,-2,-7,-5,-8,-13,84,58,32,1031,1028,1025,16,16,14,11,2,26,T,7,Rain,282
2015-1-15,9,3,-4,-4,-5,-7,81,60,38,1025,1024,1023,16,16,16,23,10,29,T,1,Rain,229
2015-1-16,15,6,-3,-2,-3,-6,81,55,28,1025,1021,1015,16,16,16,34,16,45,0.00,0,,194
2015-1-17,16,9,2,1,-2,-6,62,49,35,1020,1014,1011,16,16,16,40,22,53,0.00,0,,244
2015-1-18,18,8,-2,-4,-6,-7,69,44,19,1021,1017,1014,16,16,16,48,19,60,0.00,0,,218
2015-1-19,19,10,0,0,-3,-6,69,44,19,1016,1014,1012,16,16,16,19,9,24,0.00,0,,249
2015-1-20,8,4,-1,6,1,-2,100,77,53,1022,1020,1015,16,11,1,27,7,35,4.32,2,Fog-Rain,245
2015-1-21,11,4,-2,2,-1,-4,100,68,35,1027,1023,1021,16,8,0,21,6,32,0.00,1,Fog,255
2015-1-22,8,3,-3,-1,-3,-5,85,67,49,1032,1029,1027,16,16,16,23,10,27,0.00,2,,28
2015-1-23,7,1,-6,-3,-4,-7,92,71,49,1028,1023,1017,16,14,8,23,9,40,0.00,0,,290
2015-1-24,14,6,-3,8,-2,-6,75,58,41,1018,1014,1008,16,16,16,40,16,64,0.00,0,,233
2015-1-25,10,6,2,3,0,-2,76,62,48,1021,1012,1006,16,16,16,50,26,63,0.00,8,,307
2015-1-26,15,6,-4,2,-1,-4,92,66,40,1021,1018,1014,16,15,11,35,12,47,0.00,0,,250
2015-1-27,18,9,1,2,-1,-3,82,53,24,1022,1020,1017,16,16,16,19,6,26,0.00,0,,94
2015-1-28,24,17,9,5,2,-2,52,41,29,1017,1014,1009,16,16,16,50,27,66,0.00,0,,185
2015-1-29,16,8,-1,4,-1,-4,78,62,46,1034,1026,1013,16,16,11,40,21,53,0.00,3,,335
2015-1-30,8,2,-6,-2,-4,-6,92,65,37,1035,1032,1029,16,15,6,13,3,19,0.00,1,,43
2015-1-31,9,7,3,3,-2,-9,92,59,26,1028,1020,1011,16,14,6,24,10,34,6.35,8,Rain,144
2015-2-1,6,-1,-9,6,-1,-13,100,86,71,1026,1013,1007,16,11,4,48,30,60,9.91,8,Rain-Snow,276
