EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-6,-10,-14,,,,,,,,,,,,,,,45,1.02,,,
2015-1-2,-9,-16,-22,,,,,,,,,,,,,,,24,T,,,
2015-1-3,-3,-6,-9,,,,,,,,,,,,,,,45,0.25,,,
2015-1-4,-5,-13,-22,,,,,,,,,,,,,,,53,5.84,,,
2015-1-5,-18,-22,-27,,,,,,,,,,,,,,,37,T,,,
2015-1-6,-14,-17,-21,,,,,,,,,,,,,,,50,2.79,,,
2015-1-7,-18,-20,-22,,,,,,,,,,,,,,,55,1.78,,,
2015-1-8,-13,-17,-21,,,,,,,,,,,,,,,40,4.06,,,
2015-1-9,-13,-17,-20,,,,,,,,,,,,,,,47,2.29,,,
2015-1-10,-12,-17,-23,,,,,,,,,,,,,,,35,T,,,
2015-1-11,-10,-14,-19,,,,,,,,,,,,,,,23,T,,,
2015-1-12,-13,-15,-17,,,,,,,,,,,,,,,42,1.27,,,
2015-1-13,-11,-17,-23,,,,,,,,,,,,,,,43,T,,,
2015-1-14,-8,-11,-15,,,,,,,,,,,,,,,47,0.25,,,
2015-1-15,-2,-6,-9,,,,,,,,,,,,,,,50,T,,,
2015-1-16,-9,-12,-14,,,,,,,,,,,,,,,34,0.51,,,
2015-1-17,-1,-6,-11,,,,,,,,,,,,,,,42,T,,,
2015-1-18,-2,-5,-8,,,,,,,,,,,,,,,40,1.02,,,
2015-1-19,-8,-12,-17,,,,,,,,,,,,,,,19,1.27,,,
2015-1-20,-4,-12,-19,,,,,,,,,,,,,,,13,T,,,
2015-1-21,-4,-11,-18,,,,,,,,,,,,,,,14,T,,,
2015-1-22,-1,-4,-8,,,,,,,,,,,,,,,45,T,,,
2015-1-23,1,-2,-5,,,,,,,,,,,,,,,61,0.76,,,
2015-1-24,1,-4,-9,,,,,,,,,,,,,,,35,0.51,,,
2015-1-25,-8,-15,-22,,,,,,,,,,,,,,,27,0.76,,,
2015-1-26,-6,-14,-22,,,,,,,,,,,,,,,47,0.76,,,
2015-1-27,-6,-10,-14,,,,,,,,,,,,,,,23,T,,,
2015-1-28,-3,-4,-7,,,,,,,,,,,,,,,50,T,,,
2015-1-29,-3,-7,-12,,,,,,,,,,,,,,,58,4.32,,,
2015-1-30,-11,-12,-14,,,,,,,,,,,,,,,37,0.51,,,
2015-1-31,-7,-11,-14,,,,,,,,,,,,,,,32,1.78,,,
2015-2-1,-13,-14,-16,,,,,,,,,,,,,,,32,2.79,,,
2015-2-2,-11,-14,-18,,,,,,,,,,,,,,,27,T,,,
2015-2-3,-8,-13,-19,,,,,,,,,,,,,,,29,0.00,,,
2015-2-4,-13,-17,-22,,,,,,,,,,,,,,,48,1.52,,,
2015-2-5,-9,-18,-27,,,,,,,,,,,,,,,55,T,,,
2015-2-6,-8,-9,-12,,,,,,,,,,,,,,,35,0.76,,,
2015-2-7,-7,-9,-11,,,,,,,,,,,,,,,23,5.33,,,
2015-2-8,-9,-10,-11,,,,,,,,,,,,,,,24,4.06,,,
2015-2-9,-6,-13,-19,,,,,,,,,,,,,,,14,0.51,,,
2015-2-10,-4,-7,-9,,,,,,,,,,,,,,,31,0.51,,,
2015-2-11,-5,-10,-16,,,,,,,,,,,,,,,50,4.06,,,
2015-2-12,-15,-21,-27,,,,,,,,,,,,,,,53,4.83,,,
2015-2-13,-11,-19,-27,,,,,,,,,,,,,,,35,1.02,,,
2015-2-14,-14,-18,-21,,,,,,,,,,,,,,,64,10.16,,,
2015-2-15,-15,-18,-21,,,,,,,,,,,,,,,,3.56,,,
2015-2-16,-12,-16,-19,,,,,,,,,,,,,,,27,T,,,
2015-2-17,-14,-18,-21,,,,,,,,,,,,,,,31,T,,,
2015-2-18,-19,-23,-27,,,,,,,,,,,,,,,42,0.25,,,
2015-2-19,-20,-26,-32,,,,,,,,,,,,,,,32,T,,,
2015-2-20,-13,-23,-32,,,,,,,,,,,,,,,45,0.76,,,
2015-2-21,-10,-15,-21,,,,,,,,,,,,,,,29,T,,,
2015-2-22,-18,-23,-27,,,,,,,,,,,,,,,39,T,,,
2015-2-23,-12,-23,-33,,,,,,,,,,,,,,,47,0.00,,,
2015-2-24,-6,-12,-19,,,,,,,,,,,,,,,55,2.03,,,
2015-2-25,-14,-19,-23,,,,,,,,,,,,,,,26,T,,,
2015-2-26,-14,-19,-26,,,,,,,,,,,,,,,26,0.25,,,
2015-2-27,-7,-18,-29,,,,,,,,,,,,,,,24,0.00,,,
2015-2-28,-4,-13,-21,,,,,,,,,,,,,,,34,0.00,,,
2015-3-1,-5,-9,-14,,,,,,,,,,,,,,,40,T,,,
2015-3-2,-3,-9,-15,,,,,,,,,,,,,,,45,T,,,
2015-3-3,-4,-7,-10,,,,,,,,,,,,,,,53,2.54,,,
2015-3-4,-9,-16,-22,,,,,,,,,,,,,,,45,T,,,
2015-3-5,-10,-18,-27,,,,,,,,,,,,,,,26,T,,,
2015-3-6,-1,-9,-17,,,,,,,,,,,,,,,47,0.00,,,
2015-3-7,-2,-7,-13,,,,,,,,,,,,,,,39,T,,,
2015-3-8,1,-7,-16,,,,,,,,,,,,,,,40,0.25,,,
2015-3-9,8,-1,-11,,,,,,,,,,,,,,,39,0.00,,,
2015-3-10,14,8,2,,,,,,,,,,,,,,,50,0.00,,,
2015-3-11,6,1,-4,,,,,,,,,,,,,,,40,0.00,,,
2015-3-12,5,2,-2,,,,,,,,,,,,,,,50,0.00,,,
2015-3-13,12,7,2,,,,,,,,,,,,,,,40,0.76,,,
2015-3-14,2,1,-1,,,,,,,,,,,,,,,56,0.25,,,
2015-3-15,8,2,-3,,,,,,,,,,,,,,,50,0.00,,,
2015-3-16,8,3,-3,,,,,,,,,,,,,,,48,7.11,,,
2015-3-17,-1,-3,-7,,,,,,,,,,,,,,,60,0.00,,,
2015-3-18,0,-6,-12,,,,,,,,,,,,,,,29,0.00,,,
2015-3-19,3,-4,-11,,,,,,,,,,,,,,,35,T,,,
2015-3-20,7,3,-1,,,,,,,,,,,,,,,29,1.02,,,
2015-3-21,0,-6,-12,,,,,,,,,,,,,,,39,T,,,
2015-3-22,-2,-8,-13,,,,,,,,,,,,,,,29,0.00,,,
2015-3-23,0,-7,-14,,,,,,,,,,,,,,,19,T,,,
2015-3-24,6,-1,-9,,,,,,,,,,,,,,,39,0.00,,,
2015-3-25,1,-2,-4,,,,,,,,,,,,,,,45,10.92,,,
2015-3-26,0,-5,-10,,,,,,,,,,,,,,,52,0.76,,,
2015-3-27,-7,-13,-20,,,,,,,,,,,,,,,31,T,,,
2015-3-28,4,-9,-23,,,,,,,,,,,,,,,27,0.00,,,
2015-3-29,1,-1,-3,,,,,,,,,,,,,,,58,7.62,,,
2015-3-30,4,-1,-7,,,,,,,,,,,,,,,42,0.51,,,
2015-3-31,6,-2,-10,,,,,,,,,,,,,,,23,0.25,,,
2015-4-1,7,2,-3,,,,,,,,,,,,,,,47,1.52,,,
2015-4-2,13,9,4,,,,,,,,,,,,,,,58,T,,,
2015-4-3,6,-2,-10,,,,,,,,,,,,,,,47,0.76,,,
2015-4-4,1,-5,-12,,,,,,,,,,,,,,,40,T,,,
2015-4-5,-1,-4,-7,,,,,,,,,,,,,,,26,T,,,
2015-4-6,1,-2,-6,,,,,,,,,,,,,,,23,0.00,,,
2015-4-7,2,-1,-4,,,,,,,,,,,,,,,31,0.00,,,
2015-4-8,4,1,-2,,,,,,,,,,,,,,,23,1.27,,,
2015-4-9,1,0,-1,,,,,,,,,,,,,,,32,10.41,,,
2015-4-10,3,1,-1,,,,,,,,,,,,,,,47,26.67,,,
2015-4-11,14,5,-4,,,,,,,,,,,,,,,27,0.00,,,
2015-4-12,20,14,8,,,,,,,,,,,,,,,55,0.00,,,
2015-4-13,13,9,4,,,,,,,,,,,,,,,60,7.11,,,
