EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,6,1,-5,-5,-9,-12,74,51,28,1024,1021,1018,16,16,16,34,15,42,0.00,0,,232
2015-1-2,7,1,-5,-4,-7,-8,75,56,37,1031,1025,1019,16,16,16,32,11,39,0.00,0,,277
2015-1-3,9,2,-6,9,3,-8,100,88,75,1034,1028,1018,16,6,0,21,7,24,18.03,7,Fog-Rain,89
2015-1-4,18,13,9,15,11,5,100,90,80,1018,1013,1006,16,9,0,61,19,74,4.06,7,Rain,221
2015-1-5,10,3,-4,2,-8,-16,71,52,32,1031,1022,1012,16,16,16,50,27,61,0.00,3,,295
2015-1-6,-4,-8,-12,-7,-9,-17,92,66,39,1030,1024,1019,16,6,1,23,7,27,2.79,6,Fog-Snow,340
2015-1-7,-4,-7,-11,-9,-14,-22,88,64,39,1027,1019,1015,16,15,10,56,23,72,0.00,1,,287
2015-1-8,-6,-9,-13,-14,-19,-22,58,49,39,1033,1030,1025,16,16,16,48,19,61,0.00,0,,265
2015-1-9,2,-2,-6,-12,-13,-14,54,45,35,1025,1020,1017,16,16,16,37,19,52,0.00,2,,252
2015-1-10,-4,-9,-13,-13,-18,-19,73,54,34,1037,1033,1026,16,16,16,34,15,43,0.00,0,,284
2015-1-11,4,-5,-14,-4,-11,-18,80,58,35,1040,1037,1033,16,16,16,24,6,31,0.00,1,,191
2015-1-12,4,3,2,4,1,-4,100,80,59,1033,1024,1019,16,10,2,23,9,31,23.37,8,Rain,301
2015-1-13,3,-2,-6,1,-7,-13,92,67,41,1036,1031,1023,16,16,16,29,20,40,0.00,5,,5
2015-1-14,2,-2,-6,-1,-4,-10,92,80,68,1032,1027,1022,16,14,1,32,15,39,0.51,8,Snow,12
2015-1-15,3,0,-3,-4,-6,-7,84,68,52,1022,1019,1015,16,15,10,27,9,34,0.00,5,,291
2015-1-16,6,1,-4,-3,-7,-15,92,66,39,1024,1015,1012,16,14,8,45,21,56,0.00,1,,282
2015-1-17,0,-4,-9,-9,-14,-19,77,51,25,1030,1028,1024,16,16,16,23,9,27,0.00,0,,352
2015-1-18,10,2,-7,9,6,-8,100,88,76,1023,1011,1007,16,9,1,32,11,45,35.56,7,Fog-Rain,240
2015-1-19,8,4,0,1,-2,-5,92,69,45,1014,1012,1010,16,14,6,40,17,55,0.00,5,,261
2015-1-20,8,2,-4,-1,-3,-6,85,65,45,1018,1014,1013,16,16,11,19,7,26,0.00,4,,273
2015-1-21,3,-1,-4,-1,-3,-7,100,80,59,1021,1020,1018,16,9,1,21,10,27,3.56,6,Fog-Snow,5
2015-1-22,2,-1,-3,0,-2,-4,96,89,82,1028,1024,1022,16,10,5,19,10,24,0.00,7,,278
2015-1-23,4,-2,-7,1,-4,-9,92,76,59,1029,1024,1015,16,12,2,19,5,26,3.81,3,Rain,197
2015-1-24,3,2,1,2,1,-3,100,88,75,1013,1001,992,16,7,2,34,21,45,35.31,7,Rain-Snow,5
2015-1-25,10,5,0,-1,-2,-3,75,61,46,1014,1009,1003,16,15,11,40,15,48,0.00,5,,286
2015-1-26,3,1,-2,1,-2,-4,96,80,64,1014,1009,1003,16,8,1,42,30,60,4.57,8,Rain-Snow,43
2015-1-27,1,-3,-6,-4,-7,-13,88,69,49,1011,1005,1003,16,9,2,39,26,48,2.54,6,Snow,334
2015-1-28,1,-3,-8,-12,-14,-17,62,49,35,1026,1019,1012,16,16,16,40,24,50,0.00,0,,317
2015-1-29,2,-4,-11,-2,-10,-16,75,58,41,1028,1023,1015,16,16,16,19,9,27,0.00,3,,192
2015-1-30,4,-1,-6,-2,-5,-15,75,58,40,1018,1014,1011,16,15,4,53,30,68,T,6,Snow,296
2015-1-31,-1,-6,-10,-13,-16,-18,55,43,31,1025,1022,1019,16,16,16,52,29,64,0.00,0,,300
2015-2-1,5,-1,-7,-1,-8,-13,75,58,41,1025,1022,1014,16,16,16,19,9,24,T,6,,239
2015-2-2,9,2,-6,8,2,-13,100,77,54,1015,1002,994,16,11,3,58,26,80,27.94,7,Rain,244
2015-2-3,-1,-4,-8,-11,-14,-16,67,50,32,1028,1025,1017,16,16,16,47,15,58,0.00,0,,296
2015-2-4,7,-1,-8,-1,-4,-12,82,70,57,1028,1022,1014,16,16,16,29,14,40,0.00,2,,188
2015-2-5,6,-2,-9,-1,-11,-21,82,56,29,1025,1016,1010,16,16,16,53,26,69,0.00,3,,319
