MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-1,-12,-22,-9,-15,-23,92,68,43,1029,1022,1014,16,16,16,24,9,27,0.00,3,,291
2015-1-2,4,-7,-18,-6,-12,-19,96,70,44,1026,1020,1013,16,16,16,16,9,,0.00,0,,277
2015-1-3,8,-2,-12,-4,-9,-14,96,67,37,1028,1016,1008,16,16,14,53,17,64,T,4,Rain,20
2015-1-4,-2,-8,-15,-11,-13,-17,91,71,50,1033,1031,1028,16,16,16,16,7,19,0.00,0,,67
2015-1-5,16,2,-12,-2,-7,-13,92,59,25,1030,1024,1016,16,16,16,56,11,69,0.00,0,,288
2015-1-6,12,4,-4,-1,-3,-5,92,65,38,1032,1029,1024,16,16,16,23,7,26,0.00,0,,22
2015-1-7,-1,-4,-8,-2,-8,-11,100,89,77,1049,1041,1029,16,10,2,37,15,42,0.25,8,Snow,114
2015-1-8,15,3,-10,-2,-6,-11,92,61,30,1029,1023,1018,16,16,14,37,16,43,T,2,,196
2015-1-9,-2,-4,-6,-4,-6,-7,100,85,69,1033,1028,1022,16,13,4,29,12,37,T,8,,98
2015-1-10,15,4,-6,0,-5,-6,100,62,24,1021,1016,1012,16,12,0,24,7,29,0.00,4,Fog,288
2015-1-11,15,4,-8,0,-3,-8,91,58,24,1025,1017,1012,16,16,16,37,10,43,0.00,4,,53
2015-1-12,2,-3,-7,-1,-6,-8,100,91,81,1033,1029,1024,16,9,2,29,15,32,0.25,8,Snow,111
2015-1-13,-2,-5,-8,-4,-7,-9,100,88,75,1030,1027,1021,16,14,6,13,6,14,0.00,8,,69
2015-1-14,5,-1,-7,-3,-4,-8,92,74,55,1029,1025,1022,16,14,10,19,5,26,0.00,4,,255
2015-1-15,11,1,-11,-6,-9,-11,92,57,21,1032,1028,1023,16,16,10,16,7,19,0.00,0,,243
2015-1-16,19,4,-11,-6,-13,-21,88,47,6,1023,1016,1008,16,16,16,47,14,58,0.00,0,,261
2015-1-17,16,5,-6,-7,-13,-20,55,31,7,1024,1019,1010,16,16,16,50,17,60,0.00,0,,312
2015-1-18,21,7,-7,-7,-12,-21,62,36,10,1020,1017,1014,16,16,16,50,21,61,0.00,0,,282
2015-1-19,17,9,1,-3,-7,-9,70,43,16,1017,1015,1012,16,16,16,40,17,52,0.00,0,,20
2015-1-20,4,-1,-6,-1,-3,-7,88,79,69,1024,1022,1016,16,16,11,16,7,19,T,6,,94
2015-1-21,2,-3,-8,-1,-3,-9,100,88,75,1032,1025,1022,16,6,1,26,13,32,4.32,8,Snow,66
2015-1-22,-1,-9,-18,-7,-11,-19,92,73,53,1035,1031,1024,16,15,3,16,5,19,0.00,1,,275
2015-1-23,9,-3,-17,-3,-9,-18,91,61,31,1030,1027,1024,16,16,16,21,9,23,0.00,1,,291
2015-1-24,14,4,-7,-3,-6,-8,92,58,24,1026,1020,1013,16,16,16,37,12,50,0.00,0,,296
2015-1-25,14,5,-4,-1,-3,-6,88,60,32,1024,1022,1019,16,16,16,21,6,24,0.00,0,,284
2015-1-26,22,9,-4,-1,-3,-6,92,54,16,1027,1024,1021,16,16,16,19,7,24,0.00,0,,274
2015-1-27,23,11,-2,-2,-4,-8,85,49,13,1023,1018,1011,16,16,16,34,12,43,0.00,0,,252
2015-1-28,19,10,1,-1,-6,-9,70,43,15,1025,1015,1010,16,16,16,61,26,69,0.00,0,,307
2015-1-29,11,6,0,-2,-4,-7,75,53,31,1033,1030,1026,16,16,16,23,8,31,0.00,5,,123
2015-1-30,7,2,-3,2,-2,-5,92,73,53,1027,1022,1016,16,16,16,13,3,16,0.25,7,Rain,41
2015-1-31,8,4,-1,2,1,-1,100,79,58,1015,1011,1007,16,11,0,19,5,21,1.27,8,Fog-Rain,52
2015-2-1,3,-1,-6,0,-6,-9,100,78,56,1026,1021,1013,16,16,14,34,11,40,0.00,5,,104
2015-2-2,14,3,-9,-4,-7,-9,92,58,24,1023,1019,1015,16,16,16,32,10,37,0.00,0,,9
2015-2-3,19,7,-6,-3,-7,-8,81,50,18,1017,1013,1009,16,16,16,32,9,43,0.00,0,,231
2015-2-4,8,2,-4,-1,-6,-6,88,64,40,1029,1022,1008,16,16,14,60,16,71,T,6,,111
2015-2-5,21,7,-7,-3,-7,-13,92,51,9,1027,1022,1016,16,16,14,34,9,40,0.00,3,,243
2015-2-6,26,12,-3,-8,-13,-19,58,31,4,1020,1015,1011,16,16,16,52,19,72,0.00,0,,266
2015-2-7,26,14,3,-6,-11,-16,32,19,6,1011,1008,1002,16,16,16,53,29,68,0.00,0,,272
