MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-1,-6,-11,-8,-11,-18,81,66,51,1022,1021,1016,16,16,16,32,13,35,0.00,5,,247
2015-1-2,4,-2,-8,-4,-6,-9,84,69,54,1018,1011,1007,16,16,10,39,18,50,T,4,Snow,194
2015-1-3,-1,-12,-23,-2,-14,-24,92,82,72,1034,1019,1007,16,8,1,48,23,56,1.52,6,Fog-Snow,332
2015-1-4,-16,-19,-22,-20,-21,-23,87,78,68,1038,1034,1026,16,13,4,19,7,21,T,7,Snow,330
2015-1-5,5,-6,-18,0,-7,-21,85,75,65,1030,1021,1013,16,11,2,52,22,61,1.27,7,Rain-Snow,323
2015-1-6,-2,-8,-14,-6,-13,-17,88,78,68,1048,1033,1025,16,9,2,39,18,42,T,8,Snow,355
2015-1-7,6,-5,-16,-4,-14,-19,91,70,49,1052,1038,1017,16,11,3,61,27,71,0.25,4,Snow,144
2015-1-8,5,-7,-20,-2,-9,-21,92,73,54,1039,1026,1017,16,8,0,60,33,69,1.02,7,Fog-Snow,329
2015-1-9,-6,-16,-26,-12,-18,-28,87,71,54,1039,1029,1016,16,16,16,35,13,47,0.00,0,,175
2015-1-10,4,-3,-10,-5,-8,-12,88,66,44,1017,1015,1010,16,16,16,34,8,42,0.00,0,,188
2015-1-11,0,-5,-10,-6,-9,-11,92,81,69,1033,1022,1012,16,12,2,24,11,29,0.51,8,Snow,1
2015-1-12,-7,-9,-11,-10,-11,-12,96,87,77,1034,1028,1022,16,13,3,40,23,50,T,6,Snow,153
2015-1-13,-2,-8,-14,-8,-11,-14,92,75,58,1032,1029,1024,16,16,16,26,11,32,0.00,0,,269
2015-1-14,2,-2,-7,-7,-8,-10,84,68,52,1028,1025,1019,16,16,16,32,15,37,0.00,0,,239
2015-1-15,5,1,-4,-5,-7,-11,68,57,46,1026,1022,1016,16,16,16,40,26,50,0.00,0,,233
2015-1-16,6,4,1,-2,-4,-7,75,62,48,1016,1010,1006,16,16,16,42,24,50,0.00,2,,242
2015-1-17,5,1,-4,-5,-7,-9,72,58,44,1021,1017,1012,16,16,16,47,26,56,0.00,0,,263
2015-1-18,7,4,0,-1,-3,-8,76,64,51,1015,1013,1011,16,16,16,39,23,50,0.00,3,,230
