MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-2,-7,-12,-9,-11,-13,88,75,62,1019,1012,1007,16,8,0,24,10,34,4.32,8,Fog-Snow,211
2015-1-2,-3,-11,-18,-11,-13,-21,88,72,55,1022,1017,1014,16,15,5,39,16,52,T,2,Snow,60
2015-1-3,8,-6,-19,-6,-12,-22,87,59,31,1027,1023,1019,16,16,16,19,6,32,0.00,0,,259
2015-1-4,12,-1,-14,-6,-12,-26,88,47,6,1035,1030,1025,16,16,16,19,3,24,0.00,0,,230
2015-1-5,13,2,-10,-5,-9,-13,84,54,24,1035,1032,1029,16,16,16,19,3,21,0.00,0,,55
2015-1-6,9,1,-9,-6,-8,-12,88,58,28,1036,1032,1030,16,16,16,23,6,31,0.00,0,,70
2015-1-7,9,2,-5,-1,-3,-6,92,69,46,1031,1029,1026,16,16,16,32,8,40,0.00,0,,72
2015-1-8,14,4,-7,-1,-4,-8,88,59,30,1026,1022,1018,16,16,16,19,3,21,0.00,0,,64
2015-1-9,10,2,-6,0,-3,-8,92,69,46,1023,1020,1018,16,16,16,23,4,29,0.00,0,,210
2015-1-10,5,2,-2,3,1,-3,96,88,79,1022,1019,1017,16,13,3,19,4,21,3.30,8,Rain,233
2015-1-11,6,3,-1,3,0,-2,100,88,76,1023,1021,1018,16,10,0,24,4,27,0.51,7,Fog-Rain,221
2015-1-12,7,3,0,2,1,-1,96,88,79,1024,1021,1016,16,12,2,21,6,26,4.06,8,Rain-Snow,213
2015-1-13,3,-1,-6,1,-2,-7,92,81,70,1020,1017,1014,16,8,0,19,7,27,13.46,7,Fog-Rain-Snow,154
