EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-1,-4,-7,-7,-9,-16,75,65,50,1018,1014,1010,16,13,2,55,37,76,0.00,7,Snow,242
2015-1-2,-1,-4,-7,-6,-8,-11,78,65,51,1031,1024,1017,16,16,14,39,26,48,0.00,6,Snow,268
2015-1-3,6,-1,-8,5,-3,-11,100,87,66,1031,1018,1007,16,6,1,24,13,,10.92,7,Fog-Rain-Snow,104
2015-1-4,8,3,-3,7,3,-8,100,92,71,1015,1005,1000,16,6,1,52,16,82,20.83,8,Fog-Rain-Snow,237
2015-1-5,-3,-8,-13,-7,-14,-20,78,67,53,1033,1025,1014,16,12,2,53,39,64,0.00,5,Snow,270
2015-1-6,-8,-10,-12,-12,-14,-18,81,72,61,1030,1022,1014,16,9,2,37,16,48,0.25,7,Snow,240
2015-1-7,-9,-13,-17,-13,-18,-22,88,70,58,1031,1022,1012,16,7,0,48,31,63,0.51,7,Fog-Snow,310
2015-1-8,-8,-12,-15,-11,-14,-20,88,73,49,1029,1021,1008,16,7,0,52,31,74,0.51,7,Fog-Snow,234
2015-1-9,-8,-10,-13,-9,-12,-20,93,77,56,1024,1010,1005,16,6,0,50,35,74,0.00,6,Fog-Snow,254
2015-1-10,-7,-11,-15,-11,-14,-21,84,71,58,1032,1028,1025,16,9,1,45,35,60,1.27,4,Snow,240
2015-1-11,0,-3,-7,-2,-8,-14,92,69,54,1031,1028,1025,16,11,2,47,24,61,0.00,8,Snow,219
2015-1-12,-1,-6,-10,-2,-4,-14,96,86,63,1035,1025,1022,16,5,1,29,18,42,3.05,8,Fog-Snow,273
2015-1-13,-12,-16,-19,-14,-18,-21,95,78,61,1045,1040,1035,16,11,2,23,16,,0.00,4,Snow,45
2015-1-14,-7,-14,-21,-12,-17,-23,85,76,59,1035,1028,1023,16,16,14,19,10,,0.00,3,,211
2015-1-15,-2,-8,-13,-6,-11,-15,88,76,60,1025,1018,1008,16,12,6,45,23,69,0.00,7,Snow,229
2015-1-16,-2,-8,-15,-4,-10,-19,85,71,48,1028,1015,1008,16,10,3,39,31,53,0.00,6,Snow,289
2015-1-17,4,-7,-18,-4,-13,-21,85,66,52,1028,1020,1007,16,16,14,37,10,48,0.00,5,,144
2015-1-18,7,3,0,1,-1,-4,92,81,51,1010,1006,1004,16,11,3,35,26,50,0.51,8,Rain-Snow,231
2015-1-19,0,-3,-6,-2,-6,-11,88,74,66,1016,1013,1008,16,16,11,37,23,40,0.00,8,Snow,287
2015-1-20,-6,-9,-13,-9,-12,-16,85,74,57,1022,1017,1014,16,14,5,16,10,,0.00,5,Snow,338
2015-1-21,-4,-9,-15,-9,-13,-17,84,74,63,1022,1021,1019,16,15,11,13,5,,0.00,5,,58
2015-1-22,-1,-3,-6,-7,-8,-11,81,72,47,1030,1026,1020,16,15,10,23,10,,0.00,5,Snow,303
2015-1-23,-2,-3,-4,-6,-7,-8,88,77,69,1029,1021,1011,16,15,10,39,24,53,0.00,6,,230
2015-1-24,0,-2,-5,-2,-4,-7,93,87,81,1010,1001,998,11,6,2,29,21,40,0.25,8,Rain-Snow,243
2015-1-25,0,-6,-11,-2,-11,-14,85,73,57,1019,1012,1001,16,15,3,32,21,42,0.00,6,Snow,9
2015-1-26,-6,-9,-11,-9,-12,-18,81,74,49,1019,1015,1012,16,9,2,35,23,52,0.00,7,Snow,69
2015-1-27,-8,-11,-14,-11,-13,-18,86,76,56,1022,1017,1013,16,11,2,27,16,,0.25,6,Snow,32
2015-1-28,-4,-11,-17,-11,-14,-19,92,75,55,1029,1026,1022,16,16,16,14,10,,0.00,1,,236
2015-1-29,2,-4,-11,-1,-5,-14,96,79,42,1026,1011,1006,16,7,1,27,14,39,4.06,7,Snow,213
2015-1-30,-1,-7,-12,-3,-12,-17,88,75,61,1030,1022,1010,16,9,2,47,26,60,0.00,7,Snow,317
2015-1-31,-3,-10,-17,-6,-12,-19,88,78,68,1030,1026,1021,16,13,5,27,11,,0.00,7,Snow,234
2015-2-1,-3,-7,-11,-6,-11,-13,92,81,72,1025,1019,1008,16,6,0,45,24,58,1.52,8,Fog-Snow,61
2015-2-2,-10,-13,-18,-12,-14,-22,88,81,73,1023,1008,1001,16,4,0,42,31,55,1.52,7,Fog-Snow,10
2015-2-3,-6,-12,-17,-9,-12,-20,85,78,68,1024,1022,1020,16,11,3,42,23,55,0.00,7,Snow,224
2015-2-4,0,-3,-7,-2,-6,-9,93,88,84,1021,1016,1012,10,4,1,34,18,48,1.27,8,Fog-Rain-Snow,239
2015-2-5,-7,-11,-14,-8,-15,-21,92,69,53,1029,1023,1017,16,11,2,29,19,,0.25,5,Snow,321
2015-2-6,-5,-9,-13,-9,-13,-17,88,76,63,1025,1020,1018,16,9,1,50,34,66,0.00,7,Fog-Snow,239
2015-2-7,-1,-3,-5,-4,-6,-8,93,81,64,1020,1015,1011,16,9,1,29,13,,1.02,8,Fog-Snow,168
2015-2-8,-5,-8,-11,-7,-10,-13,93,86,79,1017,1011,1008,16,6,1,35,29,40,3.05,8,Rain-Snow,63
2015-2-9,-8,-10,-11,-12,-12,-13,85,81,74,1024,1017,1014,16,7,1,34,19,45,1.27,8,Snow,52
2015-2-10,-6,-9,-12,-8,-10,-14,92,84,78,1027,1024,1022,16,9,0,14,5,,0.00,7,Fog-Snow,44
2015-2-11,-1,-7,-13,-3,-8,-14,92,86,69,1024,1015,1008,16,6,0,29,13,40,2.54,6,Fog-Snow,203
2015-2-12,-2,-9,-15,-4,-14,-19,88,75,65,1026,1015,1008,16,6,1,39,26,48,0.25,7,Snow,303
2015-2-13,-11,-17,-23,-14,-19,-25,87,75,64,1029,1023,1012,16,9,2,32,21,,0.00,6,Snow,258
2015-2-14,-6,-11,-17,-8,-12,-19,88,81,64,1016,1005,999,13,2,0,42,27,55,0.76,8,Fog-Snow,285
2015-2-15,-17,-19,-21,-19,-22,-25,83,76,66,1032,1026,1014,8,2,0,34,26,45,0.25,7,Fog-Snow,317
2015-2-16,-16,-20,-24,-21,-24,-27,86,77,64,1033,1028,1017,16,8,2,19,11,,0.00,7,Snow,233
2015-2-17,-11,-17,-22,-15,-20,-25,87,67,48,1019,1014,1011,16,16,13,32,11,35,0.00,6,Snow,213
2015-2-18,-8,-10,-12,-11,-13,-17,88,80,64,1013,1008,1005,16,5,0,27,16,42,1.78,8,Fog-Snow,253
2015-2-19,-11,-15,-19,-15,-20,-24,83,71,60,1024,1017,1010,16,8,2,42,26,48,0.00,6,Snow,289
2015-2-20,-17,-20,-22,-22,-24,-26,84,72,52,1031,1026,1021,16,8,2,35,24,42,0.00,6,Snow,247
2015-2-21,-5,-11,-18,-7,-11,-23,93,81,61,1026,1016,1013,16,7,1,13,8,,3.05,8,Fog-Snow,213
2015-2-22,-4,-11,-18,-8,-14,-19,96,84,61,1031,1023,1019,16,5,0,34,10,47,0.00,6,Fog-Snow,235
2015-2-23,-13,-17,-22,-18,-22,-26,79,69,55,1037,1034,1030,16,10,2,32,24,39,0.00,4,Snow,278
2015-2-24,-7,-14,-21,-10,-18,-26,84,63,42,1029,1013,1004,16,12,2,42,29,64,0.00,6,Snow,221
2015-2-25,-6,-10,-13,-9,-13,-19,88,74,53,1021,1010,1002,16,10,1,42,32,53,0.00,6,Snow,253
2015-2-26,-9,-11,-13,-13,-15,-17,88,76,58,1027,1021,1017,16,10,2,21,10,,0.00,8,Snow,37
2015-2-27,-12,-17,-22,-17,-19,-23,96,78,61,1041,1033,1026,16,14,5,29,13,39,0.00,3,Snow,257
2015-2-28,-8,-12,-18,-15,-18,-20,83,72,54,1045,1042,1039,16,15,8,23,16,,0.00,1,,220
2015-3-1,-4,-11,-17,-6,-9,-20,93,85,70,1037,1027,1020,16,6,1,21,8,,1.52,8,Fog-Snow,227
2015-3-2,-3,-8,-13,-8,-10,-16,93,76,58,1032,1025,1020,16,9,2,39,24,52,0.00,6,Snow,254
2015-3-3,3,-7,-16,2,-8,-18,93,84,65,1031,1014,1000,16,7,1,47,11,64,5.33,6,Fog-Rain-Snow,170
2015-3-4,1,-2,-6,-1,-5,-9,92,74,61,1021,1012,1006,16,12,4,37,23,47,0.00,8,Rain-Snow,280
2015-3-5,-7,-11,-16,-9,-17,-21,81,67,56,1035,1027,1019,16,12,2,37,23,48,0.00,6,Snow,304
2015-3-6,-7,-12,-18,-13,-16,-21,85,71,59,1036,1031,1024,16,16,16,39,19,52,0.00,4,,224
2015-3-7,-1,-4,-7,-3,-7,-14,85,74,55,1024,1018,1014,16,13,8,37,29,52,0.00,8,Snow,244
2015-3-8,1,-1,-3,-3,-5,-8,89,77,61,1022,1019,1016,16,11,4,35,18,,0.00,5,Snow,240
2015-3-9,3,-1,-4,-3,-4,-6,85,76,65,1025,1022,1017,16,15,8,32,21,,0.00,2,,223
2015-3-10,7,1,-6,3,-2,-6,96,77,58,1024,1019,1014,16,12,6,19,8,,0.00,5,,207
2015-3-11,4,2,1,3,1,-4,100,90,60,1027,1018,1013,16,6,0,32,21,47,0.00,6,Fog,230
2015-3-12,2,-2,-6,-6,-10,-17,88,53,25,1038,1036,1028,16,16,16,23,8,,0.00,2,,15
2015-3-13,9,1,-5,-2,-8,-13,62,48,35,1037,1028,1019,16,16,16,23,8,,0.00,5,,98
2015-3-14,6,4,2,4,2,-2,100,88,65,1019,1010,1006,16,10,1,29,18,34,0.25,8,Rain,235
2015-3-15,3,1,-1,-2,-3,-3,88,75,65,1022,1017,1010,16,16,10,34,26,40,0.00,6,Snow,280
2015-3-16,6,2,-1,2,0,-3,100,83,70,1020,1012,1006,16,12,1,26,13,,1.78,6,Rain,202
2015-3-17,4,1,-3,3,-1,-13,97,81,37,1021,1010,1003,16,9,1,52,18,63,0.25,7,Fog-Rain-Snow,317
2015-3-18,2,-2,-6,-8,-11,-13,68,53,41,1026,1023,1020,16,16,16,34,24,47,0.00,3,Snow,303
2015-3-19,2,-3,-9,-8,-11,-12,84,59,35,1030,1028,1026,16,16,16,14,3,,0.00,4,,49
2015-3-20,7,2,-2,1,-4,-12,76,62,48,1025,1020,1017,16,16,16,21,13,,0.00,6,,195
2015-3-21,6,1,-4,2,-2,-12,93,76,50,1021,1014,1011,16,12,5,35,23,53,1.27,6,Rain,251
2015-3-22,-2,-6,-8,-10,-12,-14,81,63,45,1027,1024,1022,16,11,1,35,23,42,0.00,4,Snow,327
2015-3-23,-5,-8,-9,-11,-16,-19,74,53,35,1031,1029,1026,16,16,16,24,13,,0.00,3,,9
2015-3-24,3,-3,-9,-7,-11,-14,77,59,41,1030,1029,1027,16,16,16,16,6,,0.00,1,,70
2015-3-25,7,1,-5,6,-1,-9,93,78,46,1027,1016,1011,16,11,3,34,18,48,1.27,6,Rain,179
2015-3-26,4,2,0,2,1,-1,100,91,82,1015,1011,1008,16,5,0,19,11,,7.37,8,Fog-Rain-Snow,237
2015-3-27,1,-3,-7,-2,-6,-11,85,77,66,1019,1013,1010,16,13,5,24,18,,0.00,8,Snow,314
2015-3-28,-2,-6,-9,-9,-13,-15,81,64,39,1026,1021,1016,16,12,3,24,18,39,0.00,5,Snow,338
2015-3-29,5,-2,-9,-3,-9,-12,81,60,36,1028,1022,1009,16,16,16,50,18,71,0.00,3,Rain,214
2015-3-30,7,2,-2,1,-1,-6,89,75,53,1014,1008,1003,16,15,8,40,31,63,0.76,7,Rain,252
2015-3-31,6,1,-4,-2,-5,-7,85,71,47,1016,1012,1008,16,16,16,19,10,,0.00,5,,339
2015-4-1,7,2,-3,-3,-7,-11,81,56,31,1023,1020,1016,16,16,13,16,10,,0.00,2,,23
2015-4-2,19,10,2,10,4,-2,93,69,27,1020,1009,1004,16,15,5,40,21,64,6.10,6,Rain,206
