PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,17,8,0,1,-7,-14,82,49,16,1023,1020,1018,16,16,13,35,14,45,0.00,0,,3
2015-1-2,12,5,-3,1,-2,-4,92,64,35,1024,1022,1020,16,14,8,10,2,11,0.00,0,,356
2015-1-3,12,5,-2,2,-1,-3,92,67,41,1027,1025,1023,16,15,11,10,2,13,0.00,0,,153
2015-1-4,15,8,1,3,1,-1,92,64,36,1031,1029,1027,16,15,10,13,2,35,0.00,1,,352
2015-1-5,19,9,0,7,3,-1,100,70,40,1030,1027,1025,16,16,14,8,2,14,0.00,0,,305
2015-1-6,20,11,1,7,4,1,100,71,42,1027,1025,1023,16,15,6,13,3,23,0.00,0,,342
2015-1-7,22,12,1,8,4,0,100,66,31,1025,1022,1019,16,16,11,14,0,18,0.00,0,,169
2015-1-8,19,10,1,8,5,1,100,74,48,1021,1018,1016,16,16,13,13,2,18,0.00,0,,303
2015-1-9,16,11,4,8,6,4,100,78,55,1017,1016,1014,16,15,10,11,2,13,0.00,0,,3
2015-1-10,13,9,5,8,6,4,100,83,66,1017,1015,1014,16,13,8,10,2,10,T,2,,359
2015-1-11,17,9,2,8,5,1,100,78,55,1022,1018,1016,16,10,0,10,2,11,0.00,1,Fog,22
2015-1-12,19,12,4,8,6,4,96,69,42,1025,1023,1022,16,15,8,21,3,27,0.00,4,,341
2015-1-13,18,14,11,4,2,-1,59,45,31,1025,1023,1021,16,16,16,37,19,50,0.00,0,,351
2015-1-14,17,8,0,5,2,-1,100,70,39,1026,1024,1022,16,11,0,14,2,18,0.00,1,Fog,4
2015-1-15,12,8,3,7,4,2,92,76,59,1027,1026,1024,16,16,11,11,2,13,T,3,,39
2015-1-16,11,9,8,9,8,7,100,95,89,1027,1025,1023,16,8,3,11,3,13,3.81,8,Rain,347
2015-1-17,13,12,9,11,10,9,100,93,86,1026,1024,1022,16,12,2,23,3,32,0.00,8,,138
2015-1-18,13,11,8,11,9,8,100,95,89,1027,1025,1023,8,3,0,23,8,24,2.79,7,Fog-Rain,52
2015-1-19,19,12,4,8,5,1,100,69,37,1026,1024,1022,16,10,0,23,5,27,0.00,0,Fog,333
2015-1-20,20,11,2,5,1,-1,92,62,31,1022,1020,1017,16,16,16,26,10,32,0.00,0,,351
2015-1-21,21,13,6,5,-1,-3,83,53,22,1023,1021,1019,16,16,16,26,14,45,0.00,0,,354
2015-1-22,18,11,4,7,4,3,96,70,43,1029,1026,1024,16,16,10,11,2,16,0.00,2,,1
2015-1-23,24,14,3,4,3,2,92,60,27,1029,1027,1025,16,16,16,27,6,35,0.00,0,,336
2015-1-24,27,17,8,7,4,2,77,52,26,1026,1023,1020,16,16,16,27,11,55,0.00,0,,343
2015-1-25,21,13,6,11,7,4,96,74,51,1022,1019,1014,16,16,10,16,5,19,0.00,0,,132
2015-1-26,20,12,3,9,5,2,100,74,48,1021,1019,1013,16,8,0,11,2,18,0.00,0,Fog,22
2015-1-27,14,11,7,9,8,7,93,83,72,1026,1022,1016,16,14,8,13,2,18,0.00,0,,82
2015-1-28,23,13,3,8,5,3,100,65,29,1026,1024,1020,16,9,0,16,3,18,0.00,0,Fog,333
2015-1-29,23,13,3,7,4,2,93,61,29,1023,1020,1017,16,16,16,16,3,23,0.00,0,,351
2015-1-30,23,15,7,4,2,-5,76,48,20,1018,1016,1013,16,16,16,47,18,63,0.00,0,,2
2015-1-31,24,15,5,2,-3,-7,61,39,17,1018,1016,1014,16,16,16,35,16,47,0.00,0,,352
2015-2-1,18,11,3,7,4,1,85,69,52,1023,1021,1017,16,16,10,16,3,19,0.00,1,,28
2015-2-2,15,11,7,12,9,6,100,86,72,1022,1021,1020,16,8,1,21,5,37,11.18,3,Fog-Rain,343
2015-2-3,17,12,7,11,8,7,100,84,67,1021,1020,1018,16,7,0,13,2,16,0.00,1,Fog,41
2015-2-4,16,11,6,11,8,5,100,86,72,1020,1018,1015,16,5,0,11,0,11,0.00,3,Fog,36
2015-2-5,14,11,8,10,9,8,100,86,72,1016,1014,1011,16,8,0,14,3,21,0.00,6,Fog,359
2015-2-6,14,13,11,13,11,9,100,92,83,1012,1007,1003,16,13,5,76,26,95,40.64,8,Rain,177
2015-2-7,18,17,14,14,12,11,93,78,63,1017,1013,1003,16,16,16,66,40,80,0.25,6,Rain,177
2015-2-8,17,16,13,14,13,11,93,83,72,1017,1011,1006,16,14,2,77,19,93,18.80,7,Rain,175
2015-2-9,16,12,7,12,11,6,100,86,72,1024,1017,1007,16,15,3,74,37,90,14.99,6,Rain-Thunderstorm,183
2015-2-10,19,12,4,6,4,3,92,63,34,1025,1022,1019,16,16,16,24,8,29,0.00,0,,340
2015-2-11,22,13,5,9,6,4,89,60,31,1023,1021,1020,16,16,16,16,3,23,0.00,0,,358
2015-2-12,23,14,6,11,8,4,93,66,38,1024,1022,1020,16,16,16,10,2,13,0.00,0,,338
2015-2-13,21,14,8,11,8,7,93,69,45,1022,1020,1019,16,16,13,11,2,19,0.00,0,,353
2015-2-14,26,16,7,10,7,2,93,63,33,1021,1019,1016,16,16,16,13,3,18,0.00,0,,20
2015-2-15,26,18,11,4,1,-1,43,32,21,1019,1016,1014,16,16,16,32,14,39,0.00,0,,341
2015-2-16,26,15,4,7,4,1,92,57,22,1018,1016,1013,16,16,16,24,3,27,0.00,0,,20
2015-2-17,22,13,6,10,7,4,89,70,31,1021,1018,1016,16,16,16,10,2,,0.00,0,,146
2015-2-18,22,13,5,12,8,4,92,68,44,1023,1021,1019,16,15,2,10,2,13,0.00,0,,132
2015-2-19,21,14,8,12,9,7,100,75,49,1022,1020,1016,16,9,0,10,2,11,0.00,3,Fog,108
2015-2-20,24,15,6,10,3,-2,100,59,18,1019,1017,1013,16,9,0,37,10,48,0.00,1,Fog,360
2015-2-21,23,18,13,0,-3,-9,39,27,14,1015,1013,1009,16,16,16,56,26,72,0.00,0,,10
2015-2-22,18,14,10,-4,-7,-14,35,25,15,1019,1016,1014,16,16,16,52,35,71,0.00,0,,18
2015-2-23,19,14,8,-9,-13,-16,24,17,9,1026,1022,1018,16,16,16,53,27,64,0.00,0,,3
2015-2-24,22,12,2,1,-6,-11,70,41,12,1028,1025,1022,16,16,16,21,6,29,0.00,0,,3
2015-2-25,24,13,1,4,1,-3,82,50,17,1027,1022,1018,16,16,3,24,3,29,0.00,0,,360
2015-2-26,23,17,10,5,3,0,49,38,27,1019,1015,1011,16,16,16,32,11,40,0.00,1,,332
2015-2-27,19,12,4,6,3,1,92,63,34,1011,1006,1003,16,16,16,29,5,40,0.00,1,,280
2015-2-28,18,11,4,4,1,-3,85,58,31,1015,1009,1004,16,16,16,39,11,53,0.00,2,,17
2015-3-1,20,14,7,1,-2,-4,56,39,22,1017,1014,1010,16,16,16,39,21,50,0.00,0,,352
2015-3-2,16,11,4,6,3,1,83,63,42,1015,1011,1008,16,16,16,11,2,16,T,4,Rain,357
2015-3-3,19,12,3,4,0,-5,92,56,20,1018,1016,1014,16,16,16,34,6,39,0.00,1,,350
2015-3-4,22,12,1,1,-2,-6,82,49,16,1024,1020,1017,16,16,16,24,5,34,0.00,0,,41
2015-3-5,22,12,2,2,0,-3,82,51,20,1028,1026,1025,16,16,16,11,3,14,0.00,0,,48
2015-3-6,28,15,2,5,1,-3,89,51,13,1026,1023,1019,16,16,16,14,3,19,0.00,0,,342
2015-3-7,27,15,3,6,3,-2,85,50,15,1021,1018,1014,16,16,16,16,2,23,0.00,0,,139
2015-3-8,26,15,4,7,5,3,89,56,23,1019,1016,1013,16,16,16,11,2,13,0.00,0,,127
2015-3-9,31,18,4,7,4,-6,89,50,10,1016,1014,1011,16,16,16,14,2,21,0.00,0,,209
2015-3-10,21,14,7,12,8,5,86,65,44,1015,1014,1013,16,16,16,11,3,11,0.00,0,,349
2015-3-11,17,15,13,13,12,11,93,80,67,1025,1021,1014,16,13,3,29,8,34,10.92,8,Rain,142
2015-3-12,25,17,9,13,10,7,100,67,33,1026,1024,1021,16,13,0,32,8,45,0.00,2,Fog-Rain,338
2015-3-13,25,17,8,12,9,7,93,65,36,1023,1020,1018,16,14,1,11,3,14,0.00,1,,162
2015-3-14,21,18,16,13,12,11,84,73,61,1020,1018,1015,16,16,16,14,5,18,0.00,5,,344
2015-3-15,19,16,13,13,12,7,93,69,45,1019,1016,1013,16,16,16,21,5,32,1.27,3,Rain,332
2015-3-16,18,16,12,13,12,9,93,80,67,1019,1017,1015,16,16,14,14,8,23,4.32,5,Rain,351
2015-3-17,24,17,10,12,9,4,100,65,29,1018,1017,1015,16,15,2,8,5,,0.00,2,,29
2015-3-18,27,19,11,8,2,1,77,49,20,1018,1016,1014,16,16,16,39,14,48,0.00,0,,340
2015-3-19,29,19,10,9,3,-1,71,43,15,1017,1016,1013,16,16,16,19,8,26,0.00,0,,353
2015-3-20,22,16,8,11,8,6,86,62,38,1019,1017,1016,16,16,16,21,3,26,0.00,1,,191
2015-3-21,24,17,11,11,8,2,89,57,25,1021,1018,1016,16,16,16,21,3,26,0.00,2,,178
2015-3-22,21,16,11,12,10,8,96,74,51,1019,1017,1014,16,14,2,50,11,69,10.41,6,Rain-Thunderstorm,222
2015-3-23,18,13,8,10,7,2,100,67,34,1024,1021,1018,16,16,10,24,8,31,T,5,Rain,207
2015-3-24,19,14,10,9,8,4,83,67,51,1025,1024,1022,16,16,16,19,10,26,0.00,6,,196
2015-3-25,27,18,8,9,8,6,93,61,28,1025,1023,1020,16,16,16,24,8,35,0.00,0,,348
2015-3-26,29,19,10,12,9,8,83,56,28,1022,1020,1017,16,16,16,13,5,18,0.00,0,,8
2015-3-27,28,19,10,12,9,4,89,61,33,1020,1018,1015,16,16,16,26,6,43,0.00,0,,287
