PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,12,5,-2,-1,-4,-9,78,50,22,1022,1020,1019,16,16,11,16,7,21,0.00,0,,11
2015-1-2,12,6,-1,-1,-3,-5,82,57,32,1022,1021,1019,16,16,11,14,6,18,0.00,0,,70
2015-1-3,13,6,-1,0,-2,-4,76,57,38,1027,1025,1022,16,14,10,13,3,16,0.00,0,,150
2015-1-4,14,7,-1,2,-1,-3,82,60,38,1031,1029,1026,13,11,8,24,6,26,0.00,0,,80
2015-1-5,15,8,1,3,2,-1,89,66,43,1030,1028,1025,10,7,6,14,4,16,0.00,0,,86
2015-1-6,18,11,3,6,3,1,85,65,44,1026,1024,1022,6,5,3,16,4,19,0.00,0,,102
2015-1-7,18,11,4,8,5,2,85,67,48,1024,1022,1019,5,4,2,14,5,19,0.00,0,,113
2015-1-8,21,14,7,9,6,4,86,63,40,1020,1018,1015,5,4,2,13,4,18,0.00,0,,29
2015-1-9,19,14,9,9,8,7,86,67,48,1017,1016,1014,4,3,2,13,6,18,0.00,1,,64
2015-1-10,17,13,9,11,9,7,86,71,56,1016,1015,1014,4,2,1,13,4,18,0.25,4,Rain,87
2015-1-11,14,12,9,12,11,9,93,87,80,1022,1019,1015,4,2,0,21,5,21,16.00,6,Rain,2
2015-1-12,16,11,7,11,9,6,93,80,67,1024,1023,1022,13,6,3,14,5,23,0.00,5,,119
2015-1-13,17,12,7,11,8,6,93,77,60,1023,1022,1020,8,3,0,14,6,18,0.00,4,Fog,358
2015-1-14,19,13,6,11,7,5,100,73,45,1026,1023,1022,13,4,0,14,4,23,0.00,4,Fog,38
2015-1-15,15,11,7,9,7,6,100,84,67,1027,1026,1024,8,3,0,21,8,23,0.00,5,Fog,173
2015-1-16,16,11,6,8,7,5,93,74,55,1026,1025,1023,8,5,2,23,6,27,0.00,4,,219
2015-1-17,11,8,5,8,6,4,100,89,77,1028,1026,1023,6,2,0,19,5,19,0.00,5,Fog,328
2015-1-18,12,10,7,8,7,6,100,86,71,1027,1026,1024,6,3,0,29,9,34,0.00,6,Fog,328
