MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-3,-5,-8,-11,-12,-13,67,59,50,1024,1021,1017,16,16,16,52,30,60,0.00,0,,214
2015-1-2,3,-7,-16,-2,-9,-17,92,76,60,1027,1013,1007,16,8,1,58,36,72,3.81,5,Fog-Snow,309
2015-1-3,-16,-20,-24,-18,-21,-25,95,87,79,1039,1030,1020,16,9,1,24,9,27,1.27,7,Snow,325
2015-1-4,-17,-19,-21,-19,-22,-23,91,85,78,1041,1032,1017,16,5,1,23,9,24,3.05,8,Snow,56
2015-1-5,3,-7,-17,-1,-14,-18,92,86,80,1033,1023,1012,16,6,0,61,13,71,9.40,8,Fog-Rain-Snow,334
2015-1-6,-13,-14,-15,-14,-16,-17,91,86,80,1052,1036,1024,16,7,2,16,7,19,0.25,8,Snow,26
2015-1-7,2,-8,-18,-3,-11,-19,91,79,66,1051,1034,1024,16,16,11,47,15,53,T,1,,181
2015-1-8,1,-12,-24,-3,-12,-23,100,88,75,1046,1036,1024,16,8,1,48,17,251,2.54,7,Fog-Snow,321
2015-1-9,0,-14,-28,-4,-15,-28,92,80,68,1042,1027,1015,16,16,16,42,22,48,0.00,1,,195
2015-1-10,1,-4,-10,-4,-9,-13,92,75,57,1020,1016,1012,16,16,11,40,14,45,T,4,,45
2015-1-11,-6,-11,-16,-9,-12,-17,100,86,71,1033,1025,1015,16,7,0,19,5,21,0.51,6,Fog-Snow,76
2015-1-12,-10,-14,-19,-11,-16,-21,100,88,76,1033,1027,1022,16,7,0,21,4,24,0.00,4,Fog,173
2015-1-13,-3,-11,-19,-8,-13,-20,100,86,71,1035,1029,1023,16,10,0,34,19,39,0.00,0,Fog,211
2015-1-14,3,-1,-4,-4,-6,-8,75,68,61,1026,1025,1020,16,16,16,42,33,50,0.00,0,,206
2015-1-15,6,3,-1,-4,-6,-7,64,54,43,1024,1020,1016,16,16,16,60,35,66,0.00,0,,211
2015-1-16,5,2,-2,-1,-3,-7,72,64,56,1018,1010,1004,16,16,16,69,36,79,0.00,1,,232
2015-1-17,4,2,-2,-1,-6,-7,75,62,48,1022,1017,1013,16,16,16,58,36,69,0.00,0,,219
2015-1-18,7,4,1,1,-2,-4,82,68,54,1015,1011,1009,16,16,16,56,34,64,0.00,2,,225
2015-1-19,4,1,-3,-2,-4,-6,81,69,56,1023,1020,1016,16,16,16,42,24,52,0.00,1,,234
2015-1-20,4,1,-3,-4,-5,-7,85,65,44,1030,1027,1023,16,16,16,23,11,26,T,8,,239
2015-1-21,2,-3,-8,-6,-8,-10,91,72,52,1031,1027,1022,16,16,16,35,21,40,0.00,0,,204
2015-1-22,6,3,-1,-3,-7,-11,70,54,37,1025,1022,1016,16,16,16,52,32,63,0.00,0,,216
2015-1-23,7,3,-1,-1,-2,-3,78,67,55,1028,1024,1017,16,16,16,56,30,71,0.00,1,,216
2015-1-24,12,9,6,3,1,-1,76,63,50,1023,1019,1015,16,16,16,60,27,71,0.00,2,,240
2015-1-25,15,11,6,3,1,-3,76,56,36,1019,1017,1015,16,16,16,53,32,64,0.00,0,,225
2015-1-26,19,14,9,-1,-2,-3,46,35,24,1018,1015,1012,16,16,16,47,30,56,0.00,0,,218
2015-1-27,18,13,8,-2,-3,-4,49,36,22,1013,1012,1010,16,16,16,37,22,45,0.00,1,,220
2015-1-28,9,3,-3,0,-2,-4,92,69,46,1032,1024,1012,16,16,11,27,12,35,0.00,3,,291
2015-1-29,11,3,-6,-2,-6,-9,100,63,26,1032,1028,1026,16,15,6,29,18,39,0.00,0,,205
2015-1-30,10,2,-6,-6,-8,-9,81,53,24,1027,1024,1017,16,16,16,29,16,34,0.00,0,,215
2015-1-31,2,-8,-19,-4,-11,-20,96,76,56,1036,1026,1017,16,7,0,48,17,58,2.79,7,Fog-Snow,334
2015-2-1,2,-10,-22,-3,-13,-23,100,84,68,1036,1025,1014,16,13,0,37,15,45,0.00,3,Fog,201
2015-2-2,4,-3,-11,-1,-7,-13,92,73,54,1022,1014,1005,16,13,1,37,15,45,0.00,5,,124
2015-2-3,-4,-8,-12,-8,-13,-15,88,82,76,1032,1021,1008,16,13,4,27,10,32,0.25,8,Snow,358
2015-2-4,3,-4,-12,-2,-7,-14,84,72,59,1031,1022,1015,16,16,13,39,16,47,T,4,Rain,207
2015-2-5,13,8,2,1,-1,-3,76,56,35,1014,1009,1005,16,16,16,52,23,63,0.00,2,,214
2015-2-6,18,13,8,0,-3,-5,42,31,20,1005,1000,996,16,16,16,66,38,82,0.00,0,,223
2015-2-7,13,9,5,3,1,-2,65,55,44,1008,1001,996,16,16,16,53,32,66,0.00,1,,220
2015-2-8,14,9,3,1,-1,-3,65,49,32,1018,1015,1009,16,16,16,47,26,58,0.00,0,,217
2015-2-9,12,7,1,5,1,-2,92,75,57,1015,1010,1006,16,16,8,40,19,50,2.29,3,Rain,203
