MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-11,-19,-27,-16,-21,-29,83,72,61,1033,1029,1017,16,15,11,23,9,24,T,4,,258
2015-1-2,-3,-8,-13,-9,-13,-17,73,67,61,1028,1022,1012,16,16,14,47,15,52,0.00,2,,234
2015-1-3,-3,-6,-8,-8,-9,-12,80,72,63,1026,1019,1011,16,16,16,60,33,68,0.00,4,,256
2015-1-4,0,-4,-8,-7,-9,-12,74,66,58,1031,1027,1021,16,16,16,69,35,80,0.00,4,,245
2015-1-5,4,1,-2,-2,-3,-7,75,67,59,1032,1027,1023,16,16,14,79,46,95,0.00,6,,252
2015-1-6,6,3,1,0,-1,-2,82,75,67,1035,1033,1031,16,16,16,47,28,63,0.00,0,,248
2015-1-7,3,0,-3,-2,-3,-4,92,81,70,1037,1032,1028,16,16,10,26,9,29,0.00,0,,347
2015-1-8,8,1,-7,-1,-4,-9,92,73,53,1028,1024,1020,16,16,16,42,22,52,0.00,3,,296
2015-1-9,-3,-6,-10,-5,-8,-12,92,86,80,1030,1025,1019,16,12,0,39,11,45,0.00,7,Fog,305
2015-1-10,2,-2,-6,-2,-4,-6,100,88,75,1023,1019,1016,16,5,0,23,10,26,0.00,6,Fog,261
2015-1-11,4,1,-2,-1,-2,-3,100,85,70,1023,1019,1015,16,11,1,32,18,35,T,7,Fog-Snow,247
2015-1-12,3,1,-2,-1,-2,-3,100,85,70,1024,1021,1018,16,11,0,21,7,26,0.25,8,Fog-Snow,175
2015-1-13,1,-2,-6,-2,-5,-7,92,77,61,1029,1023,1018,16,15,3,26,15,32,0.00,6,,57
2015-1-14,-1,-4,-8,-6,-8,-11,92,78,63,1031,1027,1023,16,9,0,27,15,34,0.00,4,Fog,256
2015-1-15,5,-2,-8,-6,-9,-12,75,55,34,1034,1031,1027,16,16,16,37,12,42,0.00,0,,231
2015-1-16,6,1,-4,-4,-7,-10,78,58,37,1026,1021,1017,16,16,16,58,26,69,0.00,5,,249
2015-1-17,3,-1,-4,-6,-9,-12,78,57,35,1031,1027,1021,16,16,16,48,26,63,0.00,1,,248
2015-1-18,9,3,-2,-2,-6,-12,70,58,45,1026,1023,1020,16,16,16,56,28,69,0.00,2,,238
2015-1-19,5,0,-5,-3,-7,-10,78,59,40,1024,1022,1019,16,16,16,63,28,72,0.00,2,,274
2015-1-20,-1,-4,-9,-10,-11,-13,74,61,47,1028,1026,1023,16,16,16,26,10,31,0.00,1,,310
2015-1-21,-4,-8,-13,-11,-13,-16,80,68,55,1033,1030,1026,16,16,16,19,8,21,T,2,,247
2015-1-22,2,-5,-12,-13,-14,-17,76,53,29,1033,1031,1029,16,16,16,37,22,45,0.00,0,,245
2015-1-23,2,-2,-6,-7,-12,-16,75,55,35,1033,1030,1028,16,16,16,35,25,42,0.00,3,,245
2015-1-24,3,-1,-6,-3,-6,-9,84,66,48,1032,1029,1026,16,16,16,63,42,74,0.00,1,,250
2015-1-25,8,4,-1,-1,-3,-4,85,67,49,1030,1028,1025,16,16,16,53,33,63,0.00,0,,261
2015-1-26,12,5,-2,-2,-3,-4,85,62,38,1031,1027,1024,16,16,16,24,9,29,0.00,0,,157
2015-1-27,10,3,-4,-2,-4,-6,81,62,42,1026,1022,1020,16,16,16,21,9,24,0.00,2,,256
2015-1-28,6,3,-1,-1,-2,-3,85,73,60,1029,1024,1019,16,16,16,48,23,56,T,5,,252
2015-1-29,3,1,-2,-1,-2,-3,100,85,70,1033,1030,1027,16,14,0,21,9,23,0.00,4,Fog,69
2015-1-30,3,1,-2,-1,-2,-4,92,84,75,1026,1021,1017,16,15,3,32,11,39,T,7,Snow,61
