CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-6,-12,-18,-9,-14,-21,88,76,63,1020,1010,1005,16,9,1,32,16,42,1.27,7,Snow,264
2015-1-2,-8,-17,-25,-14,-19,-26,86,70,53,1026,1024,1020,16,16,16,21,9,27,T,5,,218
2015-1-3,-3,-7,-11,-5,-7,-14,100,82,64,1020,1013,1009,16,8,1,24,7,40,1.78,8,Snow,50
2015-1-4,-6,-17,-27,-8,-19,-31,92,75,58,1030,1018,1011,16,8,1,32,19,53,3.56,6,Snow,331
2015-1-5,-19,-24,-30,-25,-28,-32,79,69,58,1033,1031,1027,16,16,16,26,16,32,0.00,1,,249
2015-1-6,-16,-21,-27,-21,-23,-28,87,73,59,1027,1023,1017,16,13,3,37,19,56,T,6,Snow,276
2015-1-7,-20,-22,-25,-24,-27,-29,78,68,57,1041,1034,1024,16,11,1,34,23,48,T,3,Snow,288
2015-1-8,-17,-20,-24,-19,-22,-27,87,72,56,1030,1009,1000,16,7,0,32,16,42,3.05,5,Snow,238
2015-1-9,-17,-21,-24,-21,-25,-28,75,66,56,1024,1019,1009,16,14,5,37,23,50,0.00,3,Snow,279
2015-1-10,-12,-18,-25,-16,-22,-27,86,68,50,1024,1022,1017,16,16,16,24,13,32,T,4,,230
2015-1-11,-12,-17,-22,-14,-17,-23,91,77,63,1029,1023,1019,16,10,1,14,5,18,1.27,6,Snow,275
2015-1-12,-14,-21,-28,-18,-23,-31,92,76,60,1045,1037,1029,16,14,3,23,7,31,T,2,Snow,333
2015-1-13,-11,-21,-31,-17,-26,-34,95,78,61,1044,1038,1028,16,11,0,27,9,39,0.00,1,Fog,221
2015-1-14,-8,-11,-14,-9,-13,-16,100,90,80,1027,1021,1015,16,7,3,26,13,37,T,8,Snow,235
2015-1-15,-1,-5,-9,-5,-8,-14,92,76,60,1016,1012,1008,16,11,2,34,17,43,T,6,Snow,261
2015-1-16,-8,-11,-14,-11,-14,-16,88,72,56,1023,1020,1013,16,16,16,26,13,39,0.00,6,,122
2015-1-17,1,-3,-8,-2,-4,-11,100,90,80,1011,1000,994,16,8,3,40,19,56,T,8,Snow,214
2015-1-18,1,-2,-6,-3,-6,-8,88,75,61,1016,1008,999,16,14,3,29,15,43,0.51,8,Snow,309
2015-1-19,-6,-7,-9,-8,-9,-12,88,80,71,1018,1015,1011,16,13,1,19,9,23,0.25,8,Snow,110
2015-1-20,-5,-6,-7,-7,-8,-9,92,87,81,1018,1016,1011,16,16,10,14,5,16,1.02,8,Snow,94
2015-1-21,-3,-4,-6,-7,-7,-8,92,80,68,1025,1021,1017,16,14,6,19,5,29,T,8,,333
2015-1-22,-2,-6,-11,-8,-9,-12,92,75,58,1029,1026,1022,16,16,13,35,14,47,T,4,,244
2015-1-23,0,-3,-6,-3,-5,-8,92,82,72,1021,1012,1007,16,11,1,37,21,48,0.76,8,Snow,238
2015-1-24,2,-3,-8,-1,-4,-11,89,77,64,1009,1004,1001,16,16,14,21,13,29,0.00,8,,313
2015-1-25,-7,-11,-14,-13,-15,-16,88,70,51,1020,1016,1009,16,16,16,24,9,32,T,6,,80
2015-1-26,-7,-9,-12,-8,-11,-16,91,79,67,1016,1010,1006,16,8,1,19,9,26,3.56,8,Fog-Snow,163
2015-1-27,-4,-6,-7,-7,-8,-9,100,87,74,1024,1021,1013,16,14,2,13,5,16,T,8,,176
2015-1-28,-2,-3,-6,-7,-7,-8,92,81,69,1023,1017,1008,16,11,3,24,13,32,T,6,,172
2015-1-29,-2,-6,-10,-4,-9,-16,92,80,68,1030,1018,1008,16,10,2,39,18,60,0.25,8,Snow,317
2015-1-30,-8,-10,-13,-15,-16,-17,73,61,49,1034,1030,1024,16,16,16,24,11,35,T,7,,259
2015-1-31,-5,-9,-13,-9,-13,-18,84,73,62,1028,1023,1018,16,16,14,21,10,29,T,7,,333
2015-2-1,-12,-14,-17,-18,-19,-21,83,71,58,1028,1025,1023,16,16,16,27,14,39,0.00,4,,41
2015-2-2,-10,-18,-26,-20,-22,-26,90,65,40,1023,1020,1018,16,16,16,34,12,40,0.00,4,,258
2015-2-3,-8,-16,-23,-13,-17,-24,84,69,53,1020,1017,1014,16,12,2,16,8,24,0.51,5,Snow,265
2015-2-4,-12,-18,-24,-16,-21,-27,95,70,44,1029,1022,1017,16,14,4,32,13,45,T,4,Snow,301
2015-2-5,-10,-18,-27,-16,-23,-29,89,66,42,1030,1023,1014,16,15,8,39,20,55,T,3,Snow,242
2015-2-6,-4,-9,-14,-12,-14,-17,83,68,52,1020,1018,1014,16,15,10,27,8,34,T,5,,204
2015-2-7,-4,-6,-7,-5,-8,-12,92,80,67,1013,1008,1003,16,11,2,29,14,37,T,7,,105
2015-2-8,-5,-7,-10,-6,-10,-13,100,87,73,1023,1014,1004,16,12,2,19,12,27,T,8,Snow,47
2015-2-9,-4,-9,-16,-11,-14,-17,92,74,55,1027,1025,1022,16,14,4,19,5,23,T,3,Snow,4
2015-2-10,-4,-7,-11,-7,-9,-13,88,74,60,1027,1018,1011,16,10,1,29,12,40,2.03,7,Snow,153
2015-2-11,-5,-11,-16,-7,-12,-21,92,79,66,1025,1016,1010,16,8,1,32,18,45,1.02,7,Fog-Snow,309
2015-2-12,-13,-18,-24,-20,-22,-25,83,67,50,1034,1029,1023,16,12,3,23,10,35,T,5,Snow,337
2015-2-13,-9,-15,-22,-12,-17,-24,83,72,61,1026,1014,1008,16,7,1,35,17,52,0.51,8,Snow,258
2015-2-14,-12,-18,-24,-18,-24,-28,79,65,51,1037,1020,1008,16,10,0,35,17,55,T,6,Snow,347
2015-2-15,-13,-20,-27,-22,-25,-28,81,61,41,1038,1035,1029,16,16,16,16,5,21,0.00,3,,182
2015-2-16,-11,-13,-16,-16,-18,-22,80,71,61,1028,1020,1014,16,15,8,16,11,23,T,8,,228
2015-2-17,-14,-18,-22,-18,-21,-23,95,81,66,1014,1010,1006,16,12,3,29,14,35,T,6,Snow,283
2015-2-18,-19,-23,-28,-22,-28,-31,83,65,47,1025,1018,1011,16,13,4,29,13,39,T,4,,311
2015-2-19,-16,-23,-31,-26,-29,-33,86,65,44,1029,1027,1025,16,16,13,23,8,31,0.00,0,,297
2015-2-20,-11,-19,-27,-13,-18,-31,92,75,58,1025,1012,1007,16,7,1,34,13,45,0.76,7,Snow,205
2015-2-21,-8,-14,-21,-13,-16,-23,96,78,59,1024,1014,1008,16,11,3,19,8,29,T,7,Snow,297
2015-2-22,-17,-22,-28,-21,-27,-32,87,66,45,1040,1032,1021,16,16,10,26,14,37,0.00,3,,304
2015-2-23,-14,-22,-30,-20,-28,-33,77,58,39,1040,1031,1012,16,16,16,32,20,43,0.00,2,,244
2015-2-24,-3,-12,-20,-8,-14,-23,84,59,33,1011,1002,997,16,8,0,47,23,61,0.51,6,Snow,275
2015-2-25,-11,-18,-26,-21,-23,-27,87,67,46,1025,1017,1012,16,15,3,19,7,26,0.00,0,,301
2015-2-26,-13,-21,-28,-22,-25,-29,83,64,45,1031,1028,1025,16,16,14,23,8,32,0.00,1,,321
2015-2-27,-9,-19,-30,-19,-24,-31,81,62,42,1035,1033,1031,16,16,16,27,13,32,0.00,0,,255
2015-2-28,-8,-17,-26,-18,-21,-27,83,63,42,1037,1034,1028,16,16,14,26,12,35,0.00,1,,217
2015-3-1,-7,-11,-14,-12,-16,-19,74,66,58,1028,1023,1018,16,11,2,32,18,39,T,6,Snow,239
2015-3-2,-3,-9,-14,-13,-16,-17,80,58,36,1032,1028,1021,16,16,11,26,12,40,T,4,Snow,263
2015-3-3,-3,-7,-12,-8,-11,-17,84,68,51,1020,1006,1000,16,8,0,34,16,48,3.30,7,Fog-Snow,231
2015-3-4,-12,-18,-25,-18,-23,-28,72,59,45,1029,1019,1008,16,16,16,39,17,53,0.00,3,,291
2015-3-5,-11,-20,-29,-22,-25,-32,78,58,38,1033,1031,1028,16,15,3,24,12,31,0.00,0,,256
2015-3-6,-2,-10,-19,-11,-17,-24,79,65,50,1028,1020,1016,16,16,16,32,17,45,0.00,2,,236
2015-3-7,2,-5,-12,-6,-9,-13,84,68,51,1020,1015,1010,16,13,1,34,12,47,T,6,Snow,273
2015-3-8,4,-4,-12,-3,-7,-13,88,68,48,1020,1017,1014,16,16,16,39,15,47,0.00,5,,253
2015-3-9,9,1,-7,-1,-4,-8,84,65,45,1018,1016,1013,16,16,16,26,14,53,0.00,4,,228
2015-3-10,13,7,1,-1,-2,-7,82,59,35,1018,1012,1008,16,16,16,40,18,53,0.00,0,,248
2015-3-11,9,2,-5,-2,-7,-14,81,51,20,1030,1025,1019,16,16,16,26,10,37,0.00,1,,306
2015-3-12,11,5,-1,-2,-6,-9,61,46,30,1031,1028,1023,16,16,16,32,16,42,0.00,0,,158
2015-3-13,14,9,4,5,3,-1,86,69,51,1022,1017,1014,16,12,6,26,16,35,0.00,4,,239
2015-3-14,6,1,-5,1,-2,-6,92,75,57,1022,1019,1016,16,14,2,34,13,47,0.00,5,,313
2015-3-15,14,4,-6,1,-2,-6,100,68,35,1022,1017,1011,16,14,3,40,12,53,0.00,0,,223
2015-3-16,12,6,-1,4,2,-6,93,70,46,1021,1013,1010,16,15,8,27,9,45,4.06,6,Rain,326
2015-3-17,3,-1,-4,-7,-13,-17,63,43,23,1029,1027,1022,16,16,16,40,17,55,0.00,0,,305
2015-3-18,6,1,-6,-9,-12,-15,65,43,21,1026,1025,1025,16,16,16,26,10,42,0.00,0,,294
2015-3-19,7,2,-4,-4,-8,-13,64,52,39,1026,1022,1017,16,16,16,26,11,35,0.00,4,,166
2015-3-20,11,6,1,3,-1,-6,92,69,46,1016,1014,1012,16,15,8,29,16,40,1.27,7,Rain-Snow,255
2015-3-21,2,-2,-7,1,-9,-16,78,57,35,1027,1021,1014,16,16,16,27,11,40,0.25,4,Rain,337
2015-3-22,2,-3,-8,-12,-13,-14,67,48,29,1029,1027,1026,16,16,16,21,7,26,0.00,1,,32
2015-3-23,4,-1,-6,-11,-12,-14,68,49,30,1028,1027,1025,16,16,16,19,10,24,0.00,1,,128
2015-3-24,7,-1,-9,-7,-11,-13,80,52,24,1027,1023,1016,16,16,16,27,13,43,0.00,0,,152
2015-3-25,2,-1,-3,-1,-4,-13,92,64,36,1015,1009,1005,16,8,1,42,21,61,7.87,8,Fog-Rain-Snow,203
2015-3-26,-1,-8,-16,-5,-11,-16,88,72,56,1023,1016,1011,16,16,11,34,16,43,T,7,Snow,318
2015-3-27,-1,-7,-14,-13,-16,-18,83,56,29,1026,1023,1021,16,14,3,16,5,26,T,2,Snow,2
2015-3-28,4,-6,-16,-11,-14,-18,87,57,27,1027,1024,1019,16,16,16,27,11,39,0.00,0,,218
2015-3-29,3,1,-2,0,-3,-11,96,72,47,1017,1004,998,16,10,2,37,23,53,2.79,7,Rain-Snow,237
2015-3-30,11,5,-1,1,-3,-8,85,56,27,1014,1012,1010,16,16,16,32,13,45,0.25,4,Rain,284
2015-3-31,12,4,-4,3,-2,-6,100,71,42,1016,1011,1009,16,10,0,35,9,48,0.00,2,Fog,288
2015-4-1,15,6,-4,6,0,-6,92,64,36,1016,1010,1003,16,16,13,34,14,47,4.57,4,Rain-Thunderstorm,150
2015-4-2,17,11,4,9,2,-10,89,53,17,1009,1003,1001,16,16,8,56,25,71,3.30,3,Rain,265
2015-4-3,5,-2,-8,-3,-9,-17,75,51,26,1022,1017,1009,16,16,16,27,12,43,T,4,,332
2015-4-4,7,-1,-8,-5,-9,-14,81,54,27,1022,1020,1019,16,15,2,35,12,50,T,6,Snow,285
2015-4-5,8,1,-7,-1,-8,-11,68,48,28,1020,1019,1016,16,15,5,14,5,18,0.25,3,Snow,61
2015-4-6,2,0,-2,0,-2,-3,100,91,82,1025,1019,1016,16,7,1,23,10,27,12.19,8,Fog-Snow,70
2015-4-7,3,1,-2,-4,-9,-12,72,52,32,1028,1025,1022,16,16,16,32,20,40,T,8,Rain,79
2015-4-8,8,4,-1,0,-3,-5,92,75,58,1022,1018,1015,16,15,6,27,17,39,0.51,7,Rain,91
2015-4-9,3,1,-1,1,0,-2,96,91,85,1015,1007,999,16,9,2,27,13,34,26.92,8,Rain,54
2015-4-10,9,3,-3,-1,-2,-4,92,67,42,1019,1007,998,16,10,1,27,13,40,10.67,6,Fog-Rain-Snow,322
2015-4-11,17,6,-6,1,-3,-7,92,59,25,1022,1019,1017,16,11,1,27,12,40,0.00,0,Fog,238
2015-4-12,22,16,8,6,2,-2,55,43,31,1017,1012,1008,16,16,16,48,24,63,0.00,0,,204
2015-4-13,16,8,0,7,1,-7,86,54,21,1020,1011,1006,16,16,6,50,22,72,4.32,5,Rain,268
2015-4-14,18,7,-3,-3,-7,-11,85,50,14,1026,1024,1021,16,16,16,29,8,40,0.00,0,,273
2015-4-15,19,10,1,-4,-8,-12,59,37,14,1028,1026,1024,16,16,16,32,12,42,0.00,0,,127
2015-4-16,22,12,2,0,-4,-8,59,37,15,1024,1019,1016,16,16,16,24,7,32,0.00,1,,229
2015-4-17,23,14,4,4,1,-3,73,48,22,1020,1017,1015,16,16,16,27,8,37,0.00,2,,291
2015-4-18,18,11,4,0,-4,-12,70,44,18,1023,1021,1017,16,16,16,32,19,42,0.00,0,,85
2015-4-19,17,12,6,2,-2,-7,53,45,37,1017,1007,998,16,16,16,29,16,39,T,5,,124
2015-4-20,8,4,1,4,0,-3,96,77,58,996,992,990,16,9,1,39,19,47,10.92,8,Rain-Snow,296
2015-4-21,4,1,-3,-1,-3,-6,92,76,59,1003,996,993,16,7,0,39,21,53,3.56,8,Fog-Snow,282
2015-4-22,0,-2,-4,-5,-6,-8,88,76,63,1013,1005,1001,16,8,0,34,16,48,3.05,8,Fog-Snow,307
2015-4-23,8,1,-7,-6,-8,-12,84,54,23,1018,1015,1011,16,16,16,27,11,39,0.00,2,,314
2015-4-24,8,2,-6,-2,-6,-9,100,64,28,1019,1017,1015,16,16,16,24,9,31,T,5,,114
2015-4-25,13,7,0,-3,-7,-12,64,41,18,1017,1014,1012,16,16,16,27,14,32,0.00,4,,78
2015-4-26,14,6,-3,-2,-6,-8,75,49,22,1021,1020,1017,16,16,16,24,10,34,0.00,0,,5
2015-4-27,17,8,0,-1,-3,-4,75,49,23,1023,1022,1021,16,16,16,24,10,37,0.00,0,,355
2015-4-28,20,8,-3,1,-2,-6,85,54,22,1023,1020,1016,16,16,16,21,6,31,0.00,0,,5
2015-4-29,14,8,2,1,-1,-4,73,52,30,1018,1016,1015,16,16,16,26,11,43,0.00,0,,10
