CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-4,-11,-17,-9,-14,-19,83,73,60,1019,1009,1004,16,12,2,35,14,52,0.00,6,Snow,271
2015-1-2,-8,-14,-21,-15,-18,-24,83,64,50,1026,1023,1020,16,16,16,16,5,,0.00,6,,180
2015-1-3,-3,-7,-10,-4,-8,-16,93,84,61,1022,1014,1009,16,6,1,14,5,,0.25,8,Snow,162
2015-1-4,-3,-13,-24,-6,-18,-29,89,70,57,1028,1016,1010,16,6,1,47,31,60,0.25,3,Snow,322
2015-1-5,-17,-22,-27,-24,-28,-31,68,62,52,1032,1029,1026,16,16,16,19,13,29,0.00,0,,264
2015-1-6,-13,-19,-25,-19,-22,-27,82,67,55,1026,1021,1017,16,10,1,39,14,52,0.00,5,Snow,308
2015-1-7,-17,-20,-22,-22,-25,-27,76,63,52,1037,1031,1022,16,11,1,42,27,55,0.00,4,Snow,311
2015-1-8,-14,-18,-21,-18,-22,-26,80,69,52,1028,1010,1001,16,9,1,26,13,,1.02,5,Snow,230
2015-1-9,-14,-17,-20,-18,-23,-26,73,62,49,1022,1016,1006,16,13,0,32,23,50,0.25,3,Snow,285
2015-1-10,-10,-17,-23,-17,-22,-27,75,61,35,1023,1021,1018,16,16,13,19,10,,0.00,3,,230
2015-1-11,-9,-13,-17,-13,-16,-19,87,75,47,1027,1023,1019,16,13,3,14,3,,0.00,6,Snow,297
2015-1-12,-13,-19,-27,-18,-22,-30,87,75,55,1045,1034,1024,16,16,11,26,10,39,0.00,3,Snow,323
2015-1-13,-9,-21,-32,-16,-24,-34,95,76,56,1044,1039,1028,16,16,11,23,6,,0.00,0,,192
2015-1-14,-8,-12,-17,-10,-13,-19,84,77,71,1027,1022,1015,16,14,6,16,8,,0.00,8,Snow,234
2015-1-15,1,-3,-8,-5,-8,-13,85,71,54,1015,1011,1005,16,14,8,32,14,60,0.00,7,Snow,266
2015-1-16,-8,-11,-15,-12,-16,-19,76,62,45,1024,1020,1015,16,15,10,23,13,,0.00,5,Snow,80
2015-1-17,2,-3,-9,-2,-4,-13,100,85,69,1014,1000,994,16,8,0,26,13,42,0.00,8,Fog,185
2015-1-18,1,-3,-7,-2,-6,-11,92,77,69,1017,1008,999,16,13,1,29,19,45,0.25,8,Fog-Snow,337
2015-1-19,-6,-9,-12,-11,-11,-14,88,75,66,1019,1017,1015,16,16,14,13,8,,0.00,8,,31
2015-1-20,-5,-7,-8,-8,-9,-11,88,81,74,1019,1017,1013,16,16,11,6,2,,0.00,8,,23
2015-1-21,-2,-4,-7,-6,-8,-9,85,79,66,1024,1020,1016,16,16,16,16,5,,0.00,8,,333
2015-1-22,0,-3,-6,-7,-9,-11,78,67,45,1029,1025,1019,16,16,14,26,13,32,0.00,4,,245
2015-1-23,1,-1,-4,-3,-4,-8,85,75,69,1019,1009,1004,16,13,3,23,14,37,0.51,8,Rain-Snow,251
2015-1-24,3,-2,-8,-1,-4,-13,89,75,59,1010,1003,1000,16,16,5,27,11,34,0.00,8,Snow,316
2015-1-25,-7,-12,-19,-12,-15,-21,88,71,55,1021,1017,1011,16,14,6,21,6,,0.00,5,Snow,18
2015-1-26,-6,-12,-19,-7,-11,-22,93,83,74,1017,1012,1008,16,8,1,24,8,32,0.00,7,Snow,135
2015-1-27,-4,-7,-10,-8,-9,-12,92,84,71,1025,1022,1015,16,15,8,10,5,,0.00,8,Snow,144
2015-1-28,-2,-4,-6,-5,-7,-9,82,78,67,1024,1019,1011,16,16,14,24,13,34,0.00,7,,159
2015-1-29,-1,-6,-10,-3,-7,-17,96,81,56,1029,1014,1007,16,8,1,50,13,63,0.00,8,Snow,323
2015-1-30,-7,-10,-13,-13,-16,-18,71,61,47,1034,1030,1025,16,16,16,24,14,,0.00,7,,272
2015-1-31,-4,-9,-14,-8,-13,-19,78,69,62,1028,1023,1019,16,16,13,23,11,32,0.00,7,Snow,325
2015-2-1,-12,-13,-15,-17,-18,-20,76,68,61,1029,1025,1019,16,16,11,24,13,39,0.00,7,,9
2015-2-2,-8,-14,-21,-19,-21,-24,80,59,33,1022,1019,1017,16,16,16,21,13,,0.00,3,,288
2015-2-3,-6,-12,-18,-13,-18,-22,77,58,40,1019,1017,1015,16,16,6,14,10,,0.00,4,Snow,280
2015-2-4,-11,-14,-18,-14,-19,-26,87,66,43,1027,1021,1015,16,13,5,35,13,50,0.00,4,Snow,297
2015-2-5,-8,-17,-25,-17,-23,-28,82,57,34,1029,1023,1015,16,16,16,26,8,39,0.00,3,,234
2015-2-6,-5,-9,-12,-11,-13,-16,73,67,55,1019,1017,1015,16,16,14,13,8,,0.00,4,,253
2015-2-7,-5,-7,-8,-6,-8,-11,96,85,74,1014,1009,1005,16,10,1,16,10,,0.00,8,Fog-Rain,86
2015-2-8,-7,-10,-12,-9,-11,-14,88,81,74,1023,1014,1006,16,8,2,19,11,,0.00,8,Snow,19
2015-2-9,-4,-11,-17,-11,-14,-19,100,78,62,1027,1024,1020,16,15,8,16,5,,0.00,4,,346
2015-2-10,-4,-7,-9,-7,-8,-12,89,82,71,1027,1019,1012,16,12,2,21,8,,0.00,8,Snow,150
2015-2-11,-3,-9,-16,-7,-11,-21,92,76,60,1024,1013,1009,16,7,1,45,16,60,0.25,7,Snow,300
2015-2-12,-13,-18,-23,-21,-23,-26,82,63,48,1033,1030,1024,16,16,14,37,23,47,0.00,1,,333
2015-2-13,-9,-17,-24,-13,-17,-28,83,72,61,1027,1013,1007,16,9,3,27,10,40,0.00,8,Snow,273
2015-2-14,-13,-18,-22,-17,-23,-27,77,63,52,1035,1019,1008,16,7,1,48,31,72,0.00,6,Snow,337
2015-2-15,-13,-19,-24,-21,-24,-28,75,62,46,1038,1035,1030,16,16,16,19,11,,0.00,2,,256
2015-2-16,-9,-13,-17,-16,-19,-22,80,65,47,1029,1020,1012,16,16,10,14,8,29,0.00,8,,213
2015-2-17,-12,-16,-19,-17,-20,-22,80,70,50,1012,1011,1007,16,14,4,26,11,,0.00,5,Snow,311
2015-2-18,-18,-22,-28,-21,-26,-31,79,62,47,1024,1016,1010,16,14,2,34,19,48,0.00,5,Snow,322
2015-2-19,-17,-24,-31,-26,-29,-34,91,67,47,1028,1026,1022,16,12,0,24,8,35,0.00,2,Fog,328
2015-2-20,-12,-21,-30,-14,-21,-34,86,74,52,1026,1015,1009,16,9,1,27,8,35,0.00,6,Snow,179
2015-2-21,-7,-12,-18,-13,-15,-21,84,71,57,1023,1015,1009,16,14,8,23,8,27,0.00,6,,330
2015-2-22,-18,-21,-24,-22,-26,-30,83,62,47,1038,1031,1023,16,15,2,32,11,45,0.00,1,Snow,317
2015-2-23,-11,-19,-28,-21,-27,-32,74,51,33,1038,1029,1012,16,16,16,24,8,37,0.00,1,,235
2015-2-24,-3,-10,-18,-8,-14,-24,77,66,48,1011,1001,995,16,8,1,45,24,61,0.00,7,Snow,284
2015-2-25,-11,-18,-24,-21,-24,-28,82,62,44,1024,1018,1011,16,16,16,21,8,,0.00,0,,332
2015-2-26,-12,-21,-29,-22,-26,-33,76,62,42,1030,1028,1025,16,16,13,23,6,,0.00,0,,336
2015-2-27,-6,-16,-26,-18,-23,-29,75,53,37,1034,1032,1030,16,16,16,16,6,,0.00,0,,271
2015-2-28,-4,-12,-21,-17,-20,-24,80,57,30,1037,1033,1028,16,16,16,21,6,34,0.00,1,,195
2015-3-1,-3,-10,-16,-11,-16,-20,73,61,55,1028,1023,1020,16,16,16,23,10,35,0.00,4,,229
2015-3-2,-2,-8,-13,-13,-15,-17,80,58,33,1031,1026,1021,16,16,14,24,13,35,0.00,2,,268
2015-3-3,-3,-6,-8,-6,-9,-14,88,78,60,1020,1006,998,16,8,0,34,10,42,0.76,8,Fog-Snow,203
2015-3-4,-9,-16,-22,-16,-22,-27,66,56,42,1028,1018,1009,16,16,16,32,19,48,0.00,2,,291
2015-3-5,-9,-18,-28,-21,-24,-31,82,55,31,1032,1030,1028,16,16,16,23,6,,0.00,0,,265
2015-3-6,0,-9,-19,-12,-17,-23,75,54,41,1027,1019,1014,16,16,16,23,11,34,0.00,1,,222
2015-3-7,1,-7,-14,-6,-9,-16,87,70,56,1019,1014,1010,16,16,13,32,10,48,0.00,7,Rain,304
2015-3-8,4,-4,-13,-3,-9,-15,92,72,53,1019,1016,1014,16,15,4,24,6,45,0.00,4,,271
2015-3-9,10,2,-6,-2,-4,-9,81,58,39,1018,1015,1012,16,16,16,29,10,45,0.00,4,,221
2015-3-10,15,8,2,-1,-2,-7,72,51,33,1016,1010,1006,16,16,16,32,14,50,0.00,0,,248
2015-3-11,9,3,-3,-2,-6,-11,81,53,24,1031,1025,1017,16,16,16,39,11,47,0.00,2,,320
2015-3-12,9,3,-1,-2,-7,-11,68,50,33,1033,1029,1024,16,16,16,23,11,37,0.00,2,,149
2015-3-13,15,9,2,4,1,-2,76,67,49,1023,1017,1012,16,14,11,27,13,42,0.00,3,,180
2015-3-14,4,1,-3,1,-2,-4,89,72,65,1021,1017,1014,16,16,16,35,24,50,0.00,7,,315
2015-3-15,13,3,-6,2,-2,-7,92,72,43,1022,1016,1010,16,16,13,29,6,40,0.00,0,,160
2015-3-16,11,7,1,5,2,-3,93,78,54,1019,1012,1009,16,13,4,27,10,45,3.05,7,Rain,317
2015-3-17,3,-1,-5,-6,-12,-16,68,44,26,1027,1024,1019,16,16,16,39,27,55,0.00,1,,319
2015-3-18,6,-1,-7,-8,-12,-16,78,47,21,1026,1025,1023,16,16,16,29,8,42,0.00,0,,326
2015-3-19,4,-2,-8,-6,-8,-11,88,61,45,1027,1023,1017,16,16,16,19,6,,0.00,3,,160
2015-3-20,11,6,1,3,-3,-7,93,61,39,1017,1013,1011,16,15,6,24,11,34,0.00,6,Rain,237
2015-3-21,2,-2,-8,2,-9,-16,89,61,37,1027,1020,1012,16,16,13,32,21,39,0.00,4,Rain,328
2015-3-22,2,-4,-11,-12,-14,-16,77,51,28,1029,1028,1026,16,16,16,23,5,,0.00,0,,13
2015-3-23,2,-3,-8,-11,-12,-13,74,54,37,1029,1028,1026,16,16,16,16,5,,0.00,0,,135
2015-3-24,8,-2,-11,-8,-11,-13,84,55,23,1027,1024,1018,16,16,16,23,6,32,0.00,0,,152
2015-3-25,3,0,-3,-1,-3,-8,93,81,67,1017,1008,1004,16,10,0,29,10,40,4.57,8,Fog-Rain-Snow,238
2015-3-26,1,-6,-13,-4,-9,-17,73,65,57,1022,1015,1010,16,16,13,35,21,50,0.00,7,Snow,321
2015-3-27,-2,-9,-15,-16,-17,-19,80,53,29,1025,1024,1022,16,16,16,24,10,,0.00,0,,4
2015-3-28,5,-7,-17,-11,-15,-21,79,50,27,1027,1024,1019,16,16,16,21,5,32,0.00,0,,185
2015-3-29,3,0,-2,0,-4,-11,92,77,51,1018,1004,997,16,10,2,39,21,63,0.76,6,Rain-Snow,202
2015-3-30,11,6,1,-3,-5,-8,72,52,27,1013,1011,1008,16,16,16,32,19,45,0.00,3,,309
2015-3-31,12,2,-6,1,-3,-7,100,75,41,1015,1012,1009,16,15,2,34,5,47,0.00,4,Rain,312
2015-4-1,12,4,-4,1,-2,-5,96,75,41,1017,1013,1004,16,15,2,29,5,39,0.00,5,Rain,135
2015-4-2,18,11,4,9,-1,-13,79,46,12,1006,1002,999,16,16,16,34,16,52,0.00,3,Rain,279
2015-4-3,8,0,-7,-3,-8,-16,82,56,32,1021,1015,1007,16,15,6,34,23,52,0.00,4,Snow,325
2015-4-4,6,-1,-8,-7,-11,-13,71,52,27,1021,1020,1019,16,16,16,26,6,35,0.00,4,,319
2015-4-5,7,-1,-7,-6,-8,-11,89,64,35,1021,1020,1018,16,16,16,14,6,,0.00,2,,81
2015-4-6,4,0,-4,-1,-5,-10,92,80,51,1025,1021,1019,16,8,1,19,10,,3.05,8,Snow,33
2015-4-7,7,3,-1,-8,-11,-14,49,39,24,1028,1026,1023,16,16,16,19,11,,0.00,7,,56
2015-4-8,6,3,1,-3,-6,-10,73,55,41,1023,1019,1017,16,16,13,19,10,29,0.25,8,Rain-Snow,103
2015-4-9,3,1,0,2,0,-3,96,91,73,1017,1007,998,16,9,2,24,11,34,21.34,8,Rain,62
2015-4-10,6,2,-1,-1,-1,-2,96,84,60,1018,1004,996,16,10,0,35,24,45,8.13,7,Fog-Rain-Snow,317
2015-4-11,16,6,-4,-1,-3,-6,92,56,25,1021,1019,1017,16,16,14,16,5,,0.00,0,,208
2015-4-12,23,11,-1,5,2,-2,89,51,27,1017,1013,1009,16,16,16,35,14,53,0.00,0,,170
