PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,4,0,-4,-7,-8,-11,75,56,37,1029,1026,1024,16,16,16,23,9,27,0.00,1,,115
2015-1-2,5,1,-3,-1,-5,-7,69,60,50,1025,1024,1023,16,16,16,23,7,26,0.00,6,,121
2015-1-3,5,3,2,4,2,-2,100,85,70,1026,1025,1024,16,8,2,14,6,18,T,8,Rain,121
2015-1-4,12,8,3,9,4,3,100,92,83,1026,1025,1022,16,10,4,34,19,48,5.84,8,Rain,125
2015-1-5,14,10,6,9,8,6,100,89,77,1028,1026,1023,16,15,3,39,15,50,0.25,7,Rain,180
2015-1-6,8,6,3,7,6,3,100,97,93,1027,1026,1025,13,2,0,13,3,,0.00,7,Fog,290
2015-1-7,11,6,1,6,3,1,100,86,71,1027,1025,1023,16,4,0,14,6,18,0.00,4,Fog,276
2015-1-8,7,4,2,4,3,1,100,85,70,1023,1021,1020,16,6,0,34,11,40,0.00,5,Fog,337
2015-1-9,10,7,3,3,2,1,92,77,61,1021,1019,1018,16,16,16,29,11,37,0.00,4,,103
2015-1-10,6,4,2,6,4,1,100,90,79,1020,1018,1017,16,11,3,13,6,16,3.81,8,Rain,80
2015-1-11,7,6,5,5,4,3,100,91,82,1024,1021,1019,16,16,8,24,11,31,1.02,8,Rain,106
2015-1-12,9,7,4,4,3,2,89,78,66,1030,1028,1024,16,16,16,19,9,23,0.00,7,,105
2015-1-13,11,6,0,3,2,0,100,77,54,1032,1029,1026,16,16,16,32,11,42,0.00,1,,53
2015-1-14,9,5,1,0,-1,-1,82,68,53,1025,1024,1023,16,16,16,42,23,53,0.00,3,,94
2015-1-15,7,3,-1,6,2,-2,100,85,70,1025,1019,1012,16,15,4,34,18,42,13.72,7,Rain,110
2015-1-16,12,8,4,8,5,4,100,82,64,1025,1020,1013,16,13,3,19,9,19,5.08,6,Rain,95
2015-1-17,15,9,4,14,7,3,100,91,82,1022,1014,1007,16,9,2,39,20,48,45.72,8,Rain,119
2015-1-18,16,12,8,12,8,7,93,80,66,1028,1022,1010,16,15,8,39,16,50,4.32,7,Rain,192
2015-1-19,12,8,4,8,6,4,100,89,77,1032,1030,1028,16,13,0,14,4,16,T,5,Fog,276
2015-1-20,10,6,2,5,4,2,100,86,71,1031,1029,1026,16,8,0,13,6,,0.00,6,Fog,300
2015-1-21,9,4,-1,3,1,-1,100,81,61,1027,1026,1024,16,10,0,21,10,26,0.00,5,Fog,230
2015-1-22,8,6,4,3,2,1,82,76,70,1031,1028,1026,16,16,14,24,10,27,0.51,7,Rain,110
2015-1-23,8,7,6,7,4,2,100,83,65,1032,1031,1029,16,16,8,32,15,39,1.78,8,Rain,108
2015-1-24,16,11,6,12,9,6,100,89,78,1029,1027,1024,16,9,0,13,5,16,0.25,6,Fog-Rain,59
2015-1-25,11,7,4,10,7,4,100,100,100,1024,1019,1015,16,3,0,16,2,19,0.00,4,Fog,284
2015-1-26,14,9,4,7,5,4,100,81,62,1017,1016,1014,16,6,0,23,8,27,0.00,5,Fog,99
2015-1-27,10,8,6,9,7,5,100,90,80,1026,1021,1016,16,5,0,16,8,18,1.27,8,Fog-Rain,90
2015-1-28,13,10,7,11,9,6,100,90,80,1028,1027,1026,16,7,0,14,5,18,1.02,8,Fog-Rain,272
2015-1-29,11,8,4,7,5,2,100,83,66,1027,1027,1025,16,12,0,23,5,27,0.00,4,Fog,69
2015-1-30,11,6,1,4,2,1,100,82,63,1028,1026,1024,16,10,0,19,7,23,0.00,2,Fog,267
2015-1-31,9,4,-1,3,1,-1,100,85,70,1025,1023,1020,16,9,0,27,9,34,0.00,6,Fog,276
2015-2-1,7,6,4,6,4,1,100,85,70,1021,1021,1020,16,15,6,27,13,34,5.59,8,Rain,112
2015-2-2,15,11,6,12,7,6,100,81,62,1019,1016,1013,16,14,5,32,13,37,9.65,7,Rain,126
2015-2-3,11,8,5,8,7,5,100,93,86,1020,1019,1017,16,10,1,13,4,13,2.29,8,Rain,277
2015-2-4,12,9,6,7,7,6,100,86,71,1019,1014,1007,16,16,8,35,10,40,2.54,8,Rain,100
2015-2-5,10,9,7,9,8,5,100,91,82,1007,1003,998,16,14,3,35,22,42,15.24,8,Rain,115
2015-2-6,14,12,9,11,9,9,100,89,77,1001,999,997,16,15,10,34,15,43,19.30,7,Rain,121
2015-2-7,15,12,9,11,11,9,100,86,72,1014,1004,996,16,15,8,40,18,53,17.27,8,Rain,156
2015-2-8,14,11,8,9,8,7,100,84,67,1015,1008,1001,16,15,10,42,11,56,2.29,8,Rain-Thunderstorm,127
2015-2-9,12,10,8,11,9,8,100,95,89,1021,1010,1001,16,13,5,52,24,69,9.14,8,Rain,185
2015-2-10,13,10,7,9,8,7,100,86,71,1028,1025,1022,16,16,16,29,10,34,T,7,,230
2015-2-11,14,9,4,8,6,4,100,83,66,1024,1023,1021,16,9,0,24,8,32,0.00,7,Fog,231
2015-2-12,17,10,3,8,6,3,100,76,52,1026,1025,1023,16,15,2,13,3,14,0.00,3,Fog,30
2015-2-13,13,8,2,8,6,3,100,83,66,1025,1023,1021,16,11,0,16,5,21,0.00,5,Fog,183
2015-2-14,16,11,6,9,7,5,100,78,55,1029,1028,1025,16,14,10,24,7,27,0.00,6,,313
2015-2-15,18,10,2,7,4,2,100,70,39,1029,1027,1023,16,10,0,32,9,39,0.00,4,Fog,32
2015-2-16,16,10,3,4,0,-3,100,64,27,1024,1022,1021,16,16,16,48,24,64,0.00,2,,76
2015-2-17,17,12,6,3,1,-1,66,50,34,1021,1020,1019,16,16,16,32,16,39,0.00,1,,106
2015-2-18,13,9,5,8,4,1,86,73,60,1026,1025,1022,16,16,16,29,10,39,0.00,6,,105
2015-2-19,14,11,7,9,8,7,100,81,62,1026,1026,1024,16,15,11,11,4,18,0.25,7,Fog-Rain,8
2015-2-20,14,11,6,8,7,4,100,79,57,1027,1026,1024,16,11,0,21,6,27,0.00,7,Fog,308
2015-2-21,16,9,2,6,2,-6,100,66,32,1029,1025,1024,16,13,0,37,14,50,0.00,2,Fog,79
2015-2-22,13,9,6,-6,-10,-13,37,27,17,1030,1028,1027,16,16,16,40,23,52,0.00,0,,68
2015-2-23,16,8,0,-1,-6,-11,70,46,21,1030,1029,1028,16,16,16,34,8,40,0.00,0,,80
2015-2-24,15,8,0,4,-1,-4,82,56,30,1031,1029,1028,16,16,16,24,5,35,0.00,3,,342
2015-2-25,11,9,6,8,7,4,100,83,66,1032,1029,1026,16,15,10,14,6,18,0.51,8,Rain,123
2015-2-26,12,11,8,9,8,8,93,85,77,1026,1019,1010,16,14,5,23,11,26,2.54,8,Rain,171
2015-2-27,14,11,7,9,7,4,100,81,61,1011,1008,1006,16,15,5,26,11,31,7.62,7,Rain,131
2015-2-28,14,9,4,6,0,-5,96,62,27,1024,1019,1012,16,16,16,35,13,45,0.00,2,,27
2015-3-1,14,7,-1,4,-1,-8,92,57,22,1025,1021,1015,16,16,16,14,5,19,0.00,4,,327
2015-3-2,13,9,5,6,3,-1,96,73,50,1020,1016,1014,16,16,16,32,12,42,T,4,Rain,306
