CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-6,-12,-17,-9,-16,-25,81,63,31,1022,1010,1003,16,12,2,27,14,47,0.00,5,Snow,290
2015-1-2,-6,-12,-19,-9,-17,-24,80,73,62,1023,1019,1013,16,11,1,16,8,,0.00,8,Snow,145
2015-1-3,-4,-12,-21,-6,-12,-26,85,76,67,1026,1014,1008,16,8,1,42,13,52,1.52,7,Fog-Snow,8
2015-1-4,-22,-25,-28,-27,-31,-32,71,64,53,1033,1029,1025,16,14,6,34,24,42,0.00,3,,315
2015-1-5,-17,-24,-31,-24,-29,-34,74,66,54,1033,1029,1027,16,15,10,13,8,,0.00,2,,242
2015-1-6,-16,-19,-24,-21,-24,-29,68,62,56,1036,1026,1020,16,10,3,45,19,63,0.00,7,Snow,307
2015-1-7,-19,-23,-27,-24,-29,-32,69,62,54,1046,1040,1028,16,13,4,35,24,47,0.00,4,,294
2015-1-8,-14,-17,-21,-19,-22,-26,76,68,60,1026,1010,1003,16,6,1,52,18,71,1.78,7,Snow,293
2015-1-9,-16,-19,-23,-24,-26,-27,75,62,47,1024,1021,1017,16,14,4,27,19,45,0.00,4,,287
2015-1-10,-12,-21,-30,-22,-27,-34,75,64,40,1024,1021,1017,16,16,16,11,5,,0.00,0,,295
2015-1-11,-14,-20,-26,-23,-26,-30,74,65,46,1031,1027,1023,16,16,16,21,6,,0.00,1,,296
2015-1-12,-17,-23,-31,-24,-28,-34,75,65,43,1045,1042,1032,16,16,13,19,11,,0.00,0,,340
2015-1-13,-10,-21,-33,-16,-27,-38,71,58,37,1043,1034,1024,16,16,14,21,5,34,0.00,3,Snow,200
2015-1-14,-6,-10,-14,-9,-12,-17,83,76,67,1023,1017,1010,16,13,2,16,8,,0.00,8,Snow,218
2015-1-15,-1,-7,-13,-4,-9,-17,85,72,49,1020,1012,1007,16,15,4,40,11,58,0.00,5,Snow,291
2015-1-16,-7,-12,-17,-11,-16,-21,81,70,59,1023,1017,1007,16,16,16,27,13,35,0.00,5,,117
2015-1-17,1,-3,-7,-2,-6,-11,92,82,71,1006,997,993,16,7,1,29,11,52,1.78,8,Fog-Snow,233
2015-1-18,0,-6,-13,-3,-7,-16,82,73,55,1017,1008,1002,16,15,5,40,14,63,0.25,7,Rain-Snow,317
2015-1-19,-3,-9,-16,-7,-9,-18,85,80,69,1017,1014,1011,16,16,16,23,6,,0.00,8,,120
2015-1-20,-3,-4,-5,-7,-7,-8,88,79,71,1019,1017,1015,16,16,14,8,5,,0.00,8,,101
2015-1-21,-4,-6,-8,-6,-8,-12,88,80,72,1027,1022,1016,16,15,4,23,6,,0.00,8,,327
2015-1-22,-1,-6,-9,-6,-10,-12,88,76,56,1028,1023,1013,16,16,10,21,11,40,0.00,7,Snow,217
2015-1-23,4,2,0,-1,-3,-6,79,71,62,1013,1009,1006,16,16,16,19,13,35,0.00,7,Rain,271
2015-1-24,2,-2,-6,-1,-4,-11,82,75,63,1012,1005,1002,16,16,11,16,11,27,0.00,7,Snow,341
2015-1-25,-6,-8,-10,-11,-12,-14,74,69,63,1020,1016,1010,16,16,16,14,10,,0.00,8,,122
2015-1-26,1,-3,-7,-2,-7,-11,89,81,71,1017,1007,1002,16,8,1,27,11,,1.02,8,Rain-Snow,169
2015-1-27,-1,-2,-4,-5,-6,-7,85,78,72,1022,1020,1015,16,16,16,14,8,,0.00,8,,171
2015-1-28,-1,-3,-4,-3,-5,-7,89,83,74,1019,1013,1009,16,9,3,16,10,26,0.00,8,Snow,195
2015-1-29,-1,-9,-19,-3,-13,-22,85,72,62,1035,1024,1011,16,13,2,45,32,53,0.00,7,Snow,329
2015-1-30,-8,-16,-23,-14,-19,-26,78,68,52,1036,1030,1021,16,16,16,14,3,,0.00,6,,175
2015-1-31,-7,-12,-19,-11,-17,-25,74,60,42,1032,1026,1018,16,15,10,26,11,,0.00,4,Snow,360
2015-2-1,-15,-20,-27,-26,-27,-31,71,57,39,1034,1031,1027,16,16,16,16,10,,0.00,2,,13
2015-2-2,-9,-19,-29,-23,-27,-33,74,56,28,1026,1020,1017,16,16,16,14,3,,0.00,3,,262
2015-2-3,-11,-17,-22,-18,-21,-26,76,64,51,1020,1019,1017,16,16,11,19,8,,0.00,5,Snow,311
2015-2-4,-14,-19,-26,-18,-23,-28,79,61,43,1030,1025,1016,16,14,4,39,16,47,0.00,4,Snow,301
2015-2-5,-4,-16,-27,-13,-20,-31,75,61,45,1029,1020,1014,16,16,16,23,8,39,0.00,2,,243
2015-2-6,-8,-10,-12,-12,-14,-17,77,70,62,1020,1017,1013,16,13,2,16,11,,0.00,7,Snow,46
2015-2-7,-3,-6,-8,-8,-9,-12,85,79,63,1014,1008,1004,16,13,2,27,14,39,0.25,8,Snow,103
2015-2-8,-7,-9,-11,-10,-13,-15,84,76,68,1025,1017,1009,16,14,5,13,10,,0.00,8,,53
2015-2-9,-3,-7,-11,-8,-12,-15,77,71,63,1028,1026,1022,16,16,16,10,2,,0.00,8,,101
2015-2-10,-4,-5,-6,-8,-8,-11,86,77,62,1025,1015,1011,16,7,0,32,16,45,1.02,8,Fog-Snow,142
2015-2-11,-4,-11,-19,-8,-19,-24,81,67,58,1035,1024,1014,16,11,2,40,29,52,0.00,7,Snow,324
2015-2-12,-14,-19,-25,-22,-26,-29,75,59,41,1038,1034,1025,16,16,16,23,13,,0.00,2,,313
2015-2-13,-9,-13,-17,-14,-17,-22,81,69,54,1023,1015,1012,16,7,1,48,18,60,0.00,7,Snow,302
2015-2-14,-18,-21,-25,-22,-28,-31,69,59,40,1040,1029,1016,16,10,2,47,32,61,0.00,4,Snow,342
2015-2-15,-17,-21,-24,-21,-24,-29,76,66,55,1040,1032,1026,16,11,1,16,10,,0.00,6,Snow,146
2015-2-16,-11,-14,-17,-16,-18,-22,76,68,59,1026,1018,1013,16,9,2,39,11,47,0.00,7,Snow,306
2015-2-17,-16,-19,-23,-21,-24,-28,75,67,53,1017,1013,1008,16,8,2,32,21,40,0.00,7,Snow,315
2015-2-18,-21,-24,-28,-27,-30,-33,71,63,51,1029,1021,1013,16,12,3,35,21,42,0.00,5,,317
