MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-12,-16,-20,-18,-21,-23,79,68,57,1032,1030,1028,16,16,11,14,3,21,0.00,1,,109
2015-1-2,-8,-12,-17,-17,-18,-20,83,65,47,1032,1029,1025,16,16,14,13,3,18,0.00,2,,99
2015-1-3,-4,-9,-15,-14,-16,-18,83,64,45,1031,1026,1024,16,16,13,16,3,24,0.00,2,,101
2015-1-4,-2,-8,-14,-11,-14,-17,80,65,50,1038,1034,1031,16,15,11,11,2,13,0.00,2,,270
2015-1-5,3,-4,-12,-6,-9,-14,84,64,44,1036,1035,1032,16,15,11,16,6,19,0.00,3,,289
2015-1-6,6,-1,-7,-6,-7,-9,84,65,45,1038,1037,1035,16,15,11,11,4,14,0.00,0,,281
2015-1-7,6,-1,-8,-4,-6,-9,91,70,49,1040,1036,1030,16,13,8,14,5,19,0.00,0,,269
2015-1-8,5,-2,-9,-3,-6,-10,92,74,55,1029,1027,1024,16,10,4,13,4,18,0.00,0,,278
2015-1-9,1,-4,-8,-4,-6,-9,96,83,69,1030,1026,1024,16,8,2,13,2,14,0.00,6,,292
2015-1-10,1,0,-2,-3,-3,-4,92,84,75,1024,1021,1018,16,9,2,10,1,11,T,8,Snow,330
2015-1-11,2,0,-2,-1,-2,-3,100,91,82,1025,1021,1017,10,6,1,11,1,14,0.25,8,Snow,108
2015-1-12,2,1,-2,0,-1,-2,100,91,82,1026,1023,1019,16,6,1,8,2,10,2.54,8,Fog-Snow,309
2015-1-13,8,2,-4,2,-2,-6,100,73,45,1026,1021,1017,16,9,0,29,7,35,T,5,Fog,25
2015-1-14,1,-3,-7,-3,-6,-8,100,86,72,1033,1028,1024,16,9,0,13,3,14,0.00,7,Fog,98
2015-1-15,-1,-2,-3,-3,-4,-6,100,85,69,1037,1033,1030,16,13,6,16,2,19,0.00,8,,186
2015-1-16,1,-3,-7,-4,-5,-8,92,82,72,1033,1027,1022,16,15,8,16,4,18,0.00,6,,262
2015-1-17,1,-3,-7,-3,-6,-9,100,85,69,1036,1030,1025,16,7,0,13,4,14,T,4,Fog,79
2015-1-18,0,-3,-7,-4,-6,-8,96,87,78,1034,1030,1026,16,7,0,13,2,16,0.00,5,Fog,334
2015-1-19,-2,-5,-8,-4,-6,-9,100,92,84,1030,1026,1021,11,3,0,10,3,13,T,7,Fog-Snow,131
2015-1-20,1,-3,-8,-3,-6,-11,100,89,78,1029,1025,1022,16,4,0,13,4,14,0.00,6,Fog,127
2015-1-21,3,-2,-8,-6,-9,-14,92,61,29,1031,1026,1022,16,9,0,40,13,48,T,5,Fog,61
2015-1-22,0,-6,-13,-11,-14,-17,74,57,39,1036,1034,1031,16,16,16,14,6,19,0.00,0,,275
2015-1-23,2,-3,-8,-9,-11,-12,77,56,35,1034,1033,1030,16,16,16,10,3,13,0.00,2,,282
2015-1-24,3,-3,-9,-8,-10,-12,80,58,35,1035,1033,1030,16,16,16,14,4,29,0.00,0,,295
2015-1-25,6,-1,-9,-6,-8,-12,81,61,40,1034,1032,1030,16,16,16,13,5,18,0.00,0,,287
2015-1-26,9,1,-8,-4,-6,-9,84,62,39,1036,1032,1028,16,16,14,13,4,14,0.00,0,,297
2015-1-27,7,1,-7,-3,-4,-8,84,67,49,1031,1027,1024,16,15,10,13,4,18,0.00,3,,266
2015-1-28,11,3,-4,-1,-3,-6,85,63,41,1028,1026,1024,16,16,14,14,5,19,0.00,2,,280
2015-1-29,9,4,-2,-1,-2,-4,85,66,46,1031,1028,1026,16,16,16,19,4,23,T,3,Rain,256
2015-1-30,6,3,1,4,2,-1,100,90,79,1025,1019,1014,16,8,0,8,3,8,3.05,8,Fog-Rain,110
2015-1-31,6,2,-2,2,1,-4,100,88,76,1018,1014,1013,16,10,0,19,5,23,0.51,6,Fog-Rain,177
2015-2-1,7,1,-6,-3,-6,-7,85,62,39,1024,1021,1018,16,16,4,19,5,23,0.00,4,,203
2015-2-2,10,3,-4,-2,-4,-7,75,59,42,1023,1020,1018,16,16,16,14,6,18,0.00,2,,300
2015-2-3,11,4,-2,0,-2,-5,85,65,44,1020,1018,1015,16,16,16,14,7,18,0.00,0,,262
2015-2-4,13,7,-1,1,-2,-6,82,55,27,1022,1019,1016,16,16,16,16,8,24,0.00,2,,278
2015-2-5,12,6,0,-2,-4,-7,69,51,32,1026,1023,1022,16,16,16,14,6,18,0.00,0,,278
2015-2-6,15,6,-3,-2,-4,-6,81,53,24,1025,1022,1018,16,16,16,16,6,23,0.00,0,,265
2015-2-7,15,7,-1,-2,-4,-5,75,50,24,1020,1018,1015,16,16,16,16,8,23,0.00,0,,288
2015-2-8,15,7,-2,-1,-3,-6,75,51,26,1024,1022,1019,16,16,16,16,6,21,0.00,0,,277
2015-2-9,16,7,-2,-1,-3,-5,78,54,29,1022,1019,1015,16,16,16,27,9,34,0.00,0,,257
2015-2-10,12,6,-1,1,-3,-7,76,52,28,1024,1020,1016,16,16,16,32,9,39,0.00,3,,349
2015-2-11,12,4,-3,-3,-6,-8,69,48,26,1031,1028,1024,16,16,16,16,8,23,0.00,0,,254
2015-2-12,12,4,-3,-4,-6,-7,75,52,28,1032,1029,1026,16,16,16,19,5,23,0.00,1,,326
2015-2-13,14,5,-5,-4,-6,-8,75,50,24,1031,1028,1025,16,16,16,13,5,16,0.00,0,,289
2015-2-14,12,4,-4,-3,-6,-8,75,52,28,1027,1023,1017,16,16,16,14,5,23,0.00,0,,282
2015-2-15,14,6,-3,-4,-8,-14,75,45,15,1018,1016,1015,16,16,16,40,19,55,0.00,1,,331
2015-2-16,6,0,-7,-6,-9,-12,81,54,27,1025,1020,1017,16,16,16,45,13,56,0.00,0,,32
2015-2-17,6,-2,-10,-10,-12,-14,74,48,22,1027,1025,1023,16,16,16,13,5,18,0.00,0,,284
