MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-9,-13,-18,-14,-16,-20,83,72,61,1030,1028,1025,16,14,6,16,8,21,T,4,Snow,218
2015-1-2,-7,-13,-18,-12,-17,-21,83,71,59,1030,1027,1023,16,16,14,14,4,18,0.00,2,,99
2015-1-3,-6,-8,-11,-9,-12,-13,88,78,67,1028,1025,1022,16,12,10,21,9,23,0.00,3,,85
2015-1-4,6,-1,-7,-1,-4,-10,78,69,59,1030,1028,1026,16,15,10,27,11,37,T,7,,189
2015-1-5,9,7,4,1,-1,-1,70,62,53,1031,1028,1025,16,16,16,27,19,37,T,6,Rain,205
2015-1-6,9,5,1,2,0,-2,89,75,60,1033,1031,1030,16,16,11,23,10,27,0.00,0,,122
2015-1-7,8,4,-1,2,-1,-3,85,75,65,1032,1029,1026,16,15,6,21,12,23,0.00,0,,102
2015-1-8,2,0,-3,-1,-2,-4,89,80,70,1026,1024,1023,16,3,0,13,5,14,0.00,1,Fog,36
2015-1-9,2,-1,-4,-1,-3,-7,89,82,75,1024,1021,1019,16,7,0,23,6,29,0.00,5,Fog,150
2015-1-10,2,1,-1,-1,-2,-3,89,84,78,1019,1018,1017,6,2,0,11,2,14,T,8,Fog-Rain,70
2015-1-11,4,2,0,2,-1,-2,92,87,82,1021,1019,1016,16,2,0,21,5,26,0.25,7,Fog-Rain,357
2015-1-12,1,1,0,0,-1,-2,96,91,85,1024,1021,1020,13,3,0,29,19,35,9.40,8,Fog-Rain-Snow,256
2015-1-13,1,-3,-7,-1,-4,-8,89,81,72,1030,1028,1024,16,16,11,29,16,35,T,6,,231
2015-1-14,-2,-5,-9,-4,-6,-11,92,84,75,1032,1030,1028,16,7,0,21,11,26,0.00,8,Fog,109
2015-1-15,0,-3,-6,-4,-6,-8,88,76,63,1032,1030,1025,16,11,0,29,8,34,0.00,4,Fog,84
2015-1-16,5,2,-2,2,-1,-4,85,79,73,1026,1022,1020,16,10,1,27,14,39,6.86,7,Rain-Snow,208
2015-1-17,4,0,-4,-1,-2,-7,89,79,69,1029,1026,1022,16,15,10,24,10,31,1.02,3,Rain,98
2015-1-18,14,8,1,4,2,-1,89,70,50,1023,1021,1019,16,16,11,27,14,35,1.02,6,Rain,202
2015-1-19,8,4,0,3,-2,-4,83,68,53,1026,1025,1022,16,16,16,29,19,39,0.00,3,,235
2015-1-20,3,-1,-4,-2,-4,-6,82,73,64,1028,1027,1025,16,16,16,23,12,31,0.00,2,,222
2015-1-21,2,-2,-6,-4,-6,-9,85,71,56,1031,1029,1027,16,16,11,14,6,19,0.00,3,,234
2015-1-22,3,-2,-7,-4,-6,-9,88,76,64,1033,1032,1030,16,15,10,16,9,23,0.00,0,,83
2015-1-23,2,-2,-5,-1,-4,-7,92,84,75,1037,1034,1032,16,6,0,19,6,24,0.00,7,Fog,287
2015-1-24,8,3,-2,1,-2,-4,100,80,60,1034,1032,1029,16,5,0,19,7,23,0.00,6,Fog,320
2015-1-25,9,4,-2,2,-1,-4,92,77,61,1031,1030,1028,16,9,0,26,8,31,0.00,1,Fog,80
2015-1-26,10,5,-1,4,0,-2,96,81,66,1029,1025,1020,16,7,0,27,17,34,0.00,2,Fog,83
2015-1-27,12,6,-1,5,2,-3,89,68,46,1020,1019,1016,16,15,6,47,12,58,4.57,5,Rain,190
2015-1-28,10,4,-1,3,1,-3,89,77,65,1029,1025,1020,16,12,0,34,14,40,0.25,5,Fog-Rain,234
2015-1-29,7,3,-1,1,0,-3,92,81,70,1030,1029,1025,16,9,0,29,13,37,0.00,5,Fog,82
2015-1-30,4,3,1,1,-1,-1,89,83,76,1025,1022,1020,16,11,0,16,9,21,0.00,6,Fog,258
2015-1-31,7,3,-2,-1,-2,-4,82,68,53,1022,1020,1019,16,16,16,37,18,43,0.00,2,,217
2015-2-1,7,2,-4,2,-2,-6,85,72,59,1023,1021,1019,16,16,13,26,12,32,T,3,Rain,132
2015-2-2,10,7,4,6,3,2,82,74,66,1021,1018,1015,16,16,8,27,12,50,2.54,8,Rain,216
2015-2-3,12,8,4,7,4,2,86,73,59,1017,1016,1013,16,15,6,35,15,47,6.10,6,Rain,233
2015-2-4,13,8,3,6,4,-1,89,74,59,1020,1019,1017,16,16,13,24,10,32,2.79,4,Rain,218
2015-2-5,16,9,3,4,-2,-4,70,48,25,1016,1014,1011,16,16,16,40,17,55,0.00,0,,144
2015-2-6,18,14,11,0,-2,-4,44,35,25,1012,1009,1005,16,16,16,45,27,56,0.00,2,,166
2015-2-7,18,13,7,2,1,-3,61,43,25,1016,1010,1004,16,16,16,76,25,97,T,3,Rain,219
2015-2-8,18,11,4,3,1,-1,70,53,36,1021,1016,1010,16,16,16,45,18,53,T,2,Rain,124
2015-2-9,16,10,4,4,1,-2,65,49,33,1018,1013,1007,16,16,16,53,26,64,T,4,Rain,217
2015-2-10,10,6,1,2,0,-2,82,68,53,1027,1024,1018,16,16,16,32,19,42,0.00,5,,234
2015-2-11,13,6,-2,2,-1,-4,85,64,43,1030,1028,1026,16,16,16,26,13,29,0.00,0,,117
2015-2-12,17,8,0,1,-1,-3,82,59,36,1028,1026,1025,16,16,16,21,7,29,0.00,0,,112
2015-2-13,16,8,-1,2,-1,-4,82,59,36,1028,1025,1021,16,16,16,26,11,31,0.00,0,,102
2015-2-14,14,8,1,3,0,-2,76,58,40,1023,1020,1018,16,16,16,35,17,42,0.00,0,,230
2015-2-15,11,6,1,1,-2,-6,82,57,32,1025,1022,1020,16,16,16,40,26,52,0.00,0,,234
2015-2-16,9,3,-4,-4,-7,-9,75,52,29,1025,1023,1019,16,16,16,32,14,39,0.00,0,,156
2015-2-17,11,2,-7,-7,-9,-11,77,51,24,1026,1024,1022,16,16,16,19,8,24,0.00,0,,192
2015-2-18,14,6,-3,-3,-5,-7,64,46,28,1026,1023,1020,16,16,16,23,11,26,0.00,0,,215
2015-2-19,16,9,3,-1,-3,-4,59,44,28,1021,1018,1014,16,16,16,26,18,32,0.00,0,,229
2015-2-20,11,6,1,-1,-3,-5,70,53,36,1018,1016,1014,16,16,16,58,34,69,0.00,1,,241
2015-2-21,8,3,-2,-2,-4,-12,78,61,43,1021,1016,1014,16,16,14,45,25,55,T,3,Snow,267
2015-2-22,4,-3,-9,-13,-17,-22,50,35,20,1026,1023,1021,16,16,16,45,25,55,0.00,1,,65
2015-2-23,5,-2,-9,-15,-17,-19,59,38,17,1029,1027,1024,16,16,16,27,16,32,0.00,0,,68
2015-2-24,12,4,-5,-8,-13,-16,44,30,16,1029,1024,1019,16,16,16,39,22,52,0.00,0,,217
2015-2-25,11,7,3,-6,-8,-10,44,36,28,1021,1019,1016,16,16,16,60,34,72,0.00,1,,238
2015-2-26,4,2,0,1,-2,-7,89,69,48,1017,1015,1011,16,10,1,39,16,50,0.51,7,Rain-Snow,221
2015-2-27,9,5,1,1,-2,-4,82,64,45,1011,1007,1003,16,16,16,29,13,39,0.00,7,,86
2015-2-28,8,2,-5,-3,-6,-8,81,59,37,1017,1008,1004,16,16,16,35,19,42,0.00,5,,79
2015-3-1,8,1,-6,-10,-13,-17,63,40,17,1023,1019,1014,16,16,16,40,19,50,0.00,0,,81
2015-3-2,10,1,-8,-6,-9,-11,74,49,24,1014,1008,1004,16,16,16,35,13,47,0.00,0,,222
2015-3-3,7,2,-2,-4,-9,-12,69,51,33,1017,1012,1007,16,16,16,53,34,66,0.00,5,,254
2015-3-4,6,0,-6,-11,-13,-15,57,40,23,1027,1024,1017,16,16,14,35,21,43,0.00,0,,234
2015-3-5,13,5,-4,-7,-9,-11,55,38,20,1030,1028,1026,16,16,16,24,15,29,0.00,0,,221
2015-3-6,16,8,0,-7,-8,-10,47,33,19,1030,1028,1026,16,16,16,27,14,31,0.00,0,,231
2015-3-7,18,9,0,-6,-7,-9,59,38,16,1026,1022,1018,16,16,14,29,16,37,0.00,0,,222
2015-3-8,16,9,2,-3,-7,-8,48,34,19,1021,1019,1017,16,16,16,27,18,39,0.00,0,,229
2015-3-9,18,11,4,-4,-8,-14,48,31,14,1020,1017,1015,16,16,16,29,21,35,0.00,0,,217
2015-3-10,22,12,2,-7,-9,-14,35,24,12,1017,1015,1013,16,16,16,29,15,39,0.00,0,,119
2015-3-11,18,13,8,5,-6,-12,82,48,14,1020,1014,1010,16,16,16,35,20,47,0.51,3,Rain,216
2015-3-12,17,12,7,5,3,-1,76,55,34,1027,1024,1020,16,16,16,39,21,43,0.00,4,,237
2015-3-13,20,12,3,1,-2,-4,64,43,22,1029,1026,1022,16,16,16,26,14,32,0.00,0,,117
2015-3-14,24,16,7,4,-3,-10,66,41,15,1022,1019,1016,16,16,16,52,23,64,T,2,,173
2015-3-15,21,14,7,2,-2,-4,65,43,20,1017,1013,1011,16,16,16,47,22,60,0.00,2,,166
2015-3-16,18,13,8,3,1,-3,61,45,28,1019,1017,1012,16,16,16,39,15,48,0.00,0,,259
2015-3-17,17,12,6,6,3,2,70,55,39,1015,1014,1012,16,16,16,29,15,37,0.00,2,,231
2015-3-18,14,9,4,3,-1,-6,76,50,24,1021,1018,1015,16,16,16,42,28,53,0.00,2,,240
2015-3-19,17,9,1,-2,-4,-6,61,43,25,1023,1021,1019,16,16,16,29,18,37,0.00,0,,223
2015-3-20,23,12,-1,-1,-6,-8,61,37,12,1020,1017,1014,16,16,16,24,11,29,0.00,0,,122
2015-3-21,18,12,6,-1,-6,-11,53,35,17,1017,1014,1012,16,16,16,34,20,48,0.00,2,,230
2015-3-22,19,11,2,0,-3,-7,70,44,18,1017,1015,1010,16,16,16,24,13,32,0.00,1,,161
2015-3-23,11,7,2,3,0,-7,85,58,31,1018,1014,1008,16,14,4,53,21,68,3.30,5,Rain-Thunderstorm,234
2015-3-24,9,6,2,4,1,-3,82,66,49,1023,1017,1015,16,15,4,58,26,71,2.03,6,Rain,235
2015-3-25,13,7,0,-1,-3,-5,70,51,32,1029,1027,1023,16,16,16,26,19,35,0.00,1,,240
2015-3-26,17,10,2,2,0,-2,70,53,36,1029,1027,1024,16,16,16,24,14,29,0.00,0,,224
2015-3-27,24,13,3,4,2,-1,76,51,25,1024,1020,1013,16,16,16,26,11,31,0.00,0,,79
2015-3-28,16,11,5,3,-2,-6,54,39,23,1024,1018,1011,16,16,16,58,33,72,0.00,0,,234
2015-3-29,19,11,2,-3,-6,-8,56,36,15,1026,1023,1020,16,16,16,32,14,37,0.00,0,,213
2015-3-30,24,14,3,1,-4,-8,52,34,16,1021,1017,1010,16,16,16,39,14,47,0.00,0,,134
2015-3-31,22,14,5,1,-4,-9,54,36,17,1013,1008,1003,16,16,6,71,29,79,0.00,1,,237
2015-4-1,11,6,0,-3,-7,-13,69,44,19,1021,1017,1014,16,16,16,47,28,58,0.00,1,,248
2015-4-2,11,4,-3,-7,-9,-13,68,43,17,1026,1021,1017,16,16,16,47,26,76,0.00,0,,246
2015-4-3,16,6,-4,-8,-11,-14,62,38,13,1028,1023,1015,16,16,16,39,14,47,0.00,0,,174
2015-4-4,15,10,4,-4,-9,-16,50,33,15,1014,1011,1007,16,16,16,40,18,48,0.00,0,,238
2015-4-5,11,7,3,-1,-2,-4,57,48,38,1006,1004,1002,16,16,16,26,11,43,T,5,,228
2015-4-6,13,7,1,1,-4,-11,55,37,18,1011,1008,1003,16,15,4,37,17,52,0.51,4,Rain-Snow,268
2015-4-7,16,8,-1,0,-3,-9,62,46,30,1010,1006,1002,16,16,16,34,15,43,T,3,,74
2015-4-8,10,7,3,4,1,-1,85,73,60,1015,1008,1002,16,15,3,37,25,45,1.52,7,Rain,228
2015-4-9,15,8,1,1,-2,-4,76,52,28,1019,1016,1014,16,16,16,27,10,37,0.00,3,,241
2015-4-10,19,9,-1,0,-3,-4,70,45,20,1016,1013,1010,16,16,16,24,12,29,0.00,0,,98
2015-4-11,18,12,5,4,-1,-7,83,53,23,1013,1009,1007,16,15,8,53,29,71,3.05,3,Rain,241
2015-4-12,13,7,0,1,-3,-6,76,52,28,1022,1019,1013,16,16,16,32,19,40,0.00,0,,238
2015-4-13,26,13,-1,1,-4,-12,72,40,8,1021,1014,1004,16,16,16,40,17,48,0.00,0,,159
2015-4-14,16,9,1,-1,-4,-9,89,54,19,1017,1010,1002,16,12,0,64,42,82,0.25,4,Fog-Snow,249
2015-4-15,12,6,-1,-5,-7,-8,72,48,24,1021,1019,1018,16,16,16,60,38,72,0.00,3,,262
2015-4-16,15,8,0,-5,-6,-7,59,41,23,1024,1021,1019,16,16,16,26,14,32,0.00,2,,236
2015-4-17,21,12,2,-2,-5,-7,56,36,15,1021,1018,1014,16,16,16,29,18,37,0.00,0,,226
2015-4-18,21,14,8,0,-3,-6,46,32,18,1016,1014,1013,16,16,16,45,26,52,0.00,0,,233
2015-4-19,20,12,3,-2,-6,-8,43,32,20,1019,1015,1012,16,16,16,26,15,37,0.00,0,,215
2015-4-20,22,14,6,-2,-4,-7,39,28,16,1012,1010,1007,16,16,16,27,17,35,0.00,0,,237
2015-4-21,24,16,8,1,-4,-8,39,26,12,1009,1007,1004,16,16,16,27,16,34,0.00,0,,238
2015-4-22,22,14,6,3,0,-6,51,39,26,1009,1006,1005,16,16,16,35,22,45,0.00,1,,228
2015-4-23,20,14,8,4,-6,-11,59,36,12,1009,1006,1003,16,16,16,29,20,40,0.00,3,,237
2015-4-24,11,8,6,5,2,-1,76,63,50,1008,1005,1001,16,16,13,37,24,43,0.51,6,Rain,226
2015-4-25,11,7,2,2,0,-2,76,60,44,1009,1007,1006,16,16,14,37,17,48,0.25,4,Rain,231
2015-4-26,14,8,2,-2,-6,-10,64,42,20,1021,1015,1009,16,16,16,52,35,63,0.00,0,,244
2015-4-27,18,11,2,-1,-4,-8,53,38,22,1025,1022,1021,16,16,16,27,14,34,0.00,0,,198
2015-4-28,26,14,1,3,-1,-3,75,47,19,1022,1017,1010,16,16,16,32,15,37,0.00,0,,106
2015-4-29,24,18,12,4,1,-3,47,36,25,1013,1011,1009,16,16,16,45,24,55,0.00,0,,242
2015-4-30,19,12,5,2,-5,-9,54,34,14,1020,1018,1014,16,16,16,47,22,56,0.00,1,,246
2015-5-1,25,14,3,2,-6,-8,50,32,13,1018,1014,1010,16,16,16,26,13,32,0.00,0,,236
