MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-11,-16,-21,-15,-18,-22,95,84,73,1034,1030,1023,16,13,4,13,3,16,T,6,Snow,62
2015-1-2,-8,-14,-21,-12,-17,-23,87,73,59,1033,1030,1024,16,14,10,11,3,13,0.00,3,,44
2015-1-3,-6,-8,-10,-9,-11,-12,88,78,67,1029,1027,1024,16,16,14,14,4,18,T,7,,321
2015-1-4,3,-2,-7,-2,-6,-9,91,81,70,1031,1030,1025,16,15,3,27,12,35,T,8,Snow,160
2015-1-5,6,3,1,1,-1,-3,79,69,59,1033,1028,1025,16,15,4,45,28,58,0.25,7,Rain-Snow,204
2015-1-6,6,2,-2,2,0,-2,100,83,65,1036,1035,1033,16,15,8,21,7,24,0.00,0,,37
2015-1-7,8,2,-4,2,-2,-5,100,83,65,1037,1033,1027,16,10,0,16,7,19,0.00,0,Fog,52
2015-1-8,7,1,-6,2,-2,-6,100,85,70,1029,1026,1024,16,9,0,21,5,24,0.00,1,Fog,360
2015-1-9,0,-2,-5,0,-3,-6,100,94,88,1026,1023,1019,16,4,0,11,3,13,0.00,5,Fog,358
2015-1-10,1,-2,-5,0,-2,-5,100,96,92,1022,1019,1017,14,4,0,14,5,18,0.00,8,Fog,224
2015-1-11,2,1,0,2,1,0,100,100,100,1023,1020,1017,8,4,0,11,5,14,3.81,8,Fog-Rain-Snow,24
2015-1-12,3,1,-1,3,0,-1,100,96,92,1024,1022,1020,16,8,2,34,13,39,1.02,8,Rain-Snow,16
2015-1-13,0,-1,-3,-1,-2,-3,100,93,85,1032,1028,1022,16,7,0,23,13,27,0.00,8,Fog,260
2015-1-14,-2,-2,-3,-3,-4,-4,100,93,85,1034,1032,1028,16,16,16,13,8,16,0.00,8,,312
2015-1-15,2,-1,-4,-4,-6,-7,92,78,64,1035,1032,1028,16,16,16,23,9,26,0.00,5,,74
2015-1-16,3,0,-4,2,-1,-6,100,89,78,1028,1023,1021,16,12,1,48,22,61,3.81,7,Fog-Rain-Snow,224
2015-1-17,5,1,-4,2,-1,-4,100,80,59,1033,1028,1023,16,12,0,29,11,37,T,5,Fog-Rain,343
2015-1-18,12,8,4,4,2,1,89,70,50,1023,1022,1020,16,16,16,42,22,53,0.51,7,Rain,199
2015-1-19,5,2,-2,2,1,-2,100,88,76,1028,1026,1022,16,13,0,34,19,42,0.00,4,Fog,244
2015-1-20,2,-2,-6,-1,-3,-6,100,85,70,1030,1028,1026,16,13,0,23,8,27,T,5,Fog,299
2015-1-21,-3,-6,-9,-5,-6,-9,100,91,81,1035,1031,1027,16,9,0,11,4,14,0.00,5,Fog,355
2015-1-22,1,-5,-11,-6,-8,-12,100,82,63,1036,1035,1029,16,15,10,14,7,18,0.00,0,,27
2015-1-23,0,-4,-9,-3,-6,-9,96,84,72,1040,1037,1034,16,16,16,24,8,29,0.00,4,,234
2015-1-24,0,-2,-3,-1,-2,-4,100,93,85,1036,1033,1030,16,14,5,23,7,29,0.00,8,,36
2015-1-25,6,3,-1,1,-1,-2,100,85,70,1034,1033,1031,16,10,0,21,10,24,0.00,7,Fog,37
2015-1-26,9,3,-3,6,-1,-3,100,83,66,1033,1029,1024,16,7,0,24,8,27,0.00,2,Fog,51
2015-1-27,11,3,-4,4,1,-4,100,83,66,1024,1022,1020,16,15,8,40,11,50,0.25,4,Rain,208
2015-1-28,5,3,1,4,3,1,100,96,92,1032,1026,1021,16,9,0,32,16,39,1.27,8,Fog-Rain,242
2015-1-29,8,3,-2,2,1,-2,100,85,70,1033,1030,1028,16,9,1,26,8,31,0.00,6,Fog,63
2015-1-30,6,2,-3,1,-1,-3,100,85,70,1027,1023,1019,16,14,10,23,7,29,0.00,3,,251
2015-1-31,3,0,-4,1,-1,-4,100,85,70,1024,1022,1019,16,16,13,27,15,32,0.00,7,,251
2015-2-1,4,1,-2,2,-1,-3,100,85,70,1027,1023,1019,16,15,8,32,9,40,0.25,7,Rain,14
2015-2-2,8,4,-1,5,3,-1,100,92,83,1024,1019,1016,16,15,6,40,20,52,1.27,8,Rain,219
2015-2-3,10,7,4,7,5,4,100,86,71,1018,1016,1014,16,14,6,52,31,64,2.03,5,Rain,226
2015-2-4,9,7,4,6,4,2,100,83,65,1022,1020,1017,16,16,11,35,17,45,5.84,6,Rain,231
2015-2-5,16,8,1,3,0,-2,100,65,29,1020,1017,1014,16,16,16,45,16,56,0.00,0,,223
2015-2-6,17,9,2,-1,-3,-6,76,50,23,1016,1013,1008,16,16,16,53,27,66,0.00,1,,168
2015-2-7,16,10,4,3,-1,-6,73,49,24,1018,1013,1009,16,16,16,58,24,76,T,4,Rain,219
2015-2-8,16,9,1,3,1,-2,82,56,29,1024,1020,1015,16,16,16,32,15,39,0.00,1,,206
2015-2-9,13,8,3,6,3,2,100,74,47,1019,1016,1010,16,15,6,53,23,68,4.32,5,Rain,228
2015-2-10,8,4,1,3,1,-1,92,79,65,1029,1025,1019,16,16,16,37,21,43,0.00,4,,220
2015-2-11,11,4,-4,3,-1,-5,100,74,48,1033,1031,1029,16,16,16,14,5,18,0.00,0,,351
2015-2-12,14,6,-2,3,0,-2,100,68,36,1031,1029,1027,16,16,16,14,5,16,0.00,0,,357
2015-2-13,16,6,-4,2,-1,-4,100,70,39,1032,1028,1025,16,16,16,14,4,18,0.00,0,,54
2015-2-14,13,5,-3,4,1,-2,100,72,43,1025,1022,1020,16,16,16,35,12,43,0.00,0,,236
2015-2-15,9,5,0,3,0,-3,100,73,46,1026,1023,1020,16,15,1,29,19,34,0.00,3,,235
2015-2-16,7,1,-6,-3,-8,-12,96,61,25,1028,1025,1022,16,16,16,35,14,45,0.00,1,,41
2015-2-17,7,-2,-11,-7,-9,-11,92,61,29,1029,1027,1024,16,16,16,19,5,24,0.00,0,,223
2015-2-18,13,4,-6,-6,-7,-8,74,49,24,1028,1025,1022,16,16,16,21,6,24,0.00,0,,77
2015-2-19,14,5,-4,-3,-4,-7,81,54,27,1024,1019,1013,16,16,16,42,22,52,0.00,1,,227
2015-2-20,9,4,-1,1,-1,-3,89,66,42,1018,1016,1013,16,16,14,42,23,52,T,5,Rain-Snow,222
2015-2-21,5,0,-6,0,-4,-16,100,71,41,1025,1017,1015,16,11,1,45,20,61,3.30,6,Snow,237
2015-2-22,2,-4,-10,-13,-17,-19,55,44,32,1027,1025,1023,16,16,16,39,26,53,0.00,1,,38
2015-2-23,6,-3,-12,-11,-18,-24,67,39,10,1030,1028,1024,16,16,16,29,15,35,0.00,0,,44
2015-2-24,9,2,-5,-8,-13,-16,46,34,21,1030,1025,1019,16,16,16,39,23,45,0.00,1,,223
2015-2-25,9,2,-5,-7,-8,-11,68,48,28,1022,1020,1018,16,16,16,35,16,42,0.00,5,,218
2015-2-26,7,1,-5,-4,-8,-12,75,51,27,1019,1016,1013,16,16,14,24,8,31,T,6,Snow,17
2015-2-27,4,-1,-6,-1,-4,-6,100,80,59,1013,1010,1007,16,16,11,19,8,23,T,6,Snow,20
2015-2-28,8,1,-7,-7,-9,-13,100,64,27,1019,1012,1009,16,16,8,37,21,45,0.00,1,,39
2015-3-1,7,-2,-10,-12,-14,-16,62,41,20,1026,1022,1019,16,16,16,24,10,31,0.00,0,,41
2015-3-2,6,-3,-11,-4,-8,-12,92,66,40,1017,1010,1005,16,16,16,40,8,47,0.00,2,,144
2015-3-3,1,-3,-7,-4,-8,-13,100,72,43,1019,1013,1007,16,12,1,48,20,60,3.56,5,Fog-Snow,46
2015-3-4,2,-6,-14,-8,-12,-15,96,64,32,1029,1027,1020,16,16,16,23,8,29,0.00,0,,230
2015-3-5,10,2,-7,-6,-9,-12,77,50,22,1032,1030,1027,16,16,16,32,13,42,0.00,0,,221
2015-3-6,13,4,-6,-4,-6,-8,92,58,24,1032,1030,1028,16,16,16,24,11,32,0.00,0,,265
2015-3-7,16,6,-5,-3,-6,-8,88,55,21,1029,1024,1020,16,16,16,29,10,39,0.00,0,,245
2015-3-8,14,4,-6,-3,-6,-8,88,56,23,1024,1021,1019,16,16,16,21,9,27,0.00,0,,228
2015-3-9,16,7,-3,-3,-6,-9,69,45,21,1022,1019,1017,16,16,16,32,15,37,0.00,0,,222
2015-3-10,18,7,-6,-5,-8,-12,88,52,15,1022,1019,1017,16,16,16,29,8,35,0.00,0,,253
2015-3-11,17,9,1,-1,-5,-10,70,42,14,1021,1018,1016,16,16,16,48,16,60,0.00,3,,213
2015-3-12,16,11,7,6,3,0,89,63,36,1029,1025,1021,16,16,16,32,19,37,0.25,5,,222
2015-3-13,18,9,-1,3,0,-2,89,58,26,1033,1029,1025,16,16,16,23,10,26,0.00,0,,249
2015-3-14,21,10,-1,1,-2,-4,82,51,20,1026,1022,1020,16,16,16,50,19,63,0.00,2,,203
2015-3-15,21,14,7,-2,-4,-5,49,34,18,1019,1016,1013,16,16,16,58,28,74,0.00,3,,186
2015-3-16,19,14,9,1,-2,-5,48,36,23,1022,1017,1013,16,16,16,37,18,45,0.00,0,,229
2015-3-17,17,12,6,4,2,1,76,55,34,1016,1014,1013,16,16,16,42,13,48,0.00,3,,246
2015-3-18,14,9,3,4,1,-4,93,61,28,1022,1019,1015,16,16,16,37,24,48,T,4,Rain,236
2015-3-19,15,6,-3,-1,-4,-7,92,58,24,1025,1023,1021,16,16,16,21,11,32,0.00,0,,224
2015-3-20,21,8,-5,-3,-7,-11,81,47,13,1024,1020,1016,16,16,16,27,9,37,0.00,0,,130
2015-3-21,19,11,2,-3,-6,-11,56,37,18,1017,1016,1015,16,16,16,45,20,52,0.00,1,,260
2015-3-22,19,10,1,-2,-7,-16,70,40,9,1021,1017,1013,16,16,16,26,9,31,0.00,1,,242
2015-3-23,12,6,-1,4,-1,-7,100,72,44,1019,1015,1010,16,16,16,60,29,69,0.76,3,Rain,239
