PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-4,-8,-12,-11,-12,-14,88,74,59,1035,1033,1029,16,16,13,19,6,24,0.00,1,,90
2015-1-2,-1,-4,-7,-4,-8,-12,88,73,58,1029,1023,1019,16,13,1,29,8,42,0.76,8,Snow,110
2015-1-3,1,-2,-5,-3,-4,-5,92,81,69,1028,1025,1021,16,13,2,13,4,18,0.25,7,Snow,109
2015-1-4,6,2,-1,1,-1,-2,100,88,76,1029,1026,1018,16,5,0,42,10,55,4.32,8,Fog-Rain-Snow,45
2015-1-5,10,7,4,5,4,1,100,83,65,1028,1023,1017,16,16,16,48,13,60,0.25,7,Rain,142
2015-1-6,10,7,3,4,3,2,92,77,61,1030,1029,1027,16,16,16,27,9,34,0.00,0,,98
2015-1-7,8,4,0,3,2,0,100,88,76,1031,1029,1027,16,11,0,16,5,23,0.00,1,Fog,99
2015-1-8,2,2,1,2,1,1,100,96,92,1029,1028,1026,16,7,0,14,5,18,0.00,8,Fog,114
2015-1-9,2,2,1,1,1,-1,100,95,89,1027,1024,1020,16,10,1,14,5,18,0.00,8,Fog,178
2015-1-10,3,2,1,2,1,0,100,93,85,1021,1018,1016,16,10,0,11,3,16,T,8,Fog-Rain,262
2015-1-11,4,3,1,2,2,1,92,89,85,1025,1023,1019,16,13,10,11,1,13,T,8,Rain,303
2015-1-12,3,3,2,2,1,1,100,93,85,1033,1029,1025,16,15,10,14,5,19,1.52,8,Rain,255
2015-1-13,5,3,1,2,1,-1,100,85,70,1035,1033,1031,16,10,2,16,5,18,T,8,Rain,73
2015-1-14,6,2,-1,-1,-2,-2,92,77,62,1033,1031,1029,16,16,16,21,9,27,0.00,4,,131
2015-1-15,7,2,-3,-1,-2,-4,100,75,49,1030,1026,1018,16,16,16,45,14,58,T,4,Rain,152
2015-1-16,12,6,-1,3,1,-2,82,66,50,1027,1020,1013,16,16,16,48,20,58,T,4,,160
2015-1-17,8,4,0,4,1,-2,92,77,62,1028,1021,1013,16,15,10,37,17,43,12.95,5,Rain,99
2015-1-18,12,9,5,6,3,0,92,69,46,1025,1018,1011,16,16,16,60,13,69,0.25,5,Rain,194
2015-1-19,11,7,2,3,1,-1,92,72,52,1029,1027,1025,16,16,16,26,9,34,T,5,,205
2015-1-20,4,1,-2,3,0,-2,100,88,75,1032,1031,1029,16,8,0,8,2,10,0.00,1,Fog-Rain,59
2015-1-21,4,1,-3,0,-2,-3,100,88,76,1033,1031,1029,16,7,0,19,7,24,0.00,2,Fog,113
2015-1-22,5,2,-2,1,-2,-3,100,82,64,1034,1030,1028,16,13,0,26,9,32,0.51,5,Fog-Rain,91
2015-1-23,10,6,2,4,3,1,89,78,66,1036,1032,1027,16,16,16,24,12,31,0.00,5,,72
2015-1-24,12,9,7,7,5,4,89,76,63,1028,1026,1025,16,16,16,24,9,29,0.00,6,,97
2015-1-25,16,11,7,6,4,3,76,61,46,1026,1024,1022,16,16,16,35,12,42,0.00,0,,141
2015-1-26,17,12,7,4,3,2,71,55,39,1021,1018,1016,16,16,16,40,19,52,0.00,0,,145
2015-1-27,11,7,3,4,3,2,92,79,66,1023,1018,1016,16,16,16,21,7,26,0.00,0,,103
2015-1-28,8,4,-1,4,2,0,100,88,76,1032,1029,1024,16,8,0,10,1,10,T,3,Fog,155
2015-1-29,5,2,-1,2,1,-1,100,93,85,1032,1031,1029,16,7,0,13,3,14,0.00,5,Fog,165
2015-1-30,3,3,2,3,2,0,100,93,85,1031,1028,1025,16,12,1,14,2,18,0.00,8,,217
2015-1-31,3,2,1,1,-1,-2,100,88,76,1028,1027,1024,16,16,11,13,4,14,0.25,6,Snow,248
2015-2-1,4,2,0,1,0,-1,100,85,70,1026,1021,1018,16,6,0,19,5,23,5.59,8,Fog-Rain-Snow,80
2015-2-2,7,4,1,4,2,1,100,93,86,1022,1018,1012,16,6,0,26,6,31,1.52,6,Fog-Rain,66
2015-2-3,6,4,2,5,4,2,100,93,85,1022,1020,1016,16,6,0,13,1,14,2.79,7,Fog-Rain,130
2015-2-4,8,5,2,5,3,2,100,88,76,1022,1020,1013,16,9,0,29,14,37,0.51,6,Fog-Rain,93
2015-2-5,15,11,6,7,4,3,82,73,63,1013,1008,1005,16,16,14,29,15,39,0.25,5,Rain,91
2015-2-6,19,14,8,6,4,2,82,58,34,1004,1002,999,16,16,16,52,14,61,T,6,,157
2015-2-7,19,14,9,8,7,6,86,65,44,1014,1005,998,16,16,16,40,14,53,3.56,7,Rain,162
2015-2-8,12,8,4,8,7,4,100,87,74,1020,1016,1007,16,12,0,23,6,27,T,3,Fog,77
2015-2-9,12,9,7,10,8,4,100,82,63,1017,1011,1007,16,11,1,27,10,35,10.67,7,Fog-Rain,178
2015-2-10,13,9,6,8,6,4,92,79,66,1028,1024,1018,16,16,16,16,8,21,2.29,7,Rain,106
2015-2-11,14,9,4,7,5,4,96,76,55,1028,1026,1025,16,16,16,26,11,29,0.00,0,,104
2015-2-12,17,11,6,7,6,4,92,70,48,1027,1026,1024,16,16,16,21,7,29,0.00,2,,82
2015-2-13,14,9,3,6,4,3,92,75,57,1028,1024,1021,16,16,16,23,7,26,0.00,0,,103
2015-2-14,14,9,3,7,5,4,100,79,57,1029,1025,1022,16,16,16,16,4,26,0.00,3,,296
2015-2-15,12,7,1,5,1,-3,93,66,38,1031,1029,1027,16,16,16,21,7,26,0.00,3,,228
2015-2-16,11,5,-1,2,-1,-3,85,68,50,1031,1029,1027,16,16,16,16,3,26,0.00,0,,182
2015-2-17,11,4,-2,1,-1,-3,85,66,46,1028,1026,1024,16,16,16,13,4,18,0.00,0,,150
