MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-9,-14,-20,-17,-19,-22,86,72,58,1034,1031,1023,16,15,11,10,2,11,0.00,0,,359
2015-1-2,-6,-11,-17,-8,-11,-19,91,79,67,1029,1017,1010,16,7,2,29,6,39,2.54,7,Snow,315
2015-1-3,-11,-13,-16,-13,-18,-20,80,72,63,1036,1027,1015,16,10,2,27,11,32,1.27,8,Snow,305
2015-1-4,-15,-16,-18,-18,-19,-21,86,79,72,1039,1031,1026,16,5,2,19,9,21,2.29,8,Snow,303
2015-1-5,-3,-9,-15,-7,-11,-17,91,83,74,1032,1022,1013,16,7,2,11,2,14,7.62,8,Rain-Snow,4
2015-1-6,6,-3,-12,1,-11,-17,92,77,61,1049,1038,1029,16,16,14,32,12,40,0.00,4,,318
2015-1-7,-8,-11,-14,-13,-16,-17,83,75,66,1050,1041,1032,16,16,11,29,7,32,0.00,3,,287
2015-1-8,-3,-11,-18,-7,-14,-19,91,76,61,1046,1038,1025,16,15,10,48,14,58,0.00,5,,296
2015-1-9,-12,-16,-21,-16,-19,-23,87,80,73,1042,1033,1026,16,14,11,8,0,8,0.00,4,,-1
2015-1-10,-4,-8,-13,-8,-11,-16,84,73,62,1026,1022,1013,16,11,8,11,2,13,0.00,3,,33
2015-1-11,-1,-3,-7,-2,-6,-8,92,81,69,1030,1022,1015,16,8,1,19,6,23,2.29,8,Snow,293
2015-1-12,-3,-6,-8,-7,-8,-10,92,83,74,1032,1029,1023,16,9,3,8,1,10,T,7,Snow,100
2015-1-13,-8,-12,-17,-9,-13,-18,100,90,80,1037,1030,1024,8,2,0,10,1,11,T,4,Fog-Snow,332
2015-1-14,-7,-12,-17,-12,-16,-18,100,84,67,1037,1032,1025,16,4,0,10,2,10,0.00,3,Fog,340
2015-1-15,-5,-11,-17,-11,-16,-19,95,81,67,1035,1028,1024,13,6,0,14,3,18,0.00,1,Fog,273
2015-1-16,8,-2,-12,-2,-8,-13,92,69,46,1025,1019,1011,16,14,6,50,11,68,0.00,5,,271
2015-1-17,3,0,-4,-6,-7,-8,69,58,47,1028,1023,1019,16,16,16,47,11,55,0.00,1,,274
2015-1-18,8,3,-3,2,-3,-6,82,63,43,1019,1016,1011,16,16,16,56,18,72,T,2,,267
2015-1-19,6,3,-1,-1,-4,-6,89,67,45,1026,1023,1019,16,16,14,47,19,60,T,5,Rain-Snow,276
2015-1-20,3,1,-3,-4,-7,-8,69,59,48,1031,1029,1023,16,16,16,29,14,37,0.00,6,,278
2015-1-21,1,-3,-7,-7,-9,-12,84,69,53,1033,1031,1029,16,16,16,19,4,21,0.00,2,,136
2015-1-22,6,-2,-9,-4,-9,-12,74,57,40,1031,1029,1022,16,16,16,40,8,52,T,5,,267
2015-1-23,7,4,2,-1,-2,-5,76,65,53,1032,1029,1025,16,16,16,39,17,45,0.00,1,,260
2015-1-24,10,6,2,3,1,-2,82,68,53,1026,1024,1022,16,16,16,45,16,60,0.00,6,,263
2015-1-25,17,10,3,3,1,-2,76,53,30,1026,1023,1021,16,16,16,37,10,50,0.00,2,,271
2015-1-26,12,6,-1,2,-1,-3,82,64,46,1026,1023,1019,16,16,16,14,4,18,0.00,0,,256
2015-1-27,10,4,-2,1,-1,-4,92,73,54,1021,1019,1016,16,16,11,10,2,13,0.00,0,,242
2015-1-28,11,5,-1,-1,-4,-6,89,61,32,1033,1026,1017,16,16,16,35,15,47,0.00,2,,258
2015-1-29,7,1,-6,-2,-4,-7,88,69,49,1035,1032,1029,16,16,14,14,4,21,0.00,0,,215
2015-1-30,7,1,-6,-3,-6,-7,88,69,49,1031,1027,1021,16,16,11,14,3,16,0.00,0,,253
2015-1-31,-1,-4,-8,-4,-9,-14,88,75,62,1033,1026,1020,16,13,3,37,14,45,0.25,7,Snow,330
2015-2-1,-3,-7,-12,-7,-11,-14,84,73,62,1034,1027,1020,16,16,10,11,3,13,T,5,Snow,304
2015-2-2,8,2,-4,-2,-4,-6,81,62,42,1020,1015,1008,16,16,13,42,9,53,0.00,5,,254
2015-2-3,10,1,-8,-1,-6,-12,74,57,39,1027,1017,1009,16,14,1,42,20,61,0.25,6,Snow,308
2015-2-4,1,-3,-8,-4,-8,-12,80,70,59,1029,1024,1020,16,15,10,14,2,16,T,4,,345
2015-2-5,13,5,-3,-1,-3,-4,85,59,32,1020,1013,1010,16,15,11,24,5,32,0.00,2,,173
2015-2-6,19,11,3,-3,-5,-7,51,35,18,1010,1005,1001,16,16,16,47,18,66,0.00,1,,196
2015-2-7,16,11,6,4,1,-2,71,51,30,1012,1005,1001,16,16,16,50,17,72,T,5,,256
2015-2-8,15,9,2,2,-2,-4,70,50,30,1020,1017,1012,16,16,16,37,13,52,0.00,2,,293
2015-2-9,11,6,1,4,2,-2,89,75,61,1017,1013,1009,16,15,4,26,6,32,5.59,6,Rain,276
2015-2-10,10,6,2,3,1,0,85,71,56,1030,1023,1016,16,16,16,27,12,34,0.25,7,Rain,259
2015-2-11,11,4,-3,2,0,-4,92,72,52,1032,1029,1023,16,16,14,13,3,16,0.00,1,,214
2015-2-12,13,8,2,1,-2,-4,85,60,35,1026,1025,1024,16,16,16,37,12,45,0.00,4,,263
2015-2-13,16,8,0,2,-1,-5,70,52,33,1029,1025,1022,16,16,16,26,7,34,0.00,0,,305
2015-2-14,16,8,-1,1,-1,-3,89,58,27,1025,1021,1017,16,16,16,37,9,43,0.00,3,,302
2015-2-15,6,3,0,1,-1,-2,89,73,57,1029,1026,1023,16,15,5,27,7,34,T,7,Snow,295
2015-2-16,4,1,-2,-1,-5,-8,82,63,44,1034,1031,1024,16,15,2,32,11,39,T,8,Snow,305
2015-2-17,7,1,-6,-4,-7,-12,81,53,25,1030,1027,1022,16,16,16,23,6,27,0.00,4,,271
2015-2-18,14,6,-2,-5,-8,-11,63,42,20,1026,1022,1017,16,16,16,34,11,42,0.00,2,,295
2015-2-19,11,7,3,-2,-5,-8,60,45,29,1020,1017,1015,16,16,16,34,15,47,0.00,3,,277
2015-2-20,8,4,0,0,-2,-6,89,63,37,1022,1017,1013,16,12,1,42,17,52,2.29,8,Snow,296
2015-2-21,0,-7,-14,-2,-9,-18,78,70,61,1041,1030,1019,16,11,0,48,18,58,T,6,Fog-Snow,328
