PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,6,-3,-12,-13,-18,-26,63,36,19,1020,1019,1017,16,15,11,23,10,27,0.00,0,,290
2015-1-2,10,-2,-14,-11,-13,-17,79,49,16,1022,1019,1016,16,16,11,19,6,,0.00,0,,309
2015-1-3,12,-1,-13,-10,-12,-15,85,52,19,1027,1024,1021,16,15,11,14,5,,0.00,0,,89
2015-1-4,13,1,-10,-6,-9,-13,86,60,19,1033,1030,1027,16,16,11,23,3,,0.00,1,,299
2015-1-5,14,2,-10,-5,-7,-11,93,61,23,1035,1033,1031,16,16,11,13,3,,0.00,0,,120
2015-1-6,15,3,-9,-4,-6,-10,93,63,23,1034,1033,1031,16,16,16,11,3,,0.00,0,,75
2015-1-7,16,3,-10,-3,-7,-11,100,60,16,1033,1030,1028,16,16,11,13,3,,0.00,0,,349
2015-1-8,14,1,-11,-6,-8,-13,100,58,17,1028,1025,1022,16,15,11,14,3,,0.00,0,,25
2015-1-9,9,1,-7,0,-4,-9,87,67,34,1023,1021,1020,16,16,16,13,3,,0.00,5,Rain,153
2015-1-10,9,4,-1,2,-1,-3,100,80,50,1021,1019,1017,16,16,6,24,3,,1.52,7,Rain-Snow,136
2015-1-11,9,2,-4,2,-1,-4,100,87,50,1023,1021,1019,16,15,0,13,2,,0.00,3,Fog,128
2015-1-12,10,1,-7,-1,-4,-7,100,75,34,1024,1023,1021,16,16,16,21,5,29,0.00,3,,299
2015-1-13,6,0,-6,-4,-7,-10,86,64,36,1027,1025,1024,16,16,16,21,11,29,0.00,2,,299
2015-1-14,11,-1,-13,-8,-14,-21,86,51,9,1029,1026,1024,16,16,11,14,5,,0.00,0,,83
2015-1-15,12,0,-11,-10,-13,-19,79,48,11,1030,1028,1026,16,16,11,21,3,,0.00,0,,97
2015-1-16,14,6,-3,-4,-9,-16,80,40,16,1028,1026,1025,16,16,16,29,8,42,0.00,2,,271
2015-1-17,16,6,-5,-2,-4,-8,100,65,19,1030,1028,1027,16,16,16,21,5,26,0.00,0,,112
2015-1-18,16,6,-5,-3,-9,-14,93,47,13,1030,1029,1027,16,16,16,23,6,39,0.00,0,,277
2015-1-19,14,4,-6,-6,-9,-13,80,44,16,1028,1026,1024,16,16,16,26,5,35,0.00,0,,280
2015-1-20,10,2,-6,-5,-7,-9,86,60,27,1025,1021,1019,16,16,16,27,5,35,0.00,0,,262
2015-1-21,10,2,-6,-5,-11,-17,86,52,14,1027,1024,1022,16,16,16,21,10,,0.00,0,,286
2015-1-22,10,-2,-13,-11,-15,-20,85,45,12,1031,1028,1026,16,16,11,14,2,,0.00,2,,119
2015-1-23,12,3,-5,-7,-11,-12,69,43,21,1033,1031,1030,16,16,16,21,6,29,0.00,0,,306
2015-1-24,14,3,-7,-10,-14,-19,68,36,9,1032,1031,1029,16,16,16,14,5,,0.00,0,,355
2015-1-25,18,4,-9,-7,-9,-11,86,44,14,1032,1029,1026,16,16,11,32,6,42,0.00,0,,74
2015-1-26,15,6,-3,-2,-6,-9,74,49,19,1028,1024,1020,16,16,16,32,8,45,0.00,2,,69
2015-1-27,6,3,0,2,1,-1,100,89,70,1027,1023,1021,16,15,6,19,6,26,0.00,8,Rain-Snow,163
2015-1-28,9,2,-5,0,-4,-6,93,69,34,1028,1026,1025,16,16,16,16,5,,0.00,1,,132
2015-1-29,9,2,-5,-2,-4,-6,93,70,40,1026,1024,1021,16,16,16,14,2,,0.25,4,,113
2015-1-30,5,2,-1,0,-2,-4,87,73,57,1022,1018,1016,16,16,16,23,11,32,0.00,8,,294
2015-1-31,11,3,-5,-3,-8,-16,86,51,15,1025,1021,1017,16,16,11,23,13,32,0.00,3,,300
2015-2-1,17,3,-10,-8,-13,-18,67,35,10,1027,1025,1024,16,16,16,24,6,34,0.00,0,,338
2015-2-2,14,3,-7,-4,-9,-14,86,43,14,1027,1025,1023,16,16,16,26,6,42,0.00,0,,296
2015-2-3,16,6,-5,-7,-9,-14,68,39,13,1026,1025,1024,16,16,16,45,6,53,0.00,0,,276
2015-2-4,16,7,-2,-7,-12,-17,55,28,10,1026,1025,1024,16,16,16,23,6,39,0.00,0,,203
2015-2-5,16,9,2,-9,-13,-16,33,22,12,1025,1022,1020,16,16,16,32,6,69,0.00,0,,205
2015-2-6,15,9,1,1,-13,-19,100,23,9,1021,1018,1014,16,16,6,87,27,122,0.51,2,Rain-Snow,225
2015-2-7,7,3,0,6,2,-1,100,94,57,1024,1021,1020,16,11,2,42,8,48,12.95,6,Rain-Snow,126
2015-2-8,9,3,-3,5,1,-3,100,88,61,1024,1022,1017,16,16,8,21,5,42,2.54,5,Rain,97
2015-2-9,11,3,-3,3,-9,-15,87,39,15,1024,1022,1018,16,16,11,52,19,71,0.25,1,Rain,225
2015-2-10,12,3,-5,-7,-11,-19,69,43,11,1026,1024,1023,16,16,16,19,6,,0.00,0,,277
2015-2-11,13,3,-6,-4,-8,-12,86,51,17,1031,1028,1026,16,16,16,13,3,,0.00,0,,107
2015-2-12,19,7,-6,-4,-7,-10,86,51,16,1031,1030,1028,16,16,16,16,3,,0.00,0,,115
2015-2-13,20,8,-5,-2,-6,-9,86,51,13,1030,1028,1026,16,16,16,16,3,,0.00,0,,87
2015-2-14,19,7,-4,-2,-6,-11,86,49,12,1028,1026,1024,16,16,16,24,5,34,0.00,0,,281
2015-2-15,16,7,-2,-4,-6,-10,75,46,17,1026,1025,1024,16,16,16,24,10,32,0.00,0,,306
2015-2-16,19,6,-8,-5,-11,-19,80,41,6,1024,1022,1021,16,16,11,24,6,39,0.00,0,,336
2015-2-17,18,7,-5,-4,-9,-12,74,42,13,1027,1024,1023,16,16,11,23,8,27,0.00,0,,111
2015-2-18,18,6,-6,-3,-7,-9,86,50,15,1028,1026,1024,16,16,8,23,5,26,0.00,0,,88
2015-2-19,18,6,-6,-2,-6,-12,93,49,12,1026,1024,1022,16,16,11,34,5,40,0.00,0,,272
2015-2-20,17,6,-4,-5,-9,-15,80,43,11,1023,1020,1017,16,16,16,16,3,,0.00,0,,347
2015-2-21,16,3,-9,-4,-7,-11,86,49,19,1018,1014,1010,16,15,2,37,10,52,0.00,1,,283
2015-2-22,0,-2,-5,-3,-6,-11,100,81,44,1013,1012,1011,16,8,0,26,18,32,1.02,8,Snow,273
2015-2-23,0,-3,-8,-7,-10,-13,86,64,47,1026,1018,1012,16,14,2,23,14,32,0.00,6,Snow,283
