MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-4,-11,-18,-11,-17,-23,73,65,56,1027,1025,1017,16,16,16,32,17,39,0.00,5,,240
2015-1-2,-2,-4,-7,-8,-10,-12,74,66,58,1022,1015,1008,16,16,16,48,31,68,0.00,0,,220
2015-1-3,-3,-16,-29,-8,-18,-31,83,73,62,1034,1021,1010,16,9,0,45,15,52,5.59,5,Fog-Snow,1
2015-1-4,-10,-19,-28,-14,-22,-27,87,77,66,1039,1031,1022,16,14,2,29,11,39,0.00,3,,322
2015-1-5,4,-9,-22,-1,-6,-22,91,78,64,1031,1023,1018,16,16,16,63,28,77,0.00,2,,267
2015-1-6,7,-3,-13,-1,-7,-16,92,75,57,1042,1031,1025,16,15,6,45,25,55,T,4,Snow,278
2015-1-7,4,-5,-14,-3,-11,-17,88,76,64,1048,1037,1022,16,16,10,50,22,61,T,4,Snow,256
2015-1-8,5,-8,-21,-2,-11,-21,84,72,59,1037,1028,1020,16,12,3,47,14,56,1.27,6,Snow,30
2015-1-9,0,-13,-26,-6,-14,-26,87,75,62,1037,1029,1016,16,16,16,52,25,64,0.00,0,,234
2015-1-10,4,2,-1,-2,-4,-6,75,65,54,1016,1014,1012,16,16,16,48,30,60,0.00,0,,217
2015-1-11,1,-3,-7,-3,-6,-8,92,79,66,1028,1021,1012,16,11,2,35,16,42,1.27,7,Snow,20
2015-1-12,-6,-8,-11,-8,-9,-11,92,85,77,1030,1026,1021,16,8,1,16,8,48,0.76,8,Snow,88
2015-1-13,-2,-9,-18,-6,-12,-18,92,81,69,1033,1026,1020,16,10,0,26,8,29,0.00,6,Fog,272
2015-1-14,-1,-3,-6,-7,-8,-9,88,76,63,1028,1025,1021,16,16,16,42,26,56,0.00,2,,227
2015-1-15,2,-1,-4,-6,-8,-9,74,61,47,1029,1026,1021,16,16,16,58,37,74,0.00,0,,219
2015-1-16,5,2,-1,-3,-6,-8,72,60,48,1021,1015,1009,16,16,16,69,34,80,0.00,1,,234
2015-1-17,4,-1,-6,-6,-8,-11,75,56,37,1024,1021,1016,16,16,16,53,26,71,0.00,0,,225
2015-1-18,8,4,1,-1,-3,-9,70,57,44,1018,1016,1015,16,16,16,58,35,76,0.00,0,,222
2015-1-19,6,1,-4,-2,-5,-7,85,65,45,1022,1019,1015,16,16,16,34,14,40,0.00,2,,273
2015-1-20,2,-2,-6,-7,-7,-8,92,72,51,1027,1024,1020,16,16,16,26,14,34,0.00,6,,265
2015-1-21,0,-6,-11,-8,-11,-13,92,69,46,1032,1029,1026,16,16,16,24,10,29,0.00,3,,269
2015-1-22,1,-4,-9,-11,-13,-15,80,58,36,1029,1027,1022,16,16,16,53,34,69,0.00,0,,216
2015-1-23,2,0,-3,-5,-8,-12,64,54,43,1029,1026,1023,16,16,16,40,28,52,0.00,4,,215
2015-1-24,4,-1,-6,-2,-6,-8,92,72,51,1025,1022,1018,16,16,16,53,28,69,0.00,3,,228
2015-1-25,9,3,-3,-2,-3,-4,85,67,49,1023,1022,1020,16,16,16,45,26,56,0.00,1,,230
2015-1-26,12,8,4,-2,-3,-4,59,49,38,1025,1022,1020,16,16,16,48,25,61,0.00,0,,220
2015-1-27,14,10,5,-2,-3,-5,60,44,28,1019,1016,1014,16,16,16,47,32,60,0.00,0,,222
2015-1-28,6,3,1,3,1,-2,92,75,57,1030,1021,1014,16,15,5,42,12,50,4.06,7,Rain-Snow,262
2015-1-29,8,1,-6,-1,-3,-6,89,67,45,1034,1030,1026,16,16,16,23,10,27,0.00,2,,237
2015-1-30,7,2,-3,-1,-5,-8,85,61,36,1026,1023,1019,16,16,16,24,11,31,0.00,0,,315
2015-1-31,6,-1,-8,-4,-7,-11,88,62,36,1022,1016,1012,16,14,2,37,17,47,0.25,4,Snow,349
2015-2-1,0,-6,-12,-7,-12,-14,80,65,49,1030,1023,1016,16,13,2,26,14,34,T,6,Snow,21
2015-2-2,9,4,-1,-2,-6,-8,70,52,34,1016,1013,1009,16,16,16,42,26,56,0.00,2,,236
2015-2-3,11,3,-6,-1,-3,-8,92,64,36,1017,1011,1008,16,11,1,48,24,61,1.78,5,Fog-Snow,255
2015-2-4,-3,-6,-10,-6,-10,-12,88,78,68,1027,1023,1016,16,9,1,42,9,58,5.84,6,Fog-Snow,34
2015-2-5,10,4,-3,-2,-3,-6,81,60,39,1022,1017,1014,16,16,16,45,26,60,0.00,1,,226
2015-2-6,16,10,4,-4,-5,-7,54,39,23,1015,1011,1007,16,16,16,58,37,76,0.00,0,,223
2015-2-7,16,10,4,-2,-5,-7,46,35,23,1012,1008,1005,16,16,16,72,37,95,0.00,0,,243
2015-2-8,14,7,-1,-3,-4,-7,72,48,24,1023,1017,1011,16,16,16,42,20,53,0.00,0,,258
2015-2-9,17,6,-5,-1,-3,-6,81,54,27,1019,1014,1009,16,16,16,56,24,74,0.00,0,,233
2015-2-10,12,6,-1,0,-3,-6,89,59,28,1026,1019,1012,16,16,16,32,16,42,T,4,Rain,314
2015-2-11,11,4,-4,-1,-3,-6,92,61,30,1031,1028,1026,16,16,16,27,11,35,0.00,3,,266
2015-2-12,14,6,-3,-3,-5,-8,85,55,24,1025,1022,1020,16,16,16,37,19,43,0.00,2,,252
2015-2-13,16,7,-2,-4,-4,-6,78,50,22,1026,1024,1021,16,16,16,37,18,45,0.00,0,,256
2015-2-14,14,7,1,-4,-6,-8,56,39,22,1021,1017,1013,16,16,16,40,20,55,0.00,1,,229
2015-2-15,2,-1,-4,-2,-4,-6,92,78,64,1024,1022,1017,16,8,1,24,13,31,2.79,8,Fog-Snow,34
2015-2-16,-1,-5,-9,5,-7,-12,100,88,75,1027,1023,1020,16,8,0,27,11,34,3.81,8,Fog-Snow,342
2015-2-17,-1,-6,-10,-9,-11,-13,84,69,53,1027,1024,1020,16,16,8,39,18,47,T,4,,283
2015-2-18,8,0,-8,-4,-8,-13,81,59,37,1024,1021,1017,16,16,16,34,16,40,0.00,4,,251
2015-2-19,14,5,-4,-3,-6,-7,81,53,24,1017,1013,1010,16,16,16,42,22,52,0.00,1,,247
2015-2-20,6,0,-6,-2,-4,-7,88,71,54,1017,1013,1009,16,13,1,34,11,39,1.52,7,Fog-Snow,348
2015-2-21,-3,-9,-16,-4,-9,-17,100,84,67,1032,1020,1013,16,6,0,39,17,48,2.54,8,Fog-Snow,23
2015-2-22,-9,-16,-22,-14,-17,-24,88,71,53,1040,1033,1025,16,13,3,27,14,31,T,5,Snow,49
2015-2-23,-5,-13,-22,-14,-18,-24,83,65,47,1039,1032,1023,16,16,16,37,21,47,0.00,0,,238
2015-2-24,7,-3,-12,-3,-10,-18,58,50,41,1029,1019,1010,16,16,16,39,21,48,0.00,2,,230
2015-2-25,2,-5,-12,-2,-6,-16,92,78,63,1028,1017,1010,16,11,1,42,18,55,1.52,8,Fog-Snow,15
2015-2-26,-11,-14,-18,-15,-17,-20,79,70,61,1030,1024,1018,16,12,2,26,15,31,0.25,8,Snow,60
2015-2-27,-2,-11,-21,-11,-16,-22,87,65,42,1026,1019,1013,16,16,4,24,9,29,0.00,2,,102
2015-2-28,-5,-8,-12,-12,-13,-15,80,69,57,1025,1020,1014,16,14,4,24,17,31,T,8,Snow,38
2015-3-1,-1,-8,-15,-11,-13,-16,92,64,36,1029,1025,1019,16,16,8,26,7,32,T,3,Snow,244
2015-3-2,5,-2,-9,1,-4,-11,100,80,59,1020,1007,1002,16,8,0,37,12,50,12.19,6,Fog-Rain-Snow,41
2015-3-3,-5,-15,-25,-8,-16,-26,96,85,73,1027,1015,1006,16,8,2,42,13,53,1.27,7,Snow,43
2015-3-4,-9,-16,-22,-15,-19,-24,83,71,58,1032,1029,1019,16,16,16,35,20,42,0.00,0,,242
2015-3-5,1,-5,-11,-6,-10,-16,69,64,59,1029,1027,1020,16,16,16,42,27,53,0.00,1,,225
2015-3-6,5,1,-4,-3,-6,-9,72,60,48,1028,1026,1023,16,16,16,40,25,47,0.00,1,,228
2015-3-7,9,3,-3,-3,-4,-7,78,60,42,1027,1023,1019,16,16,16,37,19,48,0.00,0,,237
2015-3-8,10,2,-7,-2,-4,-7,96,69,42,1024,1020,1016,16,16,16,26,14,31,0.00,0,,248
2015-3-9,12,4,-4,-3,-5,-6,75,52,28,1018,1015,1013,16,16,16,32,17,39,0.00,0,,238
2015-3-10,14,6,-2,-4,-5,-6,75,51,26,1020,1018,1015,16,16,16,32,19,39,0.00,0,,230
2015-3-11,15,8,1,-4,-6,-7,64,44,23,1022,1018,1016,16,16,16,45,26,53,0.00,0,,224
2015-3-12,14,7,-2,0,-3,-6,85,58,30,1027,1021,1016,16,16,16,27,11,35,0.00,2,,270
2015-3-13,15,7,-2,1,-2,-3,92,61,30,1032,1029,1027,16,16,16,23,7,31,0.00,2,,240
2015-3-14,18,9,0,-3,-4,-7,75,48,21,1027,1021,1014,16,16,16,53,32,71,0.00,0,,226
2015-3-15,23,16,9,0,-2,-4,42,31,20,1019,1015,1011,16,16,16,52,29,66,0.00,0,,220
2015-3-16,18,10,2,4,-1,-5,85,55,25,1028,1020,1010,16,16,16,42,28,53,0.00,4,,9
2015-3-17,9,3,-3,1,-1,-3,92,73,54,1028,1022,1015,16,15,8,29,14,37,0.00,5,,83
2015-3-18,16,6,-4,2,0,-4,92,64,36,1016,1013,1012,16,15,10,32,14,39,T,3,,9
2015-3-19,13,5,-4,1,-4,-7,92,58,24,1021,1019,1016,16,16,16,27,9,37,0.00,2,,285
2015-3-20,19,9,-2,-5,-8,-9,75,45,15,1022,1019,1015,16,16,16,42,17,53,0.00,0,,241
2015-3-21,22,9,-4,-3,-8,-11,69,40,11,1019,1014,1009,16,16,16,37,17,48,0.00,1,,255
2015-3-22,16,7,-2,1,-4,-11,75,46,17,1018,1016,1011,16,16,16,32,11,42,0.00,1,,304
2015-3-23,14,7,-1,2,-2,-5,75,56,36,1017,1010,1006,16,16,16,58,19,71,T,4,Rain,274
2015-3-24,9,4,-1,1,-6,-10,79,52,24,1014,1011,1008,16,16,8,52,24,66,0.25,5,Rain,250
2015-3-25,8,3,-2,-1,-3,-7,92,63,34,1025,1022,1015,16,11,1,34,10,40,2.54,7,Fog-Snow,348
2015-3-26,13,6,-2,0,-4,-7,72,52,32,1024,1022,1019,16,16,16,34,18,42,0.00,5,,262
2015-3-27,21,11,2,0,-2,-6,64,41,17,1021,1017,1014,16,16,16,42,19,60,0.00,2,,263
2015-3-28,24,14,3,-1,-5,-13,59,35,11,1017,1011,1005,16,16,13,69,32,90,0.00,0,,255
2015-3-29,19,7,-5,-6,-9,-17,74,41,8,1025,1020,1015,16,16,16,37,14,50,0.00,0,,256
2015-3-30,20,9,-2,-6,-8,-9,61,38,14,1021,1018,1015,16,16,16,29,14,37,0.00,0,,272
2015-3-31,24,12,-1,-6,-8,-12,56,33,9,1016,1009,1001,16,16,16,40,20,60,0.00,0,,241
2015-4-1,12,6,-1,1,-4,-9,62,46,30,1013,1007,1000,16,16,16,39,16,47,0.00,3,,354
2015-4-2,4,0,-4,-8,-9,-12,68,53,38,1025,1018,1013,16,16,8,37,14,43,T,6,,17
2015-4-3,9,2,-6,-8,-12,-19,74,44,13,1027,1025,1022,16,16,16,35,19,56,0.00,3,,243
2015-4-4,15,6,-3,-12,-14,-18,46,29,11,1021,1014,1008,16,16,16,42,21,52,0.00,0,,249
2015-4-5,21,8,-5,-7,-11,-16,60,34,8,1010,1005,999,16,16,16,48,17,58,0.00,1,,270
2015-4-6,21,7,-6,-3,-7,-17,84,46,7,1010,1006,1001,16,16,16,48,14,64,0.00,0,,7
2015-4-7,14,5,-4,1,-3,-6,88,60,32,1014,1011,1008,16,16,14,34,16,45,0.00,2,,71
2015-4-8,17,8,-1,3,0,-4,92,60,28,1014,1007,1000,16,15,10,52,18,63,T,5,,8
2015-4-9,12,4,-3,-2,-5,-9,85,55,24,1022,1018,1014,16,14,3,26,10,34,0.51,5,Snow,334
2015-4-10,17,5,-8,-3,-7,-9,84,50,16,1019,1016,1012,16,16,16,34,12,53,0.00,1,,251
2015-4-11,21,10,-1,-6,-9,-11,56,34,12,1013,1007,1001,16,16,16,50,26,66,0.00,1,,240
2015-4-12,14,4,-6,-1,-4,-13,92,54,15,1021,1012,1002,16,13,0,48,15,61,1.52,5,Fog-Rain-Snow,346
2015-4-13,19,7,-6,-6,-9,-11,68,41,13,1023,1019,1014,16,16,16,35,14,42,0.00,0,,229
2015-4-14,26,14,3,-6,-11,-14,40,24,7,1014,1005,997,16,16,16,60,27,101,0.00,0,,218
2015-4-15,9,4,-1,-1,-2,-4,100,68,36,1022,1014,999,16,7,0,40,23,53,11.43,8,Fog-Snow,18
2015-4-16,4,2,0,1,-1,-2,92,81,70,1026,1024,1021,16,15,5,39,20,47,0.25,8,Snow,18
2015-4-17,6,4,1,2,1,-2,100,81,62,1025,1022,1019,16,12,5,23,11,29,13.46,8,Rain,72
2015-4-18,9,5,1,5,2,-1,100,88,76,1021,1016,1013,16,13,3,39,14,52,0.76,8,Rain,106
2015-4-19,9,3,-4,-2,-5,-8,85,60,34,1024,1020,1017,16,16,16,34,11,40,0.00,6,,15
2015-4-20,13,5,-3,-2,-5,-10,92,56,20,1018,1014,1011,16,16,16,35,17,53,0.00,2,,277
2015-4-21,18,7,-3,0,-3,-5,78,52,25,1013,1011,1010,16,16,16,29,16,37,0.00,2,,302
2015-4-22,20,8,-4,2,-1,-5,92,58,24,1012,1009,1006,16,16,16,34,12,39,T,1,Rain,80
2015-4-23,21,13,4,2,1,-3,79,52,24,1007,1005,1001,16,16,14,47,18,60,T,3,Rain-Thunderstorm,224
2015-4-24,20,13,6,2,-1,-11,76,44,12,1006,1001,997,16,16,16,50,20,60,0.00,2,,233
