CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-3,-8,-13,-13,-17,-21,62,54,42,1025,1021,1019,16,16,16,21,10,,0.00,1,,261
2015-1-2,-2,-9,-15,-11,-16,-22,68,59,50,1021,1018,1013,16,16,16,16,6,,0.00,0,,257
2015-1-3,4,-3,-11,-4,-11,-18,69,62,49,1024,1013,1007,16,12,0,60,13,76,0.00,6,,325
2015-1-4,-8,-12,-16,-18,-22,-24,57,45,32,1036,1032,1024,16,16,4,52,26,69,0.00,1,,354
2015-1-5,-2,-9,-16,-9,-16,-23,68,57,48,1036,1027,1020,16,16,13,40,14,53,0.00,2,,172
2015-1-6,-2,-6,-9,-9,-14,-18,64,52,40,1037,1031,1026,16,16,14,37,16,48,0.00,1,,24
2015-1-7,-6,-11,-15,-14,-21,-24,54,46,35,1051,1045,1035,16,16,16,48,31,55,0.00,4,,12
2015-1-8,8,-3,-13,-3,-12,-21,60,50,39,1034,1023,1016,16,16,16,48,27,63,0.00,2,,293
2015-1-9,-2,-7,-11,-13,-18,-23,63,41,29,1036,1033,1027,16,16,16,35,21,45,0.00,3,,309
2015-1-10,7,0,-6,-6,-11,-16,60,47,38,1027,1020,1016,16,16,16,48,23,55,0.00,1,,190
2015-1-11,6,-1,-8,-4,-9,-14,64,57,49,1027,1018,1015,16,16,16,39,13,47,0.00,0,,158
2015-1-12,-3,-7,-9,-12,-17,-19,63,46,34,1037,1034,1027,16,16,16,35,26,47,0.00,3,,27
2015-1-13,-3,-7,-10,-15,-18,-19,53,42,31,1035,1031,1028,16,16,16,16,13,,0.00,7,,126
2015-1-14,5,-1,-7,-8,-11,-15,68,49,39,1028,1025,1022,16,16,16,16,8,,0.00,3,,299
2015-1-15,12,2,-8,-4,-8,-14,68,52,33,1025,1023,1021,16,16,16,23,13,27,0.00,0,,297
2015-1-16,17,6,-5,-2,-7,-11,69,49,24,1023,1015,1008,16,16,16,23,10,,0.00,0,,215
2015-1-17,13,6,-2,-2,-6,-11,60,44,24,1022,1016,1008,16,16,16,48,21,64,0.00,0,,308
2015-1-18,17,6,-5,-3,-8,-12,69,45,18,1021,1016,1013,16,16,16,34,13,47,0.00,0,,294
2015-1-19,16,7,-1,1,-4,-9,60,49,34,1017,1016,1015,16,16,16,32,13,37,0.00,0,,316
2015-1-20,12,6,-1,0,-4,-9,75,52,28,1023,1020,1017,16,16,16,32,14,42,0.00,5,,305
2015-1-21,7,2,-2,-5,-8,-9,64,52,34,1028,1025,1022,16,16,16,24,14,,0.00,3,,323
2015-1-22,6,0,-6,-7,-9,-12,68,55,36,1032,1029,1026,16,16,16,16,11,,0.00,0,,292
2015-1-23,11,0,-10,-4,-9,-16,68,51,26,1026,1020,1016,16,16,16,24,11,35,0.00,1,,284
2015-1-24,16,6,-3,3,-4,-9,69,49,22,1020,1015,1010,16,16,16,47,21,55,0.00,1,,286
2015-1-25,11,4,-2,-1,-5,-9,64,48,35,1020,1017,1012,16,16,16,52,32,66,0.00,0,,325
2015-1-26,22,10,-2,2,-3,-9,65,46,22,1020,1018,1017,16,16,16,37,14,48,0.00,0,,294
2015-1-27,29,13,-2,1,-3,-7,69,42,11,1019,1016,1013,16,16,16,29,10,37,0.00,0,,250
2015-1-28,22,12,3,2,-2,-3,65,40,20,1020,1012,1009,16,16,16,47,23,64,0.00,0,,289
2015-1-29,9,1,-6,-1,-6,-13,64,50,37,1033,1030,1020,16,16,16,48,26,58,0.00,0,,337
2015-1-30,7,-1,-8,-2,-7,-14,75,60,43,1033,1029,1023,16,16,8,32,11,39,0.00,4,,200
2015-1-31,4,2,0,1,-2,-4,81,74,70,1023,1014,1007,16,8,2,32,16,42,0.00,8,,164
2015-2-1,1,-6,-13,-4,-14,-21,70,57,49,1028,1020,1009,16,15,3,55,39,66,0.00,6,,337
2015-2-2,7,-4,-15,-4,-13,-22,67,56,42,1028,1021,1016,16,16,16,29,14,39,0.00,0,,205
2015-2-3,17,6,-4,3,-3,-8,75,60,37,1019,1014,1011,16,16,16,29,11,32,0.00,0,,207
2015-2-4,2,-4,-11,-2,-11,-17,75,61,46,1032,1025,1013,16,15,3,47,26,58,0.00,4,,37
