PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,17,8,0,4,-1,-7,76,54,32,1022,1020,1019,16,15,11,16,5,,0.00,0,,185
2015-1-2,16,8,1,6,2,-2,85,61,36,1023,1021,1019,16,15,11,19,5,,0.00,0,,49
2015-1-3,17,9,2,6,3,-1,85,61,36,1027,1025,1022,16,15,10,23,6,,0.00,0,,231
2015-1-4,18,11,3,6,3,1,85,62,39,1029,1027,1026,16,15,11,14,5,18,0.00,2,,129
2015-1-5,26,15,4,9,4,1,82,53,23,1026,1024,1022,16,16,16,14,5,,0.00,0,,136
2015-1-6,28,17,7,8,4,2,71,46,20,1024,1022,1020,16,16,16,14,4,,0.00,0,,167
2015-1-7,27,17,7,6,4,1,71,46,20,1022,1020,1018,16,16,16,16,5,19,0.00,2,,151
2015-1-8,24,17,9,9,7,4,72,57,41,1018,1017,1016,16,16,16,21,5,27,0.00,2,,145
2015-1-9,23,16,9,12,9,6,80,59,38,1018,1016,1015,16,16,16,26,5,45,T,4,Rain,74
2015-1-10,20,16,12,12,10,8,86,68,49,1016,1015,1014,16,13,3,19,4,,4.83,8,Rain,140
2015-1-11,20,16,11,13,11,9,89,74,59,1021,1019,1016,16,7,0,21,5,24,2.54,5,Fog-Rain,171
2015-1-12,19,14,8,13,8,6,93,72,51,1023,1021,1020,16,8,0,27,9,,0.00,1,Fog,71
2015-1-13,22,15,8,9,7,5,80,58,35,1022,1020,1018,16,15,10,24,7,40,0.00,0,,311
2015-1-14,22,14,6,9,6,4,83,59,35,1025,1023,1021,16,16,16,23,5,,0.00,1,,151
2015-1-15,21,13,4,8,4,2,85,61,37,1026,1025,1024,16,16,16,19,8,27,0.00,0,,185
2015-1-16,21,13,5,11,6,3,83,62,40,1025,1023,1020,16,16,14,29,10,,0.00,0,,290
2015-1-17,26,17,8,12,6,2,80,54,28,1024,1022,1021,16,16,14,27,6,,0.00,0,,180
2015-1-18,23,16,8,12,9,5,89,65,41,1025,1023,1022,16,12,0,14,7,23,0.00,3,Fog,193
2015-1-19,24,16,7,13,9,4,86,65,43,1023,1021,1019,16,13,0,37,11,43,0.00,1,Fog-Rain,285
2015-1-20,21,15,9,12,9,4,89,71,53,1019,1017,1015,16,15,10,29,9,,0.00,2,Rain,283
2015-1-21,21,13,4,8,5,3,83,59,34,1021,1018,1015,16,16,16,21,4,,0.00,0,,147
2015-1-22,22,14,6,9,4,1,83,59,34,1025,1023,1021,16,16,16,21,5,24,0.00,3,,120
2015-1-23,24,14,3,4,2,-1,70,45,19,1026,1024,1022,16,16,16,19,5,23,0.00,0,,175
2015-1-24,28,16,4,7,1,-1,65,42,18,1022,1020,1017,16,16,16,24,6,27,0.00,0,,142
2015-1-25,27,17,6,4,1,-3,58,37,16,1019,1017,1015,16,16,10,21,6,26,0.00,0,,180
2015-1-26,24,17,9,10,4,1,55,39,23,1019,1016,1014,16,16,16,21,6,31,T,6,Rain,154
2015-1-27,22,17,13,13,12,9,86,67,47,1023,1022,1020,16,14,2,23,5,42,0.76,6,Rain,210
2015-1-28,22,16,9,12,10,7,93,69,44,1023,1022,1019,16,8,0,13,5,,0.00,5,Fog,86
2015-1-29,24,17,9,12,9,7,86,64,41,1020,1018,1016,16,16,14,23,6,26,0.00,2,,186
2015-1-30,21,14,7,12,9,5,89,72,55,1016,1013,1012,16,10,0,37,10,43,T,4,Fog-Rain,240
2015-1-31,24,17,9,11,9,7,93,66,38,1018,1013,1011,16,8,0,29,7,37,0.00,4,Fog,352
2015-2-1,23,14,6,12,8,4,89,63,37,1021,1020,1018,16,14,11,19,5,27,0.00,1,,239
2015-2-2,26,16,7,11,7,3,86,58,29,1020,1019,1016,16,16,13,23,6,,0.00,1,,159
2015-2-3,26,16,6,11,7,3,89,59,29,1020,1018,1017,16,11,0,21,6,24,0.00,2,Fog,114
2015-2-4,21,13,6,12,8,5,93,76,58,1021,1019,1018,16,5,0,23,5,27,0.00,5,Fog,7
2015-2-5,22,14,7,13,11,7,93,77,60,1021,1018,1015,16,9,0,19,7,23,0.00,6,Fog,269
2015-2-6,22,16,8,12,9,6,86,64,41,1020,1018,1016,16,14,8,37,14,48,T,4,,166
2015-2-7,20,17,14,16,14,13,90,79,67,1021,1020,1018,16,11,2,26,13,34,7.87,7,Rain,154
2015-2-8,24,18,12,17,14,10,93,79,64,1022,1020,1018,16,12,0,34,14,43,2.03,6,Fog-Rain,147
2015-2-9,21,16,12,14,12,9,93,75,57,1024,1022,1020,16,9,0,35,13,40,T,5,Fog-Rain,308
2015-2-10,24,17,9,9,7,6,77,55,33,1020,1017,1014,16,16,16,47,20,56,0.00,0,,7
2015-2-11,27,20,12,12,8,7,72,50,28,1020,1017,1015,16,16,16,16,6,,0.00,1,,142
2015-2-12,28,18,7,7,5,3,80,51,21,1021,1020,1019,16,16,16,24,7,29,0.00,0,,143
2015-2-13,29,18,7,9,5,2,71,46,20,1020,1018,1017,16,16,16,26,6,31,0.00,0,,135
2015-2-14,28,18,7,11,6,4,83,56,28,1019,1017,1016,16,16,16,23,6,26,0.00,3,,180
2015-2-15,24,16,7,13,9,4,93,66,38,1017,1016,1014,16,11,1,19,5,24,0.00,3,Fog,311
2015-2-16,18,14,11,12,11,9,100,86,72,1018,1016,1015,11,5,0,19,7,23,0.00,7,Fog,314
2015-2-17,16,14,13,10,10,9,77,73,69,1022,1020,1017,16,11,6,14,5,,0.00,8,,290
2015-2-18,21,17,12,12,11,9,86,72,58,1023,1021,1019,13,10,6,21,7,26,0.00,6,,316
2015-2-19,20,17,13,12,11,9,86,73,59,1021,1019,1017,11,7,5,23,8,27,0.00,7,,310
2015-2-20,21,17,14,12,12,10,86,73,59,1017,1015,1013,10,7,5,23,7,,0.00,6,,321
2015-2-21,20,16,12,11,11,9,86,72,58,1016,1014,1012,14,9,5,23,8,29,T,7,,86
2015-2-22,18,13,8,11,9,7,93,75,56,1012,1011,1009,16,16,11,27,8,35,1.78,7,Rain,204
2015-2-23,18,12,6,9,3,-1,93,63,32,1023,1017,1012,16,16,16,24,10,,0.00,1,,172
2015-2-24,21,12,3,8,3,1,85,56,26,1028,1025,1023,16,16,16,34,12,,0.00,0,,324
2015-2-25,21,12,3,10,6,-2,89,57,24,1025,1021,1018,16,13,1,40,13,45,0.00,1,,286
2015-2-26,22,14,5,11,8,4,96,70,44,1018,1014,1012,16,10,1,40,11,48,0.00,4,,302
2015-2-27,19,13,8,11,9,7,100,78,56,1012,1011,1009,16,8,0,50,16,60,0.00,5,Fog,310
2015-2-28,18,12,7,8,7,5,92,69,46,1013,1011,1009,16,15,6,26,8,32,1.52,5,Rain,198
2015-3-1,18,12,6,9,7,4,93,71,48,1015,1014,1013,16,15,8,27,5,32,1.02,5,Rain-Hail-Thunderstorm,62
2015-3-2,15,9,4,9,6,3,89,76,62,1015,1013,1012,16,15,5,19,7,24,6.60,4,Rain-Hail-Thunderstorm,150
2015-3-3,19,11,3,9,6,2,92,70,48,1017,1015,1013,16,16,14,37,12,43,0.00,1,,297
2015-3-4,23,14,4,7,5,2,93,62,31,1023,1019,1016,16,14,1,26,7,29,0.00,0,,192
2015-3-5,25,14,4,9,3,-6,82,48,13,1026,1024,1023,16,16,16,29,8,34,0.00,0,,123
2015-3-6,30,17,4,5,0,-9,79,44,8,1023,1021,1017,16,16,16,35,11,47,0.00,0,,346
2015-3-7,28,17,6,11,4,-1,71,44,16,1019,1017,1015,16,16,16,23,6,27,0.00,0,,324
2015-3-8,22,13,5,12,8,3,100,79,57,1019,1017,1015,16,8,0,29,8,37,0.00,4,Fog,284
2015-3-9,23,17,10,12,10,8,96,73,49,1017,1015,1012,16,8,0,23,6,26,0.00,5,Fog,291
2015-3-10,22,15,7,12,9,6,96,75,53,1017,1015,1013,16,9,0,24,6,29,0.00,5,Fog,301
2015-3-11,20,14,9,12,11,8,89,71,52,1023,1020,1015,16,12,5,29,10,35,T,5,Rain,310
2015-3-12,28,18,7,10,8,6,93,60,26,1023,1020,1017,16,11,0,42,16,55,0.00,1,Fog,21
2015-3-13,32,21,9,12,8,3,80,49,17,1020,1019,1017,16,16,16,29,8,34,0.00,2,,203
2015-3-14,35,23,12,9,6,-4,77,43,8,1019,1017,1016,16,16,16,27,7,34,0.00,2,,157
2015-3-15,30,21,12,8,7,4,62,41,20,1019,1017,1015,16,16,16,34,7,39,0.00,3,,300
2015-3-16,26,18,10,12,8,6,78,56,33,1016,1015,1013,16,16,16,24,7,,0.00,3,,306
2015-3-17,22,17,12,12,11,8,86,67,47,1017,1016,1015,16,15,11,35,17,40,0.00,4,,304
