MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-1,-8,-15,-11,-14,-16,91,69,46,1025,1021,1016,16,16,16,16,3,18,0.00,3,,316
2015-1-2,-5,-11,-17,-11,-14,-18,92,77,62,1029,1025,1017,16,16,16,21,6,21,0.00,0,,304
2015-1-3,-2,-9,-17,-9,-13,-17,96,77,58,1031,1025,1017,16,16,16,16,5,19,0.00,1,,292
2015-1-4,0,-8,-16,-7,-10,-16,92,78,63,1039,1035,1029,16,16,16,23,6,26,0.00,1,,289
2015-1-5,-2,-8,-14,-6,-9,-13,100,88,75,1041,1039,1037,16,16,16,19,4,19,0.00,0,,304
2015-1-6,2,-5,-12,-4,-8,-13,92,78,64,1042,1038,1035,16,16,16,14,4,16,0.00,0,,316
2015-1-7,2,-4,-10,-3,-6,-11,92,81,69,1040,1036,1031,16,16,16,19,5,19,0.00,0,,312
2015-1-8,3,-3,-9,-2,-5,-8,100,88,75,1031,1027,1024,16,14,4,16,4,19,0.00,0,,326
2015-1-9,4,-2,-9,-1,-4,-10,100,88,76,1028,1024,1021,16,13,1,16,4,19,0.00,0,,297
2015-1-10,3,-2,-6,-1,-4,-7,100,88,76,1024,1021,1018,16,10,1,19,4,21,0.00,5,Fog,320
2015-1-11,3,2,0,2,1,-1,100,93,85,1025,1020,1017,16,8,2,14,4,16,1.52,8,Snow,318
2015-1-12,4,3,1,2,2,1,100,93,85,1025,1022,1018,16,13,6,13,4,16,0.51,8,Rain,123
2015-1-13,4,2,0,3,1,0,100,96,92,1021,1018,1017,16,10,3,16,7,19,1.52,8,Rain-Snow,308
2015-1-14,8,2,-3,1,-2,-4,100,79,58,1029,1024,1020,16,10,0,13,2,14,0.00,2,Fog,319
2015-1-15,7,3,-2,0,-2,-4,92,75,57,1034,1031,1028,16,16,16,16,4,21,0.00,0,,247
2015-1-16,6,2,-3,1,-1,-4,100,83,65,1031,1027,1023,16,16,16,23,5,26,0.00,1,,308
2015-1-17,8,2,-4,2,-1,-4,100,77,53,1033,1029,1025,16,16,14,14,2,16,0.00,0,,338
2015-1-18,8,3,-3,1,-1,-4,100,79,58,1032,1029,1027,16,16,16,13,3,16,0.00,0,,249
2015-1-19,4,1,-3,1,-2,-4,96,83,70,1028,1025,1021,16,16,16,16,3,19,0.00,1,,325
2015-1-20,7,1,-5,1,-2,-5,100,81,62,1026,1023,1021,16,16,10,16,4,19,0.00,0,,318
2015-1-21,7,2,-4,-1,-6,-13,100,64,27,1027,1023,1019,16,16,14,48,11,58,0.00,1,,25
2015-1-22,3,-2,-8,-9,-11,-14,73,50,27,1033,1030,1027,16,16,16,19,5,23,0.00,0,,290
2015-1-23,5,-1,-7,-8,-10,-12,84,59,33,1032,1031,1028,16,16,16,13,4,16,0.00,0,,287
2015-1-24,7,-1,-8,-6,-8,-11,91,60,29,1034,1031,1027,16,16,16,16,3,19,0.00,0,,79
2015-1-25,9,1,-7,-4,-7,-8,92,62,31,1032,1030,1028,16,16,16,21,4,23,0.00,0,,316
2015-1-26,11,3,-6,-2,-4,-7,92,67,41,1033,1028,1025,16,16,16,19,6,26,0.00,0,,304
2015-1-27,12,4,-4,1,-2,-4,92,68,44,1029,1026,1023,16,16,16,16,3,18,T,3,Rain,308
2015-1-28,12,4,-4,2,-1,-4,92,69,46,1027,1025,1023,16,16,16,14,5,18,0.00,0,,284
2015-1-29,11,4,-3,2,0,-3,92,70,48,1029,1026,1023,16,16,16,19,5,21,T,3,,303
2015-1-30,7,5,3,6,4,2,100,88,76,1023,1017,1013,16,14,8,14,4,19,T,8,Rain,137
2015-1-31,8,5,2,4,3,2,100,88,76,1018,1013,1012,16,16,8,13,4,16,7.62,7,Rain,288
2015-2-1,10,4,-2,4,1,-2,100,71,42,1023,1020,1018,16,9,0,13,4,16,0.00,5,Fog,276
2015-2-2,12,6,-2,3,0,-2,100,72,44,1024,1021,1019,16,16,16,14,5,16,0.00,2,,312
2015-2-3,11,5,-2,4,1,-1,100,75,50,1022,1020,1017,16,16,16,14,3,18,0.00,1,,310
2015-2-4,15,7,-2,4,2,-2,100,72,43,1022,1020,1018,16,16,16,16,4,21,0.00,0,,295
2015-2-5,14,7,-1,3,1,-2,96,65,33,1026,1023,1021,16,16,14,16,3,19,0.00,0,,226
2015-2-6,16,6,-4,1,-1,-3,92,62,32,1026,1023,1019,16,16,16,16,3,18,0.00,0,,296
2015-2-7,18,8,-2,1,-1,-4,82,54,25,1021,1018,1015,16,16,16,13,5,16,0.00,1,,330
2015-2-8,18,8,-2,1,-1,-3,82,53,24,1024,1021,1017,16,16,16,16,6,26,0.00,0,,298
