EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-2,-5,-8,-7,-10,-13,77,70,62,1016,1009,1004,16,14,1,35,20,53,T,8,Snow,263
2015-1-2,-4,-8,-13,-13,-14,-15,91,71,50,1028,1024,1017,16,16,16,24,7,32,0.00,5,,253
2015-1-3,0,-6,-12,0,-3,-14,100,87,73,1027,1017,1009,16,6,1,23,9,31,5.08,7,Snow,126
2015-1-4,0,-7,-13,-1,-7,-17,100,83,66,1020,1009,1003,16,6,1,35,16,48,4.57,8,Fog-Snow,329
2015-1-5,-13,-15,-17,-17,-19,-21,83,69,55,1030,1026,1019,16,14,3,37,15,50,0.25,5,Snow,253
2015-1-6,-9,-13,-17,-13,-16,-20,84,69,53,1027,1017,1012,16,13,2,29,16,42,T,7,Snow,249
2015-1-7,-12,-16,-19,-15,-20,-24,80,68,56,1031,1025,1013,16,7,0,45,22,64,2.54,6,Fog-Snow,318
2015-1-8,-9,-12,-15,-14,-17,-19,83,68,53,1026,1013,1003,16,11,2,34,22,43,2.54,6,Snow,218
2015-1-9,-11,-14,-17,-15,-18,-21,87,73,58,1021,1012,1001,16,12,1,29,15,40,0.25,5,Snow,257
2015-1-10,-8,-13,-18,-13,-17,-21,79,67,54,1025,1023,1021,16,16,11,34,15,48,0.00,4,,217
2015-1-11,-3,-6,-9,-7,-10,-14,88,78,67,1025,1024,1022,16,15,8,21,9,29,T,8,Snow,214
2015-1-12,-5,-11,-17,-7,-13,-20,92,75,58,1043,1030,1023,16,10,1,40,16,50,0.51,7,Snow,320
2015-1-13,-9,-16,-23,-14,-20,-26,91,76,61,1045,1041,1034,16,16,16,16,6,21,0.00,4,,230
2015-1-14,-5,-15,-26,-10,-16,-28,88,75,62,1032,1026,1020,16,16,13,19,8,24,T,6,,211
2015-1-15,1,-3,-7,-3,-7,-12,88,78,68,1020,1012,1006,16,13,1,35,17,50,0.51,7,Fog-Snow,237
2015-1-16,-4,-13,-22,-11,-16,-24,83,69,55,1027,1020,1011,16,12,1,32,13,47,0.25,5,Snow,335
2015-1-17,3,-8,-19,-1,-8,-22,88,80,72,1024,1009,997,16,15,11,42,18,52,0.00,7,,172
2015-1-18,3,0,-3,1,-3,-7,89,79,69,1013,1004,997,16,12,2,24,13,32,1.02,8,Rain-Snow,293
2015-1-19,-3,-10,-17,-7,-12,-18,91,77,62,1019,1016,1012,16,14,3,26,11,35,T,6,Snow,342
2015-1-20,-5,-12,-19,-10,-15,-21,96,81,65,1021,1018,1015,16,15,3,19,2,21,T,5,Snow,56
2015-1-21,-4,-12,-19,-8,-15,-21,95,82,68,1025,1021,1019,16,13,3,14,1,16,T,6,Snow,103
2015-1-22,-1,-8,-16,-6,-12,-18,92,71,50,1029,1026,1023,16,16,16,24,7,32,T,6,,247
2015-1-23,3,-2,-6,-3,-6,-9,85,69,52,1024,1013,1006,16,14,5,27,16,39,T,6,Snow,233
2015-1-24,3,-2,-8,0,-4,-13,89,76,63,1008,1002,998,16,15,6,39,16,50,0.25,7,Snow,291
2015-1-25,-8,-13,-19,-13,-16,-22,87,73,59,1021,1016,1008,16,16,16,27,10,34,T,3,,3
2015-1-26,-7,-14,-21,-10,-16,-23,91,79,67,1020,1017,1015,16,12,2,21,6,26,0.25,7,Snow,92
2015-1-27,-6,-12,-19,-10,-14,-22,88,72,56,1026,1022,1018,16,14,4,23,10,24,T,3,Snow,23
2015-1-28,-2,-11,-21,-9,-16,-23,88,62,36,1028,1025,1019,16,16,16,24,7,32,0.00,3,,152
2015-1-29,-1,-5,-9,-2,-7,-12,96,76,55,1021,1011,1007,16,7,0,37,16,53,10.92,8,Fog-Rain-Snow,271
2015-1-30,-9,-13,-17,-13,-16,-18,88,72,55,1033,1028,1020,16,8,1,42,17,56,0.51,7,Snow,326
2015-1-31,-3,-8,-14,-8,-12,-17,92,80,68,1028,1024,1020,16,12,2,29,12,39,0.76,8,Snow,236
2015-2-1,-9,-12,-14,-12,-16,-17,88,82,76,1029,1024,1018,16,5,2,32,20,37,T,8,Snow,35
2015-2-2,-10,-14,-19,-16,-19,-23,88,65,42,1020,1017,1014,16,12,3,29,15,37,T,5,Snow,340
2015-2-3,-4,-9,-14,-12,-14,-17,80,63,46,1019,1017,1016,16,16,10,23,9,31,T,3,Snow,237
2015-2-4,-6,-11,-17,-11,-14,-23,96,70,43,1025,1017,1013,16,12,3,34,11,45,0.51,6,Snow,295
2015-2-5,-8,-14,-21,-14,-19,-23,87,69,51,1030,1025,1015,16,16,16,27,12,39,0.00,2,,239
2015-2-6,-2,-6,-10,-8,-12,-14,74,62,50,1019,1016,1014,16,15,4,26,13,35,T,7,Snow,266
2015-2-7,-4,-5,-7,-6,-7,-9,92,83,74,1018,1013,1010,16,7,1,34,14,42,5.33,8,Snow,77
2015-2-8,-6,-8,-11,-7,-11,-13,92,86,80,1021,1014,1008,8,3,0,34,21,42,0.25,8,Fog-Rain-Snow,49
2015-2-9,-9,-13,-16,-13,-14,-17,92,83,73,1026,1023,1020,16,10,2,24,13,29,0.51,5,Snow,349
2015-2-10,-5,-13,-21,-9,-14,-22,100,81,62,1028,1026,1021,16,16,16,23,7,26,T,1,,131
2015-2-11,-2,-7,-12,-6,-9,-17,84,72,59,1020,1013,1008,16,12,1,34,16,50,1.02,8,Snow,230
