MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-9,-17,-24,-17,-22,-27,86,72,58,1035,1032,1028,16,16,16,11,3,11,0.00,0,,154
2015-1-2,-1,-12,-22,-3,-12,-24,92,79,65,1029,1019,1009,16,12,2,14,3,18,0.25,6,Snow,346
2015-1-3,-3,-9,-16,-5,-11,-17,92,83,73,1028,1019,1010,16,10,0,21,5,24,0.76,7,Fog-Snow,340
2015-1-4,-4,-8,-12,-6,-9,-14,92,86,80,1029,1024,1019,16,8,2,10,2,13,0.25,8,Snow,165
2015-1-5,7,1,-4,0,-2,-5,88,73,58,1026,1019,1012,16,16,16,32,15,50,T,8,Rain,294
2015-1-6,8,3,-3,0,-2,-5,92,75,58,1033,1028,1025,16,16,16,26,8,39,0.00,2,,219
2015-1-7,0,-4,-9,-4,-8,-11,92,81,69,1037,1032,1023,16,16,14,23,5,26,0.00,1,,140
2015-1-8,-2,-7,-13,-4,-11,-15,96,88,80,1040,1030,1023,16,10,0,29,6,37,0.00,5,Fog,358
2015-1-9,-7,-12,-17,-10,-14,-19,95,84,73,1035,1029,1023,16,16,16,10,1,11,0.00,0,,141
2015-1-10,1,-5,-11,-5,-8,-12,92,78,63,1022,1019,1012,16,16,16,11,1,16,0.00,5,,130
2015-1-11,1,-2,-5,-2,-3,-6,92,84,75,1025,1019,1015,16,7,1,11,4,13,1.27,8,Snow,347
2015-1-12,0,-3,-6,-3,-4,-6,92,85,78,1028,1024,1021,16,13,3,19,5,21,T,8,Snow,333
2015-1-13,-1,-8,-16,-6,-10,-17,92,75,58,1035,1032,1027,16,16,10,19,5,23,0.00,2,,336
2015-1-14,-3,-11,-18,-9,-16,-19,100,84,68,1037,1031,1025,16,9,0,10,2,11,0.00,3,Fog,155
2015-1-15,-2,-10,-18,-9,-14,-19,92,77,62,1035,1030,1024,16,16,11,14,4,16,0.00,1,,146
2015-1-16,4,-2,-8,-2,-6,-11,84,69,54,1024,1017,1012,16,16,14,39,11,53,T,6,,301
2015-1-17,2,-6,-14,-3,-9,-16,88,66,43,1031,1025,1019,16,16,16,23,6,27,0.00,3,,340
2015-1-18,8,3,-3,1,-2,-6,79,71,62,1021,1016,1013,16,16,8,47,9,60,1.52,5,Rain,290
2015-1-19,2,-3,-8,-3,-6,-8,88,70,51,1026,1023,1020,16,13,3,27,9,37,0.25,5,Snow,314
2015-1-20,0,-4,-9,-8,-9,-12,84,64,43,1030,1028,1023,16,16,16,21,7,26,0.00,6,,323
2015-1-21,-2,-8,-15,-11,-13,-17,88,67,46,1034,1032,1029,16,16,13,16,6,19,0.00,1,,334
2015-1-22,0,-7,-15,-8,-12,-17,88,68,47,1033,1031,1024,16,16,16,14,4,18,0.00,2,,83
2015-1-23,6,0,-6,-3,-6,-8,92,71,49,1035,1031,1027,16,16,16,14,7,19,0.00,4,,338
2015-1-24,7,2,-4,1,-1,-5,89,77,65,1027,1025,1023,16,16,16,21,7,31,0.00,7,,310
2015-1-25,12,5,-2,1,-2,-4,92,64,35,1030,1026,1023,16,16,16,16,6,24,0.00,0,,120
2015-1-26,12,4,-5,-1,-3,-7,96,67,38,1028,1024,1020,16,16,16,16,3,18,0.00,0,,138
2015-1-27,10,3,-4,-1,-3,-6,92,67,42,1021,1019,1015,16,16,16,11,2,14,0.00,1,,137
2015-1-28,6,0,-6,-2,-4,-7,92,69,45,1033,1026,1018,16,16,16,26,9,34,0.00,1,,333
2015-1-29,4,-2,-9,-5,-7,-11,92,70,48,1036,1032,1029,16,16,16,11,3,11,0.00,0,,140
2015-1-30,4,-3,-10,-6,-8,-12,92,66,40,1031,1027,1021,16,16,16,19,5,19,0.00,0,,148
2015-1-31,3,-3,-10,-7,-9,-12,88,66,44,1026,1023,1017,16,16,16,29,7,37,0.00,2,,285
2015-2-1,1,-6,-12,-4,-8,-14,92,80,68,1028,1021,1015,16,14,2,13,3,14,T,5,Snow,355
2015-2-2,4,1,-4,-2,-5,-8,85,63,40,1020,1015,1010,16,16,6,34,6,50,T,5,Snow,256
2015-2-3,4,1,-3,-3,-5,-7,92,68,44,1019,1015,1011,16,15,4,32,11,50,T,6,Snow,276
2015-2-4,3,-3,-8,-1,-5,-10,100,80,59,1024,1019,1017,16,10,0,11,3,14,0.51,6,Fog-Snow,156
2015-2-5,11,4,-2,-3,-4,-8,92,59,26,1017,1013,1010,16,16,14,39,8,52,0.00,2,,310
2015-2-6,13,6,-1,-3,-4,-7,78,54,29,1012,1007,1004,16,16,16,40,12,52,0.00,2,,149
2015-2-7,10,7,3,2,-1,-3,70,56,42,1012,1006,1001,16,16,16,39,15,60,T,6,Rain,228
2015-2-8,11,6,1,-2,-4,-7,75,53,30,1020,1017,1014,16,16,16,23,8,34,0.00,3,,268
2015-2-9,9,5,1,2,-1,-3,85,69,53,1015,1012,1009,16,16,11,39,9,48,1.27,6,Rain,191
2015-2-10,7,4,1,-1,-1,-3,89,71,53,1029,1022,1014,16,16,16,24,9,32,T,7,Rain,319
2015-2-11,9,2,-4,-1,-3,-6,92,66,39,1031,1028,1025,16,16,16,21,4,27,0.00,1,,207
2015-2-12,12,5,-3,-3,-4,-5,85,57,29,1029,1026,1024,16,16,16,23,6,26,0.00,5,,334
2015-2-13,13,5,-4,-2,-4,-6,85,60,35,1032,1027,1023,16,16,16,14,7,16,0.00,0,,45
2015-2-14,12,4,-3,-1,-4,-7,92,59,26,1024,1021,1018,16,16,16,32,8,39,0.00,2,,331
2015-2-15,4,1,-2,-3,-6,-11,85,60,35,1026,1024,1022,16,15,2,29,9,37,T,6,Snow,314
2015-2-16,0,-4,-9,-4,-9,-13,85,62,39,1032,1028,1022,16,14,3,27,9,34,T,6,Snow,317
2015-2-17,4,-4,-12,-8,-11,-13,92,60,27,1030,1026,1020,16,16,16,19,6,21,0.00,1,,251
