EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-1,-5,-9,-9,-14,-16,61,49,36,1017,1014,1011,16,16,16,35,22,48,0.00,5,,232
2015-1-2,-1,-3,-4,-4,-7,-9,92,75,58,1031,1021,1014,16,9,1,35,14,43,0.76,8,Fog-Snow,290
2015-1-3,2,-2,-7,2,-4,-9,100,84,68,1032,1025,1014,16,8,0,34,17,48,19.56,6,Fog-Rain-Snow,153
2015-1-4,10,6,1,8,4,-4,100,79,57,1015,1007,1001,16,10,0,47,18,71,1.78,7,Fog-Rain-Snow,203
2015-1-5,1,-6,-13,-4,-14,-20,73,61,49,1029,1020,1009,16,14,2,45,22,69,T,8,Snow,299
2015-1-6,-10,-12,-13,-13,-14,-17,84,79,73,1028,1020,1013,16,7,1,21,10,24,2.03,7,Snow,232
2015-1-7,-11,-14,-18,-14,-19,-23,83,68,52,1025,1015,1008,16,7,0,42,25,61,1.02,8,Fog-Snow,293
2015-1-8,-11,-15,-20,-18,-20,-22,87,69,50,1027,1023,1015,16,15,4,29,18,42,T,3,Snow,230
2015-1-9,-6,-9,-13,-12,-14,-19,88,67,45,1021,1012,1007,16,9,1,47,25,58,1.27,6,Snow,229
2015-1-10,-11,-14,-17,-18,-20,-21,75,63,50,1033,1028,1022,16,16,16,29,18,37,0.00,1,,239
2015-1-11,-1,-7,-13,-8,-16,-20,63,48,32,1034,1032,1029,16,16,16,24,14,35,T,8,,199
2015-1-12,0,-3,-7,-1,-3,-9,100,79,58,1028,1023,1019,16,6,1,39,12,48,11.68,8,Fog-Rain-Snow,265
2015-1-13,-7,-13,-19,-12,-18,-22,95,76,57,1040,1035,1027,16,14,3,34,15,42,T,2,Snow,360
2015-1-14,-5,-13,-21,-9,-14,-22,92,80,67,1035,1026,1020,16,15,10,16,9,23,0.00,4,,173
2015-1-15,-4,-9,-14,-9,-13,-16,100,78,55,1022,1018,1010,16,8,0,23,10,27,0.00,5,Fog,266
2015-1-16,-3,-8,-14,-5,-11,-18,88,71,53,1024,1012,1007,16,8,0,40,20,60,0.25,7,Fog-Snow,306
2015-1-17,-5,-11,-17,-11,-16,-18,95,70,44,1028,1023,1017,16,16,16,27,13,40,0.00,0,,194
2015-1-18,3,-1,-6,1,-2,-10,100,84,68,1016,1009,1005,16,12,3,26,13,35,0.25,4,Rain,219
2015-1-19,0,-2,-4,-3,-5,-9,92,82,72,1012,1009,1005,16,13,2,32,16,47,0.25,8,Snow,298
2015-1-20,-4,-8,-12,-9,-11,-13,84,72,60,1019,1014,1011,16,16,13,23,13,32,T,5,Snow,322
2015-1-21,-4,-10,-16,-7,-13,-17,100,79,57,1022,1019,1016,16,12,1,13,4,14,0.51,5,Snow,112
2015-1-22,-3,-6,-9,-6,-8,-11,100,79,57,1028,1022,1017,16,11,3,23,9,27,0.25,6,Snow,304
2015-1-23,-2,-7,-12,-6,-9,-13,92,81,69,1028,1022,1012,16,15,8,21,11,26,0.00,4,,222
2015-1-24,2,-1,-4,-3,-4,-7,92,81,69,1010,1000,993,16,8,1,29,11,39,0.51,8,Snow,279
2015-1-25,-1,-7,-13,-3,-11,-18,92,77,62,1017,1007,998,16,15,8,37,19,55,T,4,Snow,318
2015-1-26,-8,-11,-14,-10,-14,-19,92,81,69,1017,1012,1009,16,6,0,21,13,26,4.32,8,Fog-Snow,64
2015-1-27,-9,-11,-14,-12,-15,-21,88,72,55,1015,1011,1007,16,16,13,37,20,47,T,3,,343
2015-1-28,-6,-9,-14,-15,-17,-19,80,61,41,1027,1021,1014,16,16,16,35,18,50,0.00,0,,326
2015-1-29,-1,-8,-16,-7,-12,-17,92,60,28,1026,1016,1008,16,11,1,35,16,52,2.29,6,Snow,169
2015-1-30,-3,-8,-13,-5,-9,-17,96,82,68,1021,1013,1008,14,4,0,39,21,53,2.29,8,Fog-Snow,304
2015-1-31,-9,-13,-17,-15,-17,-19,88,75,61,1025,1022,1018,16,12,1,45,18,61,T,5,Snow,317
2015-2-1,-4,-8,-12,-6,-8,-14,92,83,73,1022,1017,1008,16,6,1,24,11,27,3.81,8,Snow,47
2015-2-2,-4,-9,-16,-4,-11,-19,100,88,76,1016,1001,994,16,3,0,42,22,60,21.08,8,Fog-Snow,345
2015-2-3,-7,-12,-18,-15,-17,-19,91,69,47,1024,1020,1013,16,14,3,27,14,34,T,3,Snow,257
2015-2-4,0,-4,-9,-2,-8,-14,100,78,56,1023,1016,1010,16,7,1,32,14,43,5.84,8,Fog-Snow,204
2015-2-5,-4,-11,-18,-6,-13,-22,96,77,57,1024,1017,1011,16,8,0,37,19,53,1.52,6,Fog-Snow,324
2015-2-6,-7,-13,-19,-14,-18,-22,79,65,51,1023,1019,1014,16,15,3,32,15,45,T,5,Snow,248
2015-2-7,-2,-6,-11,-7,-9,-14,88,76,63,1019,1015,1012,16,11,1,16,9,23,1.52,8,Fog-Snow,177
2015-2-8,4,1,-3,0,-4,-8,100,76,52,1012,1009,1007,16,13,1,19,10,26,2.79,8,Rain-Snow,146
2015-2-9,-2,-4,-7,-3,-7,-8,100,94,88,1018,1013,1009,16,4,0,29,9,37,8.13,8,Fog-Snow,74
2015-2-10,-5,-7,-9,-8,-9,-10,92,87,81,1022,1020,1016,16,13,8,26,17,34,T,8,,342
2015-2-11,-2,-6,-11,-4,-8,-12,100,81,62,1021,1014,1007,16,13,1,19,8,23,1.02,6,Snow,196
2015-2-12,-3,-10,-18,-4,-11,-22,92,80,67,1016,1008,1004,16,7,1,39,19,55,1.52,8,Fog-Snow,312
2015-2-13,-13,-16,-19,-20,-22,-23,86,66,45,1023,1018,1013,16,8,1,29,15,40,1.27,6,Fog-Snow,310
2015-2-14,-7,-12,-17,-8,-13,-22,92,77,62,1016,1003,995,14,3,1,42,17,60,7.11,8,Fog-Snow,200
2015-2-15,-14,-18,-22,-18,-22,-25,87,73,59,1023,1013,1001,8,3,1,45,29,63,0.25,8,Snow,315
