EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-2,-6,-11,-13,-14,-16,64,49,34,1017,1012,1010,16,16,16,27,13,40,0.00,4,,201
2015-1-2,0,-5,-11,-10,-16,-20,62,46,29,1030,1017,1010,16,16,16,40,14,58,0.00,2,,262
2015-1-3,-9,-12,-16,-12,-18,-23,88,61,33,1041,1036,1031,16,10,0,26,11,32,4.83,5,Fog-Snow,35
2015-1-4,-3,-6,-10,-3,-7,-11,100,92,84,1030,1009,997,6,2,1,24,11,29,5.59,8,Fog-Rain-Snow,358
2015-1-5,1,-8,-17,-2,-13,-26,92,61,30,1022,1007,996,16,13,1,47,16,68,T,2,Snow,285
2015-1-6,-12,-18,-25,-18,-23,-27,76,63,49,1026,1022,1015,16,16,16,21,5,29,0.00,5,,249
2015-1-7,-9,-16,-23,-13,-18,-27,87,74,61,1015,1010,1006,16,11,1,47,8,63,T,6,Snow,297
2015-1-8,-13,-19,-26,-20,-28,-32,62,50,38,1024,1022,1017,16,16,16,42,18,55,0.00,1,,264
2015-1-9,-4,-10,-16,-7,-12,-20,88,71,54,1020,1012,1008,16,10,0,39,13,64,T,5,Snow,211
2015-1-10,-6,-13,-20,-16,-19,-22,86,61,35,1029,1024,1018,16,16,16,32,6,47,0.00,1,,255
2015-1-11,-4,-13,-22,-13,-18,-24,91,68,44,1036,1033,1029,16,16,16,23,6,27,0.00,4,,206
2015-1-12,-3,-4,-7,-4,-6,-14,92,72,52,1031,1023,1019,16,5,1,27,5,34,4.57,8,Fog-Snow,261
2015-1-13,-4,-14,-25,-9,-19,-26,82,66,50,1039,1033,1023,16,16,16,37,19,48,T,2,,345
2015-1-14,0,-14,-29,-13,-20,-29,100,73,45,1037,1031,1024,16,15,4,11,2,13,T,4,,340
2015-1-15,-5,-7,-8,-8,-10,-13,91,79,67,1023,1015,1007,16,12,2,19,8,21,T,8,Snow,351
2015-1-16,1,-7,-15,-4,-11,-23,92,69,46,1014,1004,999,16,9,0,45,11,61,0.76,5,Snow,273
2015-1-17,-11,-15,-20,-21,-24,-27,60,45,29,1028,1024,1015,16,16,16,29,14,45,0.00,2,,302
2015-1-18,8,-2,-12,5,-2,-21,96,71,46,1025,1017,1006,16,10,3,39,13,52,1.78,8,Rain,166
2015-1-19,9,5,0,8,3,-7,100,80,59,1004,999,998,16,12,3,40,23,60,9.14,7,Rain,216
2015-1-20,0,-6,-12,-7,-13,-18,69,54,38,1014,1006,1001,16,16,16,37,16,47,0.00,1,,281
2015-1-21,-3,-8,-13,-12,-16,-19,74,56,37,1026,1021,1014,16,16,16,24,6,29,0.00,1,,284
2015-1-22,-2,-7,-12,-13,-14,-15,92,64,35,1025,1023,1021,16,16,16,14,5,19,0.00,3,,351
2015-1-23,-2,-7,-12,-10,-13,-15,73,60,46,1022,1018,1011,16,16,16,21,13,29,0.00,5,,235
2015-1-24,-1,-5,-9,-3,-6,-11,92,73,53,1010,996,984,16,8,1,34,11,39,3.56,8,Fog-Snow,341
2015-1-25,1,-7,-15,-3,-11,-21,81,60,39,1016,999,985,16,13,1,39,16,53,T,3,Fog-Snow,281
2015-1-26,-11,-16,-22,-19,-21,-25,83,65,46,1026,1023,1017,16,16,16,34,10,40,0.00,5,,4
2015-1-27,-12,-13,-14,-13,-16,-21,88,69,50,1021,1007,1001,16,2,0,58,39,72,16.76,8,Fog-Snow,16
2015-1-28,-7,-12,-18,-12,-13,-19,84,71,58,1022,1010,1003,16,8,1,45,31,58,6.86,6,Snow,344
2015-1-29,-2,-13,-24,-14,-19,-25,95,64,32,1027,1024,1019,16,16,16,11,2,13,0.00,1,,150
2015-1-30,1,-6,-13,0,-6,-14,96,85,73,1018,1010,1005,16,4,0,35,5,42,8.64,8,Fog-Snow,20
2015-1-31,-2,-9,-16,-3,-13,-22,96,79,62,1011,1006,1004,16,4,0,47,31,60,5.84,6,Fog-Snow,318
2015-2-1,-9,-14,-20,-19,-22,-27,69,53,36,1022,1016,1011,16,16,16,39,19,52,0.00,1,Snow,300
2015-2-2,-16,-20,-24,-18,-22,-29,87,72,56,1022,1011,1002,16,4,0,40,16,53,19.56,6,Fog-Snow,9
2015-2-3,-10,-17,-24,-18,-21,-25,91,69,46,1024,1015,1003,16,13,1,39,21,52,T,2,Fog-Snow,290
2015-2-4,-2,-14,-27,-3,-12,-26,95,75,55,1025,1019,1012,16,11,1,27,3,35,1.52,7,Snow,188
2015-2-5,-2,-11,-19,-3,-9,-24,100,75,49,1016,1012,1010,16,6,1,47,10,58,6.60,6,Fog-Snow,321
2015-2-6,-11,-17,-23,-20,-23,-25,91,65,38,1019,1016,1015,16,16,16,27,14,37,0.00,2,,279
2015-2-7,-7,-14,-23,-14,-18,-23,91,67,43,1021,1017,1014,16,16,16,26,6,34,T,7,,315
2015-2-8,-11,-14,-17,-17,-19,-22,87,73,58,1026,1024,1021,16,7,2,32,21,40,2.03,8,Snow,21
2015-2-9,-13,-13,-14,-17,-18,-19,80,72,63,1029,1027,1025,16,14,6,29,21,37,T,8,Snow,26
2015-2-10,-7,-12,-18,-13,-17,-22,100,81,61,1025,1023,1020,16,15,8,23,14,31,T,5,Snow,11
2015-2-11,-8,-12,-17,-17,-19,-21,87,67,47,1024,1020,1015,16,16,16,32,16,40,0.00,3,,18
2015-2-12,-13,-16,-19,-17,-19,-22,91,80,68,1014,1010,1006,16,14,3,19,8,24,T,7,Snow,1
2015-2-13,-12,-17,-21,-17,-23,-29,87,64,41,1017,1011,1006,16,16,13,42,18,56,0.00,1,,308
2015-2-14,-11,-21,-31,-14,-21,-32,83,61,39,1018,1012,1006,16,10,1,21,5,27,0.76,6,Snow,59
2015-2-15,-11,-14,-18,-14,-17,-25,83,70,57,1006,1000,996,16,5,0,60,31,72,3.30,7,Fog-Snow,354
2015-2-16,-9,-14,-19,-19,-24,-27,59,49,38,1013,1004,999,16,15,6,53,27,69,0.00,3,Snow,300
2015-2-17,-8,-16,-24,-17,-22,-27,76,56,36,1017,1014,1013,16,16,16,16,5,23,0.00,5,,305
2015-2-18,-2,-12,-22,-16,-19,-23,91,59,26,1015,1012,1009,16,16,10,11,2,13,0.00,3,,20
2015-2-19,-3,-11,-19,-7,-10,-21,92,86,79,1007,1000,995,16,8,0,37,13,56,2.54,7,Fog-Snow,337
2015-2-20,-9,-13,-18,-15,-20,-24,80,62,44,1027,1008,996,16,16,11,37,16,56,0.25,4,Snow,270
2015-2-21,-2,-13,-26,-2,-15,-27,92,66,39,1033,1027,1021,16,11,1,35,10,45,5.33,4,Fog-Snow,191
2015-2-22,1,-7,-15,-2,-7,-14,100,82,63,1021,1020,1019,16,10,1,14,8,23,2.54,6,Fog-Snow,293
2015-2-23,-6,-14,-23,-7,-16,-30,92,62,32,1023,1018,1015,16,11,1,40,10,61,1.78,4,Fog-Snow,304
2015-2-24,-11,-20,-29,-14,-23,-31,91,63,34,1024,1020,1012,16,16,6,24,8,32,T,4,Snow,228
2015-2-25,-1,-8,-16,-8,-12,-18,91,65,38,1014,1007,1002,16,8,0,27,8,32,5.33,4,Fog-Snow,327
