EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,5,1,-3,-4,-10,-16,63,46,35,1021,1017,1014,16,16,16,34,23,60,0.00,3,,265
2015-1-2,6,3,0,-6,-8,-9,56,45,34,1031,1021,1015,16,16,16,32,21,48,0.00,1,,292
2015-1-3,7,2,-3,6,-3,-11,97,75,42,1038,1032,1022,16,9,1,37,19,50,9.65,5,Rain-Snow,83
2015-1-4,13,10,8,12,11,7,100,96,83,1020,1011,1002,16,4,0,42,26,63,14.22,8,Fog-Rain,216
2015-1-5,11,2,-8,7,-8,-21,81,48,22,1026,1015,1004,16,16,16,39,26,58,0.00,3,,291
2015-1-6,-7,-9,-11,-10,-13,-19,92,67,40,1029,1022,1015,16,11,2,27,11,40,0.00,6,Snow,337
2015-1-7,-4,-9,-14,-12,-16,-23,84,54,30,1019,1013,1008,16,16,13,37,16,63,0.00,4,Snow,300
2015-1-8,-1,-9,-16,-7,-17,-24,66,53,43,1027,1025,1019,16,16,14,32,24,48,0.00,3,,276
2015-1-9,7,2,-2,-3,-7,-14,82,60,40,1023,1017,1014,16,15,3,52,27,82,0.00,7,Snow,261
2015-1-10,-2,-7,-12,-12,-15,-17,67,50,38,1034,1028,1021,16,16,16,23,16,37,0.00,1,,288
2015-1-11,4,-3,-9,-2,-11,-17,68,55,41,1039,1036,1033,16,16,16,21,11,,0.00,4,,257
2015-1-12,7,3,0,6,3,-2,100,90,73,1033,1022,1018,16,11,3,21,10,35,19.30,8,Rain,280
2015-1-13,1,-2,-5,0,-7,-11,92,71,58,1037,1031,1020,16,13,3,34,24,52,1.52,8,Rain-Snow,10
2015-1-14,1,-1,-3,-3,-4,-9,93,79,66,1035,1026,1019,16,14,2,26,16,40,0.00,8,Snow,9
2015-1-15,-1,-2,-3,-2,-3,-7,96,90,72,1018,1014,1010,16,8,2,29,19,37,0.51,8,Rain-Snow,307
2015-1-16,3,-2,-7,-3,-8,-21,78,58,33,1019,1010,1006,16,16,14,35,18,53,0.00,2,,276
2015-1-17,0,-8,-13,-5,-19,-23,70,44,27,1030,1026,1020,16,16,16,32,19,47,0.00,0,,302
2015-1-18,11,6,1,7,4,-5,93,83,66,1026,1015,1003,16,14,3,42,24,61,10.16,7,Rain,182
2015-1-19,6,4,2,4,-1,-7,93,72,54,1008,1005,1004,16,16,16,27,18,45,0.00,3,,273
2015-1-20,3,1,-2,-5,-8,-14,64,52,37,1015,1011,1008,16,16,16,27,19,40,0.00,1,,282
2015-1-21,2,-3,-7,-1,-7,-14,92,66,39,1022,1020,1015,16,14,3,19,11,,0.00,3,Snow,23
2015-1-22,3,1,-1,-1,-2,-6,96,87,65,1024,1021,1019,16,14,3,19,11,,0.76,8,Snow,350
2015-1-23,2,-1,-4,-2,-8,-13,76,61,38,1026,1022,1015,16,16,16,23,13,29,0.00,0,,273
2015-1-24,3,1,0,2,0,-2,100,91,76,1014,998,983,16,8,2,40,18,60,20.07,8,Rain-Snow,356
2015-1-25,5,1,-4,-2,-7,-13,79,57,38,1016,1005,994,16,16,16,32,19,52,0.00,3,,289
2015-1-26,-1,-3,-5,-2,-4,-16,96,81,40,1019,1014,1000,16,5,1,64,27,95,1.52,7,Fog-Snow,47
2015-1-27,-1,-4,-9,-2,-7,-13,96,84,71,1003,995,992,11,2,0,72,61,108,0.25,8,Fog-Snow,14
2015-1-28,-4,-9,-14,-12,-14,-17,77,62,48,1023,1013,1004,16,15,8,32,21,37,0.00,4,Snow,335
2015-1-29,1,-4,-9,-3,-9,-14,81,67,52,1026,1023,1018,16,16,13,21,11,,0.00,3,Snow,325
2015-1-30,3,0,-4,2,-2,-11,97,84,62,1016,1008,1005,16,15,10,39,14,58,1.78,8,Rain-Snow,309
2015-1-31,-4,-7,-9,-12,-16,-21,74,55,31,1017,1009,1005,16,11,2,47,39,71,0.00,5,Snow,317
2015-2-1,-1,-5,-9,-8,-12,-19,74,57,41,1021,1020,1018,16,16,16,29,19,47,0.00,2,,304
2015-2-2,2,-4,-10,1,-4,-13,96,85,55,1019,1003,991,16,6,1,48,26,63,17.53,8,Rain-Snow,40
2015-2-3,-5,-9,-12,-13,-16,-18,81,61,42,1027,1019,1005,16,16,13,37,24,52,0.00,0,,311
2015-2-4,3,-7,-16,1,-7,-19,89,75,54,1027,1022,1015,16,16,14,26,8,,0.00,5,,210
2015-2-5,3,-4,-12,2,-6,-22,100,77,39,1018,1012,1009,16,11,1,42,13,66,0.00,3,Fog,336
2015-2-6,-5,-9,-14,-10,-16,-22,74,56,48,1022,1019,1017,16,14,3,37,24,53,0.00,2,Snow,282
2015-2-7,0,-2,-4,-4,-8,-14,82,63,48,1021,1019,1017,16,15,6,23,13,32,0.00,6,Snow,270
2015-2-8,1,-1,-3,-1,-2,-5,93,89,75,1017,1015,1013,16,10,2,23,11,,2.54,8,Rain-Snow,36
2015-2-9,1,-1,-3,-1,-1,-4,93,91,87,1016,1015,1014,16,8,3,40,27,55,1.52,8,Rain-Snow,31
2015-2-10,1,1,0,-1,-2,-5,92,84,69,1016,1015,1013,16,15,6,40,32,60,0.00,8,,24
2015-2-11,-1,-3,-5,-6,-7,-9,78,70,63,1016,1014,1012,16,16,16,47,32,71,0.00,8,,16
2015-2-12,1,-3,-6,-1,-6,-11,89,77,56,1012,1007,1004,16,13,3,35,14,48,0.25,8,Snow,275
2015-2-13,-4,-8,-12,-11,-20,-24,60,44,31,1020,1014,1005,16,16,16,39,27,53,0.00,1,,312
2015-2-14,0,-10,-20,-1,-8,-23,96,79,44,1019,1006,995,16,9,0,45,13,60,2.29,6,Fog-Snow,181
2015-2-15,-3,-10,-17,-5,-14,-24,92,63,43,1009,999,988,16,5,0,58,37,85,0.00,4,Fog-Snow,323
2015-2-16,-8,-13,-18,-21,-24,-26,54,40,28,1017,1013,1010,16,13,6,48,34,74,0.00,0,Snow,304
2015-2-17,-4,-8,-11,-7,-11,-22,85,74,36,1017,1012,1009,16,9,2,24,11,,0.76,8,Snow,344
2015-2-18,0,-3,-7,-4,-6,-11,82,75,66,1013,1009,1005,16,16,14,21,14,,0.00,7,Snow,34
2015-2-19,-2,-7,-12,-4,-10,-22,92,73,40,1009,1004,1002,16,10,1,32,13,52,0.25,5,Snow,277
2015-2-20,-7,-11,-14,-20,-22,-23,50,42,33,1031,1019,1009,16,16,16,35,26,53,0.00,0,,288
2015-2-21,3,-9,-21,2,-7,-24,93,78,41,1035,1029,1022,16,13,4,29,13,42,5.33,6,Rain-Snow,201
2015-2-22,6,2,-1,5,1,-2,97,91,82,1022,1021,1020,16,9,0,35,16,47,17.53,8,Fog-Rain-Snow,243
2015-2-23,-1,-7,-13,-2,-14,-23,92,52,30,1026,1021,1019,16,11,0,32,13,48,0.00,4,Fog,297
2015-2-24,-2,-9,-16,-4,-17,-27,86,57,28,1027,1021,1011,16,15,3,29,19,39,0.00,3,Snow,184
2015-2-25,0,-2,-4,-2,-6,-14,96,74,38,1016,1008,1005,16,10,1,24,13,37,3.05,4,Snow,263
2015-2-26,-2,-4,-6,-6,-9,-17,85,67,39,1019,1015,1011,16,11,1,32,18,47,0.25,6,Snow,4
2015-2-27,-3,-7,-11,-13,-16,-18,77,53,32,1034,1027,1020,16,16,16,21,11,,0.00,1,,312
2015-2-28,-4,-10,-16,-14,-19,-23,80,46,22,1041,1040,1034,16,16,16,23,13,,0.00,0,,294
2015-3-1,1,-8,-17,-1,-8,-22,89,75,31,1040,1031,1020,16,8,1,16,6,,8.13,6,Rain-Snow,178
2015-3-2,2,0,-3,-1,-7,-14,89,64,34,1025,1017,1014,16,15,6,29,11,53,1.02,4,Rain,281
2015-3-3,2,-3,-7,0,-9,-20,89,62,26,1030,1023,1011,16,11,1,34,19,45,2.79,4,Rain-Snow,218
2015-3-4,5,3,2,3,1,-1,89,85,73,1012,1009,1006,16,10,2,34,23,50,11.18,7,Rain-Snow,232
2015-3-5,3,-2,-7,1,-5,-16,93,81,48,1025,1017,1011,16,4,1,32,14,39,9.65,8,Rain-Snow,340
2015-3-6,-4,-9,-14,-14,-17,-21,80,54,40,1032,1030,1026,16,16,14,26,14,37,0.00,2,,331
2015-3-7,1,-8,-17,-5,-12,-20,84,61,35,1026,1021,1017,16,16,13,35,14,45,0.00,2,,250
2015-3-8,4,-1,-5,-3,-7,-11,88,59,37,1021,1017,1014,16,15,6,24,10,37,0.00,4,,254
2015-3-9,7,0,-8,-2,-7,-11,85,62,37,1025,1021,1019,16,15,3,35,10,60,0.00,0,,239
2015-3-10,7,0,-6,3,-3,-9,89,72,43,1028,1023,1016,16,13,1,23,8,,4.32,3,Rain,187
2015-3-11,11,7,4,5,2,-9,93,77,34,1016,1012,1010,16,8,1,23,11,34,7.87,5,Fog-Rain,252
2015-3-12,5,1,-2,-6,-15,-22,51,29,13,1034,1025,1014,16,16,16,40,24,53,0.00,0,,322
2015-3-13,4,-1,-5,-7,-18,-26,56,30,11,1037,1034,1030,16,16,16,26,14,34,0.00,1,,296
2015-3-14,8,4,0,6,3,-6,93,86,64,1029,1015,1003,16,7,1,32,18,47,27.18,8,Rain,187
2015-3-15,8,2,-2,2,-3,-8,93,76,42,1010,1004,1001,16,10,0,39,19,61,1.27,8,Fog-Rain-Snow,322
2015-3-16,6,1,-3,-3,-11,-21,82,48,14,1014,1011,1009,16,16,16,29,21,40,0.00,0,,292
2015-3-17,11,4,-1,4,-1,-19,93,76,24,1008,1001,995,16,9,2,42,14,58,4.32,6,Rain,234
2015-3-18,2,-2,-5,-18,-25,-31,31,17,8,1019,1012,1007,16,16,16,48,32,66,0.00,1,,312
2015-3-19,2,-2,-6,-19,-25,-29,35,18,9,1027,1023,1019,16,16,16,40,26,52,0.00,0,,316
2015-3-20,1,-6,-11,-5,-13,-22,81,53,27,1029,1026,1022,16,12,2,16,8,,0.51,4,Snow,59
2015-3-21,3,0,-2,1,-2,-4,85,81,73,1021,1014,1009,16,12,3,26,13,39,4.06,7,Rain-Snow,8
2015-3-22,3,0,-5,-2,-19,-27,73,27,11,1019,1014,1009,16,16,16,39,27,63,0.00,0,,293
2015-3-23,1,-3,-7,-18,-24,-28,40,21,10,1023,1021,1019,16,16,16,29,19,45,0.00,0,,301
2015-3-24,4,-2,-8,-11,-13,-19,74,45,26,1029,1026,1023,16,16,16,21,11,,0.00,1,,315
2015-3-25,8,-1,-8,-1,-9,-20,78,52,13,1030,1028,1023,16,16,14,23,10,,0.25,2,Rain,205
2015-3-26,11,7,4,8,6,1,93,88,82,1022,1011,1002,16,3,0,37,21,52,16.00,8,Fog-Rain,208
2015-3-27,11,7,3,9,3,0,90,83,70,1007,1004,1002,16,14,1,23,18,,3.05,8,Rain,6
2015-3-28,3,1,0,1,-2,-3,88,81,72,1016,1009,1004,16,9,2,35,13,50,9.14,8,Rain-Snow,9
2015-3-29,4,0,-3,-2,-8,-18,86,63,18,1022,1019,1016,16,12,3,26,14,34,0.25,4,Snow,345
2015-3-30,6,2,-1,-1,-3,-5,82,69,49,1020,1012,1007,16,16,16,29,16,40,0.00,4,Rain,218
2015-3-31,9,4,1,-1,-5,-11,85,56,28,1009,1008,1006,16,16,16,27,16,40,0.00,3,Rain,261
2015-4-1,8,0,-8,-1,-12,-27,85,44,7,1022,1014,1007,16,16,16,29,14,40,0.00,1,,347
2015-4-2,9,0,-9,2,-8,-26,74,51,8,1025,1021,1015,16,16,16,34,13,50,0.00,1,,231
2015-4-3,10,8,6,7,5,3,93,82,71,1014,1010,1005,16,8,0,32,21,47,5.33,8,Fog-Rain,225
2015-4-4,13,8,3,8,0,-16,93,67,22,1020,1003,996,16,8,0,37,16,58,1.02,3,Fog-Rain,258
2015-4-5,11,4,-2,-2,-8,-15,68,42,18,1026,1021,1020,16,16,16,35,16,55,0.00,4,,255
2015-4-6,11,3,-4,3,-3,-7,82,65,34,1029,1026,1023,16,12,0,21,5,,0.00,2,,148
2015-4-7,12,7,3,5,2,0,83,76,63,1028,1025,1022,16,14,3,24,16,37,2.03,8,Rain,23
2015-4-8,8,5,3,1,-1,-4,87,69,46,1030,1028,1025,16,14,4,40,24,53,3.56,6,Rain,57
2015-4-9,6,3,2,2,1,-1,86,82,73,1027,1025,1023,11,6,3,42,32,55,2.03,8,Rain-Snow,47
2015-4-10,10,7,4,8,4,1,90,87,80,1024,1014,1007,16,4,0,29,14,40,0.76,8,Fog-Rain,189
2015-4-11,15,10,6,8,2,-9,93,70,19,1020,1010,1007,16,7,0,35,13,60,0.00,4,Fog,251
2015-4-12,15,7,-1,-3,-8,-14,65,38,13,1027,1024,1020,16,16,16,24,11,37,0.00,0,,246
2015-4-13,14,8,2,4,-1,-10,82,59,18,1029,1027,1023,16,16,16,29,13,37,0.00,0,,207
2015-4-14,14,10,8,9,6,2,83,74,52,1023,1020,1019,16,15,8,29,19,45,0.00,6,Rain,217
2015-4-15,18,9,0,2,-4,-17,88,45,8,1028,1020,1017,16,16,16,37,13,48,0.00,0,,3
2015-4-16,13,5,-2,4,-2,-9,92,58,22,1033,1030,1026,16,16,16,23,13,,0.00,0,,141
2015-4-17,12,10,8,12,10,5,100,98,83,1025,1017,1012,16,10,3,29,21,40,4.06,6,Rain,224
2015-4-18,19,12,5,11,7,5,100,79,48,1018,1013,1010,16,14,1,26,11,47,0.00,0,Fog,297
2015-4-19,13,6,0,4,2,0,100,74,43,1025,1023,1019,16,16,16,34,14,42,0.00,0,,63
2015-4-20,12,7,3,12,8,3,100,95,71,1024,1014,1007,16,12,3,48,23,74,5.08,6,Rain,120
2015-4-21,19,14,10,13,10,3,100,91,53,1008,1003,1001,16,6,0,32,24,50,0.25,6,Fog-Rain,206
2015-4-22,16,8,0,8,4,-1,100,72,48,1010,1007,1003,16,16,16,35,11,53,0.25,2,Rain,200
2015-4-23,11,7,4,7,0,-6,86,63,41,1006,1004,1002,16,16,16,32,19,53,0.00,5,Rain,270
2015-4-24,11,6,2,-3,-4,-5,70,51,38,1009,1007,1006,16,16,16,27,21,42,0.00,2,,293
2015-4-25,12,6,2,2,-1,-4,89,61,41,1009,1007,1006,16,16,16,32,16,39,0.00,3,,270
2015-4-26,13,4,-3,4,1,-4,93,69,41,1006,1004,1003,16,16,16,21,10,,0.00,5,,280
