PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,10,3,-3,1,-2,-5,93,79,46,1023,1021,1020,16,11,2,11,2,,0.00,0,Fog,151
2015-1-2,11,4,-3,2,-1,-4,100,81,50,1024,1022,1020,16,10,2,13,3,,0.00,0,Fog,336
2015-1-3,11,4,-2,2,0,-3,92,77,50,1027,1025,1023,16,11,6,10,3,,0.00,0,Fog,328
2015-1-4,12,6,0,4,2,-1,96,82,57,1031,1029,1027,16,10,3,14,5,,0.00,3,,351
2015-1-5,12,7,1,6,3,-1,96,82,58,1030,1028,1025,16,12,5,10,3,,0.00,2,,70
2015-1-6,16,8,1,8,4,1,100,85,57,1027,1025,1022,16,9,0,14,5,,0.00,1,Fog,347
2015-1-7,18,9,1,9,4,1,100,86,50,1025,1022,1019,16,8,0,10,3,,0.00,1,Fog,317
2015-1-8,16,9,1,10,6,1,100,87,67,1020,1019,1016,16,8,2,13,5,,0.00,3,Fog,321
2015-1-9,13,9,5,9,7,4,96,88,77,1017,1016,1015,16,12,5,10,3,,0.00,7,,113
2015-1-10,16,10,5,11,8,4,100,90,67,1017,1015,1014,10,4,1,10,2,,0.00,6,Fog,313
2015-1-11,16,11,6,9,8,4,100,89,67,1021,1018,1016,11,5,0,10,3,,0.00,6,Fog,71
2015-1-12,17,10,4,11,7,3,100,88,58,1025,1023,1022,16,6,0,16,3,,0.00,3,Fog,335
2015-1-13,15,8,1,8,6,-1,100,87,62,1024,1022,1020,16,8,0,13,5,,0.00,1,Fog,128
2015-1-14,12,7,2,9,5,1,100,94,80,1026,1024,1022,8,1,0,16,5,,0.00,6,Fog-Snow,334
2015-1-15,13,8,3,8,6,3,100,89,69,1028,1026,1024,14,6,0,13,2,,0.25,7,Fog,116
2015-1-16,11,9,7,9,8,6,100,93,86,1026,1025,1024,10,3,0,16,11,,1.02,8,Fog-Rain,257
2015-1-17,12,9,7,9,8,6,100,92,86,1027,1025,1023,10,5,1,13,6,,0.00,7,Fog,178
2015-1-18,11,9,8,10,9,8,100,95,90,1027,1026,1025,4,1,0,14,8,,0.00,8,Fog,187
2015-1-19,14,11,9,11,9,8,96,90,77,1027,1025,1022,14,5,0,10,3,,0.00,6,Fog,102
2015-1-20,13,8,4,9,7,3,100,91,69,1022,1020,1018,16,7,0,8,3,,0.00,5,Fog,308
2015-1-21,13,8,3,9,6,3,100,90,69,1024,1021,1019,16,6,0,16,3,,0.00,3,Fog,181
2015-1-22,12,7,3,7,6,2,100,89,71,1028,1026,1024,16,8,0,19,6,,0.00,5,Fog,329
2015-1-23,12,8,3,7,6,2,100,92,69,1029,1027,1025,16,3,0,13,5,,0.00,3,Fog,159
2015-1-24,12,9,7,7,6,6,100,90,69,1026,1023,1020,13,4,0,16,6,,0.00,5,Fog,155
2015-1-25,12,9,6,8,6,5,100,90,74,1023,1021,1016,16,5,0,11,5,,0.00,4,Fog,177
2015-1-26,17,10,3,10,6,2,100,86,60,1020,1017,1015,14,6,0,14,10,,0.00,4,Fog,342
2015-1-27,16,12,8,12,9,7,93,85,75,1025,1022,1016,16,12,8,21,6,,0.00,6,,170
2015-1-28,19,13,7,9,8,6,93,77,48,1025,1023,1021,16,13,6,14,11,,0.00,3,,352
