MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-4-29,19,11,4,0,-2,-4,75,39,21,1021,1017,1015,16,16,8,29,13,40,0.76,1,,225
2015-4-30,14,8,2,3,-2,-12,100,62,17,1022,1020,1016,16,16,13,23,5,35,2.79,3,Rain,249
2015-5-1,17,6,-4,-1,-6,-12,100,51,14,1023,1020,1015,16,16,16,32,8,50,0.00,0,,225
2015-5-2,18,7,-4,-2,-6,-9,93,45,16,1016,1014,1011,16,16,16,29,6,48,0.00,1,,272
2015-5-3,16,6,-3,2,-2,-6,100,60,23,1017,1016,1014,16,16,16,23,5,37,0.00,2,,230
2015-5-4,18,7,-4,2,-1,-4,100,65,25,1019,1017,1014,16,16,16,19,3,34,0.00,3,,229
2015-5-5,17,7,-3,7,2,-3,100,78,32,1015,1013,1010,16,16,2,24,3,40,5.33,4,Rain,191
2015-5-6,11,6,1,5,2,0,100,77,50,1012,1010,1009,16,14,0,24,5,37,0.25,6,Fog-Rain,10
2015-5-7,4,2,0,2,1,-1,100,91,75,1016,1014,1011,16,10,1,16,8,,12.19,6,Rain-Snow,15
2015-5-8,8,4,0,2,-1,-3,100,76,57,1018,1015,1014,16,16,16,23,8,42,0.00,8,Rain,24
2015-5-9,8,4,0,-2,-4,-7,75,59,45,1022,1018,1017,16,16,16,29,18,50,0.00,7,,19
2015-5-10,8,1,-5,-6,-8,-11,80,51,25,1022,1020,1019,16,16,16,32,11,45,0.00,2,,32
2015-5-11,12,1,-9,3,-6,-11,100,57,24,1021,1018,1014,16,16,8,29,5,42,1.27,2,Rain,222
2015-5-12,15,8,0,5,3,0,100,81,36,1016,1013,1010,16,15,4,35,6,58,8.64,6,Rain-Snow,134
2015-5-13,14,8,2,3,-1,-5,100,63,29,1015,1013,1012,16,16,14,32,11,47,0.51,3,Rain,202
2015-5-14,15,8,0,5,2,-2,100,72,33,1015,1013,1010,16,16,6,35,6,53,0.51,4,Rain,227
2015-5-15,12,6,0,4,2,-1,100,80,41,1010,1008,1005,16,15,6,23,5,34,8.13,6,Rain,204
2015-5-16,8,4,0,3,1,0,100,90,66,1012,1007,1005,16,10,1,16,6,29,13.97,6,Rain-Snow,207
2015-5-17,9,4,1,2,-1,-2,100,72,46,1024,1019,1013,16,16,11,23,8,40,0.00,8,,19
2015-5-18,13,6,-1,7,1,-2,100,74,41,1024,1022,1020,16,16,6,16,6,27,2.54,6,Rain,40
2015-5-19,12,7,2,3,1,0,87,69,47,1022,1019,1017,16,16,16,27,14,40,0.00,6,,55
2015-5-20,13,4,-3,4,-1,-3,100,69,36,1021,1020,1019,16,16,16,19,5,27,0.00,5,,99
2015-5-21,12,8,3,5,3,1,100,79,47,1021,1019,1016,16,16,4,23,5,29,1.02,5,Rain,84
2015-5-22,13,6,-2,7,3,-2,100,77,41,1017,1015,1014,16,16,11,26,3,39,0.00,4,Rain,55
2015-5-23,13,7,2,5,4,2,100,77,51,1019,1016,1015,16,15,3,27,10,37,2.29,7,Rain,32
2015-5-24,14,7,0,6,2,0,100,76,38,1019,1016,1014,16,15,5,21,8,35,1.27,5,Rain,30
