PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,1,-6,-13,-12,-14,-16,80,56,32,1029,1026,1023,16,16,16,13,4,14,0.00,0,,182
2015-1-2,3,-4,-11,-8,-12,-14,84,58,32,1027,1025,1022,16,16,16,13,2,16,0.00,0,,193
2015-1-3,9,1,-8,-4,-8,-11,80,56,31,1028,1026,1023,16,16,16,10,3,16,0.00,2,,169
2015-1-4,12,4,-4,-2,-4,-7,88,60,32,1032,1030,1026,16,16,16,10,2,18,0.00,6,,175
2015-1-5,13,5,-4,-1,-3,-6,92,62,32,1035,1032,1030,16,16,16,10,2,14,0.00,5,,30
2015-1-6,14,6,-3,-1,-2,-4,92,65,20,1034,1031,1028,16,16,16,10,0,,0.00,3,,20
2015-1-7,14,6,-3,-1,-2,-4,92,64,35,1032,1029,1026,16,16,16,8,0,14,0.00,1,,-1
2015-1-8,13,5,-4,1,-2,-5,92,64,35,1027,1023,1021,16,16,16,10,1,18,0.00,3,,334
2015-1-9,9,3,-3,0,-2,-4,92,69,46,1023,1020,1017,16,16,16,10,1,10,0.00,6,,167
2015-1-10,13,7,2,1,-1,-2,89,64,38,1018,1016,1014,16,16,14,11,2,16,0.00,8,,157
2015-1-11,16,10,4,1,-1,-3,76,52,28,1019,1017,1015,16,16,16,21,5,35,0.00,7,,294
2015-1-12,12,6,1,1,-1,-2,75,58,41,1025,1022,1019,16,16,16,26,7,31,0.00,5,,17
2015-1-13,8,3,-3,-1,-3,-5,92,69,45,1029,1027,1025,16,16,16,24,7,29,0.00,3,,103
2015-1-14,9,2,-6,-3,-5,-7,88,65,42,1029,1028,1025,16,16,16,14,3,18,0.00,3,,332
2015-1-15,9,3,-4,-3,-4,-6,84,61,37,1030,1027,1024,16,16,16,13,4,16,0.00,6,,69
2015-1-16,14,8,1,4,-1,-8,83,55,26,1025,1023,1021,16,16,16,27,9,35,0.00,6,,19
2015-1-17,14,8,2,4,3,1,92,70,47,1027,1024,1022,16,16,16,16,3,18,0.00,6,,239
2015-1-18,19,10,1,4,1,-4,89,56,23,1025,1023,1021,16,16,16,37,10,47,0.00,4,,284
2015-1-19,16,9,3,4,1,-2,92,62,31,1025,1023,1021,16,16,16,21,5,29,0.00,2,,7
2015-1-20,10,4,-2,-2,-3,-5,85,61,36,1024,1023,1021,16,16,16,19,1,23,0.00,3,,65
2015-1-21,10,3,-4,-6,-7,-9,88,59,29,1028,1026,1024,16,16,16,27,6,32,0.00,4,,99
2015-1-22,7,1,-4,-6,-7,-8,74,56,37,1033,1030,1027,16,16,16,10,3,16,0.00,5,,277
2015-1-23,13,4,-6,-6,-7,-8,81,53,24,1036,1034,1032,16,16,16,19,3,21,0.00,0,,54
2015-1-24,15,6,-4,-6,-7,-8,75,49,23,1035,1031,1029,16,16,16,23,6,27,0.00,1,,119
2015-1-25,17,7,-3,-2,-5,-7,69,47,25,1031,1028,1024,16,16,16,24,3,29,0.00,1,,95
2015-1-26,17,7,-2,-2,-3,-5,85,56,27,1025,1020,1016,16,16,16,13,2,21,0.00,5,,275
2015-1-27,11,6,2,4,-1,-3,89,64,39,1025,1021,1016,16,16,11,34,9,43,1.52,7,Rain,311
2015-1-28,14,6,-2,-1,-2,-4,92,63,33,1029,1026,1024,16,16,16,23,4,27,0.00,3,,82
2015-1-29,13,6,-2,1,-1,-3,85,64,43,1026,1023,1020,16,16,16,23,5,27,0.00,5,,65
2015-1-30,12,7,2,2,0,-2,79,59,38,1020,1018,1015,16,16,16,27,8,34,0.00,4,,356
2015-1-31,13,4,-4,-2,-6,-8,92,58,24,1024,1022,1019,16,16,16,19,5,26,0.00,1,,126
2015-2-1,15,6,-4,-4,-7,-11,75,46,17,1026,1023,1020,16,16,16,13,2,21,0.00,4,,154
2015-2-2,12,6,0,7,2,-4,92,68,44,1024,1022,1020,16,16,16,47,2,56,0.76,6,Rain,27
2015-2-3,19,10,1,6,2,-2,100,64,27,1023,1021,1018,16,10,0,40,7,47,0.00,6,Fog,217
2015-2-4,18,11,2,0,-4,-10,76,45,13,1020,1018,1016,16,16,16,42,9,56,0.00,7,,197
2015-2-5,21,12,2,-4,-8,-12,64,38,11,1017,1013,1009,16,16,16,52,24,69,0.00,4,,196
2015-2-6,19,13,6,6,-3,-15,100,54,8,1013,1009,1006,16,15,10,74,43,93,5.59,7,Rain,180
