EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,26,21,17,20,19,17,100,90,68,1024,1022,1020,16,10,1,14,10,,0.00,6,Fog,28
2015-1-2,29,24,19,21,19,18,100,89,55,1024,1022,1020,16,9,0,16,8,,0.00,5,Fog-Rain,88
2015-1-3,29,24,20,22,19,18,96,79,53,1024,1022,1021,16,16,11,27,13,34,0.00,1,,128
2015-1-4,29,24,19,21,19,19,100,88,53,1025,1023,1022,16,10,0,26,8,34,0.00,2,Fog,129
2015-1-5,25,22,18,21,19,15,97,84,69,1028,1026,1024,16,16,14,23,8,37,0.00,5,,42
2015-1-6,28,21,14,19,16,13,93,78,54,1027,1025,1023,16,16,16,14,10,,0.00,1,,17
2015-1-7,23,18,13,16,10,4,96,65,30,1024,1022,1020,16,16,16,21,10,27,0.00,0,,341
2015-1-8,19,13,8,9,6,0,72,59,46,1028,1025,1023,16,16,16,32,19,39,0.00,2,,36
2015-1-9,22,17,12,14,11,8,83,73,63,1025,1024,1022,16,16,13,19,8,,0.00,5,,5
2015-1-10,22,17,11,13,9,6,87,66,47,1028,1026,1024,16,16,16,23,14,29,0.00,2,,35
2015-1-11,27,20,13,21,18,12,100,87,60,1026,1024,1022,16,14,3,26,13,45,4.57,4,Rain,71
2015-1-12,23,20,18,22,19,18,100,96,84,1023,1021,1017,16,12,3,27,10,32,6.10,5,Rain,62
2015-1-13,27,22,17,20,18,16,97,86,60,1021,1019,1017,16,14,1,14,11,,0.25,4,Fog-Rain,44
2015-1-14,21,19,18,18,17,16,100,91,81,1020,1019,1017,16,12,1,19,11,,0.00,7,,33
2015-1-15,21,18,16,17,15,13,90,84,75,1021,1019,1017,16,16,16,14,10,,0.00,8,,27
2015-1-16,22,17,12,13,12,10,90,76,55,1021,1019,1017,16,16,8,23,11,29,0.00,5,,30
2015-1-17,24,17,9,13,11,8,90,71,41,1022,1020,1018,16,16,16,14,10,26,0.00,1,,74
2015-1-18,24,19,14,15,13,11,97,73,43,1022,1020,1018,16,16,11,19,5,32,0.00,1,,341
2015-1-19,22,16,9,12,9,3,100,75,29,1023,1021,1019,16,11,0,26,10,34,0.00,1,Fog,53
2015-1-20,22,18,13,16,14,11,93,81,60,1020,1017,1015,16,16,16,14,6,,0.00,5,,93
2015-1-21,27,21,16,18,16,15,96,77,47,1019,1017,1015,16,16,14,11,3,,0.00,3,,66
2015-1-22,28,22,16,18,17,15,97,74,45,1022,1020,1019,16,15,8,19,11,27,0.76,2,Rain,105
2015-1-23,27,22,18,19,18,16,93,78,56,1019,1016,1014,16,16,16,34,16,45,0.00,2,,157
2015-1-24,23,18,13,21,16,9,90,77,52,1017,1014,1011,16,16,10,35,24,48,0.76,5,Rain,277
2015-1-25,19,13,8,11,8,7,96,74,48,1020,1017,1015,16,16,16,14,6,,0.00,1,,10
2015-1-26,21,17,12,16,12,8,94,70,47,1015,1013,1012,16,15,3,29,14,50,0.00,5,Rain,292
2015-1-27,19,14,11,13,9,5,83,67,42,1019,1017,1015,16,16,16,24,10,35,0.00,1,,303
2015-1-28,19,14,9,12,4,-1,93,59,28,1024,1021,1018,16,16,16,23,13,32,0.00,0,,20
2015-1-29,23,16,8,10,8,5,87,64,39,1026,1024,1022,16,16,16,24,11,35,0.00,1,,56
2015-1-30,22,16,9,14,11,8,90,73,46,1024,1022,1020,16,16,16,16,5,26,0.00,0,,322
2015-1-31,23,16,9,12,9,7,90,67,40,1024,1023,1022,16,16,8,26,14,37,0.00,0,,58
2015-2-1,25,18,11,14,11,9,89,67,40,1024,1021,1018,16,16,16,24,13,37,0.00,1,,119
2015-2-2,25,19,14,19,16,8,97,83,58,1020,1017,1015,16,16,11,35,13,42,0.00,4,Rain,242
2015-2-3,23,16,9,12,8,4,81,64,45,1024,1022,1020,16,16,16,21,14,32,0.00,1,,47
2015-2-4,26,18,11,17,13,10,93,72,52,1022,1019,1014,16,16,16,21,13,,0.00,2,,93
2015-2-5,22,18,13,19,17,12,96,89,84,1019,1014,1012,16,15,3,47,18,72,11.68,7,Rain,287
2015-2-6,22,17,11,12,9,6,74,63,49,1024,1022,1020,16,16,16,27,18,37,0.00,1,,32
2015-2-7,23,17,10,11,9,7,89,64,34,1024,1022,1021,16,16,16,27,14,37,0.00,1,,67
2015-2-8,25,18,10,13,11,8,96,70,45,1022,1019,1016,16,16,16,19,8,35,0.00,1,,104
2015-2-9,23,19,15,19,17,12,96,85,70,1016,1010,1007,16,15,3,24,11,,2.79,6,Rain-Thunderstorm,151
2015-2-10,21,16,12,16,13,10,100,84,51,1013,1009,1007,16,15,2,29,10,40,0.00,3,,312
2015-2-11,21,14,9,10,9,6,97,76,39,1018,1016,1013,16,12,4,16,8,,0.00,1,,359
2015-2-12,21,14,8,12,9,6,93,74,39,1020,1019,1017,16,16,16,16,6,,0.00,0,,324
2015-2-13,19,13,7,12,7,2,97,70,36,1023,1021,1019,16,16,13,21,8,34,0.00,0,,329
2015-2-14,19,12,5,7,3,-1,86,61,28,1025,1023,1021,16,16,16,16,10,26,0.00,0,,339
2015-2-15,25,16,7,12,8,4,93,68,27,1023,1022,1020,16,16,16,16,5,,0.00,0,,329
2015-2-16,24,17,10,13,11,9,93,69,40,1022,1019,1016,16,16,11,29,10,40,0.00,1,,156
2015-2-17,26,21,17,19,16,13,90,77,54,1015,1013,1011,16,16,14,39,19,50,0.00,3,,225
2015-2-18,19,14,8,16,8,-3,97,68,26,1022,1017,1013,16,16,6,23,8,35,0.51,5,Rain-Thunderstorm,329
2015-2-19,15,11,5,4,-1,-7,76,48,24,1027,1025,1022,16,16,16,27,11,47,0.00,0,,346
2015-2-20,18,9,1,3,-5,-13,72,44,13,1029,1027,1025,16,16,16,21,13,27,0.00,0,,50
2015-2-21,23,14,6,13,8,3,86,65,40,1027,1024,1022,16,16,16,24,13,37,0.00,3,,92
2015-2-22,28,21,14,18,16,13,97,78,49,1023,1021,1020,16,16,16,23,10,,0.00,4,,124
2015-2-23,28,22,16,21,18,14,100,87,58,1023,1021,1019,16,11,0,21,5,,0.00,4,Fog,321
2015-2-24,26,21,17,18,17,17,100,90,60,1019,1017,1015,16,12,0,23,8,,0.00,5,Fog,273
2015-2-25,28,22,17,21,18,16,100,84,51,1015,1013,1009,16,14,1,26,10,37,0.00,5,,204
2015-2-26,24,21,17,21,18,13,93,87,73,1017,1012,1008,16,15,10,37,21,53,0.25,7,Rain,297
2015-2-27,18,16,14,13,12,12,93,81,70,1023,1020,1016,16,16,16,26,13,35,0.00,8,,30
2015-2-28,28,21,14,21,19,13,100,86,60,1026,1024,1022,16,11,2,32,14,40,42.67,7,Rain-Thunderstorm,59
2015-3-1,29,24,20,21,19,18,97,84,51,1027,1025,1023,16,15,11,21,13,,0.00,5,,85
2015-3-2,29,23,18,21,18,15,100,80,43,1026,1024,1021,16,11,0,21,8,,0.00,4,Fog,73
2015-3-3,29,23,17,19,17,16,100,79,46,1023,1021,1018,16,12,0,26,10,35,0.00,2,Fog,89
2015-3-4,30,24,18,20,18,16,97,74,44,1021,1019,1017,16,16,13,21,11,40,0.00,1,,150
2015-3-5,29,24,19,21,20,18,100,83,56,1021,1019,1017,16,14,1,27,11,40,0.00,3,,177
